證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 當期所得稅費用（利益）
9934,2015年第3季,,              5079989,,              3710877,              1369112,              1369112,,,                455420,,                740995,,                 62617,              1259032,                110080,,,                 34769,,                 91943,,                 21762,,                   -365,                104585,                214665,,                 85456,                129209,                129209,,,                372847,                -22067,,                  1140,                              0,                351920,                351920,                481129,,                128692,                    517,,                480220,                    909,,                              0.36,,                              0.35,,,,,,,,,,,,,
9934,2015年第2季,,              4959926,,              3597420,              1362506,              1362506,,,                450056,,                686084,,                 53139,              1189279,                173227,,,                 24042,,                 93254,,                 22935,,                   -526,                 93835,                267062,,                 61855,                205207,                205207,,,                  6033,                -24119,,                   -439,                              0,                -18525,                -18525,                186682,,                201872,                  3335,,                183453,                  3229,,                              0.57,,                              0.55,,,,,,,,,,,,,
9934,2015年01月01日至2015年09月30日,,             14652809,,             10607919,              4044890,              4044890,,,              1359652,,              2148161,,                177321,              3685134,                359756,,,                 82863,,                261872,,                 68274,,                 -1062,                275399,                635155,,                214955,                420200,                420200,,,                152312,                179080,,                    396,                 11051,                320737,                320737,                740937,,                416932,                  3268,,                738184,                  2753,,                              1.18,,                              1.14,,,,,,,,,,,,,
9934,2015年01月01日至2015年06月30日,,              9572820,,              6897042,              2675778,              2675778,,,                904232,,              1407166,,                114704,              2426102,                249676,,,                 48094,,                169929,,                 46512,,                   -697,                170814,                420490,,                129499,                290991,                290991,,,               -220535,                201147,,                   -744,                 11051,                -31183,                -31183,                259808,,                288240,                  2751,,                257964,                  1844,,                              0.81,,                              0.79,,,,,,,,,,,,,
9934,2015年01月01日至2015年03月31日,,              4612894,,              3299622,              1313272,              1313272,,,                454176,,                721082,,                 61565,              1236823,                 76449,,,                 24052,,                 76675,,                 23577,,                   -171,                 76979,                153428,,                 67644,                 85784,                 85784,,,               -226873,                225266,,,                 11051,                -12658,                -12658,                 73126,,                 86368,                   -584,,                 74511,                 -1385,,                              0.24,,                              0.24,,,,,,,,,,,,,
9934,2014年第3季,,              4889242,,              3584016,              1305226,              1305226,,,                422038,,                727390,,                 66751,              1216179,                 89047,,,                 21643,,                  1527,,                 21861,,                   -176,                  1133,                 90180,,                  8870,                 81310,                 81310,,,                 67085,                 81724,,                    975,                  9130,                140654,                140654,                221964,,                 80173,                  1137,,                220815,                  1149,,                              0.23,,                              0.20,,,,,,,,,,,,,
9934,2014年第2季,,              5195527,,              3794972,              1400555,              1400555,,,                463929,,                701231,,                 69836,              1234996,                165559,,,                 46240,,                -41696,,                 19836,,                     28,                -15264,                150295,,                114660,                 35635,                 35635,,,               -114188,               -154419,,                   -713,                -15862,               -253458,               -253458,               -217823,,                 34735,                    900,,               -218593,                    770,,                              0.10,,                              0.09,,,,,,,,,,,,,
9934,2014年度,,             19987526,,             14691041,              5296485,              5296485,,,              1706113,,              2929447,,                265025,              4900585,                395900,,,                112214,,                -89210,,                 94518,,                -21786,                -93300,                302600,,                145463,                157137,                157137,,,,,,,,,                176277,                333414,,                154471,                  2666,,                330490,                  2924,,                              0.44,,                              0.44,                230446,                -61283,                  7495,                    381,,,,,,,,,
9934,2014年01月01日至2014年09月30日,,             14976420,,             10987363,              3989057,              3989057,,,              1215690,,              2243929,,                199856,              3659475,                329582,,,                 88850,,                -64830,,                 63665,,                -12923,                -52568,                277014,,                135736,                141278,                141278,,,                 26915,               -171568,,                    -69,                -16967,               -127755,               -127755,                 13523,,                141915,                   -637,,                 14507,                   -984,,                              0.40,,                              0.37,,,,,,,,,,,,,
9934,2014年01月01日至2014年06月30日,,             10087178,,              7403347,              2683831,              2683831,,,                793652,,              1516539,,                133105,              2443296,                240535,,,                 67207,,                -66357,,                 41804,,                -12747,                -53701,                186834,,                126866,                 59968,                 59968,,,                -40170,               -253292,,                 -1044,                -26097,               -268409,               -268409,               -208441,,                 61742,                 -1774,,               -206308,                 -2133,,                              0.18,,                              0.17,,,,,,,,,,,,,
