證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額
2614,2015年第3季,,              2806900,,              2272054,                534846,                534846,,                927149,               -392303,,,                   -209,,                 88526,,                117475,,                 63101,                 33943,               -358360,,                    453,               -358813,               -358813,,,                 60632,,                -23470,                 37162,                 37162,               -321651,,               -290441,                -68372,,               -250714,                -70937,,                             -0.42,,,,,,,,,,,,,,,,
2614,2015年第2季,,              2630410,,              1940388,                690022,                690022,,                936907,               -246885,,,                 26055,,                147222,,                116307,,                 67604,                124574,               -122311,,                 -5812,               -116499,               -116499,,,                -18184,,                 -7053,                -25237,                -25237,               -141736,,                -80518,                -35981,,               -106629,                -35107,,                             -0.12,,,,,,,,,,,,,,,,
2614,2015年01月01日至2015年09月30日,,              8386084,,              6764032,              1622052,              1622052,,              2798690,             -1176638,,,                 51994,,                424271,,                351449,,                175233,                300049,               -876589,,                 68986,               -945575,               -945575,,,                 21691,,                -38468,                -16777,                -16777,               -962352,,               -809153,               -136422,,               -825866,               -136486,,                             -1.16,,,,,,,,,,,,,,,,
2614,2015年01月01日至2015年06月30日,,              5579184,,              4491978,              1087206,              1087206,,              1871541,               -784335,,,                 52203,,                335745,,                233974,,                112132,                266106,               -518229,,                 68533,               -586762,               -586762,,,                -38941,,                -14998,                -53939,                -53939,               -640701,,               -518713,                -68049,,               -575152,                -65549,,                             -0.75,,,,,,,,,,,,,,,,
2614,2015年01月01日至2015年03月31日,,              2948774,,              2551590,                397184,                397184,,                934634,               -537450,,,                 26148,,                188523,,                117667,,                 44528,                141532,               -395918,,                 74345,               -470263,               -470263,,,                -20757,,                 -7945,                -28702,                -28702,               -498965,,               -438195,                -32068,,               -468522,                -30443,,                             -0.63,,                694664,,                239970,                             -0.63,                              0.00,,,,,,,,,,
2614,2014年第3季,,              2992839,,              2499793,                493046,                493046,,                977766,               -484720,,,                 19718,,                 65721,,                101095,,                 68033,                 52377,               -432343,,                 37255,               -469598,               -469598,,,                 28069,,                -23218,                  4851,                  4851,               -464747,,               -450521,                -19077,,               -444405,                -20342,,                             -0.65,,,,,,,,,,,,,,,,
2614,2014年第2季,,              3283807,,              3360038,                -76231,                -76231,,                993361,             -1069592,,,                 20287,,               -132305,,                103379,,                 69266,               -146131,             -1215723,,                  9697,             -1225420,             -1225420,,,                -26160,,                -17975,                -44135,                -44135,             -1269555,,             -1197898,                -27522,,             -1251406,                -18149,,                             -1.72,,,,,,,,,,,,,,,,
2614,2014年第1季,,              3128447,,              3137272,                 -8825,                 -8825,,                931432,               -940257,,,                 19514,,               -505032,,                 90135,,                 30616,               -545037,             -1485294,,                 18486,             -1503780,             -1503780,,,,,,,                 37582,             -1466198,,             -1443570,                -60210,,             -1405705,                -60493,,                             -2.07,,,,,,,                  6154,,,,,,,,,                 31428
2614,2014年度,,             12813375,,             11784068,              1029307,              1029307,,              3773021,             -2743714,,,                 76570,,               -739918,,                412519,,                225561,               -850306,             -3594020,,                114153,             -3708173,             -3708173,,,,,,,                 46275,             -3661898,,             -3589668,               -118505,,             -3543179,               -118719,,                             -5.16,,,,,,,                -29531,                  2975,,                 87391,                 14560,,                              0.00,,,
2614,2014年01月01日至2014年09月30日,,              9405093,,              8997104,                407989,                407989,,              2902559,             -2494570,,,                 59519,,               -571616,,                294609,,                167915,               -638791,             -3133361,,                 65438,             -3198799,             -3198799,,,                 33337,,                -35039,                 -1702,                 -1702,             -3200501,,             -3091990,               -106809,,             -3101517,                -98984,,                             -4.44,,,,,,,,,,,,,,,,
