證券代號,年季,　 營業收入,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 營業收入合計,　 營業成本,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2722,2015年第3季,,,                260782,                260782,,,,,                 92062,                 92062,                168720,                168720,,,                  5771,,                 56802,                 62573,,                 -1362,                 -1362,                104785,,,                  2140,,                    339,                   -339,,                      1,                      1,                  1800,                106585,,                 18134,                 88451,                 88451,,,,,,,                  2644,                  2644,                  2644,                 91095,,,                              0.93,,,                              0.93
2722,2015年第2季,,,                193458,                193458,,,,,                 77750,                 77750,                115708,                115708,,,                  5851,,                 49292,                 55143,,                              0,                              0,                 60565,,,                  1066,,                  1021,                 -1021,,                      1,                      1,                     44,                 60609,,                 15017,                 45592,                 45592,,,,,,,                 -3966,                 -3966,                 -3966,                 41626,,,                              0.48,,,                              0.48
2722,2015年度,,,                738026,                738026,,,,                315725,                315725,                315725,                422301,                422301,,,                 24477,,                197930,                222407,,                 -1397,                 -1397,                198497,,,                  6625,,                  3525,                 -3525,,                      4,                      4,                  3096,                201593,,                 39027,                162566,                162566,,,                  1206,                    205,                  1001,,                 -5042,                 -5042,                 -4041,                158525,,                              1.70,                              1.70,,                              1.70,                              1.70
2722,2015年01月01日至2015年09月30日,,,                588496,                588496,,,,,                240725,                240725,                347771,                347771,,,                 16751,,                146103,                162854,,                 -1362,                 -1362,                183555,,,                  4311,,                  2847,                 -2847,,                      4,                      4,                  1460,                185015,,                 36195,                148820,                148820,,,,,,,                 -4567,                 -4567,                 -4567,                144253,,,                              1.56,,,                              1.56
2722,2015年01月01日至2015年06月30日,,,                327714,                327714,,,,,                148663,                148663,                179051,                179051,,,                 10980,,                 89301,                100281,,                              0,                              0,                 78770,,,                  2171,,                  2508,                 -2508,,                      3,                      3,                   -340,                 78430,,                 18061,                 60369,                 60369,,,,,,,                 -7211,                 -7211,                 -7211,                 53158,,,                              0.63,,,                              0.63
2722,2015年01月01日至2015年03月31日,,,                134256,                134256,,,,,                 70913,                 70913,                 63343,                 63343,,,                  5129,,                 40009,                 45138,,                              0,                              0,                 18205,,,                  1105,,                  1487,                 -1487,,                      2,                      2,                   -384,                 17821,,                  3044,                 14777,                 14777,,,,,,,                 -3245,                 -3245,                 -3245,                 11532,,,                              0.17,,,                              0.17
2722,2014年第3季,,,                266545,                266545,,,,,                 90631,                 90631,                175914,                175914,,,                  5503,,                 52359,                 57862,,                   -346,                   -346,                117706,,,                  1330,,                    679,                   -679,,                      3,                      3,                    648,                118354,,                 20108,                 98246,                 98246,,,,,,,                    781,                    781,                    781,                 99027,,,                              1.03,,,                              1.03
2722,2014年第2季,,,                188699,                188699,,,,,                 73268,                 73268,                115431,                115431,,,                  6152,,                 46373,                 52525,,                   -391,                   -391,                 62515,,,                  1057,,                    946,                   -946,,                      3,                      3,                    108,                 62623,,                 13208,                 49415,                 49415,,,,,,,                 -3124,                 -3124,                 -3124,                 46291,,,                              0.51,,,                              0.51
2722,2014年度,,,                714025,                714025,,,,                297387,                297387,                297387,                416638,                416638,,,                 22905,,                184354,                207259,,                   -397,                   -397,                208982,,,                  5375,,                  3763,                 -3763,,                     12,                     12,                  1600,                210582,,                 38438,                172144,                172144,,,                 -1126,                   -191,                   -935,,                 -5888,                 -5888,                 -6823,                165321,,                              1.80,                              1.80,,                              1.80,                              1.80
2722,2014年01月01日至2014年09月30日,,,                576734,                576734,,,,,                226541,                226541,                350193,                350193,,,                 16788,,                136899,                153687,,                   -742,                   -742,                195764,,,                  3337,,                  2083,                 -2083,,                     10,                     10,                  1244,                197008,,                 36033,                160975,                160975,,,,,,,                 -4086,                 -4086,                 -4086,                156889,,,                              1.69,,,                              1.69
