證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 股利收入,　　　 外幣兌換利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資損失,　　　 處分不動產、廠房及設備利益
1517,2015年第3季,,,,                849186,                849186,,                  1295,                850481,,,                733555,,                    780,                734335,                116146,                116146,,,                 31327,,                 47026,,                 16270,                 94623,                 21523,,,,                  9827,                 26324,                 36151,,                  2287,                  1325,                  4183,                -24102,                   -850,                 21731,                 57882,                 79405,,                 14346,                 65059,                 65059,,,                 85842,                -51766,                 34076,                 34076,                 99135,,                 63566,                  1493,,                 98576,                    559,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,,,
1517,2015年第2季,,,,                898453,                898453,,                  7534,                905987,,,                769918,,                  4216,                774134,                131853,                131853,,,                 26405,,                 52344,,                 14457,                 93206,                 38647,,,,                 10242,                 22917,                 33159,,                 11153,                  1184,,                 -6274,                     39,                 16204,                 49363,                 88010,,                 24394,                 63616,                 63616,,,                -25707,                  3956,                -21751,                -21751,                 41865,,                 54873,                  8743,,                 29207,                 12658,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,
1517,2015年01月01日至2015年09月30日,,,,              2633666,              2633666,,                  8829,              2642495,,,              2261196,,                  4996,              2266192,                376303,                376303,,,                 84136,,                141401,,                 42807,                268344,                107959,,,,                 29184,                 69153,                 98337,,                 15344,                  1339,                  6529,                 17951,                  6286,                -16761,                 81576,                189535,,                 50277,                139258,                139258,,,                 40326,                -40150,                    176,                    176,                139434,,                122075,                 17183,,                122845,                 16589,,                              0.54,                              0.54,,                              0.53,                              0.53,,,,,,,,
1517,2015年01月01日至2015年06月30日,,,,              1784480,              1784480,,                  7534,              1792014,,,              1527641,,                  4216,              1531857,                260157,                260157,,,                 52809,,                 94375,,                 26537,                173721,                 86436,,,,                 19357,                 42829,                 62186,,                 13057,                  2360,,                 42053,                  7136,                -38492,                 23694,                110130,,                 35931,                 74199,                 74199,,,                -45516,                 11616,                -33900,                -33900,                 40299,,                 58509,                 15690,,                 24269,                 16030,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,,,,
1517,2015年01月01日至2015年03月31日,,,,                886027,                886027,,                              0,                886027,,,                757723,,                              0,                757723,                128304,                128304,,,                 26404,,                 42031,,                 12080,                 80515,                 47789,,,,                  9115,                 19912,                 29027,,                  1904,                  1176,,                 48327,                  7097,                -54696,                -25669,                 22120,,                 11537,                 10583,                 10583,,,                -19809,                  7660,                -12149,                -12149,                 -1566,,                  3636,                  6947,,                 -4938,                  3372,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,
1517,2014年第3季,,,,                963450,                963450,,                  2288,                965738,,,                791905,,                  1550,                793455,                172283,                172283,,,                 10587,,                 59522,,                 18496,                 88605,                 83678,,,,                  9101,                 19764,                 28865,,                  5781,                    896,                    594,                 10956,                    600,                 -7265,                 21600,                105278,,                 22440,                 82838,                 82838,,,                 41246,                 -8965,                 32281,                 32281,                115119,,                 75985,                  6853,,                103599,                 11520,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,
1517,2014年第2季,,,,                939799,                939799,,                  6656,                946455,,,                797971,,                  2724,                800695,                145760,                145760,,,                 24234,,                 44343,,                 14118,                 82695,                 63065,,,,                 11923,                 19452,                 31375,,                  5579,                  2302,,                 11109,                      3,                 -7835,                 23540,                 86605,,                 39001,                 47604,                 47604,,,                -32172,                  2026,                -30146,                -30146,                 17458,,                 34395,                 13209,,                 10413,                  7045,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,,,
1517,2014年度,,,,              3846362,              3846362,,                 36460,              3882822,,,              3263969,,                 30651,              3294620,                588202,                588202,,,                101372,,                189356,,                 56637,                347365,                240837,,,,                 37900,                 78842,                118072,,                 15191,                  5139,                  4946,,,                  5751,                123823,                364660,,                 99503,                265157,                265157,,,,,,                 62591,                327748,,                231047,                 34110,,                282751,                 44997,,                              1.01,                              1.01,,                              1.01,                              1.01,                  1330,                    645,                 70394,                 -2728,                 -6114,                 -1039,,
1517,2014年01月01日至2014年09月30日,,,,              2804076,              2804076,,                 23418,              2827494,,,              2361104,,                  6434,              2367538,                459956,                459956,,,                 61710,,                145814,,                 47800,                255324,                204632,,,,                 29314,                 60103,                 89417,,                 12790,                  4911,                  1664,                 11884,                    579,                 -6248,                 83169,                287801,,                 84948,                202853,                202853,,,                  7999,                -16738,                 -8739,                 -8739,                194114,,                168580,                 34273,,                166284,                 27830,,                              0.74,                              0.74,,                              0.73,                              0.73,,,,,,,,
1517,2014年01月01日至2014年06月30日,,,,              1840626,              1840626,,                 21130,              1861756,,,              1569199,,                  4884,              1574083,                287673,                287673,,,                 51123,,                 86292,,                 29304,                166719,                120954,,,,                 20213,                 40318,                 60531,,                  7009,                  5064,,                    928,                    -21,                  1038,                 61569,                182523,,                 62508,                120015,                120015,,,                -33247,                 -7773,                -41020,                -41020,                 78995,,                 92595,                 27420,,                 62685,                 16310,,                              0.41,                              0.41,,                              0.40,                              0.40,,,,,,,,
