證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 其他綜合損益,　　 備供出售金融資產未實現評價損益
2491,2015年第3季,,                100540,,                 81318,                 19222,                 19222,,,                 14156,,                 24050,,                    260,                 38466,                -19244,,,                  6568,,                 -2538,,                  6226,                 -2196,                -21440,,                              0,                -21440,                -21440,                -21440,,                -13275,                 -8165,,                -13275,                 -8165,,                             -0.21,,,,,,,,,
2491,2015年第2季,,                109836,,                 88055,                 21781,                 21781,,,                 11110,,                 28328,,                     15,                 39453,                -17672,,,                  3259,,                 -3812,,                  6126,                 -6679,                -24351,,                              0,                -24351,                -24351,                -24351,,                -13774,                -10577,,                -13774,                -10577,,                             -0.21,,                109836,,,,,,,
2491,2015年01月01日至2015年09月30日,,                304447,,                245682,                 58765,                 58765,,,                 37539,,                 77015,,                    289,                114843,                -56078,,,                 12221,,                 -4815,,                 18461,                -11055,                -67133,,                              0,                -67133,                -67133,                -67133,,                -39149,                -27984,,                -39149,                -27984,,                             -0.61,,,,,,,,,
2491,2015年01月01日至2015年06月30日,,                203907,,                164364,                 39543,                 39543,,,                 23383,,                 52965,,                     29,                 76377,                -36834,,,                  5653,,                 -2277,,                 12235,                 -8859,                -45693,,                              0,                -45693,                -45693,                -45693,,                -25874,                -19819,,                -25874,                -19819,,                             -0.41,,                203907,,,,,,,
2491,2015年01月01日至2015年03月31日,,                 94071,,                 76309,                 17762,                 17762,,,                 12273,,                 24637,,                     14,                 36924,                -19162,,,                  2394,,                  1535,,                  6109,                 -2180,                -21342,,                              0,                -21342,                -21342,                -21342,,                -12100,                 -9242,,                -12100,                 -9242,,                             -0.19,,,,,,,,,
2491,2014年第3季,,                143592,,                133033,                 10559,                 10559,,,                 14631,,                 26946,,                     14,                 41591,                -31032,,,                  1341,,                 17287,,                  6321,                 12307,                -18725,,                    141,                -18866,                -18866,                -18866,,                 -4265,                -14601,,                 -4265,                -14601,,                             -0.07,,,,,,,,,
2491,2014年第2季,,                164718,,                148955,                 15763,                 15763,,,                 18429,,                 33171,,                     16,                 51616,                -35853,,,                 33702,,                152816,,                  6323,                180195,                144342,,                    -62,                144404,                144404,                144404,,                218406,                -74002,,                218406,                -74002,,                              3.47,,                164718,,,,,,,
2491,2014年度,,                640046,,                588409,                 51637,                 51637,,,                 17239,,                185049,,                     60,                202348,               -150711,,,                 39815,,                287918,,                 25971,                301762,                151051,,                    753,                150298,                150298,                154049,,                221493,                -71195,,                224819,                -70770,,                              3.52,,,,                              0,                  3751,                              0,                  3751,,
2491,2014年01月01日至2014年09月30日,,                491704,,                446572,                 45132,                 45132,,,                 52429,,                 90622,,                     45,                143096,                -97964,,,                 35709,,                317318,,                 19689,                333338,                235374,,                    775,                234599,                234599,                234599,,                265714,                -31115,,                265714,                -31115,,                              4.22,,,,,,,,,
2491,2014年01月01日至2014年06月30日,,                348112,,                313539,                 34573,                 34573,,,                 37797,,                 63677,,                     31,                101505,                -66932,,,                 34369,,                300030,,                 13368,                321031,                254099,,                    634,                253465,                253465,                253465,,                269979,                -16514,,                269979,                -16514,,                              4.29,,                348112,,,,,,,
2491,2014年01月01日至2014年03月31日,,                183394,,                164583,                 18811,                 18811,,,                 19368,,                 30506,,                     16,                 49890,                -31079,,,                    667,,                147215,,                  7046,                140836,                109757,,                    695,                109062,                109062,                109062,,                 51574,                 57488,,                 51574,                 57488,,                              0.82,,,,,,,,,
2491,2013年第3季,,                222453,,                209307,                 13146,                 13146,,,                 40410,,                 34454,,                  1385,                 76249,                -63103,,,                    111,,                 61174,,                  7939,                 53346,                 -9757,,                    -67,                 -9690,                 -9690,                 -9690,,                 -3832,                 -5858,,                 -3832,                 -5858,,                             -0.06,,,,                              0,,                              0,                              0,,
2491,2013年第2季,,                267909,,                248492,                 19417,                 19417,,,                 67425,,                 52961,,                  2939,                123325,               -103908,,,                    350,,                -93496,,                 10076,               -103222,               -207130,,                    158,               -207288,               -207288,               -207235,,               -119521,                -87767,,               -119515,                -87720,,                             -1.89,,                267909,,                     50,,,                     53,                      3,
2491,2013年度,,                945826,,                878732,                 67094,                 67094,,,                181606,,                174565,,                  7104,                363275,               -296181,,,                 11507,,                  5653,,                 33972,                -16812,               -312993,,                    225,               -313218,               -313218,               -304728,,               -132783,               -180435,,               -124426,               -180302,,                             -2.11,,,,                    -22,                  8509,                     -3,                  8490,,
2491,2013年07月01日至2013年09月30日,,                222453,,                209307,                 13146,                 13146,,,                 40410,,                 34454,,                  1385,                 76249,                -63103,,,                    111,,                 61174,,                  7939,                 53346,                 -9757,,                    -67,                 -9690,                 -9690,                 -9690,,                 -3832,                 -5858,,                 -3832,                 -5858,,                             -0.06,,,,                              0,,                              0,                              0,,                              0
2491,2013年04月01日至2013年06月30日,,                267909,,                248492,                 19417,                 19417,,,                 67425,,                 52961,,                  2939,                123325,               -103908,,,                    350,,                -93496,,                 10076,               -103222,               -207130,,                    158,               -207288,               -207288,               -207235,,               -119521,                -87767,,               -119515,                -87720,,                             -1.89,,                267909,,                     50,,,                     53,                      3,                              0
2491,2013年01月01日至2013年12月31日,,                945826,,                878732,                 67094,                 67094,,,                181606,,                174565,,                  7104,                363275,               -296181,,,                 11507,,                  5653,,                 33972,                -16812,               -312993,,                    225,               -313218,               -313218,               -304728,,               -132783,               -180435,,               -124426,               -180302,,                             -2.11,,,,                    -22,                  8509,                     -3,                  8490,,                              0
2491,2013年01月01日至2013年09月30日,,                731721,,                700434,                 31287,                 31287,,,                164567,,                140992,,                  7089,                312648,               -281361,,,                  1054,,                -34598,,                 26589,                -60133,               -341494,,                     92,               -341586,               -341586,               -341606,,               -178599,               -162987,,               -178599,               -163007,,                             -2.83,,,,                    -23,,                     -3,                    -20,,
2491,2013年01月01日至2013年06月30日,,                509268,,                491127,                 18141,                 18141,,,                124157,,                106538,,                  5704,                236399,               -218258,,,                    943,,                -95772,,                 18650,               -113479,               -331737,,                    159,               -331896,               -331896,               -331916,,               -174767,               -157129,,               -174767,               -157149,,                             -2.77,,                509268,,                    -23,,,                    -20,                      3,
2491,2013年01月01日至2013年03月31日,,                241359,,                242635,                 -1276,                 -1276,,,                 56732,,                 53577,,                  2765,                113074,               -114350,,,                    593,,                 -2276,,                  8574,                -10257,               -124607,,                      1,               -124608,               -124608,               -124681,,                -55246,                -69362,,                -55252,                -69429,,                             -0.88,,,,                    -73,,,                    -73,,
2491,2012年07月01日至2012年09月30日,,                267864,,                301087,                -33223,                -33223,,,                 16714,,                 53914,,                 11723,                 82351,               -115574,,,                    301,,                 -6429,,                 11618,                -17746,               -133320,,                 10825,               -144145,               -144145,               -143801,,                -56154,                -87991,,                -55983,                -87818,,                             -0.89,,,,                              0,,                              0,                    344,,                    344
2491,2012年04月01日至2012年06月30日,,                219663,,                274930,                -55267,                -55267,,,                 21455,,                 46861,,                 18589,                 86905,               -142172,,,                    423,,               -632291,,                 17758,               -649626,               -791798,,                 -3228,               -788570,               -788570,               -788571,,               -196856,               -591714,,               -196857,               -591714,,                             -1.64,,                219663,,                              0,,,                     -1,                              0,                     -1
2491,2012年01月01日至2012年12月31日,,                930666,,              1062497,               -131831,               -131831,,,                129926,,                208250,,                 53008,                391184,               -523015,,,                 14109,,               -941490,,                 55767,               -983148,             -1506163,,                -10278,             -1495885,             -1495885,             -1493397,,               -442897,             -1052988,,               -440752,             -1052645,,                             -7.03,,,,                    -55,                  2199,                              0,                  2488,,                    344
2491,2012年01月01日至2012年09月30日,,                695352,,                820964,               -125612,               -125612,,,                 61054,,                146896,,                 46998,                254948,               -380560,,,                  1460,,               -637120,,                 46916,               -682576,             -1063136,,                  6546,             -1069682,             -1069682,             -1069339,,               -315476,               -754206,,               -315306,               -754033,,                             -4.99,,,,                              0,,                              0,                    343,,                    343
