證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1201,2015年第3季,,              5851037,,              4138711,              1712326,              1712326,,,              1549469,,                263590,,                 48364,              1861423,               -149097,,,                 69622,,               -295613,,                 77448,,                  6333,               -297106,               -446203,,                -76015,               -370188,,               -433831,               -804019,,,                 95723,                   -900,                 -2384,                 97207,                 97207,               -706812,,               -581499,               -222520,,               -491113,               -215699,,                             -0.71,                             -0.44,                             -1.15,,,,
1201,2015年第2季,,              5500106,,              4071811,              1428295,              1428295,,,              1452941,,                322110,,                 52475,              1827526,               -399231,,,                 33140,,                 24643,,                 82476,,                   -886,                -25579,               -424810,,                -43124,               -381686,,                104961,               -276725,,,                -39397,                 -1559,                  1358,                -42314,                -42314,               -319039,,               -308397,                 31672,,               -347725,                 28686,,                             -0.72,                              0.11,                             -0.61,,,,
1201,2015年第1季,,              4742993,,              3481869,              1261124,              1261124,,,              1235638,,                268814,,                 62092,              1566544,               -305420,,,                 27582,,                 -9856,,                 76193,,                  1284,                -57183,               -362603,,                -45329,               -317274,,                -11978,               -329252,,,                -72042,                  6635,                  4669,                -70076,                -70076,               -399328,,               -293436,                -35816,,               -358480,                -40848,,                             -0.57,                             -0.01,                             -0.58,,,,
1201,2015年01月01日至2015年09月30日,,             15400616,,             11162417,              4238199,              4238199,,,              4127386,,                777496,,                138510,              5043392,               -805193,,,                129830,,               -263053,,                217072,,                  6730,               -343565,             -1148758,,               -164468,               -984290,,               -425706,             -1409996,,,                -15716,                  4176,                  3643,                -15183,                -15183,             -1425179,,             -1183332,               -226664,,             -1197318,               -227861,,                             -1.90,                             -0.44,                             -2.34,,,,
1201,2015年01月01日至2015年06月30日,,             10243099,,              7553680,              2689419,              2689419,,,              2688579,,                590924,,                114567,              3394070,               -704651,,,                 60722,,                 14787,,                158669,,                    398,                -82762,               -787413,,                -88453,               -698960,,                 92983,               -605977,,,               -111439,                  5076,                  6027,               -112390,               -112390,               -718367,,               -601833,                 -4144,,               -706205,                -12162,,                             -1.28,                              0.09,                             -1.19,,,,
1201,2014年第3季,,              7359122,,              5237892,              2121230,              2121230,,,              1551244,,                254560,,                 40702,              1846506,                274724,,,                 45462,,               -258872,,                 51965,,                  2001,               -263374,                 11350,,                 43946,                -32596,,                -58767,                -91363,,,                 84903,                    128,                              0,                 85031,                 85031,                 -6332,,                -58484,                -32879,,                 20070,                -26402,,                             -0.06,                             -0.06,                             -0.12,,,,
1201,2014年第2季,,              7384987,,              5164112,              2220875,              2220875,,,              1510286,,                282518,,                 66943,              1859747,                361128,,,                 55294,,                -60534,,                 64286,,                  2669,                -66857,                294271,,                156726,                137545,,                              0,                137545,,,                -45936,                    282,                              0,                -45654,                -45654,                 91891,,                173603,                -36058,,                132002,                -40111,,                              0.34,                              0.00,                              0.34,,,,
1201,2014年第1季,,              6611781,,              4551910,              2059871,              2059871,,,              1327881,,                268813,,                 68050,              1664744,                395127,,,                 28170,,                -42542,,                 63683,,                  3640,                -74415,                320712,,                 84384,                236328,,                              0,                236328,,,                -19206,                  4662,                              0,                -14544,                -14544,                221784,,                254496,                -18168,,                241425,                -19641,,                              0.50,                              0.00,                              0.50,,,,
1201,2014年度,,             26469174,,             18931673,              7537501,              7537501,,,              5723501,,              1100416,,                283160,              7107077,                430424,,,                177402,,               -533327,,                248982,,                  3808,               -601099,               -170675,,                147686,               -318361,,                -59561,               -377922,,,,,,,                 81064,               -296858,,               -244138,               -133784,,               -180185,               -116673,,                             -0.42,                             -0.06,                             -0.48,                247883,                  4377,               -159953,                 11243
1201,2014年01月01日至2014年09月30日,,             20702574,,             14421382,              6281192,              6281192,,,              4267783,,                721346,,                151817,              5140946,              1140246,,,                121578,,               -359135,,                157449,,                  8310,               -386696,                753550,,                285056,                468494,,               -185984,                282510,,,                 19761,                  5072,                              0,                 24833,                 24833,                307343,,                369615,                -87105,,                393497,                -86154,,                              0.93,                             -0.20,                              0.73,,,,
1201,2014年01月01日至2014年06月30日,,             13996768,,              9716022,              4280746,              4280746,,,              2838167,,                551331,,                134993,              3524491,                756255,,,                 83464,,               -103076,,                127969,,                  6309,               -141272,                614983,,                241110,                373873,,                              0,                373873,,,                -65142,                  4944,                              0,                -60198,                -60198,                313675,,                428099,                -54226,,                373427,                -59752,,                              0.85,                              0.00,                              0.85,,,,
1201,2014年01月01日至2014年03月31日,,              6611781,,              4551910,              2059871,              2059871,,,              1325988,,                268813,,                 68050,              1662851,                397020,,,                 28170,,                -42542,,                 63683,,                  3640,                -74415,                322605,,                 84384,                238221,,,                238221,,,,,,,                -14544,                223677,,                256386,                -18165,,                243315,                -19638,,                              0.51,,                              0.51,                -19206,                  4662,,
1201,2013年第3季,,              8261655,,              5565045,              2696610,              2696610,,,              2021824,,                216846,,                 58222,              2296892,                399718,,,                 57869,,                -37895,,                 62377,,                  3244,                -39159,                360559,,                113448,                247111,,,                247111,,,,,,,                -48474,                198637,,                281954,                -34843,,                236893,                -38256,,                              0.56,,                              0.56,                -49016,                    915,,                    373
1201,2013年第2季,,              7577631,,              5166785,              2410846,              2410846,,,              1739379,,                260047,,                 63817,              2063243,                347603,,,                 32524,,                 41153,,                 59800,,                  6127,                 20004,                367607,,                157936,                209671,,,                209671,,,,,,,                 82506,                292177,,                256911,                -47240,,                324922,                -32745,,                              0.51,,                              0.51,                 82373,                    133,,
1201,2013年度,,             29200402,,             19976484,              9223918,              9223918,,,              6618369,,              1068657,,                239724,              7926750,              1297168,,,                244348,,               -210605,,                241190,,                 16891,               -190556,              1106612,,                402662,                703950,,                              0,                703950,,,,,,,                123608,                827558,,                872887,               -168937,,                972832,               -145274,,                              1.72,                              0.00,                              1.72,                219379,                  2525,                -86539,                 11757
1201,2013年07月01日至2013年09月30日,,              8261655,,              5565045,              2696610,              2696610,,,              2021824,,                216846,,                 58222,              2296892,                399718,,,                 57869,,                -37895,,                 62377,,                  3244,                -39159,                360559,,                113448,                247111,,,                247111,,,,,,,                -48474,                198637,,                281954,                -34843,,                236893,                -38256,,                              0.56,,                              0.56,                -49016,                    915,,                    373
1201,2013年04月01日至2013年06月30日,,              7577631,,              5166785,              2410846,              2410846,,,              1739379,,                260047,,                 63817,              2063243,                347603,,,                 45481,,                 28196,,                 59800,,                  6127,                 20004,                367607,,                157936,                209671,,,                209671,,,,,,,                 82506,                292177,,                256911,                -47240,,                324922,                -32745,,                              0.51,,                              0.51,                 82373,                    133,,
1201,2013年01月01日至2013年12月31日,,             29200402,,             19976484,              9223918,              9223918,,,              6618369,,              1068657,,                239724,              7926750,              1297168,,,                244348,,               -210605,,                241190,,                 16891,               -190556,              1106612,,                402662,                703950,,,                703950,,,,,,,                123608,                827558,,                872887,               -168937,,                972832,               -145274,,                              1.72,,                              1.72,                219379,                  2525,                -86539,                 11757
