證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1504,2015年第3季,,             12247527,,              9158184,              3089343,                  2746,                              0,              3086597,,,              1026420,,                741489,,                356263,              2124172,                962425,,,                364077,,                 24250,,                 56025,,                 80576,                412878,              1375303,,                338327,              1036976,              1036976,,,                741653,             -2468113,,                  1406,                 69875,             -1794929,             -1794929,               -757953,,                956442,                 80534,,               -790076,                 32123,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,
1504,2015年第2季,,             12159518,,              9090698,              3068820,                  1765,                              0,              3067055,,,              1104996,,                713420,,                345767,              2164183,                902872,,,                401031,,                -25533,,                 46475,,                 48531,                377554,              1280426,,                287378,                993048,                993048,,,               -232073,                  9150,,                -11902,                -16836,               -217989,               -217989,                775059,,                912961,                 80087,,                715515,                 59544,,                              0.46,                              0.46,,                              0.46,                              0.46,,,,,,
1504,2015年01月01日至2015年09月30日,,             36123359,,             26914177,              9209182,                  8734,                 10265,              9210713,,,              3085815,,              2204952,,              1067966,              6358733,              2851980,,,                947610,,                -60623,,                150209,,                175918,                912696,              3764676,,                913089,              2851587,              2851587,,,                -88110,             -3354449,,                -11448,                -16822,             -3437185,             -3437185,               -585598,,              2606509,                245078,,               -695962,                110364,,                              1.32,                              1.32,,                              1.31,                              1.31,,,,,,
1504,2015年01月01日至2015年06月30日,,             23875832,,             17755993,              6119839,                  5988,                 10265,              6124116,,,              2059395,,              1463463,,                711703,              4234561,              1889555,,,                583533,,                -84873,,                 94184,,                 95342,                499818,              2389373,,                574762,              1814611,              1814611,,,               -829763,               -886336,,                -12854,                -86697,             -1642256,             -1642256,                172355,,              1650067,                164544,,                 94114,                 78241,,                              0.83,                              0.83,,                              0.83,                              0.83,,,,,,
1504,2015年01月01日至2015年03月31日,,             11716314,,              8665295,              3051019,                  4223,                 10265,              3057061,,,                954399,,                750043,,                365936,              2070378,                986683,,,                182502,,                -59340,,                 47709,,                 46811,                122264,              1108947,,                287384,                821563,                821563,,,               -597690,               -895486,,                   -952,                -69861,             -1424267,             -1424267,               -602704,,                737106,                 84457,,               -621401,                 18697,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,,,
1504,2014年第3季,,             13430820,,             10031909,              3398911,                    523,                              0,              3398388,,,              1106735,,                784687,,                415780,              2307202,              1091186,,,                415225,,               -128691,,                 57504,,                 99313,                328343,              1419529,,                293360,              1126169,              1126169,,,                202425,               -283651,,                 -7643,                 14452,               -103321,               -103321,              1022848,,              1034208,                 91961,,                889993,                132855,,                              0.53,                              0.53,,                              0.52,                              0.52,,,,,,
1504,2014年第2季,,             14215523,,             10622297,              3593226,                   -863,                              0,              3594089,,,              1123679,,                714957,,                396913,              2235549,              1358540,,,                239230,,                416819,,                 57741,,                 46953,                645261,              2003801,,                435920,              1567881,              1567881,,,               -279731,              1259502,,                  3505,                -24621,              1007897,              1007897,              2575778,,              1470149,                 97732,,              2465088,                110690,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,
1504,2014年度,,             53820604,,             40442637,             13377967,                 10265,                 10329,             13378031,,,              4325062,,              3052408,,              1603590,              8981060,              4396971,,,              1185176,,                141062,,                234712,,                215438,              1306964,              5703935,,              1297704,              4406231,              4406231,,,,,,,,,              4593197,              8999428,,              4066924,                339307,,              8456178,                543250,,                              2.06,                              2.06,,                              2.05,                              2.05,                753275,              3984367,                -75540,,                 -6350,                 62555
1504,2014年01月01日至2014年09月30日,,             41170970,,             30887771,             10283199,                  9459,                 10330,             10284070,,,              3241331,,              2225177,,              1179667,              6646175,              3637895,,,                766311,,                293607,,                175843,,                224999,              1109074,              4746969,,              1101775,              3645194,              3645194,,,                209682,              2019940,,                 -4576,                 18621,              2206425,              2206425,              5851619,,              3365612,                279582,,              5430247,                421372,,                              1.71,                              1.71,,                              1.70,                              1.70,,,,,,
1504,2014年01月01日至2014年06月30日,,             27740150,,             20855862,              6884288,                  8936,                 10330,              6885682,,,              2134596,,              1440490,,                763887,              4338973,              2546709,,,                351086,,                422298,,                118339,,                125686,                780731,              3327440,,                808415,              2519025,              2519025,,,                  7257,              2303591,,                  3067,                  4169,              2309746,              2309746,              4828771,,              2331404,                187621,,              4540254,                288517,,                              1.18,                              1.18,,                              1.18,                              1.18,,,,,,
