證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
1805,2014年01月01日至2014年03月31日,,,,                 36218,                  1281,                    376,                 34561,,                649567,                684128,,,                 31276,,                552463,                583739,                100389,                100389,,,                 32399,,                 18245,,                    518,                 51162,                 49227,,,                  1043,,                    -21,,                  1371,                   -349,                 48878,,                              0,                 48878,                 48878,                 48878,,                 48878,,                 48878,,                              0.61,,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,
1805,2013年第3季,,,,                 37957,                    793,                    391,                 36773,,                              0,                 36773,,,                 25530,,                              0,                 25530,                 11243,                 11243,,,                  8197,,                 15263,,                    460,                 23920,                -12677,,,                  1395,,                   -235,,                    -16,                  1176,                -11501,,                    145,                -11646,                -11646,                -11646,,                -11646,,                -11646,,                             -0.15,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,                              0,
1805,2013年第2季,,,,                 65893,                  1039,                    127,                 64727,,                              0,                 64727,,,                 50636,,                              0,                 50636,                 14091,                 14091,,,                  8295,,                 13945,,                    890,                 23130,                 -9039,,,                    915,,                  2066,,                    160,                  2821,                 -6218,,                    835,                 -7053,                 -7053,                 -7053,,                 -7053,,                 -7053,,                             -0.09,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,                              0,
1805,2013年度,,,,                184352,                  2459,                  1594,                180299,,              2291998,              2472297,,,                135774,,              1950217,              2085991,                386306,                386306,,,                119092,,                 76211,,                  2138,                197441,                188865,,,                 18891,,                  1027,,                  1294,                 18624,                207489,,                     16,                207473,                207473,                207473,,                207473,,                207473,,                              2.66,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2013年07月01日至2013年09月30日,,,,                 37957,                    793,                    391,                 36773,,,                 36773,,,                 25530,,,                 25530,                 11243,                 11243,,,                  8197,,                 15263,,                    460,                 23920,                -12677,,,                  1395,,                   -235,,                    -16,                  1176,                -11501,,                    145,                -11646,                -11646,                -11646,,                -11646,,                -11646,,                             -0.15,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2013年04月01日至2013年06月30日,,,,                 65893,                  1039,                    127,                 64727,,,                 64727,,,                 50636,,,                 50636,                 14091,                 14091,,,                  8295,,                 13945,,                    890,                 23130,                 -9039,,,                    915,,                  2066,,                    160,                  2821,                 -6218,,                    835,                 -7053,                 -7053,                 -7053,,                 -7053,,                 -7053,,                             -0.09,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2013年01月01日至2013年12月31日,,,,                184352,                  2459,                  1594,                180299,,              2291998,              2472297,,,                135774,,              1950217,              2085991,                386306,                386306,,,                119092,,                 76211,,                  2138,                197441,                188865,,,                 18891,,                  1027,,                  1294,                 18624,                207489,,                     16,                207473,                207473,                207473,,                207473,,                207473,,                              2.66,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2013年01月01日至2013年09月30日,,,,                141262,                  1959,                  1072,                138231,,                              0,                138231,,,                102188,,                              0,                102188,                 36043,                 36043,,,                 23290,,                 47490,,                  1697,                 72477,                -36434,,,                  3278,,                    579,,                  1049,                  2808,                -33626,,                  1131,                -34757,                -34757,                -34757,,                -34757,,                -34757,,                             -0.45,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,                              0,
1805,2013年01月01日至2013年06月30日,,,,                103305,                  1166,                    681,                101458,,                              0,                101458,,,                 76658,,                              0,                 76658,                 24800,                 24800,,,                 15093,,                 32227,,                  1237,                 48557,                -23757,,,                  1883,,                    814,,                  1065,                  1632,                -22125,,                    986,                -23111,                -23111,                -23111,,                -23111,,                -23111,,                             -0.31,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,,,                              0,
1805,2013年01月01日至2013年03月31日,,,,                 37412,                    127,                    554,                 36731,,                              0,                 36731,,,                 26022,,                              0,                 26022,                 10709,                 10709,,,                  6798,,                 18282,,                    347,                 25427,                -14718,,,                    968,,                 -1252,,                    905,                 -1189,                -15907,,                    151,                -16058,                -16058,                -16058,,                -16058,,                -16058,,                             -0.23,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2012年07月01日至2012年09月30日,,,,                 53274,                    649,                    593,                 52032,,,                 52032,,,                 35830,,,                 35830,                 16202,                 16202,,,                  9603,,                 12867,,                    430,                 22900,                 -6698,,,                  1247,,                   -889,,                  1766,                 -1408,                 -8106,,                              0,                 -8106,                 -8106,                 -8106,,                 -8106,,                 -8106,,                             -0.16,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2012年04月01日至2012年06月30日,,,,                 41710,                    304,                    672,                 40734,,,                 40734,,,                 38544,,,                 38544,                  2190,                  2190,,,                  9021,,                 13361,,                    434,                 22816,                -20626,,,                  8143,,                    620,,                    669,                  8094,                -12532,,                     31,                -12563,                -12563,                -12563,,                -12563,,                -12563,,                             -0.25,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2012年01月01日至2012年12月31日,,,,                200760,                  8084,                  1847,                190829,,                              0,                190829,,,                144883,,                              0,                144883,                 45946,                 45946,,,                 38720,,                 68428,,                  1546,                108694,                -62748,,,                 13196,,                    617,,                  3054,                 10759,                -51989,,                     94,                -52083,                -52083,                -52083,,                -52083,,                -52083,,                             -1.04,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2012年01月01日至2012年09月30日,,,,                133434,                  6943,                  1404,                125087,,,                125087,,,                100760,,,                100760,                 24327,                 24327,,,                 29631,,                 40315,,                  1201,                 71147,                -46820,,,                  9906,,                   -269,,                  2558,                  7079,                -39741,,                     31,                -39772,                -39772,                -39772,,                -39772,,                -39772,,                             -0.79,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2012年01月01日至2012年06月30日,,,,                 80160,                  6294,                    811,                 73055,,,                 73055,,,                 64930,,,                 64930,                  8125,                  8125,,,                 20028,,                 27448,,                    771,                 48247,                -40122,,,                  8659,,                    620,,                    792,                  8487,                -31635,,                     31,                -31666,                -31666,                -31666,,                -31666,,                -31666,,                             -0.63,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
1805,2012年01月01日至2012年03月31日,,,,                 38450,                  5990,                    139,                 32321,,,                 32321,,,                 26386,,,                 26386,                  5935,                  5935,,,                 11007,,                 14087,,                    337,                 25431,                -19496,,,                    516,,                              0,,                    123,                    393,                -19103,,                              0,                -19103,                -19103,                -19103,,                -19103,,                -19103,,                             -0.38,,,,,,,,                              0,,,,,,,,,,,,,,,,,,,                              0,                              0,                              0,                              0
