證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
5515,2015年第3季,,              1310848,,              1213506,                 97342,                 97342,,,                  6584,,                 94509,                101093,                 -3751,,,                 41218,,                -99271,,                  7090,,                    -65,                -65208,                -68959,,                 -6651,                -62308,                -62308,,,                207536,                -68215,                 35281,                104040,                104040,                 41732,,                -62471,                    163,,                 41569,                    163,,                             -0.18,,                             -0.18,,,,,,,
5515,2015年第2季,,              1221585,,              1145095,                 76490,                 76490,,,                  5014,,                 88694,                 93708,                -17218,,,                 20004,,                 35917,,                  7146,,                    -83,                 48692,                 31474,,                 -1946,                 33420,                 33420,,,                -64054,                -97094,                -10889,               -150259,               -150259,               -116839,,                 33758,                   -338,,               -116501,                   -338,,                              0.10,,                              0.09,                              0.10,                              0.09,,,,,
5515,2015年01月01日至2015年09月30日,,              3642219,,              3423698,                218521,                218521,,,                 16675,,                240460,                257135,                -38614,,,                 76330,,                -99470,,                 23289,,                   -234,                -46663,                -85277,,                -15405,                -69872,                -69872,,,                 62658,               -159301,                 10652,               -107295,               -107295,               -177167,,                -69196,                   -676,,               -176491,                   -676,,                             -0.20,,                             -0.20,,,,,,,
5515,2015年01月01日至2015年06月30日,,              2331371,,              2210192,                121179,                121179,,,                 10091,,                145951,                156042,                -34863,,,                 35112,,                   -199,,                 16199,,                   -169,                 18545,                -16318,,                 -8754,                 -7564,                 -7564,,,               -144878,                -91086,                -24629,               -211335,               -211335,               -218899,,                 -6725,                   -839,,               -218060,                   -839,,                             -0.02,,                              0.00,                             -0.02,                              0.00,,,,,
5515,2015年01月01日至2015年03月31日,,              1109786,,              1065097,                 44689,                 44689,,,                  5077,,                 57257,                 62334,                -17645,,,                 15108,,                -36116,,                  9053,,                    -86,                -30147,                -47792,,                 -6808,                -40984,                -40984,,,                -80824,                  6008,                -13740,                -61076,                -61076,               -102060,,                -40483,                   -501,,               -101559,                   -501,,                             -0.11,,                             -0.11,                             -0.11,                             -0.11,,,,,
5515,2014年第3季,,              1905056,,              1676840,                228216,                228216,,,                 12846,,                 92911,                105757,                122459,,,                 53652,,                -14533,,                 12477,,                   -166,                 26476,                148935,,                 83671,                 65264,                 65264,,,                103740,                 -4392,                 17636,                 81712,                 81712,                146976,,                 64259,                  1005,,                145383,                  1593,,                              0.18,,                              0.18,,,,,,,
5515,2014年第2季,,              1964575,,              1728939,                235636,                235636,,,                 10699,,                102606,                113305,                122331,,,                 29836,,                 36951,,                  6753,,                   -250,                 59784,                182115,,                 29938,                152177,                152177,,,               -110769,                -62578,                -18769,               -154578,               -154578,                 -2401,,                150438,                  1739,,                 -3541,                  1140,,                              0.42,,                              0.42,                              0.42,                              0.42,,,,,
5515,2014年度,,              7002614,,              6222646,                779968,                779968,,,                 46743,,                408029,                454772,                325196,,,                133230,,                -80285,,                 27928,,                 -1042,                 23975,                349171,,                156098,                193073,                193073,,,,,,,                195367,                388440,,                189476,                  3597,,                383047,                  5393,,                              0.53,,                              0.53,                              0.53,                              0.53,                332171,                -80691,                     62,                -56175,
5515,2014年01月01日至2014年09月30日,,              5191679,,              4663295,                528384,                528384,,,                 40810,,                282948,                323758,                204626,,,                112761,,                  8540,,                 26324,,                   -592,                 94385,                299011,,                112176,                186835,                186835,,,                 78216,                -56133,                 13297,                  8786,                  8786,                195621,,                182852,                  3983,,                191288,                  4333,,                              0.51,,                              0.51,,,,,,,
5515,2014年01月01日至2014年06月30日,,              3286623,,              2986455,                300168,                300168,,,                 27964,,                190037,                218001,                 82167,,,                 59109,,                 23073,,                 13847,,                   -426,                 67909,                150076,,                 28505,                121571,                121571,,,                -25524,                -51741,                 -4339,                -72926,                -72926,                 48645,,                118593,                  2978,,                 45905,                  2740,,                              0.33,,                              0.33,                              0.33,                              0.33,,,,,
