證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3003,2015年第3季,,                725169,,                487799,                237370,                237370,,,                 58233,,                 41097,,                 20084,                119414,                117956,,,                 11537,,                 49815,,                  3505,,                  1122,                 58969,                176925,,                 39618,                137307,                137307,,,                 44698,                   -281,,                  1167,                  7808,                 37776,                 37776,                175083,,                137238,                     69,,                175078,                      5,,                              0.88,,                              0.88,,,,
3003,2015年第2季,,                804976,,                553546,                251430,                251430,,,                 59944,,                 38382,,                 15593,                113919,                137511,,,                 10775,,                -14171,,                  2497,,                    549,                 -5344,                132167,,                 48988,                 83179,                 83179,,,                -15038,                   -467,,                   -391,                 -2565,                -13331,                -13331,                 69848,,                 82422,                    757,,                 69431,                    417,,                              0.54,,                              0.53,,,,
3003,2015年01月01日至2015年09月30日,,              2232640,,              1533834,                698806,                698806,,,                173514,,                116468,,                 54891,                344873,                353933,,,                 30428,,                 22586,,                  8698,,                  2924,                 47240,                401173,,                 95125,                306048,                306048,,,                 18560,                   -776,,                    546,                  3324,                 15006,                 15006,                321054,,                304804,                  1244,,                320256,                    798,,                              1.98,,                              1.96,,,,
3003,2015年01月01日至2015年06月30日,,              1507471,,              1046035,                461436,                461436,,,                115281,,                 75371,,                 34807,                225459,                235977,,,                 18891,,                -27229,,                  5193,,                  1802,                -11729,                224248,,                 55507,                168741,                168741,,,                -26138,                   -495,,                   -621,                 -4484,                -22770,                -22770,                145971,,                167566,                  1175,,                145178,                    793,,                              1.09,,                              1.08,,,,
3003,2015年01月01日至2015年03月31日,,                702495,,                492489,                210006,                210006,,,                 55337,,                 36989,,                 19214,                111540,                 98466,,,                  8116,,                -13058,,                  2696,,                  1253,                 -6385,                 92081,,                  6519,                 85562,                 85562,,,                -11100,                    -28,,                   -230,                 -1919,                 -9439,                 -9439,                 76123,,                 85144,                    418,,                 75747,                    376,,                              0.56,,                              0.55,,,,
3003,2014年第3季,,                729568,,                514738,                214830,                214830,,,                 53999,,                 38480,,                 19340,                111819,                103011,,,                  9054,,                  7905,,                  2870,,                  1925,                 16014,                119025,,                 24924,                 94101,                 94101,,,                 20827,                   -616,,                    515,                  3631,                 17095,                 17095,                111196,,                 93263,                    838,,                110371,                    825,,                              0.61,,                              0.59,,,,
3003,2014年第2季,,                865646,,                614660,                250986,                250986,,,                 53171,,                 38824,,                 12145,                104140,                146846,,,                  6856,,                -12572,,                  3043,,                     19,                 -8740,                138106,,                 43100,                 95006,                 95006,,,                -15470,                   -150,,                   -354,                 -2665,                -13309,                -13309,                 81697,,                 94456,                    550,,                 81294,                    403,,                              0.62,,                              0.60,,,,
3003,2014年度,,              3057172,,              2157364,                899808,                899808,,,                215078,,                152419,,                 69495,                436992,                462816,,,                 35707,,                 47995,,                 12471,,                  3788,                 75019,                537835,,                146177,                391658,                391658,,,,,,,,,                 25534,                417192,,                388320,                  3338,,                413564,                  3628,,                              2.59,,                              2.51,                 33112,                   -496,                 -1810,                  5272
3003,2014年01月01日至2014年09月30日,,              2324436,,              1646398,                678038,                678038,,,                158217,,                109893,,                 48014,                316124,                361914,,,                 24924,,                 15265,,                  9751,,                  1594,                 32032,                393946,,                 95731,                298215,                298215,,,                  3207,                   -241,,                     96,                    560,                  2502,                  2502,                300717,,                296013,                  2202,,                298505,                  2212,,                              1.98,,                              1.91,,,,
3003,2014年01月01日至2014年06月30日,,              1594868,,              1131660,                463208,                463208,,,                104218,,                 77473,,                 22614,                204305,                258903,,,                 15870,,                  7360,,                  6881,,                   -331,                 16018,                274921,,                 70807,                204114,                204114,,,                -17620,                    375,,                   -419,                 -3071,                -14593,                -14593,                189521,,                202750,                  1364,,                188134,                  1387,,                              1.37,,                              1.31,,,,
