證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 銷貨退回,　　　 廉價購買利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
3019,2014年01月01日至2014年03月31日,,,,              4195992,              4147379,              4147379,,              3683909,                463470,                463470,,,                 67883,,                334461,,                203566,                605910,               -142440,,,,                 17967,                  7462,                  7528,                 32957,,                 44010,                  1625,,                    758,                 41627,,                 21367,                 21367,,                              0,                  8280,                 61497,                -80943,,                 29757,               -110700,               -110700,,,                264663,                              0,                264663,                264663,                153963,,               -166838,                 56138,,                 23427,                130536,,                             -0.59,,                             -0.59,                  8280,                 48613,,,,,,,
3019,2013年第3季,,,,              5151927,              5065899,              5065899,,              4375277,                690622,                690622,,,                 63621,,                277519,,                222282,                563422,                127200,,,,                  4652,                  5786,                  8536,                 18974,,                              0,                 19147,                 16973,                              0,                -35426,,                 18593,                 18593,,                              0,                 27354,                 -7691,                119509,,                 29829,                 89680,                 89680,,,,,,               -115567,                -25887,,                 60033,                 29647,,                -55499,                 29612,,                              0.21,,                              0.21,                 27354,                 86028,                              0,                    694,               -115567,                              0,,,
3019,2013年第2季,,,,              4343945,              4204827,              4204827,,              3708684,                496143,                496143,,,                 81489,,                215436,,                246529,                543454,                -47311,,,,                  4969,                  2000,                 63947,                 70916,,                 24074,                  1062,,                              0,                 31076,,                 20800,                 20800,,,                  2648,                 83840,                 36529,,                 33482,                  3047,                  3047,,,,,,                150611,                153658,,                 10438,                 -7391,,                123632,                 30026,,                              0.04,,                              0.04,                  2648,                139118,                              0,                  8064,                150611,                              0,,,
3019,2013年度,,,,             18670486,             17954790,             17954790,,             15780280,              2174510,              2174510,,,                296740,,              1160850,,                886687,              2344277,               -169767,,,,                 22879,                 13170,                106742,                551249,,                              0,              1031012,                    811,                              0,             -1025523,,                 75168,                 75168,,                              0,                  5194,               -544248,               -714015,,                111227,               -825242,               -825242,,,,,,                630763,               -194479,,               -857271,                 32029,,               -396238,                201759,,                             -3.05,,                             -3.05,                  5194,                715696,                408458,                  6300,                488345,                148241,                 -5823,,
3019,2013年07月01日至2013年09月30日,,,,              5151927,              5065899,              5065899,,              4375277,                690622,                690622,,,                 63621,,                277519,,                222282,                563422,                127200,,,,                  4652,,                 14322,                 18974,,                              0,                 19147,                 16973,                              0,                -35426,,                 18593,                 18593,,,                 27354,                 -7691,                119509,,                 29829,                 89680,                 89680,,,,,,               -115567,                -25887,,                 60033,                 29647,,                -55499,                 29612,,                              0.21,,                              0.21,,                 86028,                              0,                    694,               -115567,                              0,,,
3019,2013年04月01日至2013年06月30日,,,,              4343945,              4204827,              4204827,,              3708684,                496143,                496143,,,                 81489,,                215436,,                246529,                543454,                -47311,,,,                  4969,                  2000,                 63947,                 70916,,                 24074,                  1062,,                              0,                 31076,,                 20800,                 20800,,,                  2648,                 83840,                 36529,,                 33482,                  3047,                  3047,,,,,,                150611,                153658,,                 10438,                 -7391,,                123632,                 30026,,                              0.04,,                              0.04,,                139118,                              0,                  8064,                150611,                              0,,,
3019,2013年01月01日至2013年12月31日,,,,             18670486,             17954790,             17954790,,             15780280,              2174510,              2174510,,,                296740,,              1160850,,                886687,              2344277,               -169767,,,,                 22879,                 13170,                106742,                551249,,,              1031012,                    811,,             -1025523,,                 75168,                 75168,,,                  5194,               -544248,               -714015,,                111227,               -825242,               -825242,,,,,,                630763,               -194479,,               -857271,                 32029,,               -396238,                201759,,                             -3.05,,                             -3.05,,                715696,                408458,                  6300,                488345,                148241,                 -5823,,
3019,2013年01月01日至2013年09月30日,,,,             13222417,             12868798,             12868798,,             11425379,              1443419,              1443419,,,                215681,,                757806,,                645457,              1618944,               -175525,,,,                 15498,                 15189,                 78935,                518706,,                  3330,                 25606,                              0,                              0,                -15119,,                 58609,                 58609,,                              0,                 29645,                474623,                299098,,                 82393,                216705,                216705,,,,,,                299875,                516580,,                227835,                -11130,,                469556,                 47024,,                              0.81,,                              0.79,                 29645,                353619,                409084,                  7157,                299875,                              0,,,
3019,2013年01月01日至2013年06月30日,,,,              8070490,              7802899,              7802899,,              7050102,                752797,                752797,,,                152060,,                480287,,                423175,              1055522,               -302725,,,,                 10846,                  9403,                 70562,                498962,,                 21236,                  6622,,                              0,                 21077,,                 40016,                 40016,,,                  2291,                482314,                179589,,                 52564,                127025,                127025,,,,,,                415442,                542467,,                167802,                -40777,,                525055,                 17412,,                              0.60,,                              0.58,                  2291,                267591,                408151,                  6463,                415442,                              0,,,
3019,2013年01月01日至2013年03月31日,,,,              3726545,              3598072,              3598072,,              3354266,                243806,                243806,,,                 70571,,                264851,,                176646,                512068,               -268262,,,,                  5877,                 20252,                  6615,                438347,,                              0,                  5560,                    290,                  1601,                 -7451,,                 19216,                 19216,,                    357,                   -357,                411323,                143061,,                 19082,                123979,                123979,,,,,,                264831,                388810,,                157365,                -33386,,                401424,                -12614,,                              0.56,,                              0.56,                              0,                128473,                405603,,                264831,,,,
3019,2012年07月01日至2012年09月30日,,,,              5701091,              5516674,              5516674,,              4764787,                751887,                751887,,,                102349,,                253741,,                228652,                584742,                167145,,,,                  5166,,                  8078,                 13244,,                              0,                 13077,                  3395,                  1958,                -18430,,                 25112,                 25112,,,                    511,                -29787,                137358,,                 26330,                111028,                111028,,,,,,               -200979,                -89951,,                120136,                 -9108,,                -68755,                -21196,,                              0.43,,                              0.43,,                184417,                              0,                              0,               -195882,                 -5097,,,
3019,2012年04月01日至2012年06月30日,,,,              5265876,              5234854,              5234854,,              4712236,                522618,                522618,,,                 78647,,                402198,,                256817,                737662,               -215044,,,,                  7937,                 17258,                 27182,                 52377,,                 21396,                 15630,,                              0,                  7572,,                 19220,                 19220,,,                  1232,                 41961,               -173083,,                -51731,               -121352,               -121352,,,,,,                113100,                 -8252,,               -120194,                 -1158,,                -11646,                  3394,,                             -0.43,,                             -0.43,,                 31022,                              0,                  1806,                122329,                 -9229,,,
3019,2012年01月01日至2012年12月31日,,,,             21083398,             20668928,             20668928,,             18395192,              2273736,              2273736,,,                334295,,              1247750,,                964105,              2546150,               -272414,,,,                 26695,                 69986,                 88711,                185392,,,                 33282,                 34225,,                -66990,,                 86665,                 86665,,,                  2668,                 34405,               -238009,,                 53791,               -291800,               -291800,,,,,,               -470577,               -762377,,               -219872,                -71928,,               -642040,               -120337,,                             -0.78,,                             -0.78,,                414470,                              0,                    517,               -465529,                 14386,                -19434,,
3019,2012年01月01日至2012年09月30日,,,,             16050657,             15728407,             15728407,,             13969212,              1759195,              1759195,,,                286591,,                894450,,                773672,              1954713,               -195518,,,,                 20545,,                 79027,                 99572,,                              0,                 33300,                  3596,                  2190,                -39086,,                 66745,                 66745,,,                  2076,                 -4183,               -199701,,                 65891,               -265592,               -265592,,,,,,               -383090,               -648682,,               -226094,                -39498,,               -565517,                -83165,,                             -0.80,,                             -0.80,,                322250,                              0,                              0,               -400348,                 17258,,,
3019,2012年01月01日至2012年06月30日,,,,             10349566,             10211733,             10211733,,              9204425,              1007308,              1007308,,,                184242,,                640709,,                545020,              1369971,               -362663,,,,                 15379,                 28526,                 42423,                 86328,,                              0,                 20424,,                    232,                -20656,,                 41633,                 41633,,,                  1565,                 25604,               -337059,,                 39561,               -376620,               -376620,,,,,,               -182111,               -558731,,               -346230,                -30390,,               -496762,                -61969,,                             -1.23,,                             -1.23,,                137833,                              0,                              0,               -204466,                 22355,,,
3019,2012年01月01日至2012年03月31日,,,,              5083690,              4976879,              4976879,,              4498304,                478575,                478575,,,                105595,,                238511,,                288203,                632309,               -153734,,,,                  7442,                 17383,                 15241,                 40066,,,                  4593,                 21597,,                -28228,,                 22413,                 22413,,,                    333,                -10242,               -163976,,                 91292,               -255268,               -255268,,,,,,               -295211,               -550479,,               -226036,                -29232,,               -485116,                -65363,,                             -0.80,,                             -0.80,,                106811,                              0,                 -2038,               -326795,                 31584,,,                              0
