證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　　 銷貨退回,　　　 銷貨折讓,　　 其他營業收入,　　　 其他營業收入淨額
1528,2015年第3季,,,                688200,                688200,,,                478131,                478131,                210069,                210069,,,                178632,,                 37124,,                 19992,                235748,                -25679,,,                  5439,,                 27695,,                  5169,                 27965,                  2286,,                  1737,                    549,                    549,,,                 37241,                 -1362,                 35879,                 35879,                 36428,,                    829,                   -280,,                 36205,                    223,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,,,,,,
1528,2015年第2季,,,                922506,                922506,,,                659836,                659836,                262670,                262670,,,                197831,,                 39036,,                 18942,                255809,                  6861,,,                 16322,,                 -7475,,                  5608,                  3239,                 10100,,                  2136,                  7964,                  7964,,,                 -7254,                 -1192,                 -8446,                 -8446,                   -482,,                  8218,                   -254,,                    -43,                   -439,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,
1528,2015年01月01日至2015年09月30日,,,              2393386,              2393386,,,              1680839,              1680839,                712547,                712547,,,                524477,,                123593,,                 58000,                706070,                  6477,,,                 29074,,                 -5273,,                 17853,                  5948,                 12425,,                  3862,                  8563,                  8563,,,                  6931,                 -2189,                  4742,                  4742,                 13305,,                  9514,                   -951,,                 13908,                   -603,,                              0.06,                              0.06,,                              0.06,                              0.06,,,,,,,,,,,,,,,
1528,2015年01月01日至2015年06月30日,,,              1705186,              1705186,,,              1202708,              1202708,                502478,                502478,,,                345845,,                 86469,,                 38008,                470322,                 32156,,,                 23635,,                -32968,,                 12684,                -22017,                 10139,,                  2125,                  8014,                  8014,,,                -30310,                   -827,                -31137,                -31137,                -23123,,                  8685,                   -671,,                -22297,                   -826,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,
1528,2015年01月01日至2015年03月31日,,,                782680,                782680,,,                542872,                542872,                239808,                239808,,,                148014,,                 47433,,                 19066,                214513,                 25295,,,                  7313,,                -25493,,                  7076,                -25256,                     39,,                    -11,                     50,                     50,,,                -23056,                    365,                -22691,                -22691,                -22641,,                    467,                   -417,,                -22254,                   -387,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,,,,,,,,
1528,2014年第3季,,,                757476,                757476,,,                614867,                614867,                142609,                142609,,,                116574,,                 42885,,                 29010,                188469,                -45860,,,                  1590,,                 29551,,                  8636,                 22505,                -23355,,                  7653,                -31008,                -31008,,,                 15413,                   -141,                 15272,                 15272,                -15736,,                -30434,                   -574,,                -15162,                   -574,,                             -0.21,                             -0.21,,                             -0.21,                             -0.21,,,,,,,,,,,,,,,
1528,2014年第2季,,,                937906,                937906,,,                684448,                684448,                253458,                253458,,,                143878,,                 58038,,                 19781,                221697,                 31761,,,                  7932,,                -24214,,                  8445,                -24727,                  7034,,                    -54,                  7088,                  7088,,,                -12771,                  1443,                -11328,                -11328,                 -4240,,                  7343,                   -255,,                 -3985,                   -255,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,
1528,2014年度,,,,              3268623,,,,              2499581,                769042,                769042,,,                531475,,                177721,,                 90964,                800160,                -31118,,,                 67450,,                 39554,,                 33467,                 73537,                 42419,,                 26367,                 16052,                 16052,,,,,,                 29455,                 45507,,                 17442,                 -1390,,                 46897,                 -1390,,,                              0.12,,,                              0.12,                 16177,                  6669,                  7983,                  1374,,,,,,,,,,,
1528,2014年01月01日至2014年09月30日,,,              2496362,              2496362,,,              1886737,              1886737,                609625,                609625,,,                381956,,                146284,,                 66682,                594922,                 14703,,,                 16897,,                  8632,,                 25529,                              0,                 14703,,                 12617,                  2086,                  2086,,,                  1299,                  6746,                  8045,                  8045,                 10131,,                  3888,                 -1802,,                 11933,                 -1802,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,,,,,,
1528,2014年01月01日至2014年06月30日,,,              1738886,              1738886,,,              1271870,              1271870,                467016,                467016,,,                265382,,                103399,,                 37672,                406453,                 60563,,,                 15307,,                -20919,,                 16893,                -22505,                 38058,,                  4964,                 33094,                 33094,,,                -14114,                  6887,                 -7227,                 -7227,                 25867,,                 34322,                 -1228,,                 27095,                 -1228,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,,,,,,,
1528,2014年01月01日至2014年03月31日,,,                800980,                800980,,,                587422,                587422,                213558,                213558,,,                121504,,                 45361,,                 17891,                184756,                 28802,,,                  7375,,                  3295,,                  8448,                  2222,                 31024,,                  5018,                 26006,                 26006,,,                 -1343,                  5444,                  4101,                  4101,                 30107,,                 26979,                   -973,,                 31080,                   -973,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,,,,,
1528,2013年第3季,,,                635902,                635902,,,,                454557,                181345,                181345,,,                 92904,,                 40414,,                 26689,                160007,                 21338,,,                  9053,,                -14510,,                  6949,                -12406,                  8932,,                  2601,                  6331,                  6331,,,,,,                -19004,                -12673,,                  6270,                     61,,                -12734,                     61,,,                              0.04,,,                              0.04,                 -7569,                -11435,,                              0,,                635902,                              0,,,,,,,,
1528,2013年第2季,,,,              1172990,,,,                873839,                299151,                299151,,,                182642,,                 50024,,                 17410,                250076,                 49075,,,                  4051,,                 15552,,                  5964,                 13639,                 62714,,                  8815,                 53899,                 53899,,,,,,                 11556,                 65455,,                 52766,                  1133,,                 64322,                  1133,,,                              0.36,,,                              0.36,                 11971,                   -415,,                              0,,,,,                              0,,                              0,,,,
1528,2013年度,,,,              3164908,,,,              2384041,                780867,                780867,,,                494127,,                147372,,                 73011,                714510,                 66357,,,                 34859,,                 51238,,                 26398,                 59699,                126056,,                 19835,                106221,                106221,,,,,,                 33226,                139447,,                107816,                 -1595,,                141117,                 -1670,,,                              0.73,,,                              0.73,                 38535,                 -6762,                  1803,                    350,,,,,,,,,,,
1528,2013年07月01日至2013年09月30日,,,                617821,                635902,,,,                454557,                181345,                181345,,,                 92904,,                 40414,,                 26689,                160007,                 21338,,,                  9053,,                -14510,,                  6949,                -12406,                  8932,,                  2601,                  6331,                  6331,,,,,,                -19004,                -12673,,                  6270,                     61,,                -12734,                     61,,,                              0.04,,,                              0.04,                 -7569,                -11435,,                              0,,                634657,                              0,,,,,                 15787,                  1049,,                 18081
1528,2013年04月01日至2013年06月30日,,,              1163617,              1172990,,,,                873839,                299151,                299151,,,                182642,,                 50024,,                 17410,                250076,                 49075,,,                  4051,,                 15552,,                  5964,                 13639,                 62714,,                  8815,                 53899,                 53899,,,,,,                 11556,                 65455,,                 52766,                  1133,,                 64322,                  1133,,,                              0.36,,,                              0.36,                 11971,                   -415,,                              0,,              1187646,                              0,,,,,                 22576,                  1453,,                  9373
1528,2013年01月01日至2013年12月31日,,,,              3164908,,,,              2384041,                780867,                780867,,,                494127,,                147372,,                 73011,                714510,                 66357,,,                 34859,,                 51238,,                 26398,                 59699,                126056,,                 19835,                106221,                106221,,,,,,                 33226,                139447,,                107816,                 -1595,,                141117,                 -1670,,,                              0.73,,,                              0.73,                 38535,                 -6762,                  1803,                    350,,,,,,,,,,,
1528,2013年01月01日至2013年09月30日,,,              2494953,              2494953,,,,              1856290,                638663,                638663,,,                375414,,                128978,,                 61713,                566105,                 72558,,,                 18595,,                 29353,,                 18956,                 28992,                101550,,                 19716,                 81834,                 81834,,,,,,                 20839,                102673,,                 81430,                    404,,                102269,                    404,,,                              0.55,,,                              0.55,                 25897,                 -5058,,                              0,,              2494953,                              0,,,,,,,,
1528,2013年01月01日至2013年06月30日,,,,              1859051,,,,              1401733,                457318,                457318,,,                282510,,                 88564,,                 35024,                406098,                 51220,,,                  9542,,                 43863,,                 12007,                 41398,                 92618,,                 17115,                 75503,                 75503,,,,,,                 39843,                115346,,                 75160,                    343,,                115003,                    343,,,                              0.51,,,                              0.51,                 33466,                  6377,,                              0,,,,,                              0,,                              0,,,,
