證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分無形資產損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　 處分投資損失,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1605,2015年第3季,,             36050838,,             34684408,              1366430,                   -149,              1366579,,,                389311,,                541169,,                  8013,                938493,                428086,,,,                104056,                 41874,                 20087,                166017,,                 30752,                219332,                -16273,                  8854,                101387,                    120,,                 14858,                126300,,                115824,                115824,,                194990,                371483,                799569,,                125965,                673604,                673604,,,              1023669,               -432856,                102261,,               -219736,                473338,                473338,              1146942,,                664830,                  8774,,              1159092,                -12150,,                              0.19,                              0.19,,,,,,,,,,,,,,,,,,,,,,
1605,2015年第2季,,             39608167,,             37972118,              1636049,                   -765,              1636814,,,                389790,,                496797,,                 22013,                908600,                728214,,,,                107186,                              0,                124673,                231859,,                 61944,,                122461,               -130446,                 78353,,,                  8951,                -38643,,                115198,                115198,,                312773,                390791,              1119005,,                375585,                743420,                743420,,,               -299327,               -623448,                 15754,,               -777600,             -1684621,             -1684621,               -941201,,                710074,                 33346,,               -967895,                 26694,,                              0.20,                              0.20,                  5298,,,,,,,,,,,,,,,,,,,,,
1605,2015年01月01日至2015年09月30日,,            111900156,,            107963652,              3936504,                   -875,              3937379,,,              1151138,,              1514832,,                 59163,              2725133,              1212246,,,,                315999,                 41874,                222550,                580423,,                 90941,                199069,                121667,               -152754,                330581,                    120,,                 23103,                -94881,,                330433,                330433,,                443220,                598329,              1810575,,                590228,              1220347,              1220347,,,                227435,             -1215972,                -57089,,             -1264166,             -2309792,             -2309792,             -1089445,,              1178633,                 41714,,             -1070267,                -19178,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,,,,
1605,2015年01月01日至2015年06月30日,,             75849318,,             73279244,              2570074,                   -726,              2570800,,,                761827,,                973663,,                 51150,              1786640,                784160,,,,                211943,                              0,                202463,                414406,,                 60189,,                137940,               -161608,                229194,,,                  8245,               -221181,,                214609,                214609,,                248230,                226846,              1011006,,                464263,                546743,                546743,,,               -796234,               -783116,               -159350,,             -1044430,             -2783130,             -2783130,             -2236387,,                513803,                 32940,,             -2229359,                 -7028,,                              0.14,                              0.14,                 20263,,,,,,,,,,,,,,,,,,,,,
1605,2015年01月01日至2015年03月31日,,             36241151,,             35307126,                934025,                     39,                933986,,,                372037,,                476866,,                 29137,                878040,                 55946,,,,                104757,,                 77790,                182547,,                 -1755,,                 15479,                -31162,                150841,,,                   -706,               -182538,,                 99411,                 99411,,                -64543,               -163945,               -107999,,                 88678,               -196677,               -196677,,,               -496907,               -159668,               -175104,,               -266830,             -1098509,             -1098509,             -1295186,,               -196271,                   -406,,             -1261464,                -33722,,                             -0.06,                             -0.06,                 14965,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
1605,2014年第3季,,             43303025,,             40487061,              2815964,                 -8416,              2824380,,,                405303,,                464951,,                 20226,                890480,              1933900,,,,                104646,                 35962,                133622,                274230,,                   -823,                791298,                 21348,                251401,                  6514,                              0,,                889250,                167460,,                184118,                184118,,                224825,                482397,              2416297,,                719858,              1696439,              1696439,,,                552448,               -842296,                              0,,               -513120,               -802968,               -802968,                893471,,              1596430,                100009,,                797874,                 95597,,                              0.45,                              0.45,,,,,,,,,,,,,,,,,,,,,,
1605,2014年第2季,,             42977875,,             40638134,              2339741,                 21409,              2318332,,,                476746,,                579817,,                 27001,              1083564,              1234768,,,,                151588,                     46,                 19997,                171631,,                 -8932,,                 23929,                128743,                102219,,,                  2473,               -294151,,                256600,                256600,,                196385,               -182735,              1052033,,                248925,                803108,                803108,,,               -656402,                210315,                              0,,                501379,                 55292,                 55292,                858400,,                668291,                134817,,                747348,                111052,,                              0.19,                              0.19,                333199,,,,,,,,,,,,,,,,,,,,,
1605,2014年度,,            162987384,,            155417156,              7570228,                  6969,              7563259,,,              1765174,,              2202759,,                 91736,              4059669,              3503590,,,,                469845,                 37935,                286669,                794449,,                -16681,,                 73679,                 23040,                224809,,,                909563,               -489543,,                761181,                761181,,                614009,                157734,              3661324,,              1125792,              2535532,              2535532,,,,,,,,,              1502331,              4037863,,              2264691,                270841,,              3802986,                234877,,                              0.64,                              0.64,               -564791,,,,,,,,,,,,,              1545667,               -253751,                 -1865,                -79680,,                291960,,,
1605,2014年01月01日至2014年09月30日,,            123350580,,            117020281,              6330299,                 16774,              6313525,,,              1286189,,              1612686,,                 67608,              2966483,              3347042,,,,                393093,                 36008,                218587,                647688,,                -10169,                221336,                -31741,                257212,                169074,                              0,,                892646,               -625082,,                594962,                594962,,                481665,                -90691,              3256351,,                947776,              2308575,              2308575,,,                358591,               -452506,                              0,,                 63826,                -30089,                -30089,              2278486,,              2087637,                220938,,              2059046,                219440,,                              0.59,                              0.59,,,,,,,,,,,,,,,,,,,,,,
1605,2014年01月01日至2014年06月30日,,             80047555,,             76533220,              3514335,                 25190,              3489145,,,                880886,,              1147735,,                 47382,              2076003,              1413142,,,,                288447,                     46,                 84965,                373458,,                 -9346,,                -53089,                  5811,                162560,,,                  3396,               -792542,,                410844,                410844,,                256840,               -573088,                840054,,                227918,                612136,                612136,,,               -193857,                389790,                              0,,                576946,                772879,                772879,              1385015,,                491207,                120929,,              1261172,                123843,,                              0.14,                              0.14,                569962,,,,,,,,,,,,,,,,,,,,,
