證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 賠償損失,　　　 什項支出,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 本期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 當期所得稅費用（利益）,　　 其他綜合損益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2505,2014年01月01日至2014年03月31日,,,,,,,,,                749882,,,,,                521669,                228213,                228213,,,                 35236,,                 66862,                102098,                126115,,,                  3677,,                -25225,,                  6193,,                  1434,                -26307,                 99808,,                  7554,                 92254,                 92254,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                 -6749,                 -6749,                 85505,,                 92254,                              0,,                 85505,                              0,,                              0.18,,                              0.17,,                  1342,                  1342,,,                751302,                  2762,                748540,                748540,,                  1275,                  2402,                  1602,                              0,                 18080,                  6804,                  1943,                  7554,,                              0,                              0,                              0,                              0,,                              0,                 -6749,                              0,,,,,,                  7554,                 -6749,,,,,,
2505,2013年第3季,,,,                 14666,                 14666,                              0,                              0,                 14666,                 14666,,,                 10404,                 10404,                 10404,                  4262,                  4262,,,                    615,,                 48701,                 49316,                -45054,,,                 68714,,                    598,,                  1139,,                 -1961,                 66212,                 21158,,                  5872,                 15286,                 15286,,,,,,,,,,,,,,,,,                    622,                 15908,,                 15286,                              0,,                 15908,                              0,,                              0.03,,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 -1073,                  1695,,,,,,,,,,,
2505,2013年第2季,,,,              2867930,              2867930,,,              2867930,              2867930,,,              2573086,              2573086,              2573086,                294844,                294844,,,                 42228,,                 66126,                108354,                186490,,,                  3758,,                 -3109,,                  6297,,                 -1269,                 -6917,                179573,,                 12289,                167284,                167284,,,,,,,,,,,,,,,,,                    400,                167684,,                167284,,,                167684,,,                              0.34,,                              0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,                     77,                    323,,,,,,,,,,,
2505,2013年度,,,,,,,,,             10616898,,,,,              8236472,              2380426,              2380426,,,                398752,,                269338,                668090,              1712336,,,                 80693,,                  1068,,                 25974,,                -16392,                 39395,              1751731,,                 63754,              1687977,              1687977,,,,,,,,,,,,,,,,,                  8185,              1696162,,              1687977,,,              1696162,,,                              3.39,,                              2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    350,                  6739,                  1699,,                   -603,,,,,,,,
2505,2013年07月01日至2013年09月30日,,,,,,,,,                 14666,,,,,                 10404,                  4262,                  4262,,,                    615,,                 48701,                 49316,                -45054,,,                 68714,,                    598,,                  1139,,                 -1961,                 66212,                 21158,,                  5872,                 15286,                 15286,,,,,,,,,,,,,,,,,                    622,                 15908,,                 15286,                              0,,                 15908,                              0,,                              0.03,,                              0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 -1073,                  1695,,,,,,,                              0,,,,
2505,2013年04月01日至2013年06月30日,,,,,,,,,              2867930,,,,,              2573086,                294844,                294844,,,                 42228,,                 66126,                108354,                186490,,,                  3758,,                 -3109,,                  6297,,                 -1269,                 -6917,                179573,,                 12289,                167284,                167284,,,,,,,,,,,,,,,,,                    400,                167684,,                167284,                              0,,                167684,                              0,,                              0.37,,                              0.34,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,                     77,                    323,,,,,,,,,                              0,,                              0
2505,2013年01月01日至2013年12月31日,,,,,,,,,             10616898,,,,,              8236472,              2380426,              2380426,,,                398752,,                269338,                668090,              1712336,,,                 80693,,                  1068,,                 25974,,                -16392,                 39395,              1751731,,                 63754,              1687977,              1687977,,,,,,,,,,,,,,,,,                  8185,              1696162,,              1687977,,,              1696162,,,                              3.39,,                              2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    350,                  6739,                  1699,,                   -603,,,,,,,,
2505,2013年01月01日至2013年09月30日,,,,              5009937,              5009937,                              0,                              0,              5009937,              5009937,,,              4253783,              4253783,              4253783,                756154,                756154,,,                143485,,                169145,                312630,                443524,,,                 72740,,                    212,,                 17973,,                 -1634,                 53345,                496869,,                 83048,                413821,                413821,,,,,,,,,,,,,,,,,                    640,                414461,,                413821,                              0,,                414461,                              0,,                              0.83,,                              0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -628,                  1268,,,,,,,,,,,
2505,2013年01月01日至2013年06月30日,,,,              4995271,              4995271,,,              4995271,              4995271,,,              4243380,              4243380,              4243380,                751891,                751891,,,                142871,,                120443,                263314,                488577,,,                  4026,,                   -386,,                 16834,,                    328,                -12866,                475711,,                 77176,                398535,                398535,,,,,,,,,,,,,,,,,                     18,                398553,,                398535,,,                398553,,,                              0.81,,                              0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    445,                   -427,,,,,,,,,,,
2505,2013年01月01日至2013年03月31日,,,,,,,,,              2127341,,,,,              1670294,                457047,                457047,,,                100643,,                 54317,                154960,                302087,,,                    268,,                  2723,,                 10537,,                  1597,                 -5949,                296138,,                 64887,                231251,                231251,,,,,,,,,,,,,,,,,                   -382,                230869,,                231251,                              0,,                230869,                              0,,                              0.47,,                              0.42,,                  1482,                  1482,,,              2138652,                 12793,              2125859,              2125859,,                    127,                    141,                              0,                  2780,                              0,                     57,                              0,,,                              0,,,,,,,,,,,,,                 64887,                   -382,,,,,,
2505,2012年07月01日至2012年09月30日,,,,,,,,,                  3015,,,,,                  1829,                  1186,                  1186,,,                 28876,,                 49303,                 78179,                -76993,,,                 14492,,                  2694,,                 10766,,                 -1315,                  5105,                -71888,,                              0,                -71888,                -71888,,,,,,,,,,,,,,,,,                 36679,                -35209,,                -71888,                              0,,                -35209,                              0,,                             -0.16,,                             -0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -281,                 36960,,,,,,,                              0,,,,
2505,2012年04月01日至2012年06月30日,,,,,,,,,                  1851,,,,,                 -3360,                  5211,                  5211,,,                 13671,,                 60816,                 74487,                -69276,,,                  1195,,                 -1731,,                  8039,,                 -3688,                -12263,                -81539,,                 20847,               -102386,               -102386,,,,,,,,,,,,,,,,,                 -8856,               -111242,,               -102386,                              0,,               -111242,                              0,,                             -0.23,,                             -0.23,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,                    148,                 -9004,,,,,,,,,                              0,,                              0
2505,2012年01月01日至2012年12月31日,,,,,,,,,              1750576,,,,,              1092427,                658149,                658149,,,                152338,,                270499,                422837,                235312,,,                 89036,,                -18893,,                 37116,,                 -2514,                 30513,                265825,,                132977,                132848,                132848,,,,,,,,,,,,,,,,,                 75547,                208395,,                132848,,,                208395,,,                              0.27,,                              0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -582,                 77669,                 -1540,,                              0,,,,,,,,
2505,2012年01月01日至2012年09月30日,,,,,,,,,                  5789,,,,,                 -1487,                  7276,                  7276,,,                 54606,,                164140,                218746,               -211470,,,                 15838,,                    807,,                 23375,,                 -3607,                -10337,               -221807,,                 20847,               -242654,               -242654,,,,,,,,,,,,,,,,,                 59385,               -183269,,               -242654,                              0,,               -183269,                              0,,                             -0.55,,                             -0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -473,                 59858,,,,,,,                              0,,,,
2505,2012年01月01日至2012年06月30日,,,,,,,,,                  2774,,,,,                 -2841,                  5615,                  5615,,,                 25730,,                114362,                140092,               -134477,,,                  1346,,                 -1888,,                 12609,,                 -2292,                -15443,               -149920,,                 20847,               -170767,               -170767,,,,,,,,,,,,,,,,,                 22707,               -148060,,               -170767,                              0,,               -148060,                              0,,                             -0.39,,                             -0.39,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,                   -191,                 22898,,,,,,,,,                              0,,                              0
2505,2012年01月01日至2012年03月31日,,,,,,,,,                    922,,,,,                    519,                    403,                    403,,,                 12059,,                 53544,                 65603,                -65200,,,                    151,,                   -157,,                  4570,,                  1395,                 -3181,                -68381,,                              0,                -68381,                -68381,,,,,,,,,,,,,,,,,                 31563,                -36818,,                -68381,                              0,,                -36818,                              0,,                              0.15,,                              0.15,,,,,,,,,,,,,,,,,,,,                              0,,,,,,,,                   -339,                 31902,,,,,,,,,,,
