證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2356,2013年第2季,,            103230011,,             98085114,              5144897,              5144897,,,                599056,,              1087977,,              1923154,              3610187,              1534710,,,                291536,,                637907,,                144964,,                -64581,                719898,              2254608,,                671963,              1582645,              1582645,,,,,,,,                280147,              1862792,,              1609723,                -27078,,              1895956,                -33164,,                              0.45,,                              0.45,,                366071,                -83347,,,                 -2577,
2356,2013年度,,            461091703,,            438283233,             22808470,             22808470,,,              2558917,,              4580862,,              8156825,             15296604,              7511866,,,              1483583,,                870882,,                661981,,               -280024,              1412460,              8924326,,              2714888,              6209438,              6209438,,,,,,,,                925163,              7134601,,              7074172,               -864734,,              8011952,               -877351,,                              1.97,,                              1.96,,              1094159,               -184289,                  6521,,                  9908,                  1136
2356,2013年07月01日至2013年09月30日,,            122469284,,            116258904,              6210380,              6210380,,,                665912,,              1173689,,              2145749,              3985350,              2225030,,,                370708,,               -219267,,                152338,,                -48184,                -49081,              2175949,,                541753,              1634196,              1634196,,,,,,,,               -265639,              1368557,,              1899267,               -265071,,              1632998,               -264441,,                              0.53,,                              0.53,,               -213264,                -50842,,,                 -1533,
2356,2013年04月01日至2013年06月30日,,            103230011,,             98085114,              5144897,              5144897,,,                599056,,              1087977,,              1923154,              3610187,              1534710,,,                291536,,                637907,,                144964,,                -64581,                719898,              2254608,,                671963,              1582645,              1582645,,,,,,,,                280147,              1862792,,              1609723,                -27078,,              1895956,                -33164,,                              0.45,,                              0.45,,                366071,                -83347,,,                 -2577,
2356,2013年01月01日至2013年12月31日,,            461091703,,            438283233,             22808470,             22808470,,,              2558917,,              4580862,,              8156825,             15296604,              7511866,,,              1483583,,                870882,,                661981,,               -280024,              1412460,              8924326,,              2714888,              6209438,              6209438,,,,,,,,                925163,              7134601,,              7074172,               -864734,,              8011952,               -877351,,                              1.97,,                              1.96,,              1094159,               -184289,                  6521,,                  9908,                  1136
2356,2013年01月01日至2013年09月30日,,            326461341,,            310161436,             16299905,             16299905,,,              1871362,,              3297413,,              5986470,             11155245,              5144660,,,                838757,,              1313954,,                442304,,               -110651,              1599756,              6744416,,              1922890,              4821526,              4821526,,,,,,,,                597718,              5419244,,              5290017,               -468491,,              5894786,               -475542,,                              1.47,,                              1.47,,                709019,               -119562,,,                  8261,                              0
2356,2013年01月01日至2013年06月30日,,            203992057,,            193902532,             10089525,             10089525,,,              1205450,,              2123724,,              3840721,              7169895,              2919630,,,                468049,,              1533221,,                289966,,                -62467,              1648837,              4568467,,              1381137,              3187330,              3187330,,,,,,,,                863357,              4050687,,              3390750,               -203420,,              4261788,               -211101,,                              0.95,,                              0.94,,                922283,                -68720,,,                  9794,
2356,2013年01月01日至2013年03月31日,,            100762046,,             95817418,              4944628,              4944628,,,                606394,,              1035747,,              1917567,              3559708,              1384920,,,                176513,,                895314,,                145002,,                  2114,                928939,              2313859,,                709174,              1604685,              1604685,,,,,,,,                583210,              2187895,,              1781027,               -176342,,              2365832,               -177937,,                              0.50,,                              0.49,,                556212,                 14627,,,                 12371,
2356,2012年07月01日至2012年09月30日,,             94628814,,             90021102,              4607712,              4607712,,,                410464,,              1407664,,              1902197,              3720325,                887387,,,                405065,,               -128179,,                297754,,                -95890,               -116758,                770629,,                428342,                342287,                342287,,,,,,,,               -426193,                -83906,,                837663,               -495376,,                410259,               -494165,,                              0.23,,                              0.23,,               -334337,                -88470,,,                 -3386,
2356,2012年04月01日至2012年06月30日,,            100614106,,             95063456,              5550650,              5550650,,,              2111591,,                781325,,              1737890,              4630806,                919844,,,                568644,,                480268,,                422009,,               -163166,                463737,              1383581,,                317773,              1065808,              1065808,,,,,,,,               -813366,                252442,,              1397175,               -331367,,                582926,               -330484,,                              0.39,,                              0.39,,                143853,               -959851,,,                  2632,
2356,2012年01月01日至2012年12月31日,,            410937895,,            391790087,             19147808,             19147808,,,              3735267,,              4697149,,              7109052,             15541468,              3606340,,,              1493568,,                 98103,,              1171635,,               -506128,                -86092,              3520248,,              1750395,              1769853,              1769853,,,,,,,,               -851066,                918787,,              3253368,             -1483515,,              2400327,             -1481540,,                              0.91,,                              0.90,,               -500269,               -255055,                -93798,,                -17935,                -15991
2356,2012年01月01日至2012年09月30日,,            297693827,,            283681533,             14012294,             14012294,,,              3003072,,              3339168,,              5345649,             11687889,              2324405,,,              1187584,,                272568,,                928032,,               -417172,                114948,              2439353,,                911750,              1527603,              1527603,,,,,,,,             -1002702,                524901,,              2677173,             -1149570,,              1669682,             -1144781,,                              0.75,,                              0.74,,               -549522,               -443675,,,                 -9505,
2356,2012年01月01日至2012年06月30日,,            203065013,,            193660431,              9404582,              9404582,,,              2592608,,              1931504,,              3443452,              7967564,              1437018,,,                782519,,                400747,,                630278,,               -321282,                231706,              1668724,,                483408,              1185316,              1185316,,,,,,,,               -576509,                608807,,              1839510,               -654194,,              1259423,               -650616,,                              0.51,,                              0.51,,               -215185,               -355205,,,                 -6119,
2356,2012年01月01日至2012年03月31日,,            102450907,,             98596975,              3853932,              3853932,,,                481017,,              1150179,,              1705562,              3336758,                517174,,,                213875,,                -79521,,                208269,,               -158116,               -232031,                285143,,                165635,                119508,                119508,,,,,,,,                236857,                356365,,                442335,               -322827,,                676497,               -320132,,                              0.13,,                              0.13,,               -367789,                604646,,,,
