證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建成本,　　 確定福利計畫精算利益（損失）
1722,2015年第3季,,,,              2995758,              2995758,                  4485,              2991273,,                178486,,              1150637,,                 11983,              4332379,,,              2856445,              2856445,,                133729,,                300679,              3290853,              1041526,              1041526,,,                 84583,,                238405,,                 13893,                336881,                704645,,,                 45575,                 45575,,                 43581,,                  3892,,                437046,                522310,              1226955,,                 77740,              1149215,              1149215,,,                  2288,                 -5519,,                696449,                118396,                574822,                574822,              1724037,,              1149215,,              1724037,,                              1.17,                              1.17,,                              1.17,                              1.17,,,,,,,,,,
1722,2015年第2季,,,,              2825469,              2825469,                  6625,              2818844,,                166115,,              1104896,,                 11355,              4101210,,,              2790959,              2790959,,                124751,,                308333,              3224043,                877167,                877167,,,                 97609,,                298729,,                 19579,                415917,                461250,,,                 12171,                 12171,,               -351476,,                  4043,,                137773,               -205575,                255675,,                122100,                133575,                133575,,,                    103,                -13565,,               -146930,                -24935,               -135457,               -135457,                 -1882,,                133575,,                 -1882,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,,,
1722,2015年01月01日至2015年09月30日,,,,              9102450,              9102450,                 15679,              9086771,,                522699,,              2623915,,                 39053,             12272438,,,              8905806,              8905806,,                398991,,                709593,             10014390,              2258048,              2258048,,,                266705,,                767179,,                 49345,              1083229,              1174819,,,                 62232,                 62232,,               -514871,,                 14776,,                791810,                324395,              1499214,,                169045,              1330169,              1330169,,,                 -1847,                -23685,,                431286,                 73117,                332637,                332637,              1662806,,              1330169,,              1662806,,                              1.36,                              1.36,,                              1.35,                              1.35,,,,,,,,,,
1722,2015年01月01日至2015年06月30日,,,,              6106692,              6106692,                 11194,              6095498,,                344213,,              1473278,,                 27070,              7940059,,,              6049361,              6049361,,                265262,,                408914,              6723537,              1216522,              1216522,,,                182122,,                528774,,                 35452,                746348,                470174,,,                 16657,                 16657,,               -558452,,                 10884,,                354764,               -197915,                272259,,                 91305,                180954,                180954,,,                 -4135,                -18166,,               -265163,                -45279,               -242185,               -242185,                -61231,,                180954,,                -61231,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,
1722,2015年01月01日至2015年03月31日,,,,              3281223,              3281223,                  4569,              3276654,,                178098,,                368382,,                 15715,              3838849,,,              3258402,              3258402,,                140511,,                100581,              3499494,                339355,                339355,,,                 84513,,                230045,,                 15873,                330431,                  8924,,,                  4486,                  4486,,               -206976,,                  6841,,                216991,                  7660,                 16584,,                -30795,                 47379,                 47379,,,                 -4238,                 -4601,,               -118233,                -20344,               -106728,               -106728,                -59349,,                 47379,,                -59349,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,
1722,2014年第3季,,,,              3475808,              3475808,                  6879,              3468929,,                182637,,                              0,,                  3978,              3655544,,,              3548514,              3548514,,                142248,,                              0,              3690762,                -35218,                -35218,,,                107593,,                154935,,                 13028,                275556,               -310774,,,                 26011,                 26011,,                 -1666,,                  2724,,                419415,                441036,                130262,,                 10536,                119726,                119726,,,                  2160,                -26361,,                205074,                 35151,                145722,                145722,                265448,,                119726,,                265448,,                              0.12,                              0.12,,                              0.12,                              0.12,                  2160,                -26361,,                205074,                -35151,,,,,
1722,2014年第2季,,,,              2880871,              2880871,                 11505,              2869366,,                170688,,                              0,,                  8670,              3048724,,,              2916270,              2916270,,                129104,,                              0,              3045374,                  3350,                  3350,,,                 99156,,                139380,,                 15698,                254234,               -250884,,,                  5064,                  5064,,               -216834,,                  1352,,                518924,                305802,                 54918,,                 40731,                 14187,                 14187,,,                 -4457,                 -3882,,               -206373,                -35525,               -179187,               -179187,               -165000,,                 14187,,               -165000,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,,,,,,
1722,2014年01月01日至2014年09月30日,,,,              9690637,              9690637,                 25619,              9665018,,                541011,,                              0,,                 18737,             10224766,,,              9860302,              9860302,,                414438,,                              0,             10274740,                -49974,                -49974,,,                319812,,                460097,,                 43198,                823107,               -873081,,,                 36019,                 36019,,               -267501,,                  4419,,              1406750,              1170849,                297768,,                 60351,                237417,                237417,,,                 -3519,                -41486,,                213375,                 37646,                130724,                130724,                368141,,                237417,,                368141,,                              0.24,                              0.24,,                              0.24,                              0.24,                 -3519,                -41486,,                213375,                -37646,,,,,
1722,2014年01月01日至2014年06月30日,,,,              6214829,              6214829,                 18740,              6196089,,                358374,,                              0,,                 14759,              6569222,,,              6311788,              6311788,,                272190,,                              0,              6583978,                -14756,                -14756,,,                212219,,                305162,,                 30170,                547551,               -562307,,,                 10008,                 10008,,               -265835,,                  1695,,                987335,                729813,                167506,,                 49815,                117691,                117691,,,                 -5679,                -15125,,                  8301,                  2495,                -14998,                -14998,                102693,,                117691,,                102693,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,
1722,2014年01月01日至2014年03月31日,,,,              3333958,              3333958,                  7235,              3326723,,                187686,,                              0,,                  6089,              3520498,,,              3395518,              3395518,,                143086,,                              0,              3538604,                -18106,                -18106,,,                113063,,                165782,,                 14472,                293317,               -311423,,,                  4944,                  4944,,                -49001,,                    343,,                468411,                424011,                112588,,                  9084,                103504,                103504,,,                 -1222,                -11243,,                214674,                 38020,                164189,                164189,                267693,,                103504,,                267693,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,
