證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6139,2015年第3季,,              4686690,,              4221337,                465353,                465353,,,                209753,,                  9067,                218820,                246533,,,                 15235,,                 40289,,                 21551,,                  5086,                 39059,                285592,,                 95495,                190097,                190097,,,                256145,                -11843,                 31277,                213025,                213025,                403122,,                147799,                 42298,,                288455,                114667,,                              0.79,,                              0.73,,,,
6139,2015年第2季,,              4025560,,              3846920,                178640,                178640,,,                144409,,                 13158,                157567,                 21073,,,                 22112,,                 24550,,                 21582,,                  5508,                 30588,                 51661,,                 14710,                 36951,                 36951,,,                -85046,                -70715,                -10089,               -145672,               -145672,               -108721,,                 31108,                  5843,,                -86760,                -21961,,                              0.16,,                              0.16,,,,
6139,2015年01月01日至2015年09月30日,,             11359233,,             10544244,                814989,                814989,,,                504737,,                 32306,                537043,                277946,,,                 49929,,                 79489,,                 62633,,                 15208,                 81993,                359939,,                130264,                229675,                229675,,,                 75254,               -130978,                  7988,                -63712,                -63712,                165963,,                188241,                 41434,,                 98799,                 67164,,                              1.00,,                              0.92,,,,
6139,2015年01月01日至2015年06月30日,,              6672543,,              6322907,                349636,                349636,,,                294984,,                 23239,                318223,                 31413,,,                 34694,,                 39200,,                 41082,,                 10122,                 42934,                 74347,,                 34769,                 39578,                 39578,,,               -180891,               -119135,                -23289,               -276737,               -276737,               -237159,,                 40442,                   -864,,               -189656,                -47503,,                              0.21,,                              0.21,,,,
6139,2015年01月01日至2015年03月31日,,              2646983,,              2475987,                170996,                170996,,,                150575,,                 10081,                160656,                 10340,,,                 12582,,                 14650,,                 19500,,                  4614,                 12346,                 22686,,                 20059,                  2627,                  2627,,,                -95845,                -48420,                -13200,               -131065,               -131065,               -128438,,                  9334,                 -6707,,               -102896,                -25542,,                              0.05,,                              0.05,,,,
6139,2014年第3季,,              3355039,,              3200774,                154265,                154265,,,                126558,,                  9272,                135830,                 18435,,,                 19772,,                 13877,,                 15307,,                  1143,                 19485,                 37920,,                 14211,                 23709,                 23709,,,                134518,                -15568,                 15501,                103449,                103449,                127158,,                 22468,                  1241,,                 82695,                 44463,,                              0.12,,                              0.12,,,,
6139,2014年第2季,,              3564826,,              3263623,                301203,                301203,,,                145569,,                 10690,                156259,                144944,,,                 18566,,                 26404,,                  9918,,                  1994,                 37046,                181990,,                 46889,                135101,                135101,,,               -111438,                146175,                -12597,                 47334,                 47334,                182435,,                103427,                 31674,,                181273,                  1162,,                              0.55,,                              0.49,,,,
6139,2014年度,,             14499699,,             13540396,                959303,                959303,,,                598342,,                 48648,                646990,                312313,,,                 76902,,                 68139,,                 57454,,                  9716,                 97303,                409616,,                117775,                291841,                291841,,,,,,,                270587,                562428,,                248144,                 43697,,                463242,                 99186,,                              1.32,,                              1.20,                209672,                 78745,                  9225,                 27055
6139,2014年01月01日至2014年09月30日,,              9516306,,              8880222,                636084,                636084,,,                420390,,                 29929,                450319,                185765,,,                 60522,,                 39348,,                 34827,,                   -139,                 64904,                250669,,                 69920,                180749,                180749,,,                 24597,                 75262,                  4910,                 94949,                 94949,                275698,,                162392,                 18357,,                255996,                 19702,,                              0.86,,                              0.79,,,,
6139,2014年01月01日至2014年06月30日,,              6161267,,              5679448,                481819,                481819,,,                293832,,                 20657,                314489,                167330,,,                 40750,,                 25471,,                 19520,,                 -1282,                 45419,                212749,,                 55709,                157040,                157040,,,               -109921,                 90830,                -10591,                 -8500,                 -8500,                148540,,                139924,                 17116,,                173301,                -24761,,                              0.74,,                              0.68,,,,
6139,2014年01月01日至2014年03月31日,,              2596441,,              2415825,                180616,                180616,,,                148263,,                  9967,                158230,                 22386,,,                 22184,,                   -933,,                  9602,,                 -3276,                  8373,                 30759,,                  8820,                 21939,                 21939,,,                  1517,                -55345,                  2006,                -55834,                -55834,                -33895,,                 36497,                -14558,,                 -7972,                -25923,,                              0.19,,                              0.18,,,,
6139,2013年第3季,,              2573483,,              2384946,                188537,                188537,,,                144994,,                  4738,                149732,                 38805,,,                 18471,,                   -513,,                  8754,,                 -2597,                  6607,                 45412,,                 18445,                 26967,                 26967,,,,,,,                -47288,                -20321,,                 17643,                  9324,,                -15498,                 -4823,,                              0.09,,                              0.08,                -53481,                              0,,                 -6193
6139,2013年第2季,,              3300803,,              3016276,                284527,                284527,,,                140739,,                  8851,                149590,                134937,,,                 27418,,                 11337,,                  8437,,                  3649,                 33967,                168904,,                 50514,                118390,                118390,,,,,,,                 83469,                201859,,                108877,                  9513,,                154174,                 47685,,                              0.58,,                              0.52,                 92408,                              0,,                  8939
6139,2013年度,,             12266048,,             11031569,              1234479,              1234479,,,                639524,,                 41280,                680804,                553675,,,                 84303,,                 22460,,                 34517,,                  1277,                 73523,                627198,,                171774,                455424,                455424,,,,,,,                512374,                967798,,                391467,                 63957,,                804603,                163195,,                              2.08,,                              1.86,                285311,                247734,                 12856,                 33527
6139,2013年07月01日至2013年09月30日,,              2573483,,              2384946,                188537,                188537,,,                144994,,                  4738,                149732,                 38805,,,                 18471,,                   -513,,                  8754,,                 -2597,                  6607,                 45412,,                 18445,                 26967,                 26967,,,,,,,                -47288,                -20321,,                 17643,                  9324,,                -15498,                 -4823,,                              0.09,,                              0.08,                -53481,,,                 -6193
6139,2013年04月01日至2013年06月30日,,              3300803,,              3016276,                284527,                284527,,,                140739,,                  8851,                149590,                134937,,,                 27418,,                 11337,,                  8437,,                  3649,                 33967,                168904,,                 50514,                118390,                118390,,,,,,,                 83469,                201859,,                108877,                  9513,,                154174,                 47685,,                              0.58,,                              0.52,                 92408,,,                  8939
6139,2013年01月01日至2013年12月31日,,             12266048,,             11031569,              1234479,              1234479,,,                639524,,                 41280,                680804,                553675,,,                 84303,,                 22460,,                 34517,,                  1277,                 73523,                627198,,                171774,                455424,                455424,,,,,,,                512374,                967798,,                391467,                 63957,,                804603,                163195,,                              2.08,,                              1.86,                285311,                247734,                 12856,                 33527
6139,2013年01月01日至2013年09月30日,,              8327683,,              7617736,                709947,                709947,,,                429147,,                 27261,                456408,                253539,,,                 65787,,                 20368,,                 24888,,                 -1186,                 60081,                313620,,                 84895,                228725,                228725,,,,,,,                173007,                401732,,                221222,                  7503,,                324488,                 77244,,                              1.18,,                              1.06,                193861,                              0,,                 20854
6139,2013年01月01日至2013年06月30日,,              5754200,,              5232790,                521410,                521410,,,                284152,,                 22524,                306676,                214734,,,                 47316,,                 20881,,                 16134,,                  1411,                 53474,                268208,,                 66450,                201758,                201758,,,,,,,                220296,                422054,,                203579,                 -1821,,                339987,                 82067,,                              1.08,,                              0.98,                247342,                              0,,                 27046
6139,2013年01月01日至2013年03月31日,,              2453397,,              2216514,                236883,                236883,,,                143413,,                 13673,                157086,                 79797,,,                 19898,,                  9544,,                  7697,,                 -2238,                 19507,                 99304,,                 15936,                 83368,                 83368,,,,,,,                136827,                220195,,                 94702,                -11334,,                185813,                 34382,,                              0.50,,                              0.46,                154934,                              0,,                 18107
6139,2012年07月01日至2012年09月30日,,              2838174,,              2595703,                242471,                242471,,,                101548,,                 43930,                145478,                 96993,,,                 20710,,                    971,,                  3883,,                 -3162,                 14636,                111629,,                 37442,                 74187,                 74187,,,,,,,                -38280,                 35907,,                 67006,                  7181,,                 44607,                 -8700,,                              0.36,,                              0.36,                -38354,,,                    -74
6139,2012年04月01日至2012年06月30日,,              3877999,,              3526293,                351706,                351706,,,                147979,,                  1326,                149305,                202401,,,                 20355,,                 -8272,,                  1485,,                 -1778,                  8820,                211221,,                 44183,                167038,                167038,,,,,,,                 -5594,                161444,,                142212,                 24826,,                140227,                 21217,,                              0.76,,                              0.76,                 -5651,,,                    -57
6139,2012年01月01日至2012年12月31日,,             12612993,,             11336893,              1276100,              1276100,,,                667346,,                  2494,                669840,                606260,,,                 80921,,                 76139,,                 16037,,                -10303,                130720,                736980,,                174321,                562659,                562659,,,,,,,               -137398,                425261,,                510269,                 52390,,                413244,                 12017,,                              2.71,,                              2.58,               -115178,                              0,                -16733,                  5487
6139,2012年01月01日至2012年09月30日,,              9527307,,              8663819,                863488,                863488,,,                433361,,                 46424,                479785,                383703,,,                 59103,,                 72184,,                  7586,,                 -6604,                117097,                500800,,                123201,                377599,                377599,,,,,,,               -118236,                259363,,                326745,                 50854,,                255379,                  3984,,                              1.74,,                              1.69,               -118367,,,                   -131
6139,2012年01月01日至2012年06月30日,,              6689133,,              6068116,                621017,                621017,,,                331813,,                  2494,                334307,                286710,,,                 38393,,                 71213,,                  3703,,                 -3442,                102461,                389171,,                 85759,                303412,                303412,,,,,,,                -79956,                223456,,                259739,                 43673,,                210772,                 12684,,                              1.38,,                              1.38,                -80013,,,                    -57
