證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
2108,2015年第3季,,              2601254,,              1919897,                681357,                681357,,,                120080,,                127944,,                 25215,                273239,                408118,,,                 11933,,                 77817,,                    737,                 89013,                497131,,                138561,                358570,                358570,,,                141520,                 -7296,                134224,                134224,                492794,,                347806,                 10764,,                498513,                 -5719,,                              0.82,                              0.82,,                              0.82,                              0.82,,,,,,
2108,2015年第2季,,              2607986,,              1930054,                677932,                677932,,,                129520,,                115976,,                 20777,                266273,                411659,,,                 17536,,                -14163,,                    931,                  2442,                414101,,                 89163,                324938,                324938,,,                -48474,                 -3351,                -51825,                -51825,                273113,,                313790,                 11148,,                262033,                 11080,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,,
2108,2015年01月01日至2015年09月30日,,              7340114,,              5501062,              1839052,              1839052,,,                351676,,                338401,,                 65346,                755423,              1083629,,,                 55193,,                 52894,,                  3493,                104594,              1188223,,                274252,                913971,                913971,,,                 58883,                 -8916,                 49967,                 49967,                963938,,                883686,                 30285,,                950352,                 13586,,                              2.08,                              2.08,,                              2.07,                              2.07,,,,,,
2108,2015年01月01日至2015年06月30日,,              4738860,,              3581165,              1157695,              1157695,,,                231596,,                210457,,                 40131,                482184,                675511,,,                 43260,,                -24923,,                  2756,                 15581,                691092,,                135691,                555401,                555401,,,                -82637,                 -1620,                -84257,                -84257,                471144,,                535880,                 19521,,                451839,                 19305,,                              1.26,                              1.26,,                              1.26,                              1.26,,,,,,
2108,2015年01月01日至2015年03月31日,,              2130874,,              1651111,                479763,                479763,,,                102076,,                 94481,,                 19354,                215911,                263852,,,                 25724,,                -10760,,                  1825,                 13139,                276991,,                 46528,                230463,                230463,,,                -34163,                  1731,                -32432,                -32432,                198031,,                222090,                  8373,,                189806,                  8225,,                              0.54,                              0.54,,                              0.53,                              0.53,,,,,,
2108,2014年第3季,,              2185532,,              1866847,                318685,                318685,,,                102380,,                 89493,,                 22637,                214510,                104175,,,                 11822,,                 13493,,                  2180,                 23135,                127310,,                 37933,                 89377,                 89377,,,                 82487,                   -798,                 81689,                 81689,                171066,,                 79594,                  9783,,                161426,                  9640,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,
2108,2014年第2季,,              2084088,,              1853590,                230498,                230498,,,                105595,,                 77122,,                 21951,                204668,                 25830,,,                 10556,,                -11835,,                  2519,                 -3798,                 22032,,                    285,                 21747,                 21747,,,                -61916,                   -767,                -62683,                -62683,                -40936,,                 15020,                  6727,,                -47644,                  6708,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,
2108,2014年度,,              8199173,,              7090332,              1108841,              1108841,,,                419242,,                344408,,                 92324,                855974,                252867,,,                 45583,,                 46067,,                  9499,                 82151,                335018,,                 77682,                257336,                257336,,,,,,                126597,                383933,,                230728,                 26608,,                356844,                 27089,,                              0.56,                              0.56,,                              0.56,                              0.56,                123778,                 -1921,                  5492,                    752,,
2108,2014年01月01日至2014年09月30日,,              6031013,,              5279510,                751503,                751503,,,                300855,,                244099,,                 66863,                611817,                139686,,,                 30240,,                 18211,,                  7541,                 40910,                180596,,                 42422,                138174,                138174,,,                 11227,                 -1756,                  9471,                  9471,                147645,,                118521,                 19653,,                128154,                 19491,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,
2108,2014年01月01日至2014年06月30日,,              3845481,,              3412663,                432818,                432818,,,                198475,,                154606,,                 44226,                397307,                 35511,,,                 18418,,                  4718,,                  5361,                 17775,                 53286,,                  4489,                 48797,                 48797,,,                -71260,                   -958,                -72218,                -72218,                -23421,,                 38927,                  9870,,                -33272,                  9851,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,
