證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計
3416,2013年07月01日至2013年09月30日,,                415427,,                270478,                144949,                144949,,,                 19863,,                 17295,,                 34601,                 71759,                 73190,,,                  4721,,                 -8475,,                   -206,                 -4406,                 68784,,                  9420,                 59364,                 59364,,,,,,,                 -1733,                 57631,,                 59364,,                 57631,,                              1.22,,                              1.19,,                    446,                              0,                              0,,,                   -237,                 -1537,,                    -41,,
3416,2013年04月01日至2013年06月30日,,                342605,,                212586,                130019,                130019,,,                 21093,,                 16034,,                 36426,                 73553,                 56466,,,                  3406,,                  1852,,                    -18,                  4566,                 61032,,                  8227,                 52805,                 52805,,,,,,,                   -960,                 51845,,                 52874,,                 51947,,                              1.11,,                              1.07,,                    674,                    -69,                   -102,,,                   -231,                   -763,,                    -34,,
3416,2013年01月01日至2013年12月31日,,              1493149,,                968055,                525094,                525094,,,                 80635,,                 63067,,                144770,                288472,                236622,,,                 15815,,                  3692,,                   -297,                 17423,                254045,,                 31939,                222106,                222106,,,,,,,                  3887,                225993,,                222155,,                226044,,                              4.60,,                              4.44,,                  1787,                    -49,                    -51,                              0,                              0,                    149,                  4417,                   -788,                   -109,,
3416,2013年01月01日至2013年09月30日,,              1106865,,                713241,                393624,                393624,,,                 59222,,                 48565,,                105664,                213451,                180173,,,                 12361,,                    665,,                   -275,                 10965,                191138,,                 25482,                165656,                165656,,,,,,,                    808,                166464,,                165705,,                166515,,                              3.13,,                              3.01,,                  1786,                    -49,                    -51,,,                    350,                    517,,                     59,,
3416,2013年01月01日至2013年06月30日,,                691438,,                442763,                248675,                248675,,,                 39359,,                 31270,,                 71063,                141692,                106983,,,                  7640,,                  9140,,                    -69,                 15371,                122354,,                 16062,                106292,                106292,,,,,,,                  2541,                108833,,                106341,,                108884,,                              2.02,,                              1.95,,                  1340,                    -49,                    -51,,,                    587,                  2054,,                    100,,
3416,2013年01月01日至2013年03月31日,,                348833,,                230177,                118656,                118656,,,                 18266,,                 15236,,                 34637,                 68139,                 50517,,,                  4234,,                  7288,,                    -51,                 10805,                 61322,,                  7835,                 53487,                 53487,,,,,,,                  3501,                 56988,,                 53467,,                 56937,,                              1.12,,                              1.08,,                    666,                     20,                     51,                              0,                              0,                    818,                  2817,,                    134,,                              0
3416,2012年07月01日至2012年09月30日,,                314141,,                189159,                124982,                124982,,,                 15990,,                 18485,,                 31885,                 66360,                 58622,,,                  3863,,                -16349,,                    -90,                -13769,                 44853,,                  5282,                 39571,                 39571,,,,,,,                    -27,                 39544,,                 39426,,                 39228,,                              0.83,,                              0.78,,                  1193,                    145,                    316,,,                    673,                   -615,,                     85,,
3416,2012年04月01日至2012年06月30日,,                347210,,                225272,                121938,                121938,,,                 18262,,                 12990,,                 33832,                 65084,                 56854,,,                  3173,,                 -6732,,                    -23,                 -5035,                 51819,,                  8423,                 43396,                 43396,,,,,,,                 -1189,                 42207,,                 43250,,                 42155,,                              0.95,,                              0.89,,                  1453,                    146,                     52,,,                   -403,                   -838,,                    -52,,
3416,2012年01月01日至2012年12月31日,,              1261136,,                815426,                445710,                445710,,,                 66696,,                 52404,,                123350,                242450,                203260,,,                 12536,,                -27238,,                    114,                -19342,                183918,,                 32321,                151597,                151597,,,,,,,                 -3300,                148297,,                151486,,                148284,,                              3.17,,                              3.00,,                  4754,                    111,                     13,                              0,                              0,                   -925,                 -1614,                 -1086,                   -325,,
3416,2012年01月01日至2012年09月30日,,                951323,,                601047,                350276,                350276,,,                 51745,,                 46002,,                 94123,                191870,                158406,,,                 10201,,                -26599,,                   -226,                -20714,                137692,,                 17892,                119800,                119800,,,,,,,                   -455,                119345,,                119556,,                119044,,                              2.50,,                              2.35,,                  4090,                    244,                    301,,,                   -143,                   -346,,                    -34,,
3416,2012年01月01日至2012年06月30日,,                637182,,                411888,                225294,                225294,,,                 35755,,                 27517,,                 62238,                125510,                 99784,,,                  6338,,                -10250,,                   -136,                 -6945,                 92839,,                 12610,                 80229,                 80229,,,,,,,                   -428,                 79801,,                 80130,,                 79816,,                              1.76,,                              1.65,,                  2897,                     99,                    -15,,,                   -816,                    269,,                   -119,,
3416,2012年01月01日至2012年03月31日,,                289972,,                186616,                103356,                103356,,,                 17493,,                 14527,,                 28406,                 60426,                 42930,,,                  3165,,                 -3518,,                   -113,                 -1910,                 41020,,                  4187,                 36833,                 36833,,,,,,,                    761,                 37594,,                 36880,,                 37661,,                              0.81,,                              0.76,,                  1444,                    -47,                    -67,,,                   -413,                  1107,,                    -67,,                              0
