證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1102,2015年第3季,,             16861149,,             15359881,              1501268,                   -404,              1501672,,                647841,                853831,,,                285349,,             -1138894,,                416309,,                378902,               -890952,                -37121,,                132576,               -169697,               -169697,,,                              0,                              0,,                              0,                              0,,              1217257,               -676921,                  3392,,              1113981,              1657709,              1657709,              1488012,,                 64042,               -233739,,              1353290,                134722,,                              0.02,                              0.02,,                             -0.02,                             -0.02,,,,,,,,,
1102,2015年第2季,,             16890231,,             15092848,              1797383,                              0,              1797824,,                834482,                963342,,,                700281,,                953276,,                414425,,              1079034,              2318166,              3281508,,                247545,              3033963,              3033963,,,                              0,                              0,,                    -17,                    -17,,               -494006,             -1975459,                  3810,,               -790428,             -3256083,             -3256100,               -222137,,              2888526,                145437,,               -212610,                 -9527,,                              0.94,                              0.94,,                              0.94,                              0.94,                    441,,,,,,,,
1102,2015年01月01日至2015年09月30日,,             49113910,,             44182685,              4931225,                    418,              4930807,,              2076259,              2854548,,,              1165365,,               -105774,,              1243021,,              2417969,              2234539,              5089087,,                682533,              4406554,              4406554,,,                -21995,                              0,,                     13,                -21982,,               -138929,              2106560,                 14139,,                369117,              2350887,              2328905,              6735459,,              4421041,                -14487,,              6774072,                -38613,,                              1.41,                              1.41,,                              1.18,                              1.18,,,,,,,,,
1102,2015年01月01日至2015年06月30日,,             32252761,,             28822804,              3429957,                    822,              3429135,,              1428418,              2000717,,,                880016,,              1033120,,                826712,,              2039067,              3125491,              5126208,,                549957,              4576251,              4576251,,,                -21995,                              0,,                     13,                -21982,,             -1356186,              2783481,                 10747,,               -744864,                693178,                671196,              5247447,,              4356999,                219252,,              5420782,               -173335,,                              1.39,                              1.39,,                              1.38,                              1.38,                              0,,,,,,,,
1102,2015年01月01日至2015年03月31日,,             15362530,,             13729956,              1632574,                  1263,              1631311,,                593936,              1037375,,,                179735,,                 79844,,                412287,,                960033,                807325,              1844700,,                302412,              1542288,              1542288,,,                -21995,                              0,,                     30,                -21965,,               -862180,              4758940,                  6937,,                 45564,              3949261,              3927296,              5469584,,              1468473,                 73815,,              5633392,               -163808,,                              0.47,                              0.47,,                              0.44,                              0.44,,,,,,,,,
1102,2014年第3季,,             19783979,,             17405889,              2378090,                   -136,              2378226,,                641412,              1736814,,,                306677,,                 20354,,                435053,,              1089616,                981594,              2718408,,                357809,              2360599,              2360599,,,                              0,                              0,,                111921,                111921,,                904955,               -214124,                  4596,,                572062,              1267489,              1379410,              3740009,,              2024069,                336530,,              3126996,                613013,,                              0.64,                              0.64,,                              0.60,                              0.60,,,,,,,,,
1102,2014年第2季,,             21194832,,             17914198,              3280634,                    445,              3280189,,                764001,              2516188,,,                728197,,                586919,,                425876,,              1476399,              2365639,              4881827,,                686386,              4195441,              4195441,,,                              0,                              0,,                              0,                              0,,               -994881,               -854392,                  4079,,               -935581,             -2780775,             -2780775,              1414666,,              3734816,                460625,,              1247525,                167141,,                              1.21,                              1.21,,                              1.15,                              1.15,                              0,,,,,,,,
1102,2014年第1季,,             16256080,,             14017994,              2238086,                    358,              2237728,,                600109,              1637619,,,                242432,,               -523400,,                385203,,              1042631,                376460,              2014079,,                330848,              1683231,              1683231,,,,,,,,,,,,,,,               -362929,              1320302,,              1439813,                243418,,                873472,                446830,,                              0.47,                              0.47,,                              0.40,                              0.40,                              0,                719397,               -868227,                  3931,                128470,,,               -340082,                  6418
1102,2014年度,,             77683281,,             66553091,             11130190,                    586,             11129604,,              2881200,              8248404,,,              1579088,,              1209572,,              1667598,,              4350273,              5471335,             13719739,,              2813741,             10905998,             10905998,,,,,,,,,,,,,,,              4827293,             15733291,,              9361635,              1544363,,             13273390,              2459901,,                              2.98,                              2.98,,                              2.65,                              2.65,,              2980569,              1186536,                 13877,                128470,                  4146,,                527962,                 14267
1102,2014年01月01日至2014年09月30日,,             57234891,,             49338081,              7896810,                    667,              7896143,,              2005522,              5890621,,,              1277306,,                 83873,,              1246132,,              3608646,              3723693,              9614314,,              1375043,              8239271,              8239271,,,                              0,                122052,,                111921,                233973,,                629471,             -1936743,                 12606,,               -703601,             -1998267,             -1764294,              6474977,,              7198698,              1040573,,              5247993,              1226984,,                              2.29,                              2.29,,                              2.11,                              2.11,,,,,,,,,
1102,2014年01月01日至2014年06月30日,,             37450912,,             31932192,              5518720,                    803,              5517917,,              1364110,              4153807,,,                970629,,                 63519,,                811079,,              2519030,              2742099,              6895906,,              1017234,              5878672,              5878672,,,                              0,                122052,,                              0,                122052,,               -275484,             -1722619,                  8010,,             -1275663,             -3265756,             -3143704,              2734968,,              5174629,                704043,,              2120997,                613971,,                              1.65,                              1.65,,                              1.52,                              1.52,                              0,,,,,,,,
1102,2014年01月01日至2014年03月31日,,             16256080,,             14017994,              2238086,                    358,              2237728,,                600109,              1637619,,,                242432,,               -523400,,                385203,,              1042631,                376460,              2014079,,                330848,              1683231,              1683231,,,                              0,                122052,,                              0,                122052,,                719397,               -868227,                  3931,,               -340082,               -484981,               -362929,              1320302,,              1439813,                243418,,                873472,                446830,,                              0.46,                              0.46,,                              0.39,                              0.39,,,,,,,,,
1102,2013年第3季,,             17609788,,             15664435,              1945353,                     26,              1945327,,                529542,              1415785,,,                335213,,                104801,,                410917,,                897930,                927027,              2342812,,                333958,              2008854,              2008854,,,,,,,,,,,,,,,                102341,              2111195,,              1689652,                319202,,              1915215,                195980,,                              0.53,                              0.53,,                              0.53,                              0.53,,               -418413,                506811,                  2420,                              0,,,                 11523,                              0
1102,2013年第2季,,             18181256,,             15663332,              2517924,                     12,              2517912,,                612504,              1905408,,,                676200,,                690765,,                415465,,              1291835,              2243335,              4148743,,                349019,              3799724,              3799724,,,,,,,,,,,,,,,               -531559,              3268165,,              3365327,                434397,,              2558774,                709391,,                              1.09,                              1.09,,                              0.97,                              0.97,                              0,                914604,             -1407949,                  8023,                              0,,,                -46237,                              0
1102,2013年第1季,,             13931550,,             13032289,                899261,                              0,                899298,,                552379,                346919,,,              1140953,,               -491001,,                424975,,              1025067,              1250044,              1596963,,                219496,              1377467,              1377467,,,,,,,,,,,,,,,               -125038,              1252429,,              1219360,                158107,,                724570,                527859,,                              0.40,                              0.40,,                              0.36,                              0.36,                     37,              1220801,             -1434252,                  5537,                              0,,,                 82876,                              0
1102,2013年度,,             70172781,,             61130154,              9042627,                     32,              9042595,,              2370095,              6672500,,,              2324762,,              1508123,,              1640204,,              5217067,              7409748,             14082248,,              1917929,             12164319,             12164319,,,,,,,,,,,,,,,              2340845,             14505164,,             10517318,              1647001,,             12091175,              2413989,,                              3.35,                              3.35,,                              3.17,                              3.17,,              2532355,             -1034586,                 20330,                              0,                262379,,                579878,                 19511
1102,2013年07月01日至2013年09月30日,,             17609788,,             15671659,              1938129,                     26,              1938103,,                529542,              1408561,,,                335213,,               -249245,,                410917,,                611715,                286766,              1695327,,                333938,              1361389,              1361389,,,,,,,,,,,,,,,                102341,              1463730,,              1042187,                319202,,              1267750,                195980,,                              0.34,                              0.34,,                              0.34,                              0.34,                              0,               -418413,                506811,                  2420,,,,                 11523,
1102,2013年04月01日至2013年06月30日,,             18181256,,             15670557,              2510699,                     12,              2510687,,                612504,              1898183,,,                676200,,                234770,,                415465,,                800492,              1295997,              3194180,,                259500,              2934680,              2934680,,,,,,,,,,,,,,,               -531559,              2403121,,              2500283,                434397,,              1693730,                709391,,                              0.83,                              0.83,,                              0.72,                              0.72,                              0,                914604,             -1407949,                  8023,,,,                -46237,
1102,2013年01月01日至2013年12月31日,,             70172781,,             61158946,              9013835,                     32,              9013803,,              2370095,              6643708,,,              2324762,,               -259150,,              1640205,,              3208725,              3634132,             10277840,,              1825950,              8451890,              8451890,,,,,,,,,,,,,,,              2334447,             10786337,,              6805830,              1646060,,              8373288,              2413049,,                              2.21,                              2.21,,                              2.12,                              2.12,,              2532355,             -1034586,                 20330,,                262379,,                573480,                 19511
1102,2013年01月01日至2013年09月30日,,             49722594,,             44360056,              5362538,                      1,              5362537,,              1694425,              3668112,,,              2152366,,                304565,,              1251357,,              3214832,              4420406,              8088518,,                902473,              7186045,              7186045,,,,,,,,,,,,,,,               -554256,              6631789,,              6274339,                911706,,              5198559,              1433230,,                              2.00,                              2.00,,                              1.91,                              1.91,,              1716992,             -2335390,                 15980,                              0,,,                 48162,                              0
1102,2013年01月01日至2013年06月30日,,             32112806,,             28695621,              3417185,                              0,              3417210,,              1164883,              2252327,,,              1817153,,                199764,,                840440,,              2316902,              3493379,              5745706,,                568515,              5177191,              5177191,,,,,,,,,,,,,,,               -656597,              4520594,,              4584687,                592504,,              3283344,              1237250,,                              1.49,                              1.49,,                              1.34,                              1.34,                     25,              2135405,             -2842201,                 13560,                              0,,,                 36639,                              0
1102,2013年01月01日至2013年03月31日,,             13931550,,             13039407,                892143,                              0,                892180,,                552379,                339801,,,              1140953,,               -491001,,                424975,,              1025067,              1250044,              1589845,,                218286,              1371559,              1371559,,,,,,,,,,,,,,,               -125038,              1246521,,              1213452,                158107,,                718662,                527859,,                              0.40,                              0.40,,                              0.37,                              0.37,                     37,              1220801,             -1434252,                  5537,,,,                 82876,
1102,2012年07月01日至2012年09月30日,,             16492265,,             15197561,              1294704,                              0,              1295167,,                463096,                832071,,,                232444,,               -133920,,                439233,,                451837,                111128,                943199,,                151637,                791562,                791562,,,,,,,,,,,,,,,                518173,              1309735,,                664825,                126737,,              1455213,               -145478,,                              0.22,                              0.22,,                              0.22,                              0.22,                    463,               -883758,              1344799,                 -3222,,,,                 60354,
1102,2012年04月01日至2012年06月30日,,             16678634,,             15222487,              1456147,                              0,              1458640,,                506351,                952289,,,                682543,,                235776,,                441405,,                759254,              1236168,              2188457,,                218583,              1969874,              1969874,,,,,,,,,,,,,,,             -2144860,               -174986,,              1854662,                115212,,               -382243,                207257,,                              0.61,                              0.61,,                              0.52,                              0.52,                  2493,                314685,             -1802851,                 -8687,,,,               -648007,
1102,2012年01月01日至2012年12月31日,,             63793183,,             57652085,              6141098,                    546,              6140552,,              2034063,              4106489,,,              1525878,,                183610,,              1773775,,              2677467,              2613180,              6719669,,                877278,              5842391,              5842391,,,,,,,,,,,,,,,               -920590,              4921801,,              5082381,                760010,,              4649295,                272506,,                              1.65,                              1.65,,                              1.64,                              1.64,,             -1629504,              1033409,                -12150,,                178855,,               -457551,                 33649
1102,2012年01月01日至2012年09月30日,,             46361950,,             42493118,              3868832,                    546,              3868286,,              1461838,              2406448,,,              1272953,,                124220,,              1357166,,              2364948,              2404955,              4811403,,                504491,              4306912,              4306912,,,,,,,,,,,,,,,             -1997674,              2309238,,              3942974,                363938,,              2431598,               -122360,,                              1.28,                              1.28,,                              1.26,                              1.26,                              0,             -1584939,                221255,                -17621,,,,               -616369,
