證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　　 不動產、廠房及設備減損損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 租金收入
2049,2014年01月01日至2014年03月31日,,              3011970,,              1813094,              1198876,              1198876,,,                228025,,                226238,,                161810,                616073,                582803,,,                 11651,                 11651,,                 -5021,                    119,                -89065,,,,                 83925,,                 41502,,                  3786,                 57860,                640663,,                142169,                498494,                498494,,,                 37299,                      2,                  6707,                 30594,                 30594,                529088,,                534238,                -35744,,                564832,                -35744,,                              2.04,                              2.04,,                              2.04,                              2.04,,,,,,,,,,,,,,,,,,
2049,2013年第3季,,              3384382,,              2117986,              1266396,              1266396,,,                212100,,                181698,,                129542,                523340,                743056,,,                 23215,                 23215,,,                  1455,,,,,                 10399,,                 38937,,,                 -5323,                737733,,                125632,                612101,                612101,,,,,,,                  9588,                621689,,                638520,                -26419,,                648108,                -26419,,                              2.44,                              2.44,,                              2.44,                              2.44,,                 11854,,,                 12303,                 -2715,,,                              0,,,,,,,,,
2049,2013年第2季,,              2803323,,              1742166,              1061157,              1061157,,,                226663,,                 95612,,                152282,                474557,                586600,,,                 26726,                 26726,,,                  1316,,,,,                 47827,,                 37420,,,                 37133,                623733,,                215385,                408348,                408348,,,,,,,                 23405,                431753,,                435247,                -26899,,                458652,                -26899,,                              1.71,                              1.71,,                              1.71,                              1.71,,                 49143,,,                 15412,                  7993,,,                              0,,,,,,,,,
2049,2013年度,,             12442866,,              7834804,              4608062,              4608062,,,                847168,,                834536,,                557488,              2239192,              2368870,,,,                 75151,,,                  3878,,,                              0,                              0,                198250,,                149030,,                 11069,                135440,              2504310,,                591486,              1912824,              1912824,,,,,,,                 52406,              1965230,,              2021585,               -108761,,              2073991,               -108761,,                              7.73,                              7.73,,                              7.70,                              7.70,                  9770,                200032,                  7674,                              0,                 47555,                  4539,                    312,                              0,,,,,,,,,,
2049,2013年07月01日至2013年09月30日,,              3384382,,              2117986,              1266396,              1266396,,,                212100,,                181698,,                129542,                523340,                743056,,,                 23215,                 23215,,,                  1455,,,,,                 10399,,                 38937,,,                 -5323,                737733,,                125632,                612101,                612101,,,,,,,                  9588,                621689,,                638520,                -26419,,                648108,                -26419,,                              2.52,                              2.52,,                              2.51,                              2.51,,                 11854,,,                 12303,                 -2715,,,,,,,,,,,,
2049,2013年04月01日至2013年06月30日,,              2803323,,              1742166,              1061157,              1061157,,,                226663,,                 95612,,                152282,                474557,                586600,,,                 26726,                 26726,,,                  1316,,,,,                 47827,,                 37420,,,                 37133,                623733,,                215385,                408348,                408348,,,,,,,                 23405,                431753,,                435247,                -26899,,                458652,                -26899,,                              1.77,                              1.77,,                              1.76,                              1.76,,                 49143,,,                 15412,                  7993,,,,,,,,,,,,
2049,2013年01月01日至2013年12月31日,,             12442866,,              7834804,              4608062,              4608062,,,                847168,,                834536,,                557488,              2239192,              2368870,,,                 64238,                 75151,,                              0,                  3878,                              0,,                              0,                              0,                198250,,                149030,,                 11069,                135440,              2504310,,                591486,              1912824,              1912824,,,,,,,                 52406,              1965230,,              2021585,               -108761,,              2073991,               -108761,,                              7.96,                              7.96,,                              7.93,                              7.93,                  9770,                200032,                  7674,,                 47555,                  4539,                    312,,,,,             12442866,             12442866,             12442866,,              7834804,              7834804,                 10913
2049,2013年01月01日至2013年09月30日,,              8561260,,              5404204,              3157056,              3157056,,,                617450,,                658373,,                386422,              1662245,              1494811,,,                 55482,                 55482,,,                  5839,,,,,                148717,,                113277,,,                 90922,              1585733,,                388877,              1196856,              1196856,,,,,,,                 25578,              1222434,,              1272780,                -75924,,              1298358,                -75924,,                              4.87,                              4.87,,                              4.85,                              4.85,,                154556,,,                 21039,                  4539,,,                              0,,,,,,,,,
2049,2013年01月01日至2013年06月30日,,              5176878,,              3286218,              1890660,              1890660,,,                405350,,                476675,,                256880,              1138905,                751755,,,                 32267,                 32267,,,                  4384,,,,,                138318,,                 74340,,,                 96245,                848000,,                263245,                584755,                584755,,,,,,,                 15990,                600745,,                634260,                -49505,,                650250,                -49505,,                              2.50,                              2.50,,                              2.49,                              2.49,,                142702,,,                  8736,                  7254,,,                              0,,,,,,,,,
2049,2013年01月01日至2013年03月31日,,              2373555,,              1544052,                829503,                829503,,,                178687,,                381063,,                104598,                664348,                165155,,,                 11855,                 11855,,,                  9381,,,,,                 84178,,                 36921,,,                 59112,                224267,,                 47860,                176407,                176407,,,,,,,                 -7415,                168992,,                199013,                -22606,,                191598,                -22606,,                              0.78,                              0.78,,                              0.78,                              0.78,,                 93559,,,                 -6676,                   -739,,,                              0,,,,,,,,,
2049,2012年07月01日至2012年09月30日,,              3009242,,              1875384,              1133858,              1133858,,,                168272,,                224951,,                109441,                502664,                631194,,,                  3010,                  3010,,,                     65,,,,,                -47668,,                 28820,,,                -73478,                557716,,                 92359,                465357,                465357,,,,,,,                  2943,                468300,,                491473,                -26116,,                494416,                -26116,,                              1.94,                              1.94,,                              1.93,                              1.93,,                -47603,,,                  3169,                   -226,,,,,,,,,,,,
2049,2012年04月01日至2012年06月30日,,              3686906,,              2201772,              1485134,              1485134,,,                207207,,                212811,,                 94968,                514986,                970148,,,                 27551,                 27551,,,                     29,,,,,                 21631,,                 24109,,,                 25073,                995221,,                381784,                613437,                613437,,,,,,,                -29201,                584236,,                630834,                -17397,,                601633,                -17397,,                              2.56,                              2.56,,                              2.54,                              2.54,,                 21660,,,                -25513,                 -3688,,,,,,,,,,,,
2049,2012年01月01日至2012年12月31日,,             12371951,,              7639370,              4732581,              4732581,,,                739474,,                822782,,                390625,              1952881,              2779700,,,                 44612,                 56501,,                 10336,                    658,                124504,,                 37384,                 37384,               -149913,,                105848,,                 13723,               -185537,              2594163,,                662029,              1932134,              1932134,,,,,,,                -62301,              1869833,,              2008971,                -76837,,              1946670,                -76837,,                              7.91,                              7.91,,                              7.88,                              7.88,                  2297,                              0,                              0,,                -45404,                  4323,                -21220,,,,,             12371951,             12371951,             12371951,,              7639370,              7639370,                 11889
2049,2012年01月01日至2012年09月30日,,              9349896,,              5574326,              3775570,              3775570,,,                549038,,                641888,,                278048,              1468974,              2306596,,,                 52635,                 52635,,,                    466,,,,,                -79643,,                 69641,,,                -96649,              2209947,,                582636,              1627311,              1627311,,,,,,,                -29113,              1598198,,              1682293,                -54982,,              1653180,                -54982,,                              6.63,                              6.63,,                              6.59,                              6.59,,                -79177,,,                -34091,                  4978,,,,,,,,,,,,
2049,2012年01月01日至2012年06月30日,,              6340654,,              3698942,              2641712,              2641712,,,                380766,,                416937,,                168607,                966310,              1675402,,,                 49625,                 49625,,,                    401,,,,,                -31975,,                 40821,,,                -23171,              1652231,,                490277,              1161954,              1161954,,,,,,,                -32056,              1129898,,              1190820,                -28866,,              1158764,                -28866,,                              4.83,                              4.83,,                              4.81,                              4.81,,                -31574,,,                -37260,                  5204,,,,,,,,,,,,
2049,2012年01月01日至2012年03月31日,,              2653748,,              1497170,              1156578,              1156578,,,                173559,,                204126,,                 73639,                451324,                705254,,,                 22288,                 22288,,,                    586,,,,,                -53820,,                 16712,,,                -48244,                657010,,                108493,                548517,                548517,,,,,,,                 -2855,                545662,,                559986,                -11469,,                557131,                -11469,,                              2.27,                              2.27,,                              2.26,                              2.26,,                -53234,,,                -11747,                  8892,,,,,,,,,,,,
