證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
1413,2015年第3季,,,                590450,                590450,,,                630220,                630220,                -39770,                -39770,,,                 11351,                 11351,                -51121,,,                  4238,,                 17149,,                  4954,,                  8518,                 24951,                -26170,,                  9961,                -36131,                -36131,,,                              0,                              0,,                              0,                              0,                              0,                -36131,,                -37046,                    915,,                -37046,                    915,,                             -0.28,,
1413,2015年第2季,,,                738986,                738986,,,                750487,                750487,                -11501,                -11501,,,                 47955,                 47955,                -59456,,,                    273,,                109765,,                  5166,,                 -8460,                 96412,                 36956,,                 -3257,                 40213,                 40213,,,                 -2042,                 -2042,,                              0,                              0,                 -2042,                 38171,,                 41380,                 -1167,,                 39338,                 -1167,,                              0.40,,
1413,2015年01月01日至2015年09月30日,,,              1909006,              1909006,,,              1975273,              1975273,                -66267,                -66267,,,                 76575,                 76575,               -142842,,,                  5174,,                134697,,                 15758,,                              0,                124113,                -18729,,                  9913,                -28642,                -28642,,,                 -2042,                 -2042,,                    -11,                    -11,                 -2053,                -30695,,                -28416,                   -226,,                -30469,                   -226,,                             -0.25,,
1413,2015年01月01日至2015年06月30日,,,              1318556,              1318556,,,              1345053,              1345053,                -26497,                -26497,,,                 65224,                 65224,                -91721,,,                    936,,                117548,,                 10804,,                 -8518,                 99162,                  7441,,                    -48,                  7489,                  7489,,,                 -2042,                 -2042,,                    -11,                    -11,                 -2053,                  5436,,                  8630,                 -1141,,                  6577,                 -1141,,                              0.08,,
1413,2015年01月01日至2015年03月31日,,,,                579570,,,,                594566,                -14996,                -14996,,,                 17269,                 17269,                -32265,,,                    663,,                  7783,,                  5639,,                    -58,                  2749,                -29516,,                  3208,                -32724,                -32724,,,,,,                    -11,                    -11,                    -11,                -32735,,                -32750,                     26,,                -32761,                     26,,                             -0.32,,
1413,2014年第3季,,,                867541,                867541,,,                944830,                944830,                -77289,                -77289,,,                 24045,                 24045,               -101334,,,                  5895,,                    679,,                  5961,,                    127,                    740,               -100594,,                 -1044,                -99550,                -99550,,,                              0,                              0,,                 -9589,                 -9589,                 -9589,               -109139,,               -100936,                  1386,,               -107689,                 -1450,,                             -1.00,,
1413,2014年第2季,,,                887400,                887400,,,                867755,                867755,                 19645,                 19645,,,                 26640,                 26640,                 -6995,,,                    408,,                 -8589,,                  5691,,                    -32,                -13904,                -20899,,                  2101,                -23000,                -23000,,,                              0,                              0,,                  7130,                  7130,                  7130,                -15870,,                -22752,                   -248,,                -16967,                  1097,,                             -0.23,,
1413,2014年度,,,,              3511555,,,,              3635582,               -124027,               -124027,,,                102594,                102594,               -226621,,,                  7534,,                 -3484,,                 23188,,                      2,                -19136,               -245757,,                  1418,               -247175,               -247175,,,,,,,,                -38765,               -285940,,               -245728,                 -1447,,               -277837,                 -8103,,                             -2.44,                -33013,                 -5752
1413,2014年01月01日至2014年09月30日,,,              2712365,              2712365,,,              2785841,              2785841,                -73476,                -73476,,,                 77419,                 77419,               -150895,,,                  6663,,                 -8717,,                 17274,,                     92,                -19236,               -170131,,                  1257,               -171388,               -171388,,,                              0,                              0,,                -17176,                -17176,                -17176,               -188564,,               -172236,                    848,,               -183774,                 -4790,,                             -1.71,,
1413,2014年01月01日至2014年06月30日,,,              1844823,              1844823,,,              1841010,              1841010,                  3813,                  3813,,,                 53374,                 53374,                -49561,,,                    768,,                 -9397,,                 11313,,                    -34,                -19976,                -69537,,                  2301,                -71838,                -71838,,,                              0,                              0,,                 -7587,                 -7587,                 -7587,                -79425,,                -71300,                   -538,,                -76085,                 -3340,,                             -0.71,,
1413,2014年01月01日至2014年03月31日,,,,                957423,,,,                973254,                -15831,                -15831,,,                 26736,                 26736,                -42567,,,                    360,,                   -808,,                  5622,,                     -1,                 -6071,                -48638,,                    201,                -48839,                -48839,,,,,,                -14717,                -14717,                -14717,                -63556,,                -48548,                   -291,,                -59118,                 -4438,,                             -0.48,,
1413,2013年第3季,,,              1193663,              1193663,,,              1179483,              1179483,                 14180,                 14180,,,                 29420,                 29420,                -15240,,,                  2535,,                    513,,                  6225,,                     56,                 -3121,                -18361,,                  1958,                -20319,                -20319,,,,,,,,                  9715,                -10604,,                -20581,                    262,,                -13904,                  3300,,                             -0.20,                  9715,
1413,2013年第2季,,,              1233840,              1233840,,,              1316797,              1316797,                -82957,                -82957,,,                 31042,                 31042,               -113999,,,                    552,,                    959,,                  6076,,                     -8,                 -4573,               -118572,,                    404,               -118976,               -118976,,,,,,,,                 10634,               -108342,,               -119011,                     35,,               -110890,                  2548,,                             -0.71,                 10634,
1413,2013年度,,,,              4669071,,,,              4831274,               -162203,               -162203,,,                120384,                120384,               -282587,,,                  4031,,                  7364,,                 23927,,                    -32,                -12564,               -295151,,                  2817,               -297968,               -297968,,,,,,,,                 22431,               -275537,,               -297922,                    -46,,               -281212,                  5675,,                             -2.95,                 21875,                    556
1413,2013年07月01日至2013年09月30日,,,              1193663,              1193663,,,              1179483,              1179483,                 14180,                 14180,,,                 29420,                 29420,                -15240,,,                  2535,,                    513,,                  6225,,                     56,                 -3121,                -18361,,                  1958,                -20319,                -20319,,,,,,,,                  9715,                -10604,,                -20581,                    262,,                -13904,                  3300,,                             -0.12,                  9715,
1413,2013年04月01日至2013年06月30日,,,,              1233840,,,,              1316797,                -82957,                -82957,,,                 31042,                 31042,               -113999,,,                    552,,                    959,,                  6076,,                     -8,                 -4573,               -118572,,                    404,               -118976,               -118976,,,,,,,,                 10634,               -108342,,               -119011,                     35,,               -110890,                  2548,,                             -0.71,                 10634,
1413,2013年01月01日至2013年12月31日,,,,              4669071,,,,              4831274,               -162203,               -162203,,,                120384,                120384,               -282587,,,                  4031,,                  7364,,                 23927,,                    -32,                -12564,               -295151,,                  2817,               -297968,               -297968,,,,,,,,                 22431,               -275537,,               -297922,                    -46,,               -281212,                  5675,,                             -1.77,                 21875,                    556
1413,2013年01月01日至2013年09月30日,,,              3556167,              3556167,,,              3666787,              3666787,               -110620,               -110620,,,                 89296,                 89296,               -199916,,,                  3575,,                  5946,,                 17561,,                     63,                 -7977,               -207893,,                  2917,               -210810,               -210810,,,,,,,,                 10882,               -199928,,               -210820,                     10,,               -203102,                  3174,,                             -2.09,                 10882,
1413,2013年01月01日至2013年06月30日,,,              2362504,              2362504,,,              2487304,              2487304,               -124800,               -124800,,,                 59876,                 59876,               -184676,,,                  1040,,                  5433,,                 11336,,                      7,                 -4856,               -189532,,                    959,               -190491,               -190491,,,,,,,,                  1167,               -189324,,               -190239,                   -252,,               -189198,                   -126,,                             -1.13,                  1167,
1413,2013年01月01日至2013年03月31日,,,,              1128664,,,,              1170507,                -41843,                -41843,,,                 28834,                 28834,                -70677,,,                    488,,                  4474,,                  5260,,                     15,                   -283,                -70960,,                    555,                -71515,                -71515,,,,,,,,                 -9467,                -80982,,                -71228,                   -287,,                -78308,                 -2674,,                             -0.42,                 -9467,
1413,2012年07月01日至2012年09月30日,,,                883943,                883943,,,                908226,                908226,                -24283,                -24283,,,                 25769,                 25769,                -50052,,,                  8356,,                  2428,,                  5233,,                    113,                  5664,                -44388,,                 -2049,                -42339,                -42339,,,,,,,,                  3931,                -38408,,                -44028,                  1689,,                -40940,                  2532,,                             -0.26,                  3931,
1413,2012年04月01日至2012年06月30日,,,,                993747,,,,                960025,                 33722,                 33722,,,                 27475,                 27475,                  6247,,,                    476,,                 -2466,,                  3911,,                      6,                 -5895,                    352,,                    304,                     48,                     48,,,,,,,,                -17280,                -17232,,                    909,                   -861,,                -12415,                 -4817,,                              0.01,                -17280,
1413,2012年01月01日至2012年12月31日,,,,              3991844,,,,              4110569,               -118725,               -118725,,,                109363,                109363,               -228088,,,                  9703,,                 20988,,                 17811,,                    -93,                 12787,               -215301,,                 51614,               -266915,               -266915,,,,,,,,                 -9956,               -276871,,               -267740,                    825,,               -276405,                   -466,,                             -1.59,                 -6252,                 -3704
1413,2012年01月01日至2012年09月30日,,,              2959508,              2959508,,,              2998625,              2998625,                -39117,                -39117,,,                 79564,                 79564,               -118681,,,                  9392,,                  4927,,                 13335,,                    129,                  1113,               -117568,,                 -5301,               -112267,               -112267,,,,,,,,                    548,               -111719,,               -112755,                    488,,               -112508,                    789,,                             -0.67,                    548,
1413,2012年01月01日至2012年06月30日,,,,              2075565,,,,              2090399,                -14834,                -14834,,,                 53795,                 53795,                -68629,,,                  1036,,                  2499,,                  8102,,                     16,                 -4551,                -73180,,                 -3252,                -69928,                -69928,,,,,,,,                 -3383,                -73311,,                -68727,                 -1201,,                -71568,                 -1743,,                             -0.41,                 -3383,
1413,2012年01月01日至2012年03月31日,,,,              1081818,,,,              1130374,                -48556,                -48556,,,                 26320,                 26320,                -74876,,,                    560,,                  4965,,                  4191,,                     10,                  1344,                -73532,,                 -3556,                -69976,                -69976,,,,,,,,                 13897,                -56079,,                -69636,                   -340,,                -59153,                  3074,,                             -0.41,                 13897,
