證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3094,2014年01月01日至2014年03月31日,,                 75882,,                 22534,                 53348,                 53348,,,                  7739,,                  9996,,                 20512,                 38247,                 15101,,,                  6537,,                  3862,,                     10,,                 -1316,                  9073,                 24174,,                  3577,                 20597,                 20597,,,                  2076,                              0,                              0,                  2076,                  2076,                 22673,,                 20599,                     -2,,                 22675,                     -2,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,
3094,2013年第3季,,                 94627,,                 28010,                 66617,                 66617,,,                 11569,,                 11857,,                 21422,                 44848,                 21769,,,                  7436,,                 -5532,,                     10,,                   -275,                  1619,                 23388,,                  3074,                 20314,                 20314,,,,,,,                 -1850,                 18464,,                 20322,                     -8,,                 18472,                     -8,,                              0.24,                              0.24,,                              0.24,                              0.24,                 -1850,                              0,                              0,                              0
3094,2013年第2季,,                 94129,,                 29720,                 64409,                 64409,,,                 12472,,                 12242,,                 22138,                 46852,                 17557,,,                  4697,,                    156,,                      9,,                   -502,                  4342,                 21899,,                  4051,                 17848,                 17848,,,,,,,                  1178,                 19026,,                 17851,                     -3,,                 19029,                     -3,,                              0.21,                              0.21,,                              0.21,                              0.21,                  1178,                              0,,                              0
3094,2013年度,,                350236,,                104919,                245317,                245317,,,                 46520,,                 47907,,                 87709,                182136,                 63181,,,                 21599,,                  3474,,                     52,,                 -1783,                 23238,                 86419,,                 14483,                 71936,                 71936,,,,,,,                  7492,                 79428,,                 71943,                     -7,,                 79435,                     -7,,                              0.87,                              0.87,,                              0.87,                              0.87,                  5793,                  2047,                              0,                    348
3094,2013年07月01日至2013年09月30日,,                 94627,,                 28010,                 66617,                 66617,,,                 11569,,                 11857,,                 21422,                 44848,                 21769,,,                  7436,,                 -5532,,                     10,,                   -275,                  1619,                 23388,,                  3074,                 20314,                 20314,,,,,,,                 -1850,                 18464,,                 20322,                     -8,,                 18472,                     -8,,                              0.24,                              0.24,,                              0.24,                              0.24,                 -1850,                              0,,                              0
3094,2013年04月01日至2013年06月30日,,                 94129,,                 29720,                 64409,                 64409,,,                 12472,,                 12242,,                 22138,                 46852,                 17557,,,                  4697,,                    156,,                      9,,                   -502,                  4342,                 21899,,                  4051,                 17848,                 17848,,,,,,,                  1178,                 19026,,                 17851,                     -3,,                 19029,                     -3,,                              0.21,                              0.21,,                              0.21,                              0.21,                  1178,                              0,,                              0
3094,2013年01月01日至2013年12月31日,,                350236,,                104919,                245317,                245317,,,                 46520,,                 47907,,                 87709,                182136,                 63181,,,                 21599,,                  3474,,                     52,,                 -1783,                 23238,                 86419,,                 14483,                 71936,                 71936,,,,,,,                  7492,                 79428,,                 71943,                     -7,,                 79435,                     -7,,                              0.87,                              0.87,,                              0.87,                              0.87,                  5793,                  2047,                              0,                    348
3094,2013年01月01日至2013年09月30日,,                264100,,                 76206,                187894,                187894,,,                 37564,,                 36807,,                 66687,                141058,                 46836,,,                 15469,,                  3965,,                     24,,                 -3756,                 15654,                 62490,,                 10466,                 52024,                 52024,,,,,,,                  5664,                 57688,,                 52031,                     -7,,                 57695,                     -7,,                              0.63,                              0.63,,                              0.63,                              0.63,                  3965,                  2047,                              0,                    348
3094,2013年01月01日至2013年06月30日,,                175240,,                 53963,                121277,                121277,,,                 25995,,                 24950,,                 45265,                 96210,                 25067,,,                  8033,,                  9497,,                     14,,                 -3481,                 14035,                 39102,,                  7392,                 31710,                 31710,,,,,,,                  7514,                 39224,,                 31709,                      1,,                 39223,                      1,,                              0.38,                              0.38,,                              0.38,                              0.38,                  5815,                  2047,,                    348
3094,2013年01月01日至2013年03月31日,,                 81111,,                 24243,                 56868,                 56868,,,                 13523,,                 12708,,                 23127,                 49358,                  7510,,,                  3336,,                  9341,,                      5,,                 -2979,                  9693,                 17203,,                  3341,                 13862,                 13862,,,,,,,                  6336,                 20198,,                 13858,                      4,,                 20194,                      4,,                              0.17,                              0.17,,                              0.17,                              0.17,                  4637,                  2047,,                    348
3094,2012年07月01日至2012年09月30日,,                 91445,,                 29252,                 62193,                 62193,,,                 15473,,                 12410,,                 21911,                 49794,                 12399,,,                  7633,,                 -6450,,                      7,,                   -204,                    972,                 13371,,                   -481,                 13852,                 13852,,,,,,,                 -5626,                  8226,,                 13850,                      2,,                  8224,                      2,,                              0.17,                              0.17,,                              0.17,                              0.17,                 -3511,                 -2549,,                   -434
3094,2012年04月01日至2012年06月30日,,                 99338,,                 30595,                 68743,                 68743,,,                 11725,,                 15165,,                 25368,                 52258,                 16485,,,                 12079,,                  3896,,                      8,,                   -330,                 15637,                 32122,,                  7778,                 24344,                 24344,,,,,,,                  1252,                 25596,,                 24892,                   -548,,                 26144,                   -548,,                              0.31,                              0.31,,                              0.31,                              0.31,                  1923,                   -808,,                   -137
3094,2012年01月01日至2012年12月31日,,                375256,,                122858,                252398,                252398,,,                 41671,,                 54033,,                 90858,                186562,                 65836,,,                 28800,,                -24470,,                     29,,                   -303,                  3998,                 69834,,                 11324,                 58510,                 58510,,,,,,,                -10535,                 47975,,                 60017,                 -1507,,                 49482,                 -1507,,                              0.73,                              0.73,,                              0.73,                              0.73,                 -6649,                 -1561,                 -3720,                 -1395
3094,2012年01月01日至2012年09月30日,,                281897,,                 89457,                192440,                192440,,,                 36151,,                 41550,,                 69788,                147489,                 44951,,,                 23160,,                 -9076,,                     22,,                 -1685,                 12377,                 57328,,                  9172,                 48156,                 48156,,,,,,,                 -7667,                 40489,,                 49663,                 -1507,,                 41996,                 -1507,,                              0.61,                              0.61,,                              0.60,                              0.60,                 -5619,                 -2468,,                   -420
3094,2012年01月01日至2012年06月30日,,                190452,,                 60205,                130247,                130247,,,                 20678,,                 29140,,                 47877,                 97695,                 32552,,,                 15527,,                 -2626,,                     15,,                 -1481,                 11405,                 43957,,                  9653,                 34304,                 34304,,,,,,,                 -2041,                 32263,,                 35813,                 -1509,,                 33772,                 -1509,,                              0.44,                              0.44,,                              0.44,                              0.44,                 -2108,                     81,,                     14
3094,2012年01月01日至2012年03月31日,,                 91114,,                 29610,                 61504,                 61504,,,                  8953,,                 13975,,                 22509,                 45437,                 16067,,,                  3448,,                 -6522,,                      7,,                 -1151,                 -4232,                 11835,,                  1875,                  9960,                  9960,,,,,,,                 -3293,                  6667,,                 10921,                   -961,,                  7628,                   -961,,                              0.13,                              0.13,,                              0.13,                              0.13,                 -4031,                    889,,                    151
