證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
6120,2015年第3季,,             10280525,,              9944242,                336283,                336283,,,                122737,,                285490,,                127345,                535572,               -199289,,,                117003,,                 42458,,                 12581,,                -29691,                117189,                -82100,,                 91136,               -173236,               -173236,,,,,,                601713,                102291,                499422,                499422,                326186,,               -173236,,                326186,,                             -0.23,,                              0.00,,,,,,,
6120,2015年第2季,,              9449290,,              9248606,                200684,                200684,,,                 69198,,                272859,,                 81310,                423367,               -222683,,,                124273,,                 36343,,                 11794,,                -45516,                103306,               -119377,,                 25446,               -144823,               -144823,,,,,,               -162579,                -27639,               -134940,               -134940,               -279763,,               -144823,,               -279763,,                             -0.19,,                              0.00,,,,,,,
6120,2015年度,,             41172141,,             39512458,              1659683,              1659683,,,                394761,,              1119495,,                447344,              1961600,               -301917,,,                409712,,                -32680,,                 49493,,               -209632,                117907,               -184010,,                241239,               -425249,               -425249,,,                   -381,                   -381,,                -94404,                -16049,                -78355,                -78736,               -503985,,               -425249,,               -503985,,                             -0.57,,                              0.00,,,,,,,
6120,2015年01月01日至2015年09月30日,,             30715714,,             29513349,              1202365,              1202365,,,                283596,,                820465,,                345432,              1449493,               -247128,,,                328773,,                 88679,,                 36414,,               -103780,                277258,                 30130,,                198387,               -168257,               -168257,,,,,,                264744,                 45006,                219738,                219738,                 51481,,               -168257,,                 51481,,                             -0.22,,                              0.00,,,,,,,
6120,2015年01月01日至2015年06月30日,,             20435189,,             19569107,                866082,                866082,,,                160859,,                534975,,                218087,                913921,                -47839,,,                211770,,                 46221,,                 23833,,                -74089,                160069,                112230,,                107251,                  4979,                  4979,,,,,,               -336969,                -57285,               -279684,               -279684,               -274705,,                  4979,,               -274705,,                              0.01,,                              0.01,,,,,,,
6120,2015年01月01日至2015年03月31日,,             10985899,,             10320501,                665398,                665398,,,                 91661,,                262116,,                136777,                490554,                174844,,,                 87497,,                  9878,,                 12039,,                -28573,                 56763,                231607,,                 81805,                149802,                149802,,,,                              0,,               -174390,                -29646,               -144744,               -144744,                  5058,,                149802,,                  5058,,                              0.20,,                              0.20,,                              0,,,,,
6120,2014年第3季,,             10276301,,              9786281,                490020,                490020,,,                 54698,,                185581,,                122821,                363100,                126920,,,                 81822,,                 32361,,                 21604,,                -89851,                  2728,                129648,,                145307,                -15659,                -15659,,,,,,                271309,                 46181,                225128,                225128,                209469,,                -15659,,                209469,,                             -0.03,,                              0.00,,,,,,,
6120,2014年第2季,,             10064536,,              9636873,                427663,                427663,,,                 46075,,                148767,,                 89682,                284524,                143139,,,                 65530,,                 27984,,                 26814,,                -42615,                 24085,                167224,,                 37667,                129557,                129557,,,,,,               -177516,                -23697,               -153819,               -153819,                -24262,,                129557,,                -24262,,                              0.24,,                              0.24,,,,,,,
6120,2014年度,,             43817653,,             42114384,              1703269,              1703269,,,                293975,,                987841,,                574896,              1856712,               -153443,,,                311531,,              2410870,,                102191,,               -219954,              2400256,              2246813,,                956623,              1290190,              1290190,,,                  2397,                  2397,,                443597,                 86211,                357386,                359783,              1649973,,              1290190,,              1649973,,                              2.41,,                              2.40,,,                443597,                  2397,                 86211,,
6120,2014年01月01日至2014年09月30日,,             29550974,,             28319538,              1231436,              1231436,,,                155930,,                515769,,                323980,                995679,                235757,,,                204957,,                 37550,,                 85252,,               -192251,                -34996,                200761,,                192925,                  7836,                  7836,,,,,,                 43471,                  7390,                 36081,                 36081,                 43917,,                  7836,,                 43917,,                              0.01,,                              0.01,,,,,,,
6120,2014年01月01日至2014年06月30日,,             19274673,,             18533257,                741416,                741416,,,                101232,,                330188,,                201159,                632579,                108837,,,                123135,,                  5189,,                 63648,,               -102400,                -37724,                 71113,,                 47618,                 23495,                 23495,,,,,,               -227838,                -38791,               -189047,               -189047,               -165552,,                 23495,,               -165552,,                              0.04,,                              0.04,,,,,,,
6120,2014年01月01日至2014年03月31日,,              9210137,,              8896384,                313753,                313753,,,                 55157,,                181421,,                111477,                348055,                -34302,,,                 57605,,                -22795,,                 36834,,                -59785,                -61809,                -96111,,                  9951,               -106062,               -106062,,,,                              0,,                -50322,                -15094,                -35228,                -35228,               -141290,,               -106062,,               -141290,,                             -0.19,,                              0.00,,                              0,,,,,
6120,2013年第3季,,              4408798,,              4320370,                 88428,                 88428,,,                 56894,,                141823,,                 91842,                290559,               -202131,,,                 56241,,                    535,,                  1895,,                 -7477,                 47404,               -154727,,                 13169,               -167896,               -167896,,,,,,,,,                -59991,               -227887,,               -167000,,               -226292,,                             -0.37,,                              0.00,,,                -72279,,                -12288,                   -896,                 -1595
6120,2013年第2季,,              4439914,,              4292079,                147835,                147835,,,                 53456,,                128189,,                101269,                282914,               -135079,,,                 20612,,                 27765,,                  1856,,                  9173,                 55694,                -79385,,                 -3649,                -75736,                -75736,,,,,,,,,                133704,                 57968,,                -70919,,                 61228,,                             -0.16,,,,,                161090,,                 27386,                 -4817,                 -3260
6120,2013年度,,             37181678,,             34784382,              2397296,              2397296,,,                227060,,                823157,,                451919,              1502136,                895160,,,                330063,,                -22307,,                149871,,               -370217,               -212332,                682828,,                181139,                501689,                501689,,,,,,,,,                444788,                946477,,                501689,,                946477,,                              0.92,,                              0.92,,,                520885,                              0,                 76097,,
6120,2013年07月01日至2013年09月30日,,              4408798,,              4320370,                 88428,                 88428,,,                 56894,,                141823,,                 91842,                290559,               -202131,,,                 56241,,                    535,,                  1895,,                 -7477,                 47404,               -154727,,                 13169,               -167896,               -167896,,,,,,,,,                -59991,               -227887,,               -167000,,               -226292,,                             -0.37,,                              0.00,,,                -72279,,                -12288,                   -896,                 -1595
6120,2013年04月01日至2013年06月30日,,              4439914,,              4292079,                147835,                147835,,,                 53456,,                128189,,                101269,                282914,               -135079,,,                 20612,,                 27765,,                  1856,,                  9173,                 55694,                -79385,,                 -3649,                -75736,                -75736,,,,,,,,,                133704,                 57968,,                -70919,,                 61228,,                             -0.16,,                              0.00,,,                161090,,                 27386,                 -4817,                 -3260
6120,2013年01月01日至2013年12月31日,,             16910703,,             16610366,                300337,                300337,,,                210844,,                509349,,                370641,              1090834,               -790497,,,                193269,,               -295258,,                  7369,,                 -5634,               -114992,               -905489,,                -37381,               -868108,               -868108,,,,,,,,,                374670,               -493438,,               -861448,,               -491142,,                             -1.89,,                              0.00,,,                450839,                    473,                 76642,                 -6660,                 -2296
6120,2013年01月01日至2013年09月30日,,             12816702,,             12484656,                332046,                332046,,,                154851,,                402713,,                281913,                839477,               -507431,,,                 84040,,                 14481,,                  5666,,                 11348,                104203,               -403228,,                -10470,               -392758,               -392758,,,,,,,,,                269356,               -123402,,               -386153,,               -119956,,                             -0.85,,                              0.00,,,                324525,,                 55169,                 -6605,                 -3446
6120,2013年01月01日至2013年06月30日,,              8407904,,              8164286,                243618,                243618,,,                 97957,,                260890,,                190071,                548918,               -305300,,,                 27799,,                 13946,,                  3771,,                 18825,                 56799,               -248501,,                -23639,               -224862,               -224862,,,,,,,,,                329347,                104485,,               -219153,,                106336,,                             -0.48,,,,,                396804,,                 67457,                 -5709,                 -1851
6120,2013年01月01日至2013年03月31日,,              3967990,,              3872207,                 95783,                 95783,,,                 44501,,                132701,,                 88802,                266004,               -170221,,,                  7187,,                -13819,,                  1915,,                  9652,                  1105,               -169116,,                -19990,               -149126,               -149126,,,,,,,,,                195643,                 46517,,               -148234,,                 45108,,                             -0.32,,,,,                235714,,                 40071,                   -892,                  1409
6120,2012年07月01日至2012年09月30日,,              5628143,,              5241816,                386327,                386327,,,                 52401,,                140348,,                 94185,                286934,                 99393,,,                 47790,,                 27114,,                  1212,,                -10490,                 63202,                162595,,                 55055,                107540,                107540,,,,,,,,,               -147409,                -39869,,                105749,,                -39908,,                              0.22,,                              0.22,,,               -177601,,                -30192,                  1791,                     39
6120,2012年04月01日至2012年06月30日,,              5463228,,              5173532,                289696,                289696,,,                 45353,,                145444,,                 93016,                283813,                  5883,,,                 16692,,                 40650,,                  5518,,                 13571,                 65395,                 71278,,                 31892,                 39386,                 39386,,,,,,,,,                 50301,                 89687,,                 35103,,                 84828,,                              0.07,,                              0.07,,,                 60603,,                 10302,                  4283,                  4859
6120,2012年01月01日至2012年12月31日,,             21177923,,             19973989,              1203934,              1203934,,,                190530,,                521108,,                379223,              1090861,                113073,,,                112165,,                 50322,,                 16542,,                 18730,                164675,                277748,,                167137,                110611,                110611,,,,,,,,,               -257814,               -147203,,                103524,,               -151252,,                              0.22,,                              0.22,,,               -312759,                  1777,                -53168,                  7087,                  4049
6120,2012年01月01日至2012年09月30日,,             16660048,,             15707617,                952431,                952431,,,                141805,,                415610,,                287387,                844802,                107629,,,                 83064,,                 76256,,                 15649,,                 11848,                155519,                263148,,                123581,                139567,                139567,,,,,,,,,               -258412,               -118845,,                131669,,               -123702,,                              0.28,,                              0.27,,,               -311340,,                -52928,                  7898,                  4857
