證券代號,年季,　 營業收入,　　 保費收入,　　　 簽單保費收入,　　　 再保費收入,　　　 保費收入合計,　　 再保費支出,　　 未滿期保費準備淨變動,　　　 未滿期保費準備淨變動,　　 自留滿期保費收入,　　 再保佣金收入,　　 手續費收入,　　　 手續費收入合計,　　 淨投資損益,　　　 利息收入,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 備供出售金融資產之已實現損益,　　　 以成本衡量之金融資產及負債之已實現損益,　　　 兌換損益－投資,　　　 投資性不動產損益,　　　 投資減損損失及迴轉利益,　　　　 投資減損損失及迴轉利益淨額,　　　 淨投資損益,　　 其他營業收入,　　　 其他營業收入合計,　　 營業收入合計,　 營業成本,　　 保險賠款與給付,　　　 保險賠款與給付合計,　　 攤回再保賠款與給付,　　 自留保險賠款與給付,　　 其他保險負債淨變動,　　　 賠款準備淨變動,　　　　 賠款準備淨變動,　　　 特別準備淨變動,　　　　 特別準備淨變動,　　　 保費不足準備淨變動,　　　　 保費不足準備淨變動,　　　 其他保險負債淨變動合計,　　 佣金費用,　　　 佣金費用合計,　　 其他營業成本,　　　 其他營業成本合計,　　 營業成本合計,　 營業費用,　　 業務費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）淨額,　 繼續營業單位本期純益（純損）,　 本期淨利（淨損）,　 其他綜合損益（稅後淨額）,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產之未實現評價利益（損失）,　　　 後續可能重分類至損益之項目,　　 其他綜合損益（稅後淨額）合計,　 本期綜合損益總額,　 基本每股盈餘 ,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 繼續營業單位稅前純益（純損）,　　 其他綜合損益-稅前,　　　 確定福利計畫精算利益（損失）,　　　 其他綜合損益－稅前合計,　　 與其他綜合損益組成部分相關之所得稅,　　 保險負債淨變動,　　　 保險負債淨變動,　　　 保險賠款與給付,　　 其他營業外收入及支出,　　　 其他營業外收入及支出淨額
2832,2015年第3季,,,              1157970,                 85932,              1243902,                359658,,                -67837,                952081,                 37279,,                 11845,,                 17323,               -152749,                 89529,                 30000,                 22839,                112491,,                              0,                119433,,                  9033,              1129671,,,                634039,                157399,                476640,,,                 62889,,                -26382,,                 -2689,                 33818,,                172190,,                    470,                683118,,                276810,                276810,                169743,,                  4808,                174551,,                 26540,                148011,                148011,,,               -211242,               -211242,               -211242,                -63231,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,,,,
2832,2015年第2季,,,              1440155,                117227,              1557382,                526599,,                 89360,                941423,                 66022,,                 13142,,                 18232,                -73037,                              0,                 11432,                 -6152,                548397,,,                498872,,                              0,              1519459,,,                681696,                280180,                401516,,,                 26186,,                 24360,,                    820,                 51366,,                196017,,                  8062,                656961,,                269010,                269010,                593488,,                  1264,                594752,,                 47104,                547648,                547648,,,                -46018,                -46018,                -46018,                501630,,                              1.51,                              1.51,,                              1.50,                              1.50,,,,,,,,,,
2832,2015年01月01日至2015年09月30日,,,              4013135,                281959,              4295094,              1493365,,                    166,              2801563,                174281,,                 36271,,                 51788,               -190590,                101594,                 45772,                 11885,                747162,,                              0,                767611,,                  9033,              3788759,,,              1913333,                581506,              1331827,,,                 96148,,                -22398,,                 -3563,                 70187,,                558385,,                 22520,              1982919,,                779474,                779474,              1026366,,                  6129,              1032495,,                102612,                929883,                929883,,,               -196229,               -196229,               -196229,                733654,,                              2.56,                              2.56,,                              2.55,                              2.55,,,,,,,,,,
2832,2015年01月01日至2015年06月30日,,,              2855165,                196027,              3051192,              1133707,,                 68003,              1849482,                137002,,                 24426,,                 34465,                -37841,                 12065,                 15772,                -10954,                634671,,,                648178,,                              0,              2659088,,,              1279294,                424107,                855187,,,                 33259,,                  3984,,                   -874,                 36369,,                386195,,                 22050,              1299801,,                502664,                502664,                856623,,                  1321,                857944,,                 76072,                781872,                781872,,,                 15013,                 15013,                 15013,                796885,,                              2.15,                              2.15,,                              2.14,                              2.14,,,,,,,,,,
2832,2015年01月01日至2015年03月31日,,,              1415010,                 78800,              1493810,                607108,,                -21357,                908059,                 70980,,                 11284,,                 16233,                 35196,                 12065,                  4340,                 -4802,                 86274,,,                149306,,                              0,              1139629,,,                597598,                143927,                453671,,,                  7073,,                -20376,,                 -1694,                -14997,,                190178,,                 13988,                642840,,                233654,                233654,                263135,,                     57,                263192,,                 28968,                234224,                234224,,,                 61031,                 61031,                 61031,                295255,,                              0.64,                              0.64,,                              0.64,                              0.64,,,,,,,,,,
2832,2014年第3季,,,              1134781,                 77767,              1212548,                355704,,                -42778,                899622,                 37731,,                 11666,,                 15365,                 -9995,                 56439,                              0,                  8955,                 19571,,                 -3518,                 86817,,                  1482,              1037318,,,                457484,                102494,                354990,,,                 81433,,                 19528,,                  1916,                102877,,                166909,,                  4664,                629440,,                240966,                240966,                166912,,                  1552,                168464,,                 22120,                146344,                146344,,,                 -7305,                 -7305,                 -7305,                139039,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,,,,,
2832,2014年第2季,,,              1351374,                 96537,              1447911,                484147,,                 73465,                890299,                 65464,,                 12783,,                 15596,                -12133,                  6459,                  5963,                 -7544,                 25353,,,                 33694,,                 -3082,                999158,,,                487193,                104262,                382931,,,                 33920,,                 15132,,                  2620,                 51672,,                185273,,                  8847,                628723,,                231310,                231310,                139125,,                  5911,                145036,,                 28589,                116447,                116447,,,                 68506,                 68506,                 68506,                184953,,                              0.32,                              0.32,,                              0.32,                              0.32,,,,,,,,,,
2832,2014年度,,,              5074207,                334599,              5408806,              1736064,,                117664,              3555078,                203230,,                 47694,,                 59335,                 65739,                 81928,                  5963,                 18872,                 91626,,                 -3518,                319945,,                  7266,              4133213,,,              2288877,                696246,              1592631,,,                352350,,               -232740,,                -10154,                109456,,                701421,,                 29393,              2432901,,                928079,                928079,                772233,,                  7974,,,                122180,                658027,                658027,,,                -15046,,                -22082,                635945,,                              1.81,                              1.81,,                              1.80,                              1.80,                780207,,                 -8477,                -23523,                 -1441,,,,,
2832,2014年01月01日至2014年09月30日,,,              3871475,                243072,              4114547,              1368951,,                102073,              2643523,                166901,,                 35566,,                 43728,                  6596,                 81928,                  5963,                  3886,                 71099,,                 -3518,                209682,,                  1749,              3057421,,,              1633339,                494832,              1138507,,,                308738,,               -192533,,                 -4801,                111404,,                528856,,                 21958,              1800725,,                704028,                704028,                552668,,                  7355,                560023,,                 84960,                475063,                475063,,,                 -4903,                 -4903,                 -4903,                470160,,                              1.31,                              1.31,,                              1.30,                              1.30,,,,,,,,,,
2832,2014年01月01日至2014年06月30日,,,              2736694,                165305,              2901999,              1013247,,                144851,              1743901,                129170,,                 23900,,                 28363,                 16591,                 25489,                  5963,                 -5069,                 51528,,,                122865,,                    267,              2020103,,,              1175855,                392338,                783517,,,                227305,,               -212061,,                 -6717,                  8527,,                361947,,                 17294,              1171285,,                463062,                463062,                385756,,                  5803,                391559,,                 62840,                328719,                328719,,,                  2402,                  2402,                  2402,                331121,,                              0.90,                              0.90,,                              0.90,                              0.90,,,,,,,,,,
2832,2014年01月01日至2014年03月31日,,,              1385320,                 68768,              1454088,                529100,,                 71386,                853602,                 63706,,                 11117,,                 12767,                 28724,                 19030,                              0,                  2475,                 26175,,,                 89171,,                  3349,              1020945,,,                688662,                288076,                400586,,,                193385,,               -227193,,                 -9337,                -43145,,                176674,,                  8447,                542562,,                231752,                231752,                246631,,                   -108,                246523,,                 34251,                212272,                212272,,,                -66104,                -66104,                -66104,                146168,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,,,,,,
2832,2013年第3季,,,              1047004,                 74091,              1121095,                347266,,                -67259,                841088,                 34698,,                 10983,,                 12020,                 59757,                104811,                              0,                 -3433,                 25302,,                              0,                198457,,                 -2041,              1083185,,,                617190,                203626,                413564,,,                  5541,,                -17693,,                 -1723,                -13875,,                152635,,                  6090,                558414,,                233729,                233729,                291042,,                 -1220,,,                 22426,                267396,                267396,,,                 64801,,                 64466,                331862,,                              0.73,                              0.73,,                              0.73,                              0.73,                289822,,,                 64801,                    335,,,,,
2832,2013年第2季,,,              1337442,                 91417,              1428859,                508718,,                 88410,                831731,                 64005,,                 12109,,                 13025,                -23047,                    469,                              0,                  2180,                 25854,,,                 18481,,                  1327,                927653,,,                708112,                138261,                569851,,,               -224155,,                  6005,,                    -12,               -218162,,                169016,,                  7236,                527941,,                199152,                199152,                200560,,                  8822,,,                 38432,                170950,                170950,,,                 96932,,                 97688,                268638,,                              0.47,                              0.47,,                              0.47,                              0.47,                209382,,,                 96932,                   -756,,,,,
2832,2013年度,,,              4936550,                324448,              5260998,              1882633,,                 60463,              3317902,                206159,,                 45363,,                 50764,                170746,                112208,                              0,                  5579,                102431,,                              0,                441728,,                  7065,              4018217,,,              2609206,              1009309,              1599897,,,                -44030,,                -18163,,                  4614,                -57579,,                649010,,                 27626,              2218954,,                872640,                872640,                926623,,                  6765,,,                112553,                820835,                820835,,,                345260,,                344164,              1164999,,                              2.26,                              2.26,,                              2.25,                              2.25,                933388,,                 -5805,                339455,                 -4709,,,,,
2832,2013年07月01日至2013年09月30日,,,              1047004,                 74091,              1121095,                347266,,                -67259,                841088,                 34698,,                 10983,,                 12020,                 59757,                104811,                              0,                 -3433,                 25302,,,                198457,,                 -2041,              1083185,,,                617190,                203626,                413564,,,                  5541,,                -17693,,                 -1723,,,                152635,,                  6090,                558414,,                233729,                233729,                291042,,                 -1220,,,                 22426,                267396,                267396,,,                 64801,,                 64466,                331862,,                              0.73,                              0.73,,                              0.73,                              0.73,                289822,,,                 64801,                    335,,                -13875,,,
2832,2013年04月01日至2013年06月30日,,,              1337442,                 91417,              1428859,                508718,,                 88410,                831731,                 64005,,                 12109,,                 13025,                -23047,                    469,                              0,                  2180,                 25854,,,                 18481,,                  1327,                927653,,,                708112,                138261,                569851,,,               -224155,,                  6005,,                    -12,,,                169016,,                  7236,                527941,,                199152,                199152,                200560,,                  8822,,,                 38432,                170950,                170950,,,                 96932,,                 97688,                268638,,                              0.47,                              0.47,,                              0.47,                              0.47,                209382,,,                 96932,                   -756,,               -218162,,,
2832,2013年01月01日至2013年12月31日,,,              4936550,                324448,              5260998,              1882633,,                 60463,              3317902,                206159,,                 45363,,                 50764,                170746,                112208,                              0,                  5579,                102431,,,                441728,,                  7065,              4018217,,,              2609206,              1009309,              1599897,,,                -44030,,                -18163,,                  4614,,,                649010,,                 27626,              2218954,,                872640,                872640,                926623,,                  6765,,,                112553,                820835,                820835,,,                345260,,                344164,              1164999,,                              2.26,                              2.26,,                              2.25,                              2.25,                933388,,                 -5805,                339455,                 -4709,,                -57579,,,
2832,2013年01月01日至2013年09月30日,,,              3808431,                231672,              4040103,              1494195,,                 73154,              2472754,                165675,,                 33571,,                 36855,                111852,                104751,                              0,                  2036,                 76479,,                              0,                331973,,                  3807,              3007780,,,              2073525,                860191,              1213334,,,                -63833,,                -11036,,                   -460,                -75329,,                490359,,                 20799,              1649163,,                664403,                664403,                694214,,                  7287,,,                 83395,                618106,                618106,,,                268937,,                269439,                887545,,                              1.70,                              1.70,,                              1.69,                              1.69,                701501,,,                268937,                   -502,,,,,
2832,2013年01月01日至2013年06月30日,,,              2761427,                157581,              2919008,              1146929,,                140413,              1631666,                130977,,                 22588,,                 24835,                 52095,                    -60,                              0,                  5469,                 51177,,,                133516,,                  5848,              1924595,,,              1456335,                656565,                799770,,,                -69374,,                  6657,,                  1263,                -61454,,                337724,,                 14709,              1090749,,                430674,                430674,                403172,,                  8507,,,                 60969,                350710,                350710,,,                204136,,                204973,                555683,,                              0.96,                              0.96,,                              0.96,                              0.96,                411679,,,                204136,                   -837,,,,,
2832,2013年01月01日至2013年03月31日,,,              1423985,                 66164,              1490149,                638211,,                 52003,                799935,                 66972,,                 10479,,                 11810,                 75142,                   -529,,                  3289,                 25323,,,                115035,,                  4521,                996942,,,                748223,                518304,                229919,,,                154781,,                    652,,                  1275,                156708,,                168708,,                  7473,                562808,,                231522,                231522,                202612,,                   -315,,,                 22537,                179760,                179760,,,                107214,,                107295,                287055,,                              0.49,                              0.49,,                              0.49,                              0.49,                202297,,,                107214,                    -81,,,,,
2832,2012年07月01日至2012年09月30日,,,              1065569,                 97006,              1162575,                406800,,                -21418,                777193,                 48473,,                 10362,,                 11716,                128875,                 65242,                              0,                   -560,                 26299,,,                231572,,                    310,              1067910,,,                470302,                 47860,                422442,,,                 31549,,                -44331,,                   -642,,,                151994,,                 10858,                571870,,                204773,                204773,                291267,,                 -4183,,,                 14776,                272308,                272308,,,                -31291,,                -32448,                239860,,                              0.75,                              0.75,,                              0.75,                              0.75,                287084,,,                -31291,                  1157,,                -13424,,,
2832,2012年04月01日至2012年06月30日,,,              1285283,                 70537,              1355820,                513297,,                 59481,                783042,                 76356,,                 11323,,                 14676,                -88587,                              0,                  2900,                    370,                 25406,,,                -45235,,                              0,                825486,,,                677368,                247332,                430036,,,                -16406,,                -25206,,                   -472,,,                158756,,                  1139,                547847,,                208135,                208135,                 69504,,                 28077,,,                -16834,                114415,                114415,,,                -86157,,                -86091,                 28324,,                              0.31,                              0.31,,                              0.31,                              0.31,                 97581,,,                -86157,                    -66,,                -42084,,,
2832,2012年01月01日至2012年12月31日,,,              4867357,                302981,              5170338,              1982943,,                 66085,              3121310,                234728,,                 42740,,                 51581,                220252,                 72295,                  2900,                 -2049,                105189,,,                450168,,                    310,              3849256,,,              2282199,                593530,              1688669,,,                 73385,,               -177154,,                 14766,,,                642805,,                 36098,              2278569,,                828576,                828576,                742111,,                 32517,,,                 37212,                737416,                737416,,,                124331,,                121164,                858580,,                              2.03,                              2.03,,                              2.02,                              2.02,                774628,,                 -2901,                121430,                    266,,                -89003,,,
2832,2012年01月01日至2012年09月30日,,,              3773078,                233993,              4007071,              1590315,,                 81106,              2335650,                196015,,                 31737,,                 37986,                230026,                 75077,                  2900,                 -1770,                 78909,,,                423128,,                    310,              2986840,,,              1681830,                437418,              1244412,,,                 25792,,                -67263,,                    508,,,                490948,,                 28361,              1722758,,                645651,                645651,                618431,,                 29421,,,                 10341,                637511,                637511,,,                 56704,,                 55960,                693471,,                              1.75,                              1.75,,                              1.75,                              1.75,                647852,,,                 56704,                    744,,                -40963,,,
2832,2012年01月01日至2012年06月30日,,,              2707509,                136987,              2844496,              1183515,,                102524,              1558457,                147542,,                 21375,,                 26270,                101151,                  9835,                  2900,                 -1210,                 52610,,,                191556,,                              0,              1918930,,,              1211528,                389558,                821970,,,                 -5757,,                -22932,,                  1150,,,                338954,,                 17503,              1150888,,                440878,                440878,                327164,,                 33604,,,                 -4435,                365203,                365203,,,                 87995,,                 88408,                453611,,                              1.00,                              1.00,,                              1.00,                              1.00,                360768,,,                 87995,                   -413,,                -27539,,,
2832,2012年01月01日至2012年03月31日,,,              1422226,                 66450,              1488676,                670218,,                 43043,                775415,                 71186,,                 10052,,                 11594,                189738,                  9835,,                 -1580,                 27204,,,                236791,,                              0,              1093444,,,                534160,                142226,                391934,,,                 10649,,                  2274,,                  1622,,,                180198,,                 16364,                603041,,                232743,                232743,                257660,,                  5527,,,                 12399,                250788,                250788,,,                174152,,                174499,                425287,,,                              0.69,,,                              0.69,                263187,,,                174152,                   -347,,                 14545,                534160,,                  5527
