證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金收入,　　　　　 經紀手續費收入,　　　　　 信託業務收入,　　　　　 其他手續費收入,　　　　　 手續費及佣金收入合計,　　　　 手續費費用及佣金支出,　　　　　 代理費用,　　　　　 經紀經手費支出,　　　　　 其他手續費費用,　　　　　 手續費費用及佣金支出合計,　　　　 手續費及佣金淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損失之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 以成本衡量之金融資產淨利益（損失）,　　　　　 以成本衡量之金融資產利益,　　　　　 以成本衡量之金融資產淨利益（損失）,　　　　 顧問服務收入,　　　　　 顧問服務收入,　　　　　 顧問服務收入合計,　　　　 其他什項淨利益（損失）,　　　　　 其他什項收入,　　　　　 其他什項淨利益（損失）,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 收益 ,　　 費用 ,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計,　　　　　 以成本衡量之金融資產損失,　　　 確定福利計畫之再衡量數,　　　　　 信託手續費,　　　　　 自營經手費支出,　　　　 處分投資性不動產利益,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　 確定福利計畫精算利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　　　 投資性不動產利益,　　　　 資產減損損失（迴轉利益）
2883,2014年01月01日至2014年03月31日,,,              2658212,                871135,              1787077,,,,              1798084,                 76689,                 37101,              1911874,,                 21274,                146952,                 45229,                213455,              1698419,,                              0,                 32452,                -32452,,                              0,,              2405873,              2405873,,                 54015,,                 54015,,                 41292,                -41292,,                 92880,,                 92880,,,                266038,                266038,,,,,                393049,                393049,                659087,                              0,                659087,              4836530,              7781941,              4702951,              6623607,,                -73588,,              2334809,                278919,              1004477,              3618205,              3078990,               -343746,              2735244,              2735244,,,,,,                578473,               -213180,                 -7125,                168323,                187554,                714045,                714045,              3449289,,              2689108,                 46136,,              3402731,                 46558,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,,,,,
2883,2013年第3季,,,              2197928,                768228,              1429700,,,,,,,              1453561,,,,,,              1453561,,              1395349,,              1395349,,                  1416,,              1285377,              1285377,,                              0,                463299,               -463299,,                 89113,                -89113,,                 60767,,                 60767,,,                939538,                939538,,,,,                461559,                461559,              1401097,                              0,              1401097,              5045155,              7795495,              4897425,              6474855,,                 74154,,              2088452,                294962,              1119217,              3502631,,                -98357,              2799713,              2799713,,,,,,,,,,,,,              2724970,,              2767068,                 32645,,              2694924,                 30046,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,                  1416,              2898070,               -517580,                555155,                  5043,,               -117839,                    478,                -74743,,
2883,2013年第2季,,,              2158697,                799146,              1359551,,,,,,,              1707034,,,,,,              1707034,,                701777,,                701777,,                860557,,                710491,                710491,,                149431,                              0,                149431,,                529337,               -529337,,                131842,,                131842,,,                518397,                518397,,,,,                315644,                315644,                834041,                              0,                834041,              4565836,              7253870,              4953010,              5925387,,                 42018,,              2025945,                302105,              1254459,              3582509,,               -175351,              2125509,              2125509,,,,,,,,,,,,,               -353955,,              2076125,                 49384,,               -443313,                 89358,,                              0.14,                              0.14,,                              0.00,                              0.00,,,,,                860557,              2300860,                242228,             -2357997,                 14165,,               -375581,                 -2279,             -2479464,,
2883,2013年度,,,              8507539,              3111079,              5396460,,,,              6423756,                548773,                280545,              7253074,,                 72980,                520028,                132795,                827286,              6425788,,              3903183,,              3903183,,                777543,,              3713191,              3713191,,                838347,                              0,                838347,,              1375954,             -1375954,,                388315,,                388315,,,              2826301,              2826301,,,,,              1816572,              1816572,              4642873,                              0,              4642873,             19313286,             29196779,             19975597,             24709746,,                824715,,              8833529,              1172656,              4657664,             14663849,,               -772708,              8448474,              8448474,,,,,,,,,,,,,             11368262,,              8304001,                144473,,             11182674,                185588,,                              0.56,                              0.56,,                              0.56,                              0.56,,,                 50825,                 50658,                777543,              9221182,              1047050,              2347914,                 31647,                -71272,               -183578,               -251973,              2919788,,
2883,2013年07月01日至2013年09月30日,,,              2197928,                768228,              1429700,,,,,,,              1453561,,,,,,              1453561,,              1395349,,              1395349,,                  1416,,              1285377,              1285377,,                              0,                463299,               -463299,,                 89113,,,                 60767,,                 60767,,,                939538,                939538,,,,,                461559,                461559,              1401097,                              0,              1401097,              5045155,              7795495,              4897425,              6474855,,                 74154,,              2088452,                294962,              1119217,              3502631,,                -98357,              2799713,              2799713,,,,,,,,,,,,,              2724970,,              2767068,                 32645,,              2694924,                 30046,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,              2898070,               -517580,                555155,                  5043,,               -117839,                    478,                -74743,                  1416,                -89113
2883,2013年04月01日至2013年06月30日,,,              2124461,                799146,              1325315,,,,,,,              1679273,,,,,,              1679273,,                736013,,                736013,,                860557,,                710491,                710491,,                149431,                              0,                149431,,                529337,,,                131842,,                131842,,,                518397,                518397,,,,,                343405,                343405,                861802,                              0,                861802,              4600072,              7253870,              4953010,              5925387,,                 42018,,              2025945,                302105,              1254459,              3582509,,               -175351,              2125509,              2125509,,,,,,,,,,,,,               -353955,,              2076125,                 49384,,               -443313,                 89358,,                              0.14,                              0.14,,,,,,,,,              2300860,                242228,             -2357997,                 14165,,               -375581,                 -2279,             -2479464,                860557,               -529337
2883,2013年01月01日至2013年12月31日,,,              8507539,              3111079,              5396460,,,,,,,              6425788,,,,,,              6425788,,              3903183,,              3903183,,                777543,,              3713191,              3713191,,                838347,,                838347,,              1375954,,,                388315,,                388315,,,              2826301,              2826301,,,,,              1816572,              1816572,              4642873,                              0,              4642873,             19313286,             29196779,             19975597,             24709746,,                824715,,              8833529,              1172656,              4657664,             14663849,,               -772708,              8448474,              8448474,,,,,,,,,,,,,             11368262,,              8304001,                144473,,             11182674,                185588,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,,              9221182,              1047050,              2347914,                 31647,                -71272,               -183578,               -251973,              2919788,                777543,             -1375954
2883,2013年01月01日至2013年09月30日,,,              6005924,              2275839,              3730085,,,,,,,              4789853,,,,,,              4789853,,              3239374,,              3239374,,                862383,,              2417260,              2417260,,                              0,                215133,               -215133,,                640564,               -640564,,                321761,,                321761,,,              1823562,              1823562,,,,,              1213180,              1213180,              3036742,                              0,              3036742,             13811676,             20673297,             13818391,             17541761,,                224182,,              6185909,                889238,              3387526,             10462673,,               -468385,              6386521,              6386521,,,,,,,,,,,,,              6791788,,              6271979,                114542,,              6638952,                152836,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,                862383,              6854906,                595548,                -19491,                 36640,,               -203745,                 -3685,                405267,,
2883,2013年01月01日至2013年06月30日,,,              3807996,              1507611,              2300385,,,,,,,              3336292,,,,,,              3336292,,              1844025,,              1844025,,                860967,,              1131883,              1131883,,                248166,                              0,                248166,,                551451,               -551451,,                260994,,                260994,,,                884024,                884024,,,,,                751621,                751621,              1635645,                              0,              1635645,              8766521,             13125968,              9169132,             11066906,,                150028,,              4097457,                594276,              2268309,              6960042,,               -370028,              3586808,              3586808,,,,,,,,,,,,,              4066818,,              3504911,                 81897,,              3944028,                122790,,                              0.24,                              0.24,,                              0.00,                              0.00,,,,,                860967,              3956836,              1113128,               -574646,                 31597,,                -85906,                 -4163,                480010,,
2883,2013年01月01日至2013年03月31日,,,              1649299,                708465,                940834,,,,,,,              1629258,,,,,,              1629258,,              1142248,                              0,              1142248,,                              0,,                421392,                421392,,                 98735,,                 98735,,                 22114,                -22114,,                129152,,                129152,,,                365627,                365627,,,,,                436387,                436387,                802014,                              0,                802014,              4200685,              5872098,              4216122,              5141519,,                108010,,              2071512,                292171,              1013850,              3377533,,               -194677,              1461299,              1461299,,,,,,,,,,,,,              4420773,,              1428786,                 32513,,              4387341,                 33432,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,              1655976,                870900,              1783351,                 17432,,                289675,                 -1884,              2959474,,
2883,2012年07月01日至2012年09月30日,,,              1635811,                736461,                899350,,,,,,,              1456754,,,,,,              1456754,,                773756,,                773756,,                  7333,,                819811,                819811,,                 77294,                              0,                 77294,,                 58338,,,                130512,,                130512,,,                835667,                835667,,,,,                402167,                402167,              1237834,                              0,              1237834,              4444956,              6187400,              4110408,              5344306,,                -48295,,              1827302,                307392,              1180915,              3315609,,                -64112,              2012880,              2012880,,,,,,,,,,,,,              3381747,,              1941898,                 70982,,              3301603,                 80144,,                              0.14,                              0.14,,                              0.00,                              0.00,,,,,,              2076992,               -624181,              2057147,                 30408,,                -94507,                              0,              1368867,                  7333,                -58338
2883,2012年04月01日至2012年06月30日,,,              1319062,                647881,                671181,,,,,,,                728650,,,,,,                728650,,                113052,,                113052,,                  1145,,                394968,                394968,,                              0,                144088,               -144088,,                187681,,,                 34910,,                 34910,,,                436608,                436608,,,,,              2460394,              2460394,              2897002,                              0,              2897002,              3837958,              5712937,              2868846,              4509139,,               -224148,,              1044122,                148561,                696513,              1889196,,                 -9587,              2834504,              2834504,,,,,,,,,,,,,                980070,,              2754327,                 80177,,                884254,                 95816,,                              0.22,                              0.22,,,,,,,,,              2844091,                398236,             -2284226,                -19625,,                 51181,                              0,             -1854434,                  1145,               -187681
2883,2012年01月01日至2012年12月31日,,,              5306360,              2590166,              2716194,,,,,,,              3902516,,,,,,              3902516,,              2684595,,              2684595,,                 13204,,              1953689,              1953689,,                137294,,                137294,,                406773,,,                331381,,                331381,,,              2671966,              2671966,,,,,              3363339,              3363339,              6035305,                              0,              6035305,             14651211,             20364344,             12978762,             17367405,,                -81656,,              5776183,                780229,              3507067,             10063479,,               -127732,              7257850,              7257850,,,,,,,,,,,,,             10338400,,              6983256,                274594,,             10111950,                226450,,                              0.54,                              0.54,,                              0.00,                              0.00,,,,,,              7385582,             -1138463,              4208116,                 89578,               -273058,                194377,                              0,              3080550,                 13204,               -406773
2883,2012年01月01日至2012年09月30日,,,              3926204,              1978115,              1948089,,,,,,,              2461256,,,,,,              2461256,,              1857705,,              1857705,,                 10879,,              1788671,              1788671,,                142238,                              0,                142238,,                290285,,,                200282,,                200282,,,              1515889,              1515889,,,,,              3030266,              3030266,              4546155,                              0,              4546155,             10716901,             15339591,              8684910,             12664990,,               -406201,,              3699550,                519862,              2197098,              6416510,,               -119754,              6534927,              6534927,,,,,,,,,,,,,              8586197,,              6377178,                157749,,              8404674,                181523,,                              0.51,                              0.51,,                              0.00,                              0.00,,,,,,              6654681,               -855310,              2777148,                 71397,,                 58035,                              0,              2051270,                 10879,               -290285
2883,2012年01月01日至2012年06月30日,,,              2290393,              1241654,              1048739,,,,,,,              1004502,,,,,,              1004502,,              1083949,,              1083949,,                  3546,,                968860,                968860,,                 64944,                              0,                 64944,,                231947,,,                 69770,,                 69770,,,                680222,                680222,,,,,              2628099,              2628099,              3308321,                              0,              3308321,              6271945,              9152191,              4574502,              7320684,,               -357906,,              1872248,                212470,              1016183,              3100901,,                -55642,              4522047,              4522047,,,,,,,,,,,,,              5204450,,              4435280,                 86767,,              5103071,                101379,,                              0.38,                              0.38,,,,,,,,,              4577689,               -231129,                720001,                 40989,,                152542,                              0,                682403,                  3546,               -231947
2883,2012年01月01日至2012年03月31日,,,                971331,                593773,                377558,,,,,,,                275852,,,,,,                275852,,                970897,,                970897,,,,                573892,                573892,,                209032,,                209032,,                 44266,,,                 34860,,                 34860,,,                243614,                243614,,,,,                170106,                170106,                413720,                              0,                413720,              2433987,              3449584,              1715986,              2811545,,               -133758,,                828126,                 63909,                319670,              1211705,,                -46055,              1687543,              1687543,,,,,,,,,,,,,              4224380,,              1680953,                  6590,,              4218817,                  5563,,                              0.15,                              0.15,,,,,,,,,              1733598,               -629365,              3004227,                 60614,,                101361,                              0,              2536837,,                -44266
