證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9943,2015年第3季,,,                447113,,                319385,                766498,,,                192335,,                140386,                332721,                433777,                433777,,                298600,                135177,,,                  7436,,                 34905,,                    606,                    606,,                 71848,                113583,                248760,,                 29580,                219180,                219180,,,                  2845,                 -6351,,                   -324,                 -3830,                 -3830,                215350,,                219180,,                215350,,                              1.49,                              1.49,,                              1.49,                              1.49,,,,,,
9943,2015年第2季,,,                431640,,                302512,                734152,,,                182887,,                134869,                317756,                416396,                416396,,                280764,                135632,,,                  8112,,                 75916,,                    684,                    684,,                 83853,                167197,                302829,,                 28887,                273942,                273942,,,                   -562,               -100552,,                -13408,               -114522,               -114522,                159420,,                273942,,                159420,,                              1.86,                              1.86,,                              1.86,                              1.86,,,,,,
9943,2015年01月01日至2015年09月30日,,,              1384995,,                995735,              2380730,,,                579809,,                410469,                990278,              1390452,              1390452,,                876613,                513839,,,                 22765,,                126204,,                  2052,                  2052,,                291727,                438644,                952483,,                 98958,                853525,                853525,,,                  1889,                -27816,,                 -6745,                -32672,                -32672,                820853,,                853525,,                820853,,                              5.79,                              5.79,,                              5.79,                              5.79,,,,,,
9943,2015年01月01日至2015年06月30日,,,                937882,,                676350,              1614232,,,                387474,,                270083,                657557,                956675,                956675,,                578013,                378662,,,                 15329,,                 91299,,                  1446,                  1446,,                219879,                325061,                703723,,                 69378,                634345,                634345,,,                   -956,                -21465,,                 -6421,                -28842,                -28842,                605503,,                634345,,                605503,,                              4.31,                              4.31,,                              4.31,                              4.31,,,,,,
9943,2015年01月01日至2015年03月31日,,,                506242,,                373838,                880080,,,                204587,,                135214,                339801,                540279,                540279,,                297249,                243030,,,                  7217,,                 15383,,                    762,                    762,,                136026,                157864,                400894,,                 40491,                360403,                360403,,,                   -394,                 79087,,                  6987,                 85680,                 85680,                446083,,                360403,,                446083,,                              2.45,                              2.45,,                              2.45,                              2.45,,,,,,
9943,2014年第3季,,,                458531,,                352483,                811014,,,                208813,,                142374,                351187,                459827,                459827,,                312193,                147634,,,                  8050,,                  8249,,                  1056,                  1056,,                 43455,                 58698,                206332,,                 27407,                178925,                178925,,,                    603,                 -9891,,                   -857,                -10145,                -10145,                168780,,                178925,,                168780,,                              1.21,                              1.21,,                              1.21,                              1.21,,,,,,
9943,2014年第2季,,,                442112,,                337153,                779265,,,                205915,,                138252,                344167,                435098,                435098,,                315520,                119578,,,                  8693,,                -10521,,                  1013,                  1013,,                -19848,                -22689,                 96889,,                 18194,                 78695,                 78695,,,                 -3511,                 -3297,,                  5636,                 -1172,                 -1172,                 77523,,                 78695,,                 77523,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,
9943,2014年01月01日至2014年09月30日,,,              1380176,,              1070008,              2450184,,,                631274,,                420579,              1051853,              1398331,              1398331,,                940013,                458318,,,                 25326,,                  5597,,                  3163,                  3163,,                 68967,                 96727,                555045,,                 80173,                474872,                474872,,,                  3500,                 -3297,,                  6283,                  6486,                  6486,                481358,,                474872,,                481358,,                              3.22,                              3.22,,                              3.22,                              3.22,,,,,,
9943,2014年01月01日至2014年06月30日,,,                921645,,                717525,              1639170,,,                422461,,                278205,                700666,                938504,                938504,,                627820,                310684,,,                 17276,,                 -2652,,                  2107,                  2107,,                 25512,                 38029,                348713,,                 52766,                295947,                295947,,,                  2897,                  6594,,                  7140,                 16631,                 16631,                312578,,                295947,,                312578,,                              2.01,                              2.01,,                              2.01,                              2.01,,,,,,
9943,2014年01月01日至2014年03月31日,,,                479533,,                380372,                859905,,,                216546,,                139953,                356499,                503406,                503406,,                312300,                191106,,,                  8583,,                  7869,,                  1094,                  1094,,                 45360,                 60718,                251824,,                 34572,                217252,                217252,,,                  6408,                  9891,,                  1504,                 17803,                 17803,                235055,,                217252,,                235055,,                              1.47,                              1.47,,                              1.47,                              1.47,,,,,,
