證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 當期所得稅費用（利益）,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 利息費用,　　 遞延所得稅費用（利益）,　　 繼續營業單位淨利（淨損）
2436,2014年01月01日至2014年03月31日,,,,                405415,                405415,                405415,                405415,,,,,                310994,                 94421,                 94421,,,                 31346,,                 19225,,                 53165,                103736,                 -9315,,,                  2873,,                 63090,,                     38,                 65925,                 56610,,                  1678,                 54932,                 54932,,,                    644,                159759,                160403,                160403,                215335,,                 54826,                    106,,                215008,                    327,,                              0.25,,                              0.25,                  1678,,,,,,,,,,,,,,,,,,,
2436,2013年第3季,,,,                487734,                487734,                487734,                487734,,,                378732,                378732,                378732,                109002,                109002,,,                 29083,,                 13832,,                 48065,                 90980,                 18022,,,                 61932,,                -24266,,                              0,                 37666,                 55688,,                 12799,                 42889,                 42889,,,,,,                 48736,                 91625,,                 42801,                     88,,                 91324,                    301,,                              0.18,,                              0.18,,                   -388,                 49124,,,,,,,,,,,,,,,,,
2436,2013年第2季,,,,,,                458669,                458669,,,                363997,                363997,                363997,                 94672,                 94672,,,                 30190,,                 14377,,                 47979,                 92546,                  2126,,,                  1796,,                 11464,,                              0,                 13260,                 15386,,                  3614,                 11772,                 11772,,,,,,                 11885,                 23657,,                 11806,                    -34,,                 23629,                     28,,                              0.05,,                              0.05,,                    235,                 11650,,,,,,,,,,,,,,,,,
2436,2013年度,,,,              1832917,              1832917,              1832917,              1832917,,,              1420382,              1420382,              1420382,                412535,                412535,,,                115313,,                 53262,,                201879,                370454,                 42081,,,                 73093,,                 37702,,                    376,                110419,                152500,,                 25230,                127270,                127270,,,,,,                141858,                269128,,                127117,                    153,,                268563,                    565,,                              0.54,,,,                  1356,                136700,                  3802,,,,,,,,,,,,,,,,
2436,2013年07月01日至2013年09月30日,,,,                487734,                487734,                487734,                487734,,,                378732,                378732,                378732,                109002,                109002,,,                 29083,,                 13832,,                 48065,                 90980,                 18022,,,                 61932,,                -24266,,                              0,                 37666,                 55688,,                 12799,                 42889,                 42889,,,,,,                 48736,                 91625,,                 42801,                     88,,                 91324,                    301,,                              0.18,,                              0.18,,                   -388,                 49124,,                  2667,,                    184,                    184,                 60956,                    792,                -17340,                 -6956,                     30,                              0,,                              0,                              0,                              0,                 10132,                              0.18
2436,2013年04月01日至2013年06月30日,,,,                458669,                458669,                458669,                458669,,,                363997,                363997,                363997,                 94672,                 94672,,,                 30190,,                 14377,,                 47979,                 92546,                  2126,,,                  1796,,                 11464,,                              0,                 13260,                 15386,,                  3614,                 11772,                 11772,,,,,,                 11885,                 23657,,                 11806,                    -34,,                 23629,                     28,,                              0.05,,                              0.05,,                    235,                 11650,,                  2382,,                    237,                    237,                              0,                  1559,                  6776,                  4830,,                    142,,                              0,                              0,                              0,                  1232,
2436,2013年01月01日至2013年12月31日,,,,,,,              1832917,,,,,              1420382,                412535,                412535,,,                115313,,                 53262,,                201879,                370454,                 42081,,,                 73093,,                 37702,,                    376,                110419,                152500,,                 25230,                127270,                127270,,,,,,                141858,                269128,,                127117,                    153,,                268563,                    565,,                              0.54,,,,                  1356,                136700,                  3802,,,,,,,,,,,,,,,,
2436,2013年01月01日至2013年09月30日,,,,              1337783,              1337783,              1337783,              1337783,,,              1044273,              1044273,              1044273,                293510,                293510,,,                 85252,,                 39188,,                139110,                263550,                 29960,,,                 64324,,                 28487,,                     20,                 92791,                122751,,                 24978,                 97773,                 97773,,,,,,                 71461,                169234,,                 97538,                    235,,                168796,                    438,,                              0.40,,                              0.40,,                    544,                 70917,,,,,,,,,,,,,,,,,
2436,2013年01月01日至2013年06月30日,,,,,,                850049,                850049,,,                665541,                665541,                665541,                184508,                184508,,,                 56169,,                 25356,,                 91045,                172570,                 11938,,,                  2392,,                 52753,,                     20,                 55125,                 67063,,                 12179,                 54884,                 54884,,,,,,                 22725,                 77609,,                 54737,                    147,,                 77472,                    137,,                              0.22,,                              0.22,,                    932,                 21793,,,,,,,,,,,,,,,,,
2436,2013年01月01日至2013年03月31日,,,,                391380,                391380,                391380,                391380,,,,,                301544,                 89836,                 89836,,,                 25979,,                 10979,,                 43066,                 80024,                  9812,,,                    596,,                 41289,,                     20,                 41865,                 51677,,                  8565,                 43112,                 43112,,,,,,                 10840,                 53952,,                 42931,                    181,,                 53843,                    109,,                              0.17,,                              0.17,,                    697,                 10143,,                  8565,,,,,,,,,,,,,,,
2436,2012年07月01日至2012年09月30日,,,,                525499,                525499,                525499,                525499,,,                415718,                415718,                415718,                109781,                109781,,,                 28447,,                 13684,,                 53404,                 95535,                 14246,,,                 68251,,                -31372,,                              0,                 36879,                 51125,,                 14176,                 36949,                 36949,,,,,,                 54968,                 91917,,                 36831,                    118,,                 91654,                    263,,                              0.15,,                              0.15,,                   -519,                 55487,,                  2363,,                    193,                    193,                 67630,                    428,                -19548,                -10130,                              0,                    914,,                    780,                    780,                              0,                 11813,                              0.15
2436,2012年04月01日至2012年06月30日,,,,                529588,                529588,                529588,                529588,,,                416838,                416838,                416838,                112750,                112750,,,                 28843,,                 14096,,                 49053,                 91992,                 20758,,,                  8909,,                  8912,,                              0,                 17821,                 38579,,                  6489,                 32090,                 32090,,,,,,                -91311,                -59221,,                 32090,                              0,,                -59052,                   -169,,                              0.13,,                              0.13,,                    281,                -91592,,                  5999,,                    313,                    313,                  8275,                    321,                  2766,                  6697,,                    551,,                              0,                              0,                              0,                    490,
2436,2012年01月01日至2012年12月31日,,,,,,,              1960620,,,,,              1556755,                403865,                403865,,,                111709,,                 53533,,                205552,                370794,                 33071,,,                 90816,,                -54596,,                              0,                 36220,                 69291,,                 38125,                 31166,                 31166,,,,,,                122383,                153549,,                 31174,                     -8,,                153210,                    339,,                              0.13,,,,                 -1113,                126166,                 -2670,,,,,,,,,,,,,,,,
2436,2012年01月01日至2012年09月30日,,,,              1506628,              1506628,              1506628,              1506628,,,              1190417,              1190417,              1190417,                316211,                316211,,,                 84526,,                 41798,,                155655,                281979,                 34232,,,                 81172,,                -36278,,                              0,                 44894,                 79126,,                 20670,                 58456,                 58456,,,,,,                103325,                161781,,                 58355,                    101,,                161436,                    345,,                              0.24,,                              0.24,,                   -942,                104267,,                  8592,,                    647,                    647,                 75905,                  4620,                -19639,                -13604,                              0,                  2255,,                    780,                    780,                              0,                 12078,                              0.24
2436,2012年01月01日至2012年06月30日,,,,                981129,                981129,                981129,                981129,,,                774699,                774699,                774699,                206430,                206430,,,                 56079,,                 28114,,                102251,                186444,                 19986,,,                 12921,,                 -4906,,                              0,                  8015,                 28001,,                  6494,                 21507,                 21507,,,,,,                 48357,                 69864,,                 21524,                    -17,,                 69782,                     82,,                              0.09,,                              0.09,,                   -423,                 48780,,                  6229,,                    454,                    454,                  8275,                  4192,                    -91,                 -3474,,                  1341,,                              0,                              0,                              0,                    265,
2436,2012年01月01日至2012年03月31日,,,,                451541,                451541,                451541,                451541,,,,,                357861,                 93680,                 93680,,,                 27236,,                 13871,,                 53345,                 94452,                   -772,,,                  4012,,                -13818,,                              0,                 -9806,                -10578,,                      5,                -10583,                -10583,,,,,,                139668,                129085,,                -10566,                    -17,,                128834,                    251,,                             -0.04,,                             -0.04,,                   -704,                140372,,                      5,,                    141,                    141,,                  3871,                 -2857,                -10171,,                    790,,                              0,                              0,,,
