證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨成本,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 處分無形資產利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失
3008,2015年01月01日至2015年03月31日,,,             10567179,             10567179,,,              4573522,              4573522,              5993657,              5993657,,,                 78045,,                243198,,                491313,                812556,              5181101,,,                 86574,,               -186531,,                              0,,                  1272,                -98685,              5082416,,                675162,              4407254,,                              0,              4407254,,,                              0,                              0,                              0,                              0,                              0,                              0,,                -31728,                 -7332,,                     13,                -39047,                -39047,              4368207,,              4407254,                              0,,              4368207,                              0,,                             32.86,,                             32.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,2014年第3季,,,             12088090,             12088090,,,              5743169,              5743169,              6344921,              6344921,,,                100165,,                255184,,                582179,                937528,              5407393,,,                 62966,,                572721,,                    -12,,                 -7199,                628500,              6035893,,                750348,              5285545,,,              5285545,,,,,,,,,,,,,,,                 62523,              5348068,,              5285545,,,              5348068,,,                             39.40,,                             39.11,,             12188481,             12188481,                 79172,                 21219,              5743169,                 69132,                 -6304,,,                   -305,,,,                              0,                   -305,,,,,,,,,,,,
3008,2014年第2季,,,              9975008,              9975008,,,              4169956,              4169956,              5805052,              5805052,,,                 65019,,                184777,,                431276,                681072,              5123980,,,                 70854,,               -225474,,                    -66,,                 43218,               -111336,              5012644,,              1290582,              3722062,,                              0,              3722062,,,,,,,,,,,,,,,                -42758,              3679304,,              3722062,                              0,,              3679304,                              0,,                             27.75,,                             27.50,,,             10046563,                 48975,                 22580,              4169956,                -45486,                  2691,,,                     37,                              0,                              0,,,                     37,,,,,,,,,,,,
3008,2014年度,,,             45810263,             45810263,,,             21290568,             21290568,             24519695,             24519695,,,                363127,,                986291,,              2103443,              3452861,             21066834,,,                260411,,              1609187,,                  4855,,                 31514,              1896257,             22963091,,              3524997,             19438094,,,             19438094,,,,,,,,,,,,,,,                137914,             19576008,,             19438094,                              0,,             19576008,                              0,,                            144.91,,                            142.94,,             46166131,             46166131,                251643,                104225,             21290568,                120563,                 21575,                 -4002,,                   -222,                              0,                              0,,,,,,,,,,,,,,,
3008,2014年01月01日至2014年09月30日,,,             28921372,             28921372,,,             12957771,             12957771,             15963601,             15963601,,,                219058,,                589078,,              1410984,              2219120,             13744481,,,                195027,,                617544,,                  4820,,                 23705,                831456,             14575937,,              2568630,             12007307,,,             12007307,,,,,,,,,,,,,,,                 31631,             12038938,,             12007307,,,             12038938,,,                             89.51,,                             88.52,,             29182205,             29182205,                191254,                 69579,             12957771,                 20571,                 11295,,,                   -235,,,,                              0,                   -235,,,,,,,,,,,,
3008,2014年01月01日至2014年06月30日,,,             16833282,             16833282,,,              7214602,              7214602,              9618680,              9618680,,,                118893,,                333894,,                828805,              1281592,              8337088,,,                132061,,                 44823,,                  4832,,                 30904,                202956,              8540044,,              1818282,              6721762,,                              0,              6721762,,,,,,,,,,,,,,,                -30892,              6690870,,              6721762,                              0,,              6690870,                              0,,                             50.11,,                             49.63,,,             16993724,                112082,                 48360,              7214602,                -48561,                 17599,,,                     70,                              0,                              0,,,                     70,,,,,,,,,,,,
3008,2014年01月01日至2014年03月31日,,,              6858274,              6858274,,,              3044646,              3044646,              3813628,              3813628,,,                 53874,,                149117,,                397529,                600520,              3213108,,,                 61207,,                270297,,                  4898,,                -12314,                314292,              3527400,,                527700,              2999700,,                              0,              2999700,,,                              0,                              0,                              0,                              0,                              0,                              0,,                 -3075,                 14908,,                     33,                 11866,                 11866,              3011566,,              2999700,                              0,,              3011566,                              0,,                             22.36,,                             22.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,2013年第3季,,,              7170877,              7170877,,,              3792368,              3792368,              3378509,              3378509,,,                 92877,,                120431,,                342744,                556052,              2822457,,,                 38390,,               -137294,,                      6,,                -12729,               -111639,              2710818,,                390275,              2320543,,,              2320543,,,,,,,,,,,,,,,                -11090,              2309453,,              2320543,,,              2309453,,,                             17.30,,                             17.15,,              7217226,              7217226,                 42097,                  4252,              3792368,                -26513,                 15460,,,                    -37,,,,                              0,                    -37,,,,,,,,,,,,
3008,2013年第2季,,,              5857532,              5857532,,,              2902189,              2902189,              2955343,              2955343,,,                 62243,,                133793,,                289642,                485678,              2469665,,,                 31404,,                188103,,                              0,,                -16241,                203266,              2672931,,                637530,              2035401,,                              0,              2035401,,,,,,,,,,,,,,,                  3605,              2039006,,              2035401,                              0,,              2039006,                              0,,                             15.17,,                             14.98,,,              6012050,                149716,                  4802,              2902189,                 23247,                -19695,,,                     53,                              0,                              0,,,                     53,,,,,,,,,,,,
3008,2013年度,,,             27433293,             27433293,,,             14472392,             14472392,             12960901,             12960901,,,                283310,,                603926,,              1292632,              2179868,             10781033,,,                136243,,                634924,,                     38,,                -51447,                719682,             11500715,,              1890924,              9609791,,,              9609791,,,,,,,,,,,,,,,                103436,              9713227,,              9609791,                              0,,              9713227,                              0,,                             71.64,,                             70.63,,             27797452,             27797452,                325266,                 38893,             14472392,                 81731,                 22762,                 -1166,,                    109,                              0,                              0,,,,,,,,,,,,,,,
3008,2013年07月01日至2013年09月30日,,,              7170877,              7170877,,,              3792368,              3792368,              3378509,              3378509,,,                 92877,,                120431,,                342744,                556052,              2822457,,,                 49348,,               -148252,,                      6,,                -12729,               -111639,              2710818,,                390275,              2320543,,,              2320543,,,,,,,,,,,,,,,                -11090,              2309453,,              2320543,,,              2309453,,,                             17.30,,                             17.15,,              7217226,              7217226,                 42097,                  4252,              3792368,                -26513,                 15460,,,                    -37,,,,                              0,                    -37,,,,,,,,,,,,
3008,2013年04月01日至2013年06月30日,,,              5857532,              5857532,,,              2902189,              2902189,              2955343,              2955343,,,                 62243,,                133793,,                289642,                485678,              2469665,,,                 42682,,                176825,,                              0,,                -16241,                203266,              2672931,,                637530,              2035401,,                              0,              2035401,,,,,,,,,,,,,,,                  3605,              2039006,,              2035401,                              0,,              2039006,                              0,,                             15.17,,                             14.98,,,              6012050,                149716,                  4802,              2902189,                 23247,                -19695,,,                     53,                              0,                              0,,,                     53,,,,,,,,,,,,
3008,2013年01月01日至2013年12月31日,,,             27433293,             27433293,,,             14472392,             14472392,             12960901,             12960901,,,                283310,,                603926,,              1292632,              2179868,             10781033,,,                136243,,                634924,,                     38,,                -51447,                719682,             11500715,,              1890924,              9609791,,,              9609791,,,,,,,,,,,,,,,                103436,              9713227,,              9609791,                              0,,              9713227,                              0,,                             71.64,,                             70.63,,             27797452,             27797452,                325266,                 38893,             14472392,                 81731,                 22762,                 -1166,,                    109,                              0,                              0,,,,,,,,,,,,,,,
3008,2013年01月01日至2013年09月30日,,,             18131170,             18131170,,,              9661194,              9661194,              8469976,              8469976,,,                219642,,                385774,,                896616,              1502032,              6967944,,,                 93944,,                368077,,                      6,,                -33290,                428725,              7396669,,              1191504,              6205165,,,              6205165,,,,,,,,,,,,,,,                 49223,              6254388,,              6205165,,,              6254388,,,                             46.26,,                             45.65,,             18426845,             18426845,                280972,                 14703,              9661194,                 38379,                 10770,,,                     74,,,,                              0,                     74,,,,,,,,,,,,
3008,2013年01月01日至2013年06月30日,,,             10960293,             10960293,,,              5868826,              5868826,              5091467,              5091467,,,                126765,,                265343,,                553872,                945980,              4145487,,,                 55554,,                505371,,                              0,,                -20561,                540364,              4685851,,                801229,              3884622,,                              0,              3884622,,,,,,,,,,,,,,,                 60313,              3944935,,              3884622,                              0,,              3944935,                              0,,                             28.96,,                             28.59,,,             11209619,                238875,                 10451,              5868826,                 64892,                 -4690,,,                    111,                              0,                              0,,,                    111,,,,,,,,,,,,
3008,2013年01月01日至2013年03月31日,,,              5102761,              5102761,,,              2966637,              2966637,              2136124,              2136124,,,                 64522,,                131550,,                264230,                460302,              1675822,,,                 24150,,                317268,,                              0,,                 -4320,                337098,              2012920,,                163699,              1849221,,                              0,              1849221,,,,,,,,,,,,,,,                 56708,              1905929,,              1849221,                              0,,              1905929,                              0,,                             13.79,,                             13.61,,,,,,,                 41645,                 15005,,,                     58,,,,,                     58,,,,,,,,,,,,
3008,2012年07月01日至2012年09月30日,,,              4511787,              4511787,,,              2676759,              2676759,              1835028,              1835028,,,                 29859,,                 84880,,                247837,                362576,              1472452,,,                 39097,,                -92194,,                              0,,                 -9035,                -62132,              1410320,,                252035,              1158285,,,              1158285,,,,,,,,,,,,,,,                 -6446,              1151839,,              1158285,,,              1151839,,,                              8.64,,                              8.58,,              4616974,              4616974,                 91846,                 13341,              2676759,                -10067,                  3564,,,                     57,,,,                              0,                     57,,,,,,,,,,,,
3008,2012年04月01日至2012年06月30日,,,              3337572,              3337572,,,              2094232,              2094232,              1243340,              1243340,,,                 29342,,                 71052,,                215553,                315947,                927393,,,                 36511,,                 93144,,                     36,,                    357,                129976,              1057369,,                388707,                668662,,                              0,                668662,,,,,,,,,,,,,,,                 -3524,                665138,,                668662,                              0,,                665138,                              0,,                              4.98,,                              4.91,,,              3359213,                 18951,                  2690,              2094232,                  3321,                 -6873,,,                     28,                              0,                              0,,,                     28,,,,,,,,,,,,
3008,2012年01月01日至2012年12月31日,,,             20072002,             20072002,,,             11707892,             11707892,              8364110,              8364110,,,                170554,,                361177,,              1033738,              1565469,              6798641,,,                101534,,                -87977,,                     53,,                  3116,                 16620,              6815261,,              1233521,              5581740,,,              5581740,,,,,,,,,,,,,,,                -50021,              5531719,,              5581740,                              0,,              5531719,                              0,,                             41.61,,                             40.98,,             20437998,             20437998,                296873,                 69123,             11707892,                -31166,                 -9631,                 -9367,,                    143,                              0,                              0,,,,,,,,,,,,,,,
3008,2012年01月01日至2012年09月30日,,,             11489362,             11489362,,,              7008982,              7008982,              4480380,              4480380,,,                 89084,,                213036,,                668268,                970388,              3509992,,,                117642,,               -125415,,                     36,,                 -9380,                -17189,              3492803,,                783622,              2709181,,,              2709181,,,,,,,,,,,,,,,                -17172,              2692009,,              2709181,,,              2692009,,,                             20.20,,                             19.92,,             11730243,             11730243,                213817,                 27064,              7008982,                -29779,                 12522,,,                     85,,,,                              0,                     85,,,,,,,,,,,,
3008,2012年01月01日至2012年06月30日,,,              6977575,              6977575,,,              4332223,              4332223,              2645352,              2645352,,,                 59225,,                128156,,                420431,                607812,              2037540,,,                 78545,,                -33221,,                     36,,                   -345,                 44943,              2082483,,                531587,              1550896,,                              0,              1550896,,,,,,,,,,,,,,,                -10726,              1540170,,              1550896,                              0,,              1540170,                              0,,                             11.56,,                             11.39,,,              7113269,                121971,                 13723,              4332223,                -19712,                  8958,,,                     28,                              0,                              0,,,                     28,,,,,,,,,,,,
