證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 與待出售非流動資產直接相關之權益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 處分不動產、廠房及設備損失,　　 遞延所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　　 沖銷逾期應付款利益,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益
2429,2015年第3季,,                185943,,                192976,                 -7033,                 -7033,,,                  1765,,                  6659,,                  1203,                  9627,                -16660,,,,                     17,                    648,                              0,                      2,                    667,,                              0,                 13636,                              0,                 13076,                    560,,                  1114,                  1114,,                  1402,                              0,                  1402,                  1515,                -15145,,                  1342,                  1342,                -16487,                -16487,,,                              0,                              0,                              0,                -16487,,                             -0.45,,,,,,,,,,
2429,2015年第2季,,                181135,,                173141,                  7994,                  7994,,,                  2084,,                  7785,,                  1835,                 11704,                 -3710,,,,                     23,                  1022,                              0,                              0,                  1045,,                     63,                  5709,                    964,                  4736,                     72,,                  1042,                  1042,,                    454,                              0,                    454,                    529,                 -3181,,,                    343,                 -3524,                 -3524,,,                              0,                              0,                              0,                 -3524,,                             -0.10,                              0,                    343,,,,,,,,
2429,2015年01月01日至2015年09月30日,,                548053,,                547268,                    785,                    785,,,                  5651,,                 22630,,                  5257,                 33538,                -32753,,,,                     59,                  2692,                              0,                     29,                  2780,,                    680,                 20057,                  1927,                 17812,                    998,,                  3140,                  3140,,                  1901,                              0,                  1901,                  2539,                -30214,,                  2023,                  2023,                -32237,                -32237,,,                              0,                              0,                              0,                -32237,,                             -0.88,,,,,,,,,,
2429,2015年01月01日至2015年06月30日,,                362110,,                354292,                  7818,                  7818,,,                  3886,,                 15971,,                  4054,                 23911,                -16093,,,,                     42,                  2044,                              0,                     27,                  2113,,                    680,                  6421,                  1927,                  4736,                    438,,                  2026,                  2026,,                    499,                              0,                    499,                  1024,                -15069,,,                    681,                -15750,                -15750,,,                              0,                              0,                              0,                -15750,,                             -0.43,                              0,                    681,,,,,,,,
2429,2015年01月01日至2015年03月31日,,                180975,,                181151,                   -176,                   -176,,,                  1802,,                  8186,,                  2219,                 12207,                -12383,,,,                     19,                  1022,                              0,                     27,                  1068,,                    617,                    712,                    963,                              0,                    366,,                    984,                    984,,                     45,                              0,                     45,                    495,                -11888,,,                    338,                -12226,                -12226,,,,,,                -12226,,                             -0.33,                              0,,,                              0,,,,,,
2429,2014年第3季,,                195827,,                204748,                 -8921,                 -8921,,,                  2830,,                  8239,,                  2793,                 13862,                -22783,,,,                     16,                    450,                    175,                    125,                    766,,                              0,                  3526,                    935,                  2814,                   -223,,                    755,                    755,,                    111,                              0,                    111,                   -101,                -22884,,                              0,                              0,                -22884,                -22884,,,                              0,                              0,                              0,                -22884,,                             -0.62,,,,,,,,,,
2429,2014年第2季,,                240993,,                242972,                 -1979,                 -1979,,,                  1931,,                  8410,,                  2753,                 13094,                -15073,,,,                     16,                    450,                    404,                     86,                    956,,                              0,                    606,                  1219,                    106,                   -719,,                    543,                    543,,                              0,                    809,                   -809,                 -1115,                -16188,,,                              0,                -16188,                -16188,,,                              0,                              0,                              0,                -16188,,                             -0.44,                              0,                              0,,,,,,,,
2429,2014年度,,                823483,,                856149,                -32666,                -32666,,,                 11476,,                 33729,,                 10350,                 55555,                -88221,,,,                     89,                  2869,                    533,                    350,                  3841,,                              0,                 20355,                  4112,                 17978,                 -1735,,                  2662,                  2662,,,                  2968,                 -2968,                 -3524,                -91745,,,                  8070,                -99815,                -99815,,,,,                    440,                -99375,,                             -2.71,,,,,                              0,                    440,                              0,,,
2429,2014年01月01日至2014年09月30日,,                634907,,                657145,                -22238,                -22238,,,                  8172,,                 25627,,                  7750,                 41549,                -63787,,,,                     50,                  1350,                    579,                    237,                  2216,,                              0,                 10410,                  3116,                  8816,                 -1522,,                  1653,                  1653,,                              0,                  1559,                 -1559,                 -2518,                -66305,,                              0,                              0,                -66305,                -66305,,,                              0,                              0,                              0,                -66305,,                             -1.80,,,,,,,,,,
2429,2014年01月01日至2014年06月30日,,                439080,,                452397,                -13317,                -13317,,,                  5342,,                 17388,,                  4957,                 27687,                -41004,,,,                     34,                    900,                    404,                    112,                  1450,,                              0,                  6884,                  2181,                  6002,                 -1299,,                    898,                    898,,                              0,                  1670,                 -1670,                 -2417,                -43421,,,                              0,                -43421,                -43421,,,                              0,                              0,                              0,                -43421,,                             -1.18,                              0,                              0,,,,,,,,
2429,2014年01月01日至2014年03月31日,,                198087,,                209425,                -11338,                -11338,,,                  3411,,                  8978,,                  2204,                 14593,                -25931,,,,                     18,                    450,                     26,                              0,                    494,,                              0,                  6278,                    962,                  5896,                   -580,,                    355,                    355,,                              0,                    861,                   -861,                 -1302,                -27233,,,                              0,                -27233,                -27233,,,,,,                -27233,,                             -0.74,                              0,,,                              0,,,,,,
