證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　　 利息收入,　　　　 利息收入合計,　　　 外幣兌換利益
1337,2015年第3季,,,              1388278,,                  5037,              1393315,,              1115230,                278085,                278085,,,                 18795,,                 99610,,                 22122,                140527,                137558,,,                  4328,                  4328,,                 23566,,                  5576,                 22318,                159876,,                 48067,                111809,                111809,,,                424191,                424191,                424191,                536000,,                111809,,                536000,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,
1337,2015年第2季,,,              1113727,,                  6539,              1120266,,                939713,                180553,                180553,,,                 17155,,                 69157,,                 22017,                108329,                 72224,,,                  6331,                  6331,,                 -8973,,                  4506,                 -7148,                 65076,,                 31545,                 33531,                 33531,,,               -139995,               -139995,               -139995,               -106464,,                 33531,,               -106464,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,
1337,2015年01月01日至2015年09月30日,,,              3335175,,                 19018,              3354193,,              2715682,                638511,                638511,,,                 51566,,                248876,,                 58858,                359300,                279211,,,                 49897,                 49897,,                  7041,,                 14205,                 42733,                321944,,                108505,                213439,                213439,,,                184778,                184778,                184778,                398217,,                213439,,                398217,,                              0.82,                              0.82,,                              0.82,                              0.82,,,,
1337,2015年01月01日至2015年06月30日,,,              1946897,,                 13981,              1960878,,              1600452,                360426,                360426,,,                 32771,,                149266,,                 36736,                218773,                141653,,,                 45569,                 45569,,                -16525,,                  8629,                 20415,                162068,,                 60438,                101630,                101630,,,               -239413,               -239413,               -239413,               -137783,,                101630,,               -137783,,                              0.39,                              0.39,,                              0.39,                              0.39,,,,
1337,2015年01月01日至2015年03月31日,,,                833170,,                  7442,                840612,,                660739,                179873,                179873,,,                 15616,,                 80109,,                 14719,                110444,                 69429,,,                 39238,                 39238,,                 -7552,,                  4123,                 27563,                 96992,,                 28893,                 68099,                 68099,,,                -99418,                -99418,                -99418,                -31319,,                 68099,,                -31319,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,
1337,2014年第3季,,,              1413604,,                  7177,              1420781,,                928203,                492578,                492578,,,                 24481,,                 81996,,                 15174,                121651,                370927,,,                  2833,                  2833,,                 15571,,                  5756,                 12648,                383575,,                101828,                281747,                281747,,,                229627,                229627,                229627,                511374,,                281747,,                511374,,                              1.09,                              1.09,,                              1.06,                              1.06,,,,
1337,2014年第2季,,,              1559381,,                  7118,              1566499,,              1009383,                557116,                557116,,,                 14985,,                 83525,,                 13771,                112281,                444835,,,                  3663,                  3663,,                 14008,,                 12850,                  4821,                449656,,                120648,                329008,                329008,,,               -164185,               -164185,               -164185,                164823,,                329008,,                164823,,                              1.27,                              1.27,,                              1.09,                              1.09,,,,
1337,2014年度,,,              5352765,,                 29002,              5381767,,              3519917,              1861850,              1861850,,,                 82859,,                309088,,                 53003,                444950,              1416900,,,                 60651,                 60651,,                 88524,,                 35610,                113565,              1530465,,                397330,              1133135,              1133135,,,,,                339461,              1472596,,              1133135,,              1472596,,                              4.54,                              4.54,,                              4.09,                              4.09,                339461,,,
1337,2014年01月01日至2014年09月30日,,,              4185760,,                 21619,              4207379,,              2696062,              1511317,              1511317,,,                 59634,,                244492,,                 39610,                343736,              1167581,,,                 41994,                 41994,,                 62536,,                 30419,                 74111,              1241692,,                324990,                916702,                916702,,,                 25206,                 25206,                 25206,                941908,,                916702,,                941908,,                              3.53,                              3.53,,                              3.12,                              3.12,,,,
1337,2014年01月01日至2014年06月30日,,,              2772156,,                 14442,              2786598,,              1767859,              1018739,              1018739,,,                 35153,,                162496,,                 24436,                222085,                796654,,,                 39161,                 39161,,                 46965,,                 24663,                 61463,                858117,,                223162,                634955,                634955,,,               -204421,               -204421,               -204421,                430534,,                634955,,                430534,,                              2.45,                              2.45,,                              2.06,                              2.06,,,,
1337,2014年01月01日至2014年03月31日,,,              1212775,,                  7324,              1220099,,                758476,                461623,                461623,,,                 20168,,                 78971,,                 10665,                109804,                351819,,,                 35498,                 35498,,                 32957,,                 11813,                 56642,                408461,,                102514,                305947,                305947,,,                -40236,                -40236,                -40236,                265711,,                305947,,                265711,,                              1.22,                              1.22,,                              1.02,                              1.02,,,,
