證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
2442,2015年第3季,,                299280,,                228147,                 71133,                 71133,,,                  5197,,                 36679,,                 19899,                 61775,                  9358,,,                 14364,,                -43900,,                  1485,                -31021,                -21663,,                              0,                              0,                -21663,                -21663,,,                  5713,                 -1887,                              0,                  3826,                  3826,                -17837,,                -23859,                  2196,,                -20082,                  2245,,                             -0.12,,                              0.00,,,,,,,,,,,,,,,,,,,,,,
2442,2015年第2季,,                236425,,                171138,                 65287,                 65287,,,                 13146,,                 42599,,                 15593,                 71338,                 -6051,,,                 12087,,                 25520,,                  1673,                 35934,                 29883,,                 12100,                 12100,                 17783,                 17783,,,                -12742,,                              0,                -12742,                -12742,                  5041,,                 17222,                    561,,                  4529,                    512,,                              0.09,,                              0.07,,,,,,,,,,,,,,,,,,,,,,
2442,2015年01月01日至2015年09月30日,,                910400,,                678983,                231417,                231417,,,                 26045,,                112414,,                 49450,                187909,                 43508,,,                 38522,,                -25686,,                  4874,                  7962,                 51470,,                 12100,                 12100,                 39370,                 39370,,,                -13694,                 -1887,                              0,                -15581,                -15581,                 23789,,                 35775,                  3595,,                 20228,                  3561,,                              0.19,,                              0.16,,,,,,,,,,,,,,,,,,,,,,
2442,2015年01月01日至2015年06月30日,,                611120,,                450836,                160284,                160284,,,                 20848,,                 75735,,                 29551,                126134,                 34150,,,                 24158,,                 18214,,                  3389,                 38983,                 73133,,                 12100,                 12100,                 61033,                 61033,,,                -19407,,                              0,                -19407,                -19407,                 41626,,                 59634,                  1399,,                 40310,                  1316,,                              0.32,,                              0.26,,,,,,,,,,,,,,,,,,,,,,
2442,2015年01月01日至2015年03月31日,,                374695,,                279698,                 94997,                 94997,,,                  7702,,                 33136,,                 13958,                 54796,                 40201,,,                 12071,,                 -7306,,                  1716,                  3049,                 43250,,                              0,                              0,                 43250,                 43250,,,                 -6665,                              0,                              0,                 -6665,                 -6665,                 36585,,                 42412,                    838,,                 35781,                    804,,                              0.23,,                              0.19,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,
2442,2014年第3季,,                329109,,                240270,                 88839,                 88839,,,                  9283,,                 28930,,                 10404,                 48617,                 40222,,,                 11587,,                 32125,,                  1531,                 42181,                 82403,,                 10074,                 10074,                 72329,                 72329,,,                  4917,                              0,                              0,                  4917,                  4917,                 77246,,                 70906,                  1423,,                 75759,                  1487,,                              0.38,,                              0.31,,,,,,,,,,,,,,,,,,,,,,
2442,2014年第2季,,                199744,,                149790,                 49954,                 49954,,,                  2900,,                 33803,,                 11493,                 48196,                  1758,,,                  7605,,                  9175,,                  1394,                 15386,                 17144,,                 12691,                 12691,                  4453,                  4453,,,                 -4995,,                              0,                 -4995,                 -4995,                   -542,,                  3981,                    472,,                   -968,                    426,,                              0.02,,                              0.02,,,,,,,,,,,,,,,,,,,,,,
2442,2014年度,,                964511,,                730062,                234449,                234449,,,                 24915,,                125614,,                 49301,                199830,                 34619,,,                 36597,,                 88808,,                  5578,                119827,                154446,,,                 18779,                135667,                135667,,,,,,,                 10599,                146266,,                132062,                  3605,,                142572,                  3694,,                              0.72,,                              0.61,,,,,,,,,,,,,,,,,,,,                 18779,                 12752,                  2153
2442,2014年01月01日至2014年09月30日,,                737030,,                551108,                185922,                185922,,,                 18490,,                 96991,,                 32425,                147906,                 38016,,,                 26781,,                 69148,,                  4151,                 91778,                129794,,                 26597,                 26597,                103197,                103197,,,                  6462,                              0,                              0,                  6462,                  6462,                109659,,                100635,                  2562,,                107110,                  2549,,                              0.54,,                              0.46,,,,,,,,,,,,,,,,,,,,,,
2442,2014年01月01日至2014年06月30日,,                407921,,                310838,                 97083,                 97083,,,                  9207,,                 68061,,                 22021,                 99289,                 -2206,,,                 15194,,                 37023,,                  2620,                 49597,                 47391,,                 16523,                 16523,                 30868,                 30868,,,                  1545,,                              0,                  1545,                  1545,                 32413,,                 29729,                  1139,,                 31351,                  1062,,                              0.17,,                              0.14,,,,,,,,,,,,,,,,,,,,,,
