證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3054,2015年第3季,,                157437,,                162673,                 -5236,                 -5236,,,                  6400,,                 13757,,                  6439,                 26596,                -31832,,,                  8675,,                  6199,,                  2382,                 12492,                -19340,,                    719,                -20059,                -20059,,,                    695,                -21991,                -21296,                -21296,                -41355,,                -20059,,                -41355,,                             -0.19,                             -0.19,,                             -0.19,                             -0.19,,,,,,
3054,2015年第2季,,                216225,,                209485,                  6740,                  6740,,,                  6534,,                 11837,,                  7445,                 25816,                -19076,,,                  4333,,                   -479,,                  2488,                  1366,                -17710,,                    302,                -18012,                -18012,,,                    -51,                -52477,                -52528,                -52528,                -70540,,                -18012,,                -70540,,                             -0.17,                             -0.17,,                             -0.17,                             -0.17,,,,,,
3054,2015年01月01日至2015年09月30日,,                725991,,                711667,                 14324,                 14324,,,                 20053,,                 37470,,                 25853,                 83376,                -69052,,,                 17107,,                  6817,,                  7484,                 16440,                -52612,,                  2350,                -54962,                -54962,,,                    603,                -59977,                -59374,                -59374,               -114336,,                -54962,,               -114336,,                             -0.51,                             -0.51,,                             -0.51,                             -0.51,,,,,,
3054,2015年01月01日至2015年06月30日,,                568554,,                548994,                 19560,                 19560,,,                 13653,,                 23713,,                 19414,                 56780,                -37220,,,                  8432,,                    618,,                  5102,                  3948,                -33272,,                  1631,                -34903,                -34903,,,                    -92,                -37986,                -38078,                -38078,                -72981,,                -34903,,                -72981,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,,,,,,
3054,2015年01月01日至2015年03月31日,,                352329,,                339509,                 12820,                 12820,,,                  7119,,                 11876,,                 11969,                 30964,                -18144,,,                  4099,,                  1097,,                  2614,                  2582,                -15562,,                  1329,                -16891,                -16891,,,                    -41,                 14491,                 14450,                 14450,                 -2441,,                -16891,,                 -2441,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,,,,,,
3054,2014年第3季,,                406913,,                386941,                 19972,                 19972,,,                 15788,,                 17171,,                  4867,                 37826,                -17854,,,                 16171,,                 -2638,,                  2180,                 11353,                 -6501,,                   -547,                 -5954,                 -5954,,,                     64,                -36459,                -36395,                -36395,                -42349,,                 -5954,,                -42349,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,,,,,,
3054,2014年第2季,,                705488,,                656411,                 49077,                 49077,,,                 17642,,                 17008,,                  4308,                 38958,                 10119,,,                  3944,,                 -3257,,                  2189,                 -1502,                  8617,,                  2098,                  6519,                  6519,,,                    -76,                  5484,                  5408,                  5408,                 11927,,                  6519,,                 11927,,                              0.06,                              0.06,,                              0.08,                              0.08,,,,,,
3054,2014年度,,              2235930,,              2112712,                123218,                123218,,,                 58713,,                 64312,,                 21449,                144474,                -21256,,,                 32357,,                 14123,,                  9335,                 37145,                 15889,,                    585,                 15304,                 15304,,,,,,                -16217,                   -913,,                 15304,,                   -913,,                              0.14,                              0.14,,                              0.14,                              0.14,,                              0,                    237,                -18052,                  1911,                    313
3054,2014年01月01日至2014年09月30日,,              1854236,,              1726301,                127935,                127935,,,                 51704,,                 53263,,                 13015,                117982,                  9953,,,                 24449,,                  2842,,                  6703,                 20588,                 30541,,                    908,                 29633,                 29633,,,                     79,                -19372,                -19293,                -19293,                 10340,,                 29633,,                 10340,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,
3054,2014年01月01日至2014年06月30日,,              1447323,,              1339360,                107963,                107963,,,                 35916,,                 36092,,                  8148,                 80156,                 27807,,,                  8278,,                  5480,,                  4523,                  9235,                 37042,,                  1455,                 35587,                 35587,,,                     15,                 17087,                 17102,                 17102,                 52689,,                 35587,,                 52689,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,
