證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 未實現銷貨（損）益
1733,2015年第3季,,                470705,,                329377,                141328,                141328,,,                 12952,,                 19576,,                 26245,                 58773,                 82555,,,                    475,,                 50327,,                  5297,                 45505,                128060,,                 19231,                108829,                108829,,,                    499,                   -250,                    249,                    249,                109078,,                108889,                    -60,,                109109,                    -31,,                              1.11,                              1.11,,                              1.02,                              1.02,,,,,,,,,,,
1733,2015年第2季,,                422810,,                309518,                113292,                113292,,,                 14338,,                 18693,,                 26470,                 59501,                 53791,,,                    681,,                 -4888,,                  1555,                 -5762,                 48029,,                  7214,                 40815,                 40815,,,                   -210,                     66,                   -144,                   -144,                 40671,,                 40881,                    -66,,                 40737,                    -66,,                              0.41,                              0.41,,                              0.40,                              0.40,,                422810,,                309518,,,,,,,
1733,2015年01月01日至2015年09月30日,,              1367797,,                992337,                375460,                375460,,,                 45349,,                 53989,,                 76703,                176041,                199419,,,                  1562,,                 26708,,                  8402,                 19868,                219287,,                 32939,                186348,                186348,,,                   -113,                   -190,                   -303,                   -303,                186045,,                186568,                   -220,,                186365,                   -320,,                              1.89,                              1.89,,                              1.80,                              1.80,,,,,,,,,,,
1733,2015年01月01日至2015年06月30日,,                897092,,                662960,                234132,                234132,,,                 32397,,                 34413,,                 50458,                117268,                116864,,,                  1087,,                -23619,,                  3105,                -25637,                 91227,,                 13708,                 77519,                 77519,,,                   -612,                     60,                   -552,                   -552,                 76967,,                 77679,                   -160,,                 77256,                   -289,,                              0.79,                              0.79,,                              0.77,                              0.77,,                897092,,                662960,,,,,,,
1733,2015年01月01日至2015年03月31日,,                474282,,                353442,                120840,                120840,,,                 18059,,                 15720,,                 23988,                 57767,                 63073,,,                    406,,                -18731,,                  1550,                -19875,                 43198,,                  6494,                 36704,                 36704,,,                   -402,                     -6,                   -408,                   -408,                 36296,,                 36798,                    -94,,                 36519,                   -223,,                              0.37,                              0.37,,                              0.36,                              0.36,,,,,                    406,,,,,,
1733,2014年第3季,,                428083,,                301995,                126088,                126088,,,                 12728,,                 17099,,                 27850,                 57677,                 68411,,,                  1735,,                  6624,,                  2306,                  6053,                 74464,,                 13560,                 60904,                 60904,,,                   -167,                    619,                    452,                    452,                 61356,,                 62489,                 -1585,,                 62991,                 -1635,,                              0.63,                              0.63,,                              0.61,                              0.61,,,,,,,,,,,
1733,2014年第2季,,                442277,,                303512,                138765,                138765,,,                 12498,,                 17179,,                 23590,                 53267,                 85498,,,                  1186,,                -11381,,                  1785,                -11980,                 73518,,                 11022,                 62496,                 62496,,,                     72,                     39,                    111,                    111,                 62607,,                 64386,                 -1890,,                 64475,                 -1868,,                              0.65,                              0.65,,                              0.63,                              0.63,,                442277,,                303512,,,,,,,
1733,2014年度,,              1788929,,              1264256,                524673,                524673,,,                 58436,,                 71721,,                105029,                235186,                289487,,,                  4895,,                 32248,,                  7688,                 29455,                318942,,                 49945,                268997,                268997,,,,,,                  2013,                271010,,                273377,                 -4380,,                275547,                 -4537,,                              2.77,                              2.77,,                              2.67,                              2.67,,,,,                  4895,,                              0,                   -336,                  2084,                    265,
1733,2014年01月01日至2014年09月30日,,              1293582,,                914732,                378850,                378850,,,                 34207,,                 52465,,                 78372,                165044,                213806,,,                  3425,,                  8610,,                  5617,                  6418,                220224,,                 34695,                185529,                185529,,,                   -100,                  1180,                  1080,                  1080,                186609,,                189140,                 -3611,,                190250,                 -3641,,                              1.92,                              1.92,,                              1.84,                              1.84,,,,,,,,,,,
1733,2014年01月01日至2014年06月30日,,                865499,,                612737,                252762,                252762,,,                 21479,,                 35366,,                 50522,                107367,                145395,,,                  1690,,                  1986,,                  3311,                    365,                145760,,                 21135,                124625,                124625,,,                     67,                    561,                    628,                    628,                125253,,                126651,                 -2026,,                127259,                 -2006,,                              1.29,                              1.29,,                              1.24,                              1.24,,                865499,,                612737,,,,,,,
