證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
4958,2015年第3季,,             22441823,,             17507671,              4934152,              4934152,,,                370150,,                812073,,                916417,              2098640,              2835512,,,                225433,,               -168605,,                100631,,                              0,                -43803,              2791709,,                640768,              2150941,              2150941,,,              1243690,                 -2547,              1241143,              1241143,              3392084,,              2150941,,              3392084,,                              2.67,                              2.67,,                              2.45,                              2.45,,,,,,
4958,2015年第2季,,             18667167,,             15476279,              3190888,              3190888,,,                285329,,                687389,,                742874,              1715592,              1475296,,,                243334,,                173751,,                 97242,,                              0,                319843,              1795139,,                262233,              1532906,              1532906,,,               -464806,                -28511,               -493317,               -493317,              1039589,,              1532906,,              1039589,,                              1.91,                              1.91,,                              1.77,                              1.77,,,,,,
4958,2015年01月01日至2015年09月30日,,             58881274,,             47640073,             11241201,             11241201,,,                914935,,              2221862,,              2371250,              5508047,              5733154,,,                687312,,                224111,,                325229,,                              0,                586194,              6319348,,              1260587,              5058761,              5058761,,,                469101,                -15003,                454098,                454098,              5512859,,              5058761,,              5512859,,                              6.46,                              6.46,,                              5.81,                              5.81,,,,,,
4958,2015年01月01日至2015年06月30日,,             36439451,,             30132402,              6307049,              6307049,,,                544785,,              1409789,,              1454833,              3409407,              2897642,,,                461879,,                392716,,                224598,,                              0,                629997,              3527639,,                619819,              2907820,              2907820,,,               -774589,                -12456,               -787045,               -787045,              2120775,,              2907820,,              2120775,,                              3.77,                              3.77,,                              3.38,                              3.38,,,,,,
4958,2015年01月01日至2015年03月31日,,             17772284,,             14656123,              3116161,              3116161,,,                259456,,                722400,,                711959,              1693815,              1422346,,,                218545,,                218965,,                127356,,                              0,                310154,              1732500,,                357586,              1374914,              1374914,,,               -309783,                 16055,               -293728,               -293728,              1081186,,              1374914,,              1081186,,                              1.85,                              1.85,,                              1.62,                              1.62,,,,,,
4958,2014年第3季,,             19214449,,             15604278,              3610171,              3610171,,,                249489,,                677781,,                762342,              1689612,              1920559,,,                 80786,,                 97715,,                133714,,                              0,                 44787,              1965346,,                371496,              1593850,              1593850,,,                793824,                 28382,                822206,                822206,              2416056,,              1593850,,              2416056,,                              2.16,                              2.16,,                              1.87,                              1.87,,,,,,
4958,2014年第2季,,             15942439,,             13486247,              2456192,              2456192,,,                189810,,                621855,,                603921,              1415586,              1040606,,,                101181,,                 18090,,                112533,,                              0,                  6738,              1047344,,                 63532,                983812,                983812,,,               -413898,                 16630,               -397268,               -397268,                586544,,                983812,,                586544,,                              1.33,                              1.33,,                              1.24,                              1.24,,,,,,
4958,2014年度,,             75953540,,             61630696,             14322844,             14322844,,,                931396,,              2730334,,              2744340,              6406070,              7916774,,,                405664,,                169831,,                497296,,                -10967,                 67232,              7984006,,              1249322,              6734684,              6734684,,,,,,                907946,              7642630,,              6734684,,              7642630,,                              9.12,                              9.12,,                              8.10,                              8.10,                873930,                 34352,                   -405,                    -69,,
4958,2014年01月01日至2014年09月30日,,             50002300,,             41558332,              8443968,              8443968,,,                656066,,              1884452,,              1869633,              4410151,              4033817,,,                290899,,                114878,,                372513,,                -10967,                 22297,              4056114,,                566959,              3489155,              3489155,,,                118199,                 62060,                180259,                180259,              3669414,,              3489155,,              3669414,,                              4.72,                              4.72,,                              4.31,                              4.31,,,,,,
4958,2014年01月01日至2014年06月30日,,             30787851,,             25954054,              4833797,              4833797,,,                406577,,              1206671,,              1107291,              2720539,              2113258,,,                210113,,                 17163,,                238799,,                -10967,                -22490,              2090768,,                195463,              1895305,              1895305,,,               -675625,                 33678,               -641947,               -641947,              1253358,,              1895305,,              1253358,,                              2.57,                              2.57,,                              2.40,                              2.40,,,,,,
4958,2014年01月01日至2014年03月31日,,             14845412,,             12467807,              2377605,              2377605,,,                216767,,                584816,,                503370,              1304953,              1072652,,,                108932,,                   -927,,                126266,,                -10967,                -29228,              1043424,,                131931,                911493,                911493,,,               -261727,                 17048,               -244679,               -244679,                666814,,                911493,,                666814,,                              1.23,                              1.23,,                              1.16,                              1.16,,,,,,
4958,2013年第3季,,             16994441,,             13967193,              3027248,              3027248,,,                236111,,                524815,,                553606,              1314532,              1712716,,,                117494,,                   -309,,                 94889,,                -48179,                -25883,              1686833,,                250734,              1436099,              1436099,,,,,,               -220562,              1215537,,              1436099,,              1215537,,                              1.94,                              1.94,,                              1.81,                              1.81,               -227778,                  7216,,,,
