證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益
1109,2015年第3季,,              1152722,,              1070819,                 81903,                 81903,,,                 48522,,                 53845,                102367,                -20464,,,                  8738,,                -42099,,                  5757,,                   -205,                -39323,                -59787,,                 12483,                -72270,                -72270,,,                 99681,                 -1876,                   -433,                 98238,                 98238,                 25968,,                -32430,                -39840,,                 32584,                 -6616,,                             -0.08,,                             -0.08,,,,,,,,,,
1109,2015年第2季,,              1100452,,              1010507,                 89945,                 89945,,,                 43834,,                 51944,                 95778,                 -5833,,,                  7437,,                  1513,,                  5310,,                   -216,                  3424,                 -2409,,                 28323,                -30732,                -30732,,,                -36532,                 -9713,                   -261,                -45984,                -45984,                -76716,,                -14026,                -16706,,                -47834,                -28882,,                             -0.03,,                             -0.03,,,,,,,,,,
1109,2015年01月01日至2015年09月30日,,              3204963,,              2917823,                287140,                287140,,,                134244,,                159027,                293271,                 -6131,,,                 19649,,                -49657,,                 17582,,                   -641,                -48231,                -54362,,                 47133,               -101495,               -101495,,,                 37527,                -12090,                   -805,                 26242,                 26242,                -75253,,                -35954,                -65541,,                -22220,                -53033,,                             -0.09,,                             -0.09,,,,,,,,,,
1109,2015年01月01日至2015年06月30日,,              2052241,,              1847004,                205237,                205237,,,                 85722,,                105182,                190904,                 14333,,,                 10911,,                 -7558,,                 11825,,                   -436,                 -8908,                  5425,,                 34650,                -29225,                -29225,,,                -62154,                -10214,                   -372,                -71996,                -71996,               -101221,,                 -3524,                -25701,,                -54804,                -46417,,                             -0.01,,                             -0.01,,,,,,,,,,
1109,2015年01月01日至2015年03月31日,,                951789,,                836497,                115292,                115292,,,                 41888,,                 53238,                 95126,                 20166,,,                  3474,,                 -9071,,                  6515,,                   -220,                -12332,                  7834,,                  6327,                  1507,                  1507,,,                -25622,                   -501,                   -111,                -26012,                -26012,                -24505,,                 10502,                 -8995,,                 -6970,                -17535,,                              0.02,,                              0.02,,                              0,,,,,,,,
1109,2014年第3季,,                944057,,                810630,                133427,                133427,,,                 56382,,                 61168,                117550,                 15877,,,                  8366,,                  7817,,                  7984,,                   -370,                  7829,                 23706,,                    698,                 23008,                 23008,,,                 66281,                  7561,                   -516,                 74358,                 74358,                 97366,,                 33449,                -10441,,                 85716,                 11650,,                              0.08,,                              0.08,,,,,,,,,,
1109,2014年第2季,,              1493124,,              1151011,                342113,                342113,,,                 64562,,                 75345,                139907,                202206,,,                 12463,,                 -5256,,                 12501,,                              0,                 -5294,                196912,,                 51681,                145231,                145231,,,                -46863,                -13582,                    -55,                -60390,                -60390,                 84841,,                111497,                 33734,,                 66727,                 18114,,                              0.26,,                              0.26,,,,,,,,,,
1109,2014年度,,              5000089,,              4055891,                944198,                944198,,,                227098,,                283121,                510219,                433979,,,                 41973,,                 -9803,,                 38317,,                 -1012,                 -7159,                426820,,                 90056,                336764,                336764,,,,,,,                 74194,                410958,,                283540,                 53224,,                326958,                 84000,,                              0.67,,                              0.67,,                              0,,                              0,                 92415,                -13885,                 -5330,                   -994,,
1109,2014年01月01日至2014年09月30日,,              3629205,,              2893700,                735505,                735505,,,                172252,,                203927,                376179,                359326,,,                 29745,,                 -1009,,                 31077,,                   -370,                 -2711,                356615,,                 81373,                275242,                275242,,,                  8979,                 -5243,                     85,                  3651,                  3651,                278893,,                230666,                 44576,,                231325,                 47568,,                              0.55,,                              0.55,,,,,,,,,,
1109,2014年01月01日至2014年06月30日,,              2685148,,              2083070,                602078,                602078,,,                115870,,                142759,                258629,                343449,,,                 21379,,                 -8826,,                 23093,,                              0,                -10540,                332909,,                 80675,                252234,                252234,,,                -57302,                -12804,                    601,                -70707,                -70707,                181527,,                197217,                 55017,,                145609,                 35918,,                              0.47,,                              0.47,,,,,,,,,,
