證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之項目總額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3023,2015年第3季,,              3228990,,              2496878,                732112,                732112,,,                173271,,                153550,,                109366,                436187,                295925,,,                 34686,,                 81962,,                  6086,,                 14194,                124756,                420681,,                124742,                295939,                295939,,,                218932,                -53116,,                 -7406,                 35844,                122566,                122566,                418505,,                296346,                   -407,,                414998,                  3507,,                              1.38,,                              1.36,,,,,,,,,,,,,,,,,,,,,
3023,2015年第2季,,              3135637,,              2434953,                700684,                700684,,,                155516,,                134809,,                101384,                391709,                308975,,,                 52048,,                    638,,                  9266,,                 -1288,                 42132,                351107,,                101026,                250081,                250081,,,                -54176,                -10874,,                  3080,                 -8886,                -53084,                -53084,                196997,,                252897,                 -2816,,                200348,                 -3351,,                              1.21,,                              1.20,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
3023,2015年01月01日至2015年09月30日,,              9370960,,              7263155,              2107805,              2107805,,,                480934,,                448522,,                308231,              1237687,                870118,,,                128075,,                102012,,                 24825,,                 16183,                221445,              1091563,,                308562,                783001,                783001,,,                109841,                -80092,,                 -2388,                 17436,                  9925,                  9925,                792926,,                787904,                 -4903,,                794996,                 -2070,,                              3.69,,                              3.65,,,,,,,,,,,,,,,,,,,,,
3023,2015年01月01日至2015年06月30日,,              6141970,,              4766277,              1375693,              1375693,,,                307663,,                294972,,                198865,                801500,                574193,,,                 93389,,                 20050,,                 18739,,                  1989,                 96689,                670882,,                183820,                487062,                487062,,,               -109091,                -26976,,                  5018,                -18408,               -112641,               -112641,                374421,,                491558,                 -4496,,                379998,                 -5577,,                              2.36,,                              2.33,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
3023,2015年01月01日至2015年03月31日,,              3006333,,              2331324,                675009,                675009,,,                152147,,                160163,,                 97481,                409791,                265218,,,                 41341,,                 19412,,                  9473,,                  3277,                 54557,                319775,,                 82794,                236981,                236981,,,                -54915,                -16102,,                  1938,                 -9522,                -59557,                -59557,                177424,,                238661,                 -1680,,                179650,                 -2226,,                              1.15,,                              1.12,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,
3023,2014年第3季,,              2989579,,              2340038,                649541,                649541,,,                162058,,                136971,,                 92862,                391891,                257650,,,                 26800,,                 -5832,,                  8827,,                 20274,                 32415,                290065,,                 65154,                224911,                224911,,,                113279,                -24466,,                -20704,                 18806,                 49303,                 49303,                274214,,                225333,                   -422,,                273904,                    310,,                              1.06,,                              1.04,,,,,,,,,,,,,,,,,,,,,
3023,2014年第2季,,              3019801,,              2363791,                656010,                656010,,,                151988,,                130686,,                 89955,                372629,                283381,,,                 45130,,                 -9434,,                  8364,,                  4032,                 31364,                314745,,                 99943,                214802,                214802,,,                -78393,                 21329,,                  1817,                -12899,                -42348,                -42348,                172454,,                219903,                 -5101,,                178624,                 -6170,,                              1.06,,                              1.06,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
3023,2014年度,,             11642719,,              9112319,              2530400,              2530400,,,                615205,,                612851,,                351754,              1579810,                950590,,,                111765,,                 -9244,,                 40581,,                 30992,                 92932,              1043522,,                268575,                774947,                774947,,,,,,,,,                163618,                938565,,                793752,                -18805,,                954303,                -15738,,                              3.82,,                              3.79,,,,,,,,,,,,,,,,                169561,                 15056,                 -1971,,                  8412,                 27440
3023,2014年01月01日至2014年09月30日,,              8750553,,              6848171,              1902382,              1902382,,,                459910,,                411301,,                269423,              1140634,                761748,,,                101567,,                 17031,,                 25753,,                 25260,                118105,                879853,,                243812,                636041,                636041,,,                 22573,                 25093,,                  1945,                  3208,                 46403,                 46403,                682444,,                646024,                 -9983,,                691889,                 -9445,,                              3.05,,                              3.03,,,,,,,,,,,,,,,,,,,,,
3023,2014年01月01日至2014年06月30日,,              5760974,,              4508133,              1252841,              1252841,,,                297852,,                274330,,                176561,                748743,                504098,,,                 74767,,                 22863,,                 16926,,                  4986,                 85690,                589788,,                178658,                411130,                411130,,,                -90706,                 49559,,                 22649,                -15598,                 -2900,                 -2900,                408230,,                420691,                 -9561,,                417985,                 -9755,,                              2.03,,                              2.02,,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,
