證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 廉價購買利益,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 現金流量避險
2371,2015年第3季,,,,             24359816,                191151,                316342,             23852323,             23852323,,             22375959,              1476364,              1476364,,,              1346317,,              1391499,,              1240843,              3978659,             -2502295,,,                517297,,               -917833,,              1074966,,                132615,             -1342887,             -3845182,,                118617,             -3963799,             -3963799,,,                215440,               -641245,,                 78883,                -61812,               -285110,               -285110,             -4248909,,             -1025569,             -2938230,,               -983163,             -3265746,,                             -0.45,,                             -0.45,,,,,,,,,
2371,2015年第2季,,,,             23298000,                254910,                253606,             22789484,             22789484,,             21955379,                834105,                834105,,,              1247048,,              1311219,,              1217553,              3775820,             -2941715,,,                604423,,              1732875,,              1100391,,                101511,              1338418,             -1603297,,                366119,             -1969416,             -1969416,,,               -655872,               -184805,,                -24151,                -86120,               -778708,               -778708,             -2748124,,               -573400,             -1396016,,               -924368,             -1823756,,                             -0.25,,                             -0.25,,,,,,,,,
2371,2015年01月01日至2015年09月30日,,,,             73200795,                656674,                846248,             71697873,             71697873,,             67371789,              4326084,              4326084,,,              3734789,,              4082577,,              3836999,             11654365,             -7328281,,,              1743010,,              1425567,,              3223032,,                341478,                287023,             -7041258,,                674624,             -7715882,             -7715882,,,             -1240537,               -951946,,                 22824,               -265217,             -1904442,             -1904442,             -9620324,,             -2071819,             -5644063,,             -2748103,             -6872221,,                             -0.91,,                             -0.91,,,,,,,,,
2371,2015年01月01日至2015年06月30日,,,,             48840979,                465523,                529906,             47845550,             47845550,,             44995830,              2849720,              2849720,,,              2388472,,              2691078,,              2596156,              7675706,             -4825986,,,              1225713,,              2343400,,              2148066,,                208863,              1629910,             -3196076,,                556007,             -3752083,             -3752083,,,             -1455977,               -310701,,                -56059,               -203405,             -1619332,             -1619332,             -5371415,,             -1046250,             -2705833,,             -1764940,             -3606475,,                             -0.46,,                             -0.46,,,,,,,,,
2371,2015年01月01日至2015年03月31日,,,,             25542979,                210613,                276300,             25056066,             25056066,,             23040451,              2015615,              2015615,,,              1141424,,              1379859,,              1378603,              3899886,             -1884271,,,                621290,,                610525,,              1047675,,                107352,                291492,             -1592779,,                189888,             -1782667,             -1782667,,,               -800105,               -125896,,                -31908,               -117285,               -840624,               -840624,             -2623291,,               -472850,             -1309817,,               -840572,             -1782719,,                             -0.21,,                             -0.21,,,,,,,,,
2371,2014年第3季,,,,             27488247,                251932,                410427,             26825888,             26825888,,             24066079,              2759809,              2759809,,,              1735524,,              1369387,,              1403511,              4508422,             -1748613,,,              1229516,,               -213997,,                884455,,                133863,                264927,             -1483686,,                 74020,             -1557706,             -1557706,,,                552463,                516066,,                 29928,                147055,                951402,                951402,               -606304,,                111199,             -1668905,,                163725,               -770029,,                              0.05,,                              0.05,,,,,,,,,
2371,2014年第2季,,,,             28652402,                175867,                226775,             28249760,             28249760,,             22739641,              5510119,              5510119,,,              1515080,,              1246862,,              1246297,              4008239,              1501880,,,                500468,,                181430,,                833871,,                182177,                 30204,              1532084,,                349312,              1182772,              1182772,,,               -519075,                760806,,                -31273,                   -174,                210632,                210632,              1393404,,                438498,                744274,,                662566,                730838,,                              0.19,,                              0.19,,,,,,,,,
2371,2014年度,,,,            114650347,                912784,              1128285,            112609278,            112609278,,             96725204,             15884074,             15884074,,,              5846189,,              5281119,,              5490646,             16617954,               -733880,,,              3140050,,             -1834973,,              3598543,,                622182,             -1671284,             -2405164,,                581885,             -2987049,             -2987049,,,,,,,,,              2363644,               -623405,,                363539,             -3350588,,              1288947,             -1912352,,                              0.16,,                              0.16,                              0,              3140050,              1602931,                839544,                 24150,,                171493,                274474,
2371,2014年01月01日至2014年09月30日,,,,             85988118,                592109,                854230,             84541779,             84541779,,             70647992,             13893787,             13893787,,,              4625242,,              3905476,,              4052108,             12582826,              1310961,,,              2422404,,               -692562,,              2522859,,                457465,               -335552,                975409,,                465772,                509637,                509637,,,                482900,              1542586,,                 74142,                236954,              1862674,              1862674,              2372311,,              1235275,               -725638,,              1866536,                505775,,                              0.54,,                              0.54,,,,,,,,,
2371,2014年01月01日至2014年06月30日,,,,             58499871,                340177,                443803,             57715891,             57715891,,             46581913,             11133978,             11133978,,,              2889718,,              2536089,,              2648597,              8074404,              3059574,,,              1192888,,               -478565,,              1638404,,                323602,               -600479,              2459095,,                391752,              2067343,              2067343,,,                -69563,              1026520,,                 44214,                 89899,                911272,                911272,              2978615,,              1124076,                943267,,              1702811,              1275804,,                              0.49,,                              0.49,,,,,,,,,
