證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）,　 停業單位損益,　　 停業單位損益合計
6152,2015年第3季,,              2092443,,              1944523,                147920,                147920,,,                 28726,,                199247,,                 90341,                318314,               -170394,,,                 29302,,                 72586,,                  5975,,                   -183,                 95730,                -74664,,                 -6798,                -67866,                -67866,,,                 34655,,                  1008,                  5973,                 29690,                 29690,                -38176,,                -68896,                  1030,,                -39733,                  1557,,                             -0.41,,,,,,,,,
6152,2015年第2季,,              2249810,,              2029292,                220518,                220518,,,                 31885,,                204882,,                 83117,                319884,                -99366,,,                  5333,,                 -2103,,                  4738,,                 -3532,                 -5040,               -104406,,                 -2693,               -101713,               -101713,,,                 19131,,                   -388,                  3221,                 15522,                 15522,                -86191,,               -101964,                    251,,                -86241,                     50,,                             -0.60,,                             -0.60,,,,,,,
6152,2015年01月01日至2015年09月30日,,              5902840,,              5388754,                514086,                514086,,,                 92806,,                573874,,                258595,                925275,               -411189,,,                 47055,,                 64993,,                 14964,,                 -6837,                 90247,               -320942,,                -33653,               -287289,               -287289,,,                 40461,,                    276,                  6899,                 33838,                 33838,               -253451,,               -287868,                    579,,               -254185,                    734,,                             -1.70,,,,,,,,,
6152,2015年01月01日至2015年06月30日,,              3810397,,              3444231,                366166,                366166,,,                 64080,,                374627,,                168254,                606961,               -240795,,,                 17753,,                 -7593,,                  8989,,                 -6654,                 -5483,               -246278,,                -26855,               -219423,               -219423,,,                  5806,,                   -732,                    926,                  4148,                  4148,               -215275,,               -218972,                   -451,,               -214452,                   -823,,                             -1.29,,                             -1.29,,,,,,,
6152,2014年第3季,,              1529593,,              1394346,                135247,                135247,,,                 32801,,                154478,,                 86362,                273641,               -138394,,,                  4594,,                 23336,,                  3829,,                 -9854,                 14247,               -124147,,                -21180,               -102967,               -102967,,,                 53156,,                  1224,                  9165,                 45215,                 45215,                -57752,,               -102474,                   -493,,                -57798,                     46,,                             -0.59,,,,,,,,,
6152,2014年第2季,,              1788535,,              1545143,                243392,                243392,,,                 46984,,                152717,,                 86196,                285897,                -42505,,,                  4453,,                -23265,,                  3799,,                 -3695,                -26306,                -68811,,                 -7432,                -61379,                -61379,,,                -26684,,                   -820,                 -4618,                -22886,                -22886,                -84265,,                -62428,                  1049,,                -84978,                    713,,                             -0.36,,                             -0.36,,,,,,,
6152,2014年01月01日至2014年09月30日,,              5227716,,              4583555,                644161,                644161,,,                123034,,                486328,,                261926,                871288,               -227127,,,                 19424,,                 11188,,                 13715,,                -19243,                 -2346,               -229473,,                -30508,               -198965,               -198965,,,                 -8787,,                     23,                 -1485,                 -7279,                 -7279,               -206244,,               -199770,                    805,,               -207094,                    850,,                             -1.16,,,,,,,,,
6152,2014年01月01日至2014年06月30日,,              3698123,,              3189209,                508914,                508914,,,                 90233,,                331850,,                175564,                597647,                -88733,,,                 14830,,                -12148,,                  9886,,                 -9389,                -16593,               -105326,,                 -9328,                -95998,                -95998,,,                -61943,,                 -1201,                -10650,                -52494,                -52494,               -148492,,                -97296,                  1298,,               -149296,                    804,,                             -0.56,,                             -0.56,,,,,,,
6152,2013年第3季,,              2608407,,              2226086,                382321,                382321,,,                 46517,,                198755,,                 88456,                333728,                 48593,,,                 29454,,                  8471,,                  5076,,                  1469,                 34318,                 82911,,                 50931,                 31980,                 31980,,,,,,,,                -16863,                 15117,,                 30879,                  1101,,                 14235,                    882,,                              0.18,,                              0.18,                -20406,,                    134,                 -3409,,,
6152,2013年第2季,,              3278523,,              2830431,                448092,                448092,,,                 60769,,                188804,,                 89902,                339475,                108617,,,                 12373,,                  8078,,                  5259,,                  3248,                 18440,                127057,,                 33313,                 93744,                 93744,,,,,,,,                 34660,                128404,,                 94047,                   -303,,                128338,                     66,,                              0.55,,                              0.53,                 41401,,                    238,                  6979,,,
