證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　　 工程收入,　　　 銷貨成本,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
9930,2015年第3季,,,              1151558,,,                 60079,                 60079,,                572460,              1784097,,,                873425,,                 59786,                 59786,,                511456,              1444667,                339430,                339430,,,                 40969,,                 50425,,                  6218,                 97612,                241818,,,                 10638,                 10638,,                  3749,,                  4437,,                  4145,                 14095,                255913,,                 40218,                215695,                215695,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -61477,,                    536,                -17796,                -17260,                -78737,                -78737,                136958,,                213701,                  1994,,                135061,                  1897,,                              0.95,                              0.95,,                              0.94,                              0.94,,,,,,,,,,,
9930,2015年第2季,,,              1203134,,,                161676,                161676,,                598420,              1963230,,,                880188,,                160761,                160761,,                556027,              1596976,                366254,                366254,,,                 42533,,                 55069,,                  5606,                103208,                263046,,,                    744,                    744,,                 -1185,,                  3218,,                  2636,                 -1023,                262023,,                 44692,                217331,                217331,,,,,,,,,,,,,,                -19242,,                   -228,                 -6581,                 -6809,                -26051,                -26051,                191280,,                207018,                 10313,,                181019,                 10261,,                              0.92,                              0.92,,                              0.91,                              0.91,,                              0,,,,,,,,,
9930,2015年01月01日至2015年09月30日,,,              3567322,,,                280586,                280586,,              1827246,              5675154,,,              2632326,,                279217,                279217,,              1668954,              4580497,              1094657,              1094657,,,                125880,,                151468,,                 17948,                295296,                799361,,,                 12016,                 12016,,                   -291,,                 10975,,                 10345,                 11095,                810456,,                132804,                677652,                677652,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                -95283,,                    228,                -25318,                -25090,               -120373,               -120373,                557279,,                662702,                 14950,,                542486,                 14793,,                              2.93,                              2.93,,                              2.92,                              2.92,,,,,,,,,,,
9930,2015年01月01日至2015年06月30日,,,              2415764,,,                220507,                220507,,              1254786,              3891057,,,              1758901,,                219431,                219431,,              1157498,              3135830,                755227,                755227,,,                 84911,,                101043,,                 11730,                197684,                557543,,,                  1378,                  1378,,                 -4040,,                  6538,,                  6200,                 -3000,                554543,,                 92586,                461957,                461957,,,,,,,,,,,,,,                -32974,,                   -308,                 -8354,                 -8662,                -41636,                -41636,                420321,,                449001,                 12956,,                407425,                 12896,,                              1.99,                              1.99,,                              1.98,                              1.98,,                              0,,,,,,,,,
9930,2015年01月01日至2015年03月31日,,,              1212630,,,                 58831,                 58831,,                656366,              1927827,,,                878713,,                 58670,                 58670,,                601471,              1538854,                388973,                388973,,,                 42378,,                 45974,,                  6124,                 94476,                294497,,,                    634,                    634,,                 -2855,,                  3320,,                  3564,                 -1977,                292520,,                 47894,                244626,                244626,,,,,,,,,,,,,,                -13732,,                    -80,                 -1773,                 -1853,                -15585,                -15585,                229041,,                241983,                  2643,,                226406,                  2635,,                              1.07,                              1.07,,                              1.07,                              1.07,,,,,,,,,,,
9930,2014年第3季,,,              1235094,,,                 10000,                 10000,,                423628,              1668722,,,                883374,,                  9147,                  9147,,                369534,              1262055,                406667,                406667,,,                 36738,,                 49051,,                  6648,                 92437,                314230,,,                  8590,                  8590,,                 -8484,,                    949,,                  9074,                  8231,                322461,,                 51226,                271235,                271235,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 12964,,                    300,                  1840,                  2140,                 15104,                 15104,                286339,,                265336,                  5899,,                280363,                  5976,,                              1.17,                              1.17,,                              1.17,                              1.17,,,,,,,,,,,
9930,2014年第2季,,,              1215341,,,                  2400,                  2400,,                513149,              1730890,,,                847201,,                  2320,                  2320,,                475334,              1324855,                406035,                406035,,,                 40435,,                 48020,,                  6001,                 94456,                311579,,,                  7119,                  7119,,                   -100,,                    295,,                  6137,                 12861,                324440,,                 61507,                262933,                262933,,,,,,,,,,,,,,                  8146,,                   -256,                    444,                    188,                  8334,                  8334,                271267,,                257521,                  5412,,                265881,                  5386,,                              1.14,                              1.14,,                              1.14,                              1.14,,                              0,,,,,,,,,
9930,2014年度,,,              5002422,,,                 15844,                 15844,,              2009383,              7027649,,,              3593213,,                 15027,                 15027,,              1805704,              5413944,              1613705,              1613705,,,                146056,,                200015,,                 24359,                370430,              1243275,,,                 21490,                 21490,,                 -4933,,                  1514,,                 18760,                 33803,              1277078,,                213475,              1063603,              1063603,,,,,,,,,,,,,,,,,,,,                  9412,              1073015,,              1032582,                 31021,,              1041983,                 31032,,                              4.57,                              4.57,,                              4.55,                              4.55,,,,              5002422,              5002422,                 15844,              3593213,                  7234,                   -322,,                  2500
9930,2014年01月01日至2014年09月30日,,,              3638103,,,                 15843,                 15843,,              1401358,              5055304,,,              2617341,,                 14729,                 14729,,              1270698,              3902768,              1152536,              1152536,,,                112024,,                143589,,                 18082,                273695,                878841,,,                 18262,                 18262,,                 -7848,,                  2083,,                 18735,                 27066,                905907,,                154428,                751479,                751479,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  5408,,                     51,                 -1312,                 -1261,                  4147,                  4147,                755626,,                736734,                 14745,,                740861,                 14765,,                              3.26,                              3.26,,                              3.25,                              3.25,,,,,,,,,,,
9930,2014年01月01日至2014年06月30日,,,              2403009,,,                  5843,                  5843,,                977730,              3386582,,,              1733967,,                  5582,                  5582,,                901164,              2640713,                745869,                745869,,,                 75286,,                 94538,,                 11434,                181258,                564611,,,                  9672,                  9672,,                    636,,                  1134,,                  9661,                 18835,                583446,,                103202,                480244,                480244,,,,,,,,,,,,,,                 -6765,,                   -249,                 -3943,                 -4192,                -10957,                -10957,                469287,,                471398,                  8846,,                460498,                  8789,,                              2.09,                              2.09,,                              2.08,                              2.08,,                              0,,,,,,,,,
