證券代號,年季,　 營業收入,　　 營建工程收入,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 營建工程成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分無形資產利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分投資利益,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　　 外幣兌換利益,　　 租賃收入,　　　 租賃收入合計,　　　 處分不動產、廠房及設備利益,　　 遞延所得稅費用（利益）
2509,2014年01月01日至2014年03月31日,,,,,                  9613,                  9613,,,,                  6104,                  6104,                  3509,                  3509,,,                 10315,,                 26537,                 36852,                -33343,,,,,,,                    168,,,,,,                  9180,,                  1021,                  1021,                  8327,                -25016,,                     56,                     56,                -25072,                -25072,,,                  8977,                    -92,                              0,                  8885,                  8885,                -16187,,                -24481,                   -591,,                -15596,                   -591,,                             -0.16,,                             -0.16,,,,,,,,,,,,,,
2509,2013年第3季,,,,,                110966,                110966,,,                 59439,                  3535,                 62974,                 47992,                 47992,,,                 22810,,                 53203,                 76013,                549778,,,,                     11,                  5250,,                  5261,,,                 -3398,                   -128,                      5,                 -3277,,                    444,                    444,                  1540,                551318,,,                 25197,                526121,                526121,,,,,,,                 -1107,                525014,,                496438,                 29683,,                495331,                 29683,,                              3.27,,                              3.26,,                577799,                 -3569,                  2462,,                              0,                              0,                      2,                 25197,,,,,
2509,2013年第2季,,,,,                115914,                115914,,,                 61453,                  6364,                 67817,                 48097,                 48097,,,                 43053,,                 24073,                 67126,                -19029,,,,                     27,,,                     27,,,                   -315,                  1889,,                 -2202,,                 30393,                 30393,                -32568,                -51597,,,                  9361,                -60958,                -60958,,,,,,,                 -3658,                -64616,,                -55156,                 -5802,,                -58814,                 -5802,,                             -0.36,,,,,                  2722,                 -6380,,                              0,                              0,,                  9361,                      2,,,,
2509,2013年度,,,,,                358204,                358204,,,                184491,                 22118,                206609,                151595,                151595,,,                122118,,                123397,                245515,                483879,,,,,,,                 11598,,,,,,                 -3132,,                 37972,                 37972,                -29506,                454373,,,                 39515,                414858,                414858,,,,,,,                  9228,                424086,,                396041,                 18817,,                405269,                 18817,,                              2.61,,                              2.60,,                577799,                 10097,                   -635,                   -234,                              0,,,,,,,,
2509,2013年07月01日至2013年09月30日,,,                101563,,                  9403,                110966,,,                 59439,                  3535,                 62974,                 47992,                 47992,,,                 22810,,                 53203,                 76013,                549778,,,,,,,                     11,,,                 -3398,                 -5373,,                  1973,,                    444,                    444,                  1540,                551318,,,                 25197,                526121,                526121,,,,,,,                 -1107,                525014,,                496438,                 29683,,                495331,                 29683,,                              3.27,,                              3.26,,                577799,                 -3569,                  2462,,                              0,,                      2,                 25197,,,                              0,                              0,
2509,2013年04月01日至2013年06月30日,,,,,,                115914,,,,,                 67817,                 48097,                 48097,,,                 43053,,                 24073,                 67126,                -19029,,,,,,,                     27,,,,,,                 -2202,,,                 30393,                -32568,                -51597,,,                  9361,                -60958,                -60958,,,,,,,                 -3658,                -64616,,                -55156,                 -5802,,                -58814,                 -5802,,                             -0.36,,                             -0.36,,,                  2722,                 -6380,,                              0,,,,,,,,
2509,2013年01月01日至2013年12月31日,,,,,                358204,                358204,,,                184491,                 22118,                206609,                151595,                151595,,,                122118,,                123397,                245515,                483879,,,,                  5421,                  5250,                    927,                 11598,,,,,,                 -3132,,,                 37972,                -29506,                454373,,,                 39515,                414858,                414858,,,,,,,                  9228,                424086,,                396041,                 18817,,                405269,                 18817,,                              2.61,,                              2.60,,                577799,                 10097,                   -635,                   -234,                              0,,,,,,,,
2509,2013年01月01日至2013年09月30日,,,,,                324481,                324481,,,                169891,                 16661,                186552,                137929,                137929,,,                100677,,                 94279,                194956,                520772,,,,                  2477,                  5250,,                  7727,,,                 -2705,                  4071,                      5,                 -6783,,                 36885,                 36885,                -35941,                484831,,,                 39515,                445316,                445316,,,,,,,                  3421,                448737,,                425739,                 19577,,                429160,                 19577,,                              2.81,,                              2.79,,                577799,                  8427,                 -5006,,                              0,                              0,                      2,                 39515,,,,,
2509,2013年01月01日至2013年06月30日,,,,,                213515,                213515,,,                110452,                 13126,                123578,                 89937,                 89937,,,                 77867,,                 41076,                118943,                -29006,,,,                  2466,,,                  2466,,,                    693,                  4199,,                 -3506,,                 36441,                 36441,                -37481,                -66487,,,                 14318,                -80805,                -80805,,,,,,,                  4528,                -76277,,                -70699,                -10106,,                -66171,                -10106,,                             -0.47,,,,,                 11996,                 -7468,,                              0,                              0,,                 14318,                              0,,,,
2509,2013年01月01日至2013年03月31日,,,,,,                 97601,,,                 48999,                  6762,                 55761,                 41840,                 41840,,,                 34814,,                 17003,                 51817,                 -9977,,,,                  2246,,                    193,                  2439,,,,,,                 -1304,,                  6048,                  6048,                 -4913,                -14890,,,                  4957,                -19847,                -19847,,,,,,,                  8186,                -11661,,                -15543,                 -4304,,                 -7357,                 -4304,,                             -0.10,,                             -0.10,,,                  9274,                 -1088,,                              0,,,                  4957,,,,,                              0
2509,2012年07月01日至2012年09月30日,,,                              0,,              2615373,              2629194,,,              1402549,                  6002,              1408551,              1220643,              1220643,,,                138233,,                 25764,                163997,              1056646,,,,,,,                    793,,,                 -2675,                 -2032,,                   -643,,                  4188,                  4188,                 -4038,              1052608,,,                 49994,              1002614,              1002614,,,,,,,                    735,              1003349,,              1002591,                     23,,              1003326,                     23,,                              6.61,,                              6.60,,                              0,                 -5185,                  5920,,                              0,,                              0,                 49994,,,                 13821,                              0,
2509,2012年04月01日至2012年06月30日,,,,,,                947069,,,,,                538620,                408449,                408449,,,                 58305,,                 15161,                 73466,                334983,,,,,,,                  1789,,,,,,                 -5205,,,                  4444,                 -7860,                327123,,,                103809,                223314,                223314,,,,,,,                 -4889,                218425,,                222227,                  1087,,                217338,                  1087,,                              1.46,,                              1.21,,,                  6141,                -11030,,                              0,,,,,,,,
2509,2012年01月01日至2012年12月31日,,,,,              3690109,              3690109,,,              2006367,                              0,              2006367,              1683742,              1683742,,,                226399,,                 85218,                311617,              1372125,,,,                  5971,                  4343,                    626,                 10940,,,,,,                -14407,,,                 19619,                -23086,              1349039,,,                158874,              1190165,              1190165,,,,,,,                 -7857,              1182308,,              1189303,                    862,,              1181446,                    862,,                              7.84,,                              6.16,,                              0,                -15732,                  6462,                  1413,                              0,,,,,,,,
2509,2012年01月01日至2012年09月30日,,,                              0,,              3556632,              3598044,,,              1935717,                 18127,              1953844,              1644200,              1644200,,,                208842,,                 67422,                276264,              1367936,,,,,,,                  2678,,,                 -2505,                  5357,,                 -7862,,                 13024,                 13024,                -18208,              1349728,,,                153803,              1195925,              1195925,,,,,,,                 -2461,              1193464,,              1194650,                  1275,,              1192189,                  1275,,                              7.87,,                              6.27,,                              0,                 -9323,                  6862,,                              0,,                              0,                153803,,,                 41412,                              0,
2509,2012年01月01日至2012年06月30日,,,,,,                968850,,,,,                545293,                423557,                423557,,,                 70609,,                 41658,                112267,                311290,,,,,,,                  1886,,,,,,                 -7219,,,                  8836,                -14169,                297121,,,                103809,                193312,                193312,,,,,,,                 -3196,                190116,,                192060,                  1252,,                188864,                  1252,,                              1.27,,                              1.07,,,                 -4138,                    942,,                              0,,,,,,,,
2509,2012年01月01日至2012年03月31日,,,,,,                 21781,,,,,                  6673,                 15108,                 15108,,,                 12304,,                 26497,                 38801,                -23693,,,,,,,                     97,,,,,,                 -2014,,,                  4392,                 -6309,                -30002,,,                              0,                -30002,                -30002,,,,,,,                  1693,                -28309,,                -30167,                    165,,                -28474,                    165,,                             -0.20,,,,,                -10279,                 11972,,                              0,,,                              0,,,,,                              0
