證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益
3043,2015年第3季,,,                350924,                350924,,                329115,                 21809,                 21809,,,                 30543,,                 31147,,                 15608,                 77298,                -55489,,,,                     22,                    104,                              0,                 31170,                    915,                 32211,,                    -17,                              0,                 26814,                              0,                              0,                     70,                              0,                              0,                              0,,                              0,                 26727,,                  4119,,                              0,                  1170,                 -1170,                 53649,                 -1840,,                   -208,                 -1632,                 -1632,,,                    -85,,                              0,                              0,                    -85,,                -17531,                              0,,                              0,                              0,                -17531,                -17616,                -19248,,                 -2003,                    371,,                -19718,                    470,,                             -0.01,                             -0.01,,,,,,,,
3043,2015年第2季,,,                313201,                313201,,                280617,                 32584,                 32584,,,                 39419,,                 43245,,                 15773,                 98437,                -65853,,,,                     29,                    567,                              0,                 50437,                 82599,                133632,,                    -53,                              0,                              0,                              0,                              0,                              0,                              0,                    378,                              0,,                  5952,                 -6383,,                  4691,,                              0,                  1488,                 -1488,                121070,                 55217,,                  1889,                 53328,                 53328,,,                    574,,                              0,                              0,                    574,,                  4455,                              0,,                              0,                              0,                  4455,                  5029,                 58357,,                 50316,                  3012,,                 55368,                  2989,,                              0.26,                              0.26,,,,,,,,
3043,2015年第1季,,,,                321178,,                318104,                  3074,                  3074,,,                 28492,,                 39929,,                 20602,                 89023,                -85949,,,,                     25,                     34,,                 17978,                  1540,                 19577,,                     70,,                              0,,                  1888,                              0,,                  6636,,,                  5987,                -14441,,                  4716,,                  4518,,                  4518,                  4938,                -81011,,                   -368,                -80643,                -80643,,,                   -329,,,,                   -329,,                  3235,                              0,,,,                  3235,                  2906,                -77737,,                -80515,                   -128,,                -77592,                   -145,,                             -0.41,                             -0.41,,,,,,,,
3043,2015年01月01日至2015年09月30日,,,                985303,                985303,,                927836,                 57467,                 57467,,,                 98454,,                114321,,                 51983,                264758,               -207291,,,,                     76,                    705,                              0,                181110,                  3529,                185420,,                              0,                              0,                 19800,                              0,                  1813,                     70,                     75,                              0,                              0,,                 11939,                  5903,,                 13526,,                              0,                 -1860,                  1860,                179657,                -27634,,                  1313,                -28947,                -28947,,,                    160,,                              0,                              0,                    160,,                 -9841,                              0,,                              0,                              0,                 -9841,                 -9681,                -38628,,                -32202,                  3255,,                -41942,                  3314,,                             -0.15,                             -0.15,,,,,,,,
3043,2015年01月01日至2015年06月30日,,,                634379,                634379,,                598721,                 35658,                 35658,,,                 67911,,                 83174,,                 36375,                187460,               -151802,,,,                     54,                    601,                              0,                 68415,                 84139,                153209,,                     17,                              0,                              0,                              0,                  1888,                              0,                              0,                  7014,                              0,,                 11939,                -20824,,                  9407,,                              0,                 -3030,                  3030,                126008,                -25794,,                  1521,                -27315,                -27315,,,                    245,,                              0,                              0,                    245,,                  7690,                              0,,                              0,                              0,                  7690,                  7935,                -19380,,                -30199,                  2884,,                -22224,                  2844,,                             -0.14,                             -0.14,,,,,,,,
3043,2014年第3季,,,                456936,                456936,,                406321,                 50615,                 50615,,,                 32777,,                 33610,,                 17824,                 84211,                -33596,,,,                     22,                     25,                     95,                 12584,                  1302,                 14028,,                              0,                    712,                  1517,                              0,                  4231,                      8,                              0,                              0,                              0,,                  8730,                -10740,,                  5063,,                              0,                    709,                   -709,                 -2484,                -36080,,                 10189,                -46269,                -46269,,,                   -124,,                              0,                              0,                   -124,,                 -5168,                   -667,,                   -204,                              0,                 -6039,                 -6163,                -52432,,                -47269,                  1000,,                -53466,                  1034,,                             -0.24,                             -0.24,,,,,,,,
3043,2014年第2季,,,                320383,                320383,,                303095,                 17288,                 17288,,,                 32571,,                 56268,,                 18104,                106943,                -89655,,,,                     66,                     24,                              0,                 11825,                 27149,                 39064,,                              0,                    292,                 -3416,                              0,                     16,                      2,                              0,                  8046,                              0,,                  7016,                -18204,,                  5280,,                              0,                  1060,                 -1060,                 14520,                -75135,,                  1547,                -76682,                -76682,,,                   -456,,                              0,                              0,                   -456,,                  4579,                    138,,                              0,                              0,                  4717,                  4261,                -72421,,                -77208,                    526,,                -72910,                    489,,                             -0.40,                             -0.40,,,,,,,,
3043,2014年第1季,,,,                344743,,                296947,                 47796,                 47796,,,                 40555,,                 42543,,                 20216,                103314,                -55518,,,,                    213,                     24,,                 14006,                 93679,                107922,,                              0,,                  3416,,                     18,                      3,,                              0,,,                              0,                  3395,,                  5433,,                   -666,,                   -666,                105218,                 49700,,                    607,                 49093,                 49093,,,                    651,,,,                    651,,                 -3172,                   -353,,,,                 -3525,                 -2874,                 46219,,                 47738,                  1355,,                 44825,                  1394,,                              0.25,                              0.25,,,,,,,,
3043,2014年度,,,,              1585134,,              1478958,                106176,                106176,,,                145737,,                206730,,                 71947,                424414,               -318238,,,,                    340,                     97,                     97,                 77765,                122600,                200899,,,                  1004,                 13720,                              0,                  5575,                    371,,,,,                 24861,                -16083,,                 20618,,,                 11009,                -11009,                153189,               -165049,,                 10396,               -175445,               -175445,,,,,,,,,,,,,,,                -23995,               -199440,,               -161436,                -14009,,               -185532,                -13908,,                             -0.90,                             -0.90,                -14260,                   -882,                 -8954,,                              0,                    101,                              0,
3043,2014年01月01日至2014年09月30日,,,              1122062,              1122062,,              1006363,                115699,                115699,,,                105903,,                132421,,                 56144,                294468,               -178769,,,,                    301,                     73,                     95,                 38415,                122130,                161014,,                              0,                  1004,                              0,                              0,                  4265,                     13,                              0,                  6529,                              0,,                 15746,                -25549,,                 15776,,                              0,                  2435,                 -2435,                117254,                -61515,,                 12343,                -73858,                -73858,,,                     71,,                              0,                              0,                     71,,                 -5193,                   -882,,                  1228,                              0,                 -4847,                 -4776,                -78634,,                -76739,                  2881,,                -81551,                  2917,,                             -0.38,                             -0.38,,,,,,,,
