證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
1589,2015年第3季,,              2129498,,              1470665,                658833,                658833,,,                150621,,                155808,,                 24195,                330624,                328209,,,,                 13338,                    265,                 46336,                 59939,,                -17419,               -111949,                 94530,,                 11680,                 11680,                142789,                470998,,                102328,                368670,                368670,,,                204861,                204861,                204861,                573531,,                369032,                   -362,,                575020,                 -1489,,                              3.29,                              3.29,,                              3.23,                              3.23,
1589,2015年第2季,,              2187996,,              1483726,                704270,                704270,,,                157363,,                110404,,                 23935,                291702,                412568,,,,                 14126,                    178,                 -2176,                 12128,,                  6182,                -19825,                 26007,,                  7858,                  7858,                 30277,                442845,,                134816,                308029,                308029,,,               -101678,               -101678,               -101678,                206351,,                308720,                   -691,,                212686,                 -6335,,                              2.87,                              2.87,,                              2.72,                              2.72,
1589,2015年01月01日至2015年09月30日,,              6180451,,              4235447,              1945004,              1945004,,,                441923,,                379963,,                 65167,                887053,              1057951,,,,                 43056,                    986,                 46274,                 90316,,                 12696,                -92056,                104752,,                 28276,                 28276,                166792,              1224743,,                314862,                909881,                909881,,,                -17580,                -17580,                -17580,                892301,,                911181,                 -1300,,                900448,                 -8147,,                              8.42,                              8.42,,                              7.98,                              7.98,
1589,2015年01月01日至2015年06月30日,,              4050953,,              2764782,              1286171,              1286171,,,                291302,,                224155,,                 40972,                556429,                729742,,,,                 29718,                    721,                    -62,                 30377,,                 30115,                 19893,                 10222,,                 16596,                 16596,                 24003,                753745,,                212534,                541211,                541211,,,               -222441,               -222441,               -222441,                318770,,                542149,                   -938,,                325428,                 -6658,,                              5.10,                              5.10,,                              4.75,                              4.75,
1589,2015年01月01日至2015年03月31日,,              1862957,,              1281056,                581901,                581901,,,                133939,,                113751,,                 17037,                264727,                317174,,,,                 15592,                    543,                  2114,                 18249,,                 23933,                 39718,                -15785,,                  8738,                  8738,                 -6274,                310900,,                 77718,                233182,                233182,,,               -120763,               -120763,               -120763,                112419,,                233429,                   -247,,                112742,                   -323,,                              2.22,                              2.22,,                              2.03,                              2.03,
1589,2014年第3季,,              1787916,,              1226218,                561698,                561698,,,                118301,,                104830,,                 25528,                248659,                313039,,,,                 11003,                    477,                  3441,                 14921,,                  2576,                 23694,                -21118,,                 10037,                 10037,                -16234,                296805,,                 70743,                226062,                226062,,,                146381,                146381,                146381,                372443,,                226300,                   -238,,                372248,                    195,,                              2.19,                              2.19,,                              2.19,                              2.19,
1589,2014年第2季,,              1949090,,              1308146,                640944,                640944,,,                 88938,,                122658,,                 25129,                236725,                404219,,,,                 11622,                  1772,                 -1065,                 12329,,                  3356,                  2479,                    877,,                 19876,                 19876,                 -6670,                397549,,                 97664,                299885,                299885,,,               -133013,               -133013,               -133013,                166872,,                299885,                              0,,                166872,                              0,,                              2.97,                              2.97,,                              2.97,                              2.97,
1589,2014年度,,              7206294,,              4948583,              2257711,              2257711,,,                389526,,                429299,,                 90027,                908852,              1348859,,,,                 45441,                  4579,                  8170,                 58190,,                 -2486,                 28638,                -31124,,                 54848,                 54848,                -27782,              1321077,,                319260,              1001817,              1001817,,,,,                455109,              1456926,,              1002164,                   -347,,              1453033,                  3893,,                              9.78,                              9.78,,                              9.62,                              9.62,                455109
1589,2014年01月01日至2014年09月30日,,              5373347,,              3679513,              1693834,              1693834,,,                284909,,                330295,,                 67141,                682345,              1011489,,,,                 29089,                  4045,                  4179,                 37313,,                 -7433,                 34875,                -42308,,                 44675,                 44675,                -49670,                961819,,                227560,                734259,                734259,,,                 90109,                 90109,                 90109,                824368,,                734497,                   -238,,                824173,                    195,,                              7.22,                              7.22,,                              7.21,                              7.21,
1589,2014年01月01日至2014年06月30日,,              3585431,,              2453295,              1132136,              1132136,,,                166608,,                225465,,                 41613,                433686,                698450,,,,                 18086,                  3568,                    738,                 22392,,                -10009,                 11181,                -21190,,                 34638,                 34638,                -33436,                665014,,                156817,                508197,                508197,,,                -56272,                -56272,                -56272,                451925,,                508197,                              0,,                451925,                              0,,                              5.04,                              5.04,,                              5.03,                              5.03,
