證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）
6405,2015年第3季,,                336313,,                278877,                 57436,                 57436,,,                  4552,,                 17740,,                  8598,                 30890,                 26546,,,                  1411,,                 17053,,                  1448,                 17016,                 43562,,                 11124,                 32438,                 32438,,,                 13459,                 13459,                 13459,                 45897,,                 32438,,                 45897,,                              0.49,                              0.49,,                              0.49,                              0.49,,,
6405,2015年第2季,,                324812,,                260380,                 64432,                 64432,,,                  4358,,                 16304,,                  7405,                 28067,                 36365,,,                  2768,,                    720,,                  1277,                  2211,                 38576,,                 30651,                  7925,                  7925,,,                 -4601,                 -4601,                 -4601,                  3324,,                  7925,,                  3324,,                              0.12,                              0.12,,                              0.12,                              0.12,,,
6405,2015年01月01日至2015年09月30日,,                964287,,                780388,                183899,                183899,,,                 12482,,                 54493,,                 23498,                 90473,                 93426,,,                  6763,,                 15792,,                  4008,                 18547,                111973,,                 57345,                 54628,                 54628,,,                  5021,                  5021,                  5021,                 59649,,                 54628,,                 59649,,                              0.83,                              0.83,,                              0.82,                              0.82,,,
6405,2015年01月01日至2015年06月30日,,                627974,,                501511,                126463,                126463,,,                  7930,,                 36753,,                 14900,                 59583,                 66880,,,                  5352,,                 -1261,,                  2560,                  1531,                 68411,,                 46221,                 22190,                 22190,,,                 -8438,                 -8438,                 -8438,                 13752,,                 22190,,                 13752,,                              0.34,                              0.34,,                              0.33,                              0.33,,,
6405,2015年01月01日至2015年03月31日,,                303162,,                241131,                 62031,                 62031,,,                  3572,,                 20449,,                  7495,                 31516,                 30515,,,                  2584,,                 -1981,,                  1283,                   -680,                 29835,,                 15570,                 14265,                 14265,,,                 -3837,                 -3837,                 -3837,                 10428,,                 14265,,                 10428,,                              0.22,                              0.22,,                              0.21,                              0.21,,,
6405,2014年第3季,,                488113,,                324828,                163285,                163285,,,                  4682,,                 19195,,                  8615,                 32492,                130793,,,                  2702,,                  6761,,                  1342,                  8121,                138914,,                 29382,                109532,                109532,,,                 10310,                 10310,                 10310,                119842,,                109532,,                119842,,                              1.66,                              1.66,,                              1.66,                              1.66,,,
6405,2014年第2季,,                532495,,                338254,                194241,                194241,,,                  5186,,                 19089,,                  6953,                 31228,                163013,,,                  1964,,                 -2823,,                  1365,                 -2224,                160789,,                 51042,                109747,                109747,,,                 -7358,                 -7358,                 -7358,                102389,,                109747,,                102389,,                              1.67,                              1.67,,                              1.66,                              1.66,,,
6405,2014年度,,              1904335,,              1293357,                610978,                610978,,,                 18475,,                 76526,,                 33091,                128092,                482886,,,                 16566,,                  9113,,                  5416,                 20263,                503149,,                138505,                364644,                364644,,,,,                 11291,                375935,,                364644,,                375935,,                              5.54,                              5.54,,                              5.50,                              5.50,                 11291,,
6405,2014年01月01日至2014年09月30日,,              1479373,,                989104,                490269,                490269,,,                 14149,,                 57330,,                 24454,                 95933,                394336,,,                 10537,,                  2800,,                  4094,                  9243,                403579,,                107747,                295832,                295832,,,                   -728,                   -728,                   -728,                295104,,                295832,,                295104,,                              4.50,                              4.50,,                              4.47,                              4.47,,,
6405,2014年01月01日至2014年06月30日,,                991260,,                664276,                326984,                326984,,,                  9467,,                 38135,,                 15839,                 63441,                263543,,,                  7835,,                 -3961,,                  2752,                  1122,                264665,,                 78365,                186300,                186300,,,                -11038,                -11038,                -11038,                175262,,                186300,,                175262,,                              2.83,                              2.83,,                              2.81,                              2.81,,,
