證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 其他費損,　　　 什項支出,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　　 利息收入,　　　　 利息收入合計,　　　 手續費收入,　　　　 手續費收入合計,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計
2464,2015年第3季,,              2111001,,              1703463,                407538,                407538,,,                 71966,,                 80152,,                 75123,                227241,,                    -75,                180222,,,                  2236,                  2236,,                 25336,,                    805,                    805,                 24531,,                  2213,                  2213,,                    413,                   -413,                 24141,                204363,,                 26139,                 26139,                178224,                178224,,,                 24452,                 24452,                 24452,                202676,,                178221,                      3,,                202673,                      3,,                              0.93,                              0.93,,                              0.93,                              0.93,,,,,,,,,,,,,,,,,,,,,,
2464,2015年第2季,,              1906625,,              1545211,                361414,                361414,,,                 71312,,                 72097,,                 73102,                216511,,                 -1327,                143576,,,                  7119,                  7119,,                 -8714,,                  1476,                  1476,                -10190,,                  1202,                  1202,,                    490,                   -490,                 -4763,                138813,,                 20116,                 20116,                118697,                118697,,,                 -3132,                 -3132,                 -3132,                115565,,                118699,                     -2,,                115579,                    -14,,                              0.62,                              0.62,,                              0.62,                              0.62,,,              1925576,              1925576,                 18951,                              0,              1906625,,              1545211,,,,,,,,,,,,,
2464,2015年01月01日至2015年09月30日,,              5787018,,              4688158,              1098860,              1098860,,,                205499,,                213376,,                221380,                640255,,                 -1464,                457141,,,                 17956,                 17956,,                 12136,,                  3944,                  3944,                  8192,,                  3495,                  3495,,                  1108,                 -1108,                 21545,                478686,,                 67001,                 67001,                411685,                411685,,,                 -1080,                 -1080,                 -1080,                410605,,                411691,                     -6,,                410641,                    -36,,                              2.15,                              2.15,,                              2.14,                              2.14,,,,,,,,,,,,,,,,,,,,,,
2464,2015年01月01日至2015年06月30日,,              3676017,,              2984695,                691322,                691322,,,                133533,,                133224,,                146257,                413014,,                 -1389,                276919,,,                 15720,                 15720,,                -13200,,                  3139,                  3139,                -16339,,                  1282,                  1282,,                    695,                   -695,                 -2596,                274323,,                 40862,                 40862,                233461,                233461,,,                -25532,                -25532,                -25532,                207929,,                233470,                     -9,,                207968,                    -39,,                              1.22,                              1.22,,                              1.22,                              1.22,,,              3700411,              3700411,                 24394,                              0,              3676017,,              2984695,,,,,,,,,,,,,
2464,2015年01月01日至2015年03月31日,,              1769392,,              1439484,                329908,                329908,,,                 62221,,                 61127,,                 73155,                196503,,                    -62,                133343,,,                  8601,                  8601,,                 -4486,,                  1663,                  1663,                 -6149,,                     80,                     80,,                    205,                   -205,                  2167,                135510,,                 20746,                 20746,                114764,                114764,,,                -22400,                -22400,                -22400,                 92364,,                114771,                     -7,,                 92389,                    -25,,                              0.63,                              0.63,,                              0.63,                              0.63,,,              1774835,              1774835,                  5443,,              1769392,,              1439484,                     62,,,,,,,,,,,,
2464,2014年第3季,,              1746369,,              1410177,                336192,                336192,,,                 68671,,                 72431,,                 84185,                225287,,                 -1127,                109778,,,                  3885,                  3885,,                 17588,,                  1788,                  1788,                 15800,,                    614,                    614,,                   -137,                    137,                 19208,                128986,,                 16908,                 16908,                112078,                112078,,,                 17475,                 17475,                 17475,                129553,,                112105,                    -27,,                129580,                    -27,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,,,,,,,,,,,,,,,,,,
2464,2014年第2季,,              1757039,,              1447398,                309641,                309641,,,                 67187,,                 62380,,                 60126,                189693,,                   -105,                119843,,,                  6501,                  6501,,                -10117,,                  2448,                  2448,                -12565,,                    401,                    401,,                    206,                   -206,                 -6671,                113172,,                 23641,                 23641,                 89531,                 89531,,,                -18641,                -18641,                -18641,                 70890,,                 89531,                              0,,                 70890,                              0,,                              0.47,                              0.47,,                              0.47,                              0.47,,,              1775296,              1775296,                 18257,                              0,              1757039,,              1447398,,,,,,,,,,,,,
2464,2014年度,,              6863936,,              5650420,              1213516,              1213516,,,                270049,,                264718,,                291964,                826731,,                 -1745,                385040,,,                 30692,                 30692,,                 39297,,                              0,                              0,                 32676,,                  1782,                  1782,,                    431,                   -431,                 61155,                446195,,,                 65264,                380931,                380931,,,,,                 22325,                403256,,                380950,                    -19,,                403283,                    -27,,                              2.09,                              2.09,,                              2.08,                              2.08,,,              6929490,              6929490,                 65554,                              0,              6863936,,              5650420,,                  6621,                 65264,                 55445,                -33120,,,,,,,,
2464,2014年01月01日至2014年09月30日,,              5031369,,              4144012,                887357,                887357,,,                186665,,                193535,,                191563,                571763,,                 -1291,                314303,,,                 20138,                 20138,,                 11421,,                  5131,                  5131,                  6290,,                  1605,                  1605,,                    168,                   -168,                 24655,                338958,,                 53883,                 53883,                285075,                285075,,,                 10649,                 10649,                 10649,                295724,,                285110,                    -35,,                295759,                    -35,,                              1.49,                              1.49,,                              1.49,                              1.49,,,,,,,,,,,,,,,,,,,,,,
2464,2014年01月01日至2014年06月30日,,              3285000,,              2733835,                551165,                551165,,,                117994,,                121104,,                107378,                346476,,                   -164,                204525,,,                 16253,                 16253,,                 -6167,,                  3343,                  3343,                 -9510,,                    991,                    991,,                    305,                   -305,                  5447,                209972,,                 36975,                 36975,                172997,                172997,,,                 -6826,                 -6826,                 -6826,                166171,,                173005,                     -8,,                166179,                     -8,,                              0.90,                              0.90,,                              0.90,                              0.90,,,              3327741,              3327741,                 42741,                              0,              3285000,,              2733835,,,,,,,,,,,,,
