證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1227,2015年第3季,,              6891261,,              4677394,              2213867,              2213867,,,              1022650,,                169946,,                 29023,              1221619,                992248,,,                 31750,,                 42417,,                  7419,                 66748,              1058996,,                205505,                853491,                853491,,,                136736,                -32171,                 23122,                 81443,                 81443,                934934,,                846484,                  7007,,                927207,                  7727,,                              1.08,,                              1.08,,,,,,,,
1227,2015年第2季,,              5159535,,              3588921,              1570614,              1570614,,,              1011036,,                166041,,                 24455,              1201532,                369082,,,                 24931,,                 12343,,                  4495,                 32779,                401861,,                 22559,                379302,                379302,,,                -46435,                  5626,                 -8003,                -32806,                -32806,                346496,,                374906,                  4396,,                341455,                  5041,,                              0.52,,                              0.52,,,,,,,,
1227,2015年01月01日至2015年09月30日,,             19233848,,             13071092,              6162756,              6162756,,,              3026915,,                500878,,                 76735,              3604528,              2558228,,,                 78412,,                 56582,,                 17633,                117361,              2675589,,                523948,              2151641,              2151641,,,                  3490,                -12443,                  1277,                -10230,                -10230,              2141411,,              2133491,                 18150,,              2121896,                 19515,,                              2.71,,                              2.71,,,,,,,,
1227,2015年01月01日至2015年06月30日,,             12342587,,              8393698,              3948889,              3948889,,,              2004265,,                330932,,                 47712,              2382909,              1565980,,,                 46662,,                 14165,,                 10214,                 50613,              1616593,,                318443,              1298150,              1298150,,,               -133246,                 19728,                -21845,                -91673,                -91673,              1206477,,              1287007,                 11143,,              1194689,                 11788,,                              1.80,,                              1.80,,,,,,,,
1227,2015年01月01日至2015年03月31日,,              7183052,,              4804777,              2378275,              2378275,,,                993229,,                164891,,                 23257,              1181377,              1196898,,,                 21731,,                  1822,,                  5719,                 17834,              1214732,,                295884,                918848,                918848,,,                -86811,                 14102,                -13842,                -58867,                -58867,                859981,,                912101,                  6747,,                853234,                  6747,,                              1.27,,                              1.27,,,,,,,,
1227,2014年第3季,,              5865135,,              4028552,              1836583,              1836583,,,                864758,,                148885,,                 29168,              1042811,                793772,,,                 26557,,                 29983,,                  5903,                 50637,                844409,,                142005,                702404,                702404,,,                 92371,                -24274,                 15152,                 52945,                 52945,                755349,,                700826,                  1578,,                753771,                  1578,,                              0.89,,                              0.89,,,,,,,,
1227,2014年第2季,,              4620754,,              3353361,              1267393,              1267393,,,                718526,,                131378,,                 24975,                874879,                392514,,,                 20328,,                 -8358,,                  4863,                  7107,                399621,,                 72611,                327010,                327010,,,                -89699,                 10499,                -15797,                -63403,                -63403,                263607,,                326603,                    407,,                263200,                    407,,                              0.46,,                              0.46,,,,,,,,
1227,2014年度,,             21800013,,             15577607,              6222406,              6222406,,,              3159721,,                504032,,                101495,              3765248,              2457158,,,                 86398,,                 50460,,                 23991,                112867,              2570025,,                479665,              2090360,              2090360,,,,,,,                223874,              2314234,,              2075851,                 14509,,              2299759,                 14475,,                              2.90,,                              2.90,                305236,                 -7620,                -27378,,                              0,                 46364,,
1227,2014年01月01日至2014年09月30日,,             15792969,,             11265865,              4527104,              4527104,,,              2194420,,                417954,,                 77611,              2689985,              1837119,,,                 67620,,                 10540,,                 15071,                 63089,              1900208,,                328629,              1571579,              1571579,,,                 62242,                 -5854,                 10251,                 46137,                 46137,              1617716,,              1566517,                  5062,,              1612647,                  5069,,                              1.99,,                              1.99,,,,,,,,
1227,2014年01月01日至2014年06月30日,,              9927834,,              7237313,              2690521,              2690521,,,              1329662,,                269069,,                 48443,              1647174,              1043347,,,                 41063,,                -19443,,                  9168,                 12452,              1055799,,                186624,                869175,                869175,,,                -30129,                 18420,                 -4901,                 -6808,                 -6808,                862367,,                865691,                  3484,,                858876,                  3491,,                              1.21,,                              1.21,,,,,,,,
