證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2023,2015年第3季,,,             12199098,             12199098,,             11439271,                759827,                759827,,,                432232,,                234855,,                 24795,                691882,                 67945,,,                 40879,,                  4767,,                236138,,               -529344,               -719836,               -651891,,                -63231,               -588660,               -588660,,,                422313,                -12734,,                107505,                 67557,                449527,                449527,               -139133,,               -444824,               -143836,,                 -5639,               -133494,,                             -0.26,,,,,,,,,,,,
2023,2015年第2季,,,             13170093,             13170093,,             12374119,                795974,                795974,,,                497664,,                219585,,                 19713,                736962,                 59012,,,                194873,,                 22163,,                207226,,               -402732,               -392922,               -333910,,                 33688,               -367598,               -367598,,,               -137086,                 -8550,,                -21604,                -15411,               -151829,               -151829,               -519427,,               -269005,                -98593,,               -417436,               -101991,,                             -0.16,                              0,                              0,,                              0,,                              0,,,,,,
2023,2015年第1季,,,,             13987399,,             12665852,              1321547,              1321547,,,                555312,,                223040,,                 20579,                798931,                522616,,,                124745,,               -246019,,                202785,,               -116106,               -440165,                 82451,,                 44534,                 37917,                 37917,,,               -170418,                235299,,                 87534,                -44262,                196677,                196677,                234594,,                337831,               -299914,,                532766,               -298172,,                              0.20,,,,,,,,,,,,
2023,2015年01月01日至2015年09月30日,,,             39356590,             39356590,,             36479242,              2877348,              2877348,,,              1485208,,                677480,,                 65087,              2227775,                649573,,,                360497,,               -219089,,                646149,,             -1048182,             -1552923,               -903350,,                 14991,               -918341,               -918341,,,                114809,                214015,,                173435,                  7884,                494375,                494375,               -423966,,               -375998,               -542343,,                109691,               -533657,,                             -0.22,,,,,,,,,,,,
2023,2015年01月01日至2015年06月30日,,,             27157492,             27157492,,             25039971,              2117521,              2117521,,,              1052976,,                442625,,                 40292,              1535893,                581628,,,                319618,,               -223856,,                410011,,               -518838,               -833087,               -251459,,                 78222,               -329681,               -329681,,,               -307504,                226749,,                 65930,                -59673,                 44848,                 44848,               -284833,,                 68826,               -398507,,                115330,               -400163,,                              0.04,                              0,                              0,,                              0,,                              0,,,,,,
2023,2014年第3季,,,             15481504,             15481504,,             14439172,              1042332,              1042332,,,                527366,,                272871,,                  9906,                810143,                232189,,,                168442,,                 -4636,,                209847,,                178648,                132607,                364796,,                 88194,                276602,                276602,,,                256816,                 45059,,               -123169,                 42041,                136665,                136665,                413267,,                356301,                -79699,,                484138,                -70871,,                              0.21,,,,,,,,,,,,
2023,2014年第2季,,,             15027214,             15027214,,             13877604,              1149610,              1149610,,,                487435,,                190563,,                  9197,                687195,                462415,,,                 51995,,                139742,,                236616,,                -33036,                -77915,                384500,,                115629,                268871,                268871,,,               -231393,                -92808,,                189140,                -36646,                -98415,                -98415,                170456,,                331583,                -62712,,                249195,                -78739,,                              0.20,                              0,                              0,,                              0,,                              0,,,,,,
2023,2014年第1季,,,,             14739344,,             13656114,              1083230,              1083230,,,                494429,,                216199,,                  9688,                720316,                362914,,,                 56981,,                 15711,,                227032,,                -94221,               -248561,                114353,,                 75883,                 38470,                 38470,,,                190381,                -68204,,                -35127,                 30304,                 56746,                 56746,                 95216,,                119517,                -81047,,                161585,                -66369,,                              0.07,,,,,,,,,,,,
2023,2014年度,,,,             60567319,,             56131236,              4436083,              4436083,,,              2039057,,                880485,,                 74538,              2994080,              1442003,,,                323676,,                434377,,                904339,,                 64601,                -81685,              1360318,,                419284,                941034,                941034,,,,,,,,,                276020,              1217054,,              1238852,               -297818,,              1498222,               -281168,,                              0.74,,,,,,,                658751,               -151017,                 21768,,               -137863,                115619
2023,2014年01月01日至2014年09月30日,,,             45248062,             45248062,,             41972890,              3275172,              3275172,,,              1509230,,                679633,,                 28791,              2217654,              1057518,,,                277418,,                150817,,                673495,,                 51391,               -193869,                863649,,                279706,                583943,                583943,,,                215804,               -115953,,                 30844,                 35699,                 94996,                 94996,                678939,,                807401,               -223458,,                894918,               -215979,,                              0.48,,,,,,,,,,,,
