證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　　 銷貨收入,　　　　 銷貨收入合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2034,2015年第3季,,,              4404255,              4404255,,              4086267,                317988,                317988,,,                137583,,                 39063,                176646,                141342,,,,                      2,                  1752,                  1754,,                104071,,                  7090,                 98735,                240077,,                 32736,                207341,,                              0,                207341,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                    392,                    392,                    392,                207733,,                207341,                              0,,                207733,                              0,,                              0.56,,                              0.56,,,,,,
2034,2015年第2季,,,              5093456,              5093456,,              4761692,                331764,                331764,,,                167721,,                 34873,                202594,                129170,,,,                    337,                              0,                    337,,                -12646,,                  6653,                -18962,                110208,,                 32169,                 78039,,                              0,                 78039,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                 -9575,                 -9575,                 -9575,                 68464,,                 78039,                              0,,                 68464,                              0,,                              0.21,,                              0.21,                              0,,,,,
2034,2015年01月01日至2015年09月30日,,,             14486442,             14486442,,             13438774,              1047668,              1047668,,,                492623,,                107571,                600194,                447474,,,,                    342,                  1752,                  2094,,                 87697,,                 20266,                 69525,                516999,,                 80887,                436112,,                              0,                436112,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                -10607,                -10607,                -10607,                425505,,                436112,                              0,,                425505,                              0,,                              1.18,,                              1.17,,,,,,
2034,2015年01月01日至2015年06月30日,,,             10082187,             10082187,,              9352507,                729680,                729680,,,                355040,,                 68508,                423548,                306132,,,,                    340,                              0,                    340,,                -16374,,                 13176,                -29210,                276922,,                 48151,                228771,,                              0,                228771,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                -10999,                -10999,                -10999,                217772,,                228771,                              0,,                217772,                              0,,                              0.62,,                              0.62,                              0,,,,,
2034,2015年01月01日至2015年03月31日,,,              4988731,              4988731,,              4590815,                397916,                397916,,,                187319,,                 33635,                220954,                176962,,,,                      3,,                      3,,                 -3728,,                  6523,                -10248,                166714,,                 15982,                150732,,                              0,                150732,,,,,,,,,,,,,,,                 -1424,                 -1424,                 -1424,                149308,,                150732,                              0,,                149308,                              0,,                              0.41,,                              0.40,,,,,,
2034,2014年第3季,,,              6787454,              6787454,,              6179451,                608003,                608003,,,                228846,,                 34484,                263330,                344673,,,,                      3,                  3822,                  3825,,                 39355,,                 15980,                 27200,                371873,,                 44100,                327773,,                              0,                327773,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                 -2491,                 -2491,                 -2491,                325282,,                327773,                              0,,                325282,                              0,,                              0.89,,                              0.88,,,,,,
2034,2014年第2季,,,              7061423,              7061423,,              6455193,                606230,                606230,,,                273708,,                 38061,                311769,                294461,,,,                    177,                    750,                    927,,                -29416,,                 13105,                -41594,                252867,,                 38250,                214617,,                              0,                214617,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                214617,,                214617,                              0,,                214617,                              0,,                              0.58,,                              0.58,                              0,,,,,
2034,2014年度,,,             25424368,             25424368,,             23243380,              2180988,              2180988,,,                940282,,                165389,              1105671,              1075317,,,,                    424,                  4572,                  4996,,                100499,,                 49159,                 56336,              1131653,,                148840,                982813,,                              0,                982813,,,,,,,,,,,,,,,,,                 25487,              1008300,,                982813,                              0,,              1008300,                              0,,                              2.66,,                              2.64,,,             25424368,                 -1424,                 32423,                  5512
2034,2014年01月01日至2014年09月30日,,,             19947709,             19947709,,             18161982,              1785727,              1785727,,,                733883,,                103761,                837644,                948083,,,,                    183,                  4572,                  4755,,                 53353,,                 39407,                 18701,                966784,,                127510,                839274,,                              0,                839274,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                   -712,                   -712,                   -712,                838562,,                839274,                              0,,                838562,                              0,,                              2.27,,                              2.26,,,,,,
2034,2014年01月01日至2014年06月30日,,,             13160255,             13160255,,             11982531,              1177724,              1177724,,,                505036,,                 69278,                574314,                603410,,,,                    180,                    750,                    930,,                 13998,,                 23427,                 -8499,                594911,,                 83410,                511501,,                              0,                511501,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,                  1779,                  1779,                  1779,                513280,,                511501,                              0,,                513280,                              0,,                              1.38,,                              1.38,                              0,,,,,
