證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 權益工具投資之利益（損失）
2484,2013年第3季,,                657059,,                528659,                128400,                129480,,,                 40401,,                 33931,,                 21499,                 95831,                 33649,,,                  9049,,                 11087,,                  4714,,                    550,                 15972,                 49621,,                 13375,                 36246,                 36246,,,,,,,,                  5153,                 41399,,                 42953,                 -6707,,                 47580,                 -6181,,                              0.27,,                              0.27,,                  1080,                  5794,,,                              0,                    641,,                657059,
2484,2013年第2季,,                622544,,                486107,                136437,                135357,,,                 25181,,                 40444,,                 18746,                 84371,                 50986,,,                  3607,,                  6328,,                  4386,,                   -426,                  5123,                 56109,,                 13135,                 42974,                 42974,,,,,,,,                 -8542,                 34432,,                 44982,                 -2008,,                 37013,                 -2581,,                              0.28,,                              0.28,                              0,                 -1080,                 -9721,,,,                 -1179,,,                              0
2484,2013年度,,              2484183,,              2033529,                450654,                450206,,,                136494,,                150631,,                 54473,                341598,                108608,,,                 18439,,                 68009,,                 16606,,                  1958,                 71800,                180408,,                 42100,                138308,                138308,,,,,,,,                -45365,                 92943,,                138414,                   -106,,                 93616,                   -673,,                              0.88,,                              0.88,,                   -448,                -35275,                -19420,,                    586,                 -8744,,,
2484,2013年07月01日至2013年09月30日,,                657059,,                528659,                128400,                129480,,,                 40401,,                 33931,,                 21499,                 95831,                 33649,,,                  9049,,                 11087,,                  4714,,                    550,                 15972,                 49621,,                 13375,                 36246,                 36246,,,,,,,,                  5153,                 41399,,                 42953,                 -6707,,                 47580,                 -6181,,                              0.27,,                              0.27,,                  1080,                  5794,,,,                    641,,,
2484,2013年04月01日至2013年06月30日,,                622544,,                486107,                136437,                135357,,,                 25181,,                 40444,,                 18746,                 84371,                 50986,,,                  3607,,                  6328,,                  4386,,                   -426,                  5123,                 56109,,                 13135,                 42974,                 42974,,,,,,,,                 -8542,                 34432,,                 44982,                 -2008,,                 37013,                 -2581,,                              0.28,,                              0.28,,                 -1080,                 -9721,,,,                 -1179,,,
2484,2013年01月01日至2013年12月31日,,              2484183,,              2033529,                450654,                450206,,,                136494,,                150631,,                 54473,                341598,                108608,,,                 18439,,                 68009,,                 16606,,                  1958,                 71800,                180408,,                 42100,                138308,                138308,,,,,,,,                -45365,                 92943,,                138414,                   -106,,                 93616,                   -673,,                              0.88,,,,                   -448,                -35275,                -19420,,                    586,                 -8744,,,
2484,2013年01月01日至2013年09月30日,,              1826421,,              1462350,                364071,                364071,,,                 97865,,                116155,,                 52338,                266358,                 97713,,,                 16127,,                 36598,,                 13655,,                  1086,                 40156,                137869,,                 35966,                101903,                101903,,,,,,,,                -15134,                 86769,,                111040,                 -9137,,                 96854,                -10085,,                              0.71,,                              0.71,,                              0,                -18734,,,                  1227,                 -2373,,              1826421,
2484,2013年01月01日至2013年06月30日,,              1169362,,                933691,                235671,                234591,,,                 57464,,                 82224,,                 30839,                170527,                 64064,,,                  7078,,                 25511,,                  8941,,                    536,                 24184,                 88248,,                 22591,                 65657,                 65657,,,,,,,,                -20287,                 45370,,                 68087,                 -2430,,                 49274,                 -3904,,                              0.43,,                              0.43,                              0,                 -1080,                -24528,,,,                 -3014,,,                  1227
2484,2013年01月01日至2013年03月31日,,                546818,,                447584,                 99234,                 99234,,,                 32283,,                 41780,,                 12093,                 86156,                 13078,,,                  3471,,                 19183,,                  4555,,                    962,                 19061,                 32139,,                  9456,                 22683,                 22683,,,,,,,,                -11745,                 10938,,                 23105,                   -422,,                 12261,                 -1323,,                              0.15,,                              0.15,                              0,,                -14807,,,                  1227,                 -1835,,,
2484,2012年07月01日至2012年09月30日,,                591267,,                475131,                116136,                116136,,,                 26167,,                 61354,,                 14283,                101804,                 14332,,,                 -1220,,                 -8410,,                  5269,,                    949,                -13950,                    382,,                  4786,                 -4404,                 -4404,,,,,,,,                  1386,                 -3018,,                 -1633,                 -2771,,                   -335,                 -2683,,                             -0.01,,                             -0.01,,                              0,                  1605,,,,                    219,,,
2484,2012年04月01日至2012年06月30日,,                617210,,                522303,                 94907,                 94907,,,                 34075,,                 27756,,                 22295,                 84126,                 10781,,,                 23979,,                -25832,,                  5806,,                  2047,                 -5612,                  5169,,                  9073,                 -3904,                 -3904,,,,,,,,                 10876,                  6972,,                 13516,                -17420,,                 24801,                -17829,,                              0.08,,                              0.08,,                              0,                 13354,,,,                  2478,,,
2484,2012年01月01日至2012年12月31日,,              2300008,,              2030666,                269342,                269342,,,                106831,,                169632,,                 68831,                345294,                -75952,,,                 23582,,                -82802,,                 23310,,                  5341,                -77189,               -153141,,                 -7216,               -145925,               -145925,,,,,,,,                -25379,               -171304,,               -135750,                -10175,,               -161751,                 -9553,,                             -0.86,,,,                              0,                -23320,                 -8442,,                    653,                 -5730,,,
2484,2012年01月01日至2012年09月30日,,              1761338,,              1507644,                253694,                253694,,,                 91953,,                138171,,                 56242,                286366,                -32672,,,                 25323,,                -52035,,                 17862,,                  4298,                -40276,                -72948,,                  7286,                -80234,                -80234,,,,,,,,                -11109,                -91343,,                -56394,                -23840,,                -67701,                -23642,,                             -0.36,,                             -0.36,,                              0,                -13549,,,,                 -2440,,,
2484,2012年01月01日至2012年06月30日,,              1170071,,              1032513,                137558,                137558,,,                 65786,,                 76817,,                 41959,                184562,                -47004,,,                 26543,,                -43625,,                 12593,,                  3349,                -26326,                -73330,,                  2500,                -75830,                -75830,,,,,,,,                -12495,                -88325,,                -54761,                -21069,,                -67366,                -20959,,                             -0.35,,                             -0.35,,                              0,                -15154,,,,                 -2659,,,
2484,2012年01月01日至2012年03月31日,,                552861,,                510210,                 42651,                 42651,,,                 31711,,                 49061,,                 19664,                100436,                -57785,,,                  2564,,                -17793,,                  6787,,                  1302,                -20714,                -78499,,                 -6573,                -71926,                -71926,,,,,,,,                -23371,                -95297,,                -68306,                 -3620,,                -92167,                 -3130,,                             -0.43,,                             -0.43,,,                -28508,,,,                 -5137,,,
