證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入淨額,　　　 運輸收入,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本,　　　　 勞務成本合計,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 減損損失,　　　　 金融資產減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換損失,　　　　 其他減損損失,　　 其他營業收入,　　　 其他營業收入淨額,　　 其他營業成本,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 其他收入－其他,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失
2611,2015年第3季,,,                    675,,                  3258,,                104311,,,                              0,                              0,,,                  6938,                  6938,,                214519,                221457,                329701,,,                    194,,                  1377,,,                 53303,                 53303,,                              0,                              0,,,                  3292,                  3292,,                178541,                181833,                236707,                 92994,                 92994,,                 91473,                  1521,,,,                  1676,                  3163,                 26104,                 30943,,                 -4653,,                              0,                              0,                              0,                  4653,,                  9014,                  9014,,                  7936,                 34518,                 36039,,                  1489,                 34550,                 34550,,,                -31613,                -31613,                -31613,                  2937,,                 31347,                  3203,,                  2288,                    649,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,,,,,,,,,,,,,,
2611,2015年第2季,,,                  1028,,                  3143,,                105664,,,                              0,                              0,,,                  6962,                  6962,,                211332,                218294,                328129,,,                  1251,,                  1377,,,                 51173,                 51173,,                              0,                              0,,,                  3831,                  3831,,                177864,                181695,                235496,                 92633,                 92633,,                 84454,                  8179,,,,                  1522,                  3384,                  6862,                 11768,,                   -442,,,                              0,                              0,                 -7912,,                  8954,                  8954,,                              0,                 -5098,                  3081,,                    448,                  2633,                  2633,,,                -58911,                -58911,                -58911,                -56278,,                    214,                  2419,,                -56501,                    223,,                              0.00,                              0.00,,                              0.00,                              0.00,                  1219,                 -9615,                    -42,                              0,,,,,,,,,,,,,,,
2611,2015年01月01日至2015年09月30日,,,                 38788,,                  9555,,                313600,,,                 10990,                 10990,,,                 20438,                 20438,,                632051,                652489,              1025422,,,                 33411,,                  4140,,,                156576,                156576,,                  3870,                  3870,,,                 10998,                 10998,,                528603,                539601,                737598,                287824,                287824,,                257611,                 30213,,,,                  4620,                  9907,                 32966,                 47493,,                -11866,,                              0,                              0,                              0,                 11866,,                 26761,                 26761,,                  7936,                 40534,                 70747,,                  5792,                 64955,                 64955,,,                -76741,                -76741,                -76741,                -11786,,                 56727,                  8228,,                -15167,                  3381,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,
2611,2015年01月01日至2015年06月30日,,,                 38113,,                  6297,,                209289,,,                 10990,                 10990,,,                 13500,                 13500,,                417532,                431032,                695721,,,                 33217,,                  2763,,,                103273,                103273,,                  3870,                  3870,,,                  7706,                  7706,,                350062,                357768,                500891,                194830,                194830,,                166138,                 28692,,,,                  2944,                  6744,                  6862,                 16550,,                 -1007,,,                              0,                              0,                  7213,,                 17747,                 17747,,                              0,                  6016,                 34708,,                  4303,                 30405,                 30405,,,                -45128,                -45128,                -45128,                -14723,,                 25380,                  5025,,                -17455,                  2732,,                              0.15,                              0.15,,                              0.00,                              0.00,                  2097,                  4533,                    424,                              0,,,,,,,,,,,,,,,
2611,2015年01月01日至2015年03月31日,,,                              0,,                  3154,,                103625,,,                 10990,                 10990,,,,                  6538,,                206200,                212738,                367592,,,                              0,,                  1386,,,                 52100,                 52100,,                  4015,                  4015,,,                  3875,                  3875,,                172198,                176073,                265540,                102052,                102052,,                 81539,                 20513,,,,                  1422,                  3360,,                  4782,,,,,,,                 15125,,                  8793,                  8793,,                              0,                 11114,                 31627,,                  3855,                 27772,                 27772,,,                 13783,                 13783,                 13783,                 41555,,                 25166,                  2606,,                 39046,                  2509,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,                 37085,                 31966,,,                              0,                              0,,,,,,,,
2611,2014年第3季,,,                 41075,,                  3279,,                106351,,,                              0,                              0,,,                  2091,                  2091,,                241471,                243562,                394267,,,                 34469,,                  1388,,,                 62567,                 62567,,                              0,                              0,,,                    446,                    446,,                217814,                218260,                316684,                 77583,                 77583,,                 79572,                 -1989,,,,                  1671,                  2432,                 18078,                 22181,,                -63892,,                              0,                              0,                              0,                 63892,,                  8513,                  8513,,                              0,                 77560,                 75571,,                  9266,                 66305,                 66305,,,                -34387,                -34387,                -34387,                 31918,,                 66761,                   -456,,                 34406,                 -2488,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,,,,,,,,,,,
2611,2014年第2季,,,                  9726,,                  3172,,                104355,,,                              0,                              0,,,                              0,                              0,,                238124,                238124,                355377,,,                  9722,,                  1392,,,                 46227,                 46227,,                              0,                              0,,,                              0,                              0,,                216998,                216998,                274339,                 81038,                 81038,,                 83407,                 -2369,,,,                  5355,                  4553,                  1982,                 11890,,                 -1163,,,                 15710,                 18593,                 -9506,,                  8212,                  8212,,                 -5389,                -11217,                -13586,,                   -514,                -13072,                -13072,,,                    815,                    815,                    815,                -12257,,                -10399,                 -2673,,                -11403,                   -854,,                             -0.06,                             -0.06,,                             -0.06,                             -0.06,                    513,                  7914,                    503,                  2883,,,,,,,,,,,,,,,
2611,2014年度,,,                 70177,,                 12793,,                423975,,,                              0,                              0,,,,                  7388,,                924046,                931434,              1438379,,,                 59594,,                  5600,,,                204802,                204802,,                              0,                              0,,,,                  2548,,                831472,                834020,              1104016,                334363,                334363,,                334217,                    146,,,,                 13866,                 15829,                 20841,                 79726,,,,                  2883,                 15710,                 18593,                 24311,,                 33826,                 33826,,,                 70211,                 70357,,                  8318,                 62039,                 62039,,,,,                -35517,                 26522,,                 69638,                 -7599,,                 34244,                 -7722,,                              0.40,                              0.40,,                              0.40,                              0.40,,                 42904,,,,,,,,,,,                 70177,                 29190,                -38369,                  3692,                   -840,,
2611,2014年01月01日至2014年09月30日,,,                 62930,,                  9625,,                311587,,,                              0,                              0,,,                  2091,                  2091,,                696280,                698371,              1082513,,,                 53839,,                  4188,,,                164605,                164605,,                              0,                              0,,,                    446,                    446,,                633052,                633498,                856130,                226383,                226383,,                242793,                -16410,,,,                 11116,                 10536,                 20060,                 41712,,                -87568,,                              0,                 18593,                 18593,                 68975,,                 24720,                 24720,,                 -6153,                 79814,                 63404,,                 10221,                 53183,                 53183,,,                -50730,                -50730,                -50730,                  2453,,                 58501,                 -5318,,                  8728,                 -6275,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,
2611,2014年01月01日至2014年06月30日,,,                 21855,,                  6346,,                205236,,,                              0,                              0,,,                              0,                              0,,                454809,                454809,                688246,,,                 19370,,                  2800,,,                102038,                102038,,                              0,                              0,,,                              0,                              0,,                415238,                415238,                539446,                148800,                148800,,                163221,                -14421,,,,                  9445,                  8104,                  1982,                 19531,,                 -4545,,,                 15710,                 18593,                  5083,,                 16207,                 16207,,                 -6153,                  2254,                -12167,,                    955,                -13122,                -13122,,,                -16343,                -16343,                -16343,                -29465,,                 -8260,                 -4862,,                -25678,                 -3787,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                  3819,                 15462,                    150,                  2883,,,,,,,,,,,,,,,
