證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 處分投資性不動產利益,　　　　 無形資產減損損失,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 其他綜合損益
3041,2014年01月01日至2014年03月31日,,,,              1109436,              1109436,                    546,                    860,              1108030,              1108030,,                558453,                549577,                549577,,,                 87385,,                 89030,,                301629,                478044,                 71533,,,,                 15385,                 15385,                    168,,                  6475,                 22028,,                              0,                              0,                  4114,                              0,                    613,                     45,,,,                   -554,,                     16,                     16,,                              0,                              0,                 21458,                 92991,,                 10242,                 10242,                 82749,                 82749,,,                  1214,                    331,                    475,                  1070,                  1070,                 83819,,                 82749,,                 83819,,                              0.28,,                              0.28,,                  4010,,                558453,                558453,,,,,,,,,,
3041,2013年第3季,,,,              1091173,              1091173,                 32134,                    332,              1058707,              1058707,,                617622,                441085,                441085,,,                 62863,,                100274,,                290603,                453740,                -12655,,,,                 13187,                 13187,                    157,                     91,                  6346,                 19781,,                              0,                              0,                -12730,                    702,                    -30,                     45,,                              0,                              0,                -12043,,                     16,                     16,,                    551,                    551,                  8273,                 -4382,,,                 39619,                -44001,                -44001,,,,,,,                 -2969,                -46970,,                -44001,,                -46970,,                             -0.15,,                             -0.15,,,,,,,,,                 39619,                 -2979,                   -496,                   -506,,,
3041,2013年第2季,,,,                979167,                979167,                 21515,                  2469,                955183,                955183,,                519202,                435981,                435981,,,                 38651,,                 99303,,                265858,                403812,                 32169,,,,                 13636,                 13636,                    289,,                  5595,                 19520,,                896945,,                  2758,                              0,                   -402,                              0,,,,                899625,,                     16,                     16,,                  1602,                  1602,                920731,                952900,,,                 36179,                916721,                916721,,,,,,,                  8740,                925461,,                916721,,                925461,,                              3.13,,                              3.08,                              0,                    480,,,,,,,                 36179,                 10790,                   -217,                  1833,,,
3041,2013年度,,,,              4225813,              4225813,                 63626,                  6603,              4155584,              4155584,,              2277375,              1878209,              1878209,,,                258312,,                403229,,              1196463,              1858004,                 20205,,,,                 54189,                 54189,                 11922,                     91,                 24137,                 90339,,,                              0,                  5527,,                    250,                  1875,,                  1140,                  1140,                892908,,                     80,                     80,,                    282,                    282,                983449,              1003654,,,                112866,                890788,                890788,,,,,,,                 31012,                921800,,                890788,,                921800,,                              3.05,,                              2.98,,                  6465,,              2277375,              2277375,                897111,                              0,                              0,                112866,                 38448,                 -1168,                  6268,,,
3041,2013年07月01日至2013年09月30日,,,,              1091173,              1091173,                 32134,                    332,              1058707,              1058707,,                617622,                441085,                441085,,,                 62863,,                100274,,                290603,                453740,                -12655,,,,                 13187,                 13187,                    157,                     91,                  6346,                 19781,,                    -45,                              0,                -12730,                    702,                    -30,,,,,                -12043,,                     16,                     16,,                    551,                    551,                  8273,                 -4382,,,                 39619,                -44001,                -44001,,,,,,,                 -2969,                -46970,,                -44001,,                -46970,,                             -0.15,,                             -0.15,,,,                617622,                617622,,,,                 39619,                 -2979,                   -496,                   -506,,,
3041,2013年04月01日至2013年06月30日,,,,                979167,                979167,                 21515,                  2469,                955183,                955183,,                519202,                435981,                435981,,,                 38651,,                 99303,,                265858,                403812,                 32169,,,,                 13636,                 13636,                    289,,                  5595,                 19520,,                896945,                              0,                  2758,                   -480,                   -402,,,,,                899625,,                     16,                     16,,                  1602,                  1602,                920731,                952900,,,                 36179,                916721,                916721,,,,,,,                  8740,                925461,,                916721,,                925461,,                              3.13,,                              3.08,,,,                519202,                519202,,,,                 36179,                 10790,                   -217,                  1833,,                              0,
3041,2013年01月01日至2013年12月31日,,,,              4225813,              4225813,                 63626,                  6603,              4155584,              4155584,,              2277375,              1878209,              1878209,,,                258312,,                403229,,              1196463,              1858004,                 20205,,,,,,,,,                 90339,,,,,,,,,,,                892908,,,                     80,,,                    282,                983449,              1003654,,,                112866,                890788,                890788,,,,,,,                 31012,                921800,,                890788,,                921800,,                              3.05,,                              2.98,,,,              2277375,              2277375,,,,,                 38448,                 -1168,                  6268,,,
3041,2013年01月01日至2013年09月30日,,,,              2944207,              2944207,                 64981,                  4237,              2874989,              2874989,,              1609883,              1265106,              1265106,,,                173702,,                277576,,                863270,              1314548,                -49442,,,,                 36699,                 36699,                 11757,                     91,                 19898,                 68445,,                896898,                              0,                 -4068,                 -4176,                    222,                              0,,                              0,                              0,                888432,,                     64,                     64,,                    582,                    582,                957395,                907953,,,                 83460,                824493,                824493,,,,,,,                 19148,                843641,,                824493,,                843641,,                              2.82,,                              2.77,,,,,,,,,                 83460,                 23734,                   -551,                  4035,,,
3041,2013年01月01日至2013年06月30日,,,,              1853034,              1853034,                 32847,                  3905,              1816282,              1816282,,                992261,                824021,                824021,,,                110839,,                177302,,                572667,                860808,                -36787,,,,                 23512,                 23512,                 11600,,                 13552,                 48664,,                896943,,                  8662,                              0,                    252,                              0,,,,                900475,,                     48,                     48,,                     31,                     31,                949122,                912335,,,                 43841,                868494,                868494,,,,,,,                 22117,                890611,,                868494,,                890611,,                              2.97,,                              2.92,                              0,                  4878,,,,,,,                 43841,                 26713,                    -55,                  4541,,,
3041,2013年01月01日至2013年03月31日,,,,                873867,                873867,                 11332,                  1436,                861099,                861099,,                473059,                388040,                388040,,,                 72188,,                 77999,,                306809,                456996,                -68956,,,,                  9876,                  9876,                 11311,,                  7957,                 29144,,,,                  5904,,                    654,                      2,,,,                    850,,                     32,                     32,,                 -1571,                 -1571,                 28391,                -40565,,,                  7662,                -48227,                -48227,,,,,,,                 13377,                -34850,,                -48227,,                -34850,,                             -0.16,,                             -0.16,,                  4398,,                473059,                473059,,,,                  7662,                 15923,                    162,                  2708,,,
3041,2012年07月01日至2012年09月30日,,,,              1225480,              1225480,                  3062,                    476,              1221942,              1221942,,                648046,                573896,                573896,,,                 69462,,                 66733,,                226246,                362441,                211455,,,,                 11030,                 11030,                 12691,                    124,                  5320,                 29165,,                    -30,                              0,                 -3554,                  1966,                  1542,,,,,                 -3160,,                     35,                     35,,                   -700,                   -700,                 25270,                236725,,,                 48393,                188332,                188332,,,,,,,                   -478,                187854,,                188332,,                187854,,                              0.64,,                              0.64,,,,                648046,                648046,,,,                 48393,                   -689,                     95,                   -116,,,
3041,2012年04月01日至2012年06月30日,,,,              1295708,              1295708,                  3865,                    635,              1291208,              1291208,,                664188,                627020,                627020,,,                 73485,,                 67142,,                235303,                375930,                251090,,,,                 11195,                 11195,                 11798,,                    703,                 23696,,                   -755,                              0,                   -816,                 -2992,                  1960,,,,,                 -6523,,                    118,                    118,,                 -2454,                 -2454,                 14601,                265691,,,                 53018,                212673,                212673,,,,,,,                 -1232,                211441,,                212673,,                211441,,                              0.73,,                              0.72,,,,                664188,                664188,,,,                 53018,                 -1207,                   -231,                   -206,,                              0,
3041,2012年01月01日至2012年12月31日,,,,              5160596,              5160596,                 31265,                  6743,              5122588,              5122588,,              2699563,              2423025,              2423025,,,                299442,,                269286,,                921277,              1490005,                933020,,,,,,,,,                108395,,,,,,,,,,,                -62031,,,                    244,,,                 -2083,                 44037,                977057,,,                209840,                767217,                767217,,,,,,,                -13795,                753422,,                767217,,                753422,,                              2.62,,                              2.58,,,,              2699563,              2699563,,,,,                -16145,                   -395,                 -2745,,,
3041,2012年01月01日至2012年09月30日,,,,              3948352,              3948352,                  6927,                  2922,              3938503,              3938503,,              2045465,              1893038,              1893038,,,                226501,,                203485,,                700283,              1130269,                762769,,,,                 32636,                 32636,                 35825,                    124,                 10358,                 78943,,                   -867,                     10,                 -8796,                  4360,                  4854,,,,,                -10147,,                    215,                    215,,                   -709,                   -709,                 67872,                830641,,,                163943,                666698,                666698,,,,,,,                 -6931,                659767,,                666698,,                659767,,                              2.28,,                              2.26,,,,              2045465,              2045465,,,,                163943,                 -8286,                    -53,                 -1408,,,
3041,2012年01月01日至2012年06月30日,,,,              2722872,              2722872,                  3865,                  2446,              2716561,              2716561,,              1397419,              1319142,              1319142,,,                157039,,                136752,,                474037,                767828,                551314,,,,                 21606,                 21606,                 23134,,                  5038,                 49778,,                   -837,                     10,                 -5242,                  2394,                  3312,,,,,                 -6987,,                    180,                    180,,                     -9,                     -9,                 42602,                593916,,,                115550,                478366,                478366,,,,,,,                 -6453,                471913,,                478366,,                471913,,                              1.64,,                              1.61,,,,              1397419,              1397419,,,,                115550,                 -7597,                   -148,                 -1292,,                              0,
3041,2012年01月01日至2012年03月31日,,,,              1427164,              1427164,                              0,                  1811,              1425353,              1425353,,                733231,                692122,                692122,,,                 83554,,                 69610,,                238734,                391898,                300224,,,,                 10411,                 10411,                 11336,,                  4335,                 26082,,,                     10,,                  5386,                  1352,                     82,,,,                   -464,,                     62,                     62,,                  2445,                  2445,                 28001,                328225,,,                 62532,                265693,                265693,,,,,,,                 -5221,                260472,,                265693,,                260472,,                              0.91,,                              0.90,                  4426,,,                733231,                733231,,,,                 62532,                 -6390,                     83,                 -1086,,,                              0
