證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額
2495,2015年第3季,,                423404,,                221942,                201462,                201462,,,                 16535,,                 59218,,                 88442,                164195,                 37267,,,                 15484,,                 92054,,                     71,                107467,                144734,,                 27407,                117327,                117327,,,                 -4323,                 -4446,                              0,                 -8769,                 -8769,                108558,,                117327,                              0,,                108558,                              0,,                              0.42,                              0.42,,                              0.41,                              0.41,,,,,,,,,,
2495,2015年第2季,,                407684,,                214133,                193551,                193551,,,                 21750,,                 55711,,                 86463,                163924,                 29627,,,                 16962,,                -10323,,                    291,                  6348,                 35975,,                  8433,                 27542,                 27542,,,                  1046,                 -5093,                              0,                 -4047,                 -4047,                 23495,,                 27542,                              0,,                 23495,                              0,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,,,,,,,
2495,2015年01月01日至2015年09月30日,,              1223614,,                630837,                592777,                592777,,,                 57473,,                174987,,                249972,                482432,                110345,,,                 52139,,                 71189,,                    882,                122446,                232791,,                 44767,                188024,                188024,,,                 -3154,                -14360,                              0,                -17514,                -17514,                170510,,                188024,                              0,,                170510,                              0,,                              0.67,                              0.67,,                              0.66,                              0.66,,,,,,,,,,
2495,2015年01月01日至2015年06月30日,,                800210,,                408895,                391315,                391315,,,                 40938,,                115769,,                161530,                318237,                 73078,,,                 36655,,                -20865,,                    811,                 14979,                 88057,,                 17360,                 70697,                 70697,,,                  1169,                 -9914,                              0,                 -8745,                 -8745,                 61952,,                 70697,                              0,,                 61952,                              0,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,,,,,
2495,2015年01月01日至2015年03月31日,,                392526,,                194762,                197764,                197764,,,                 19188,,                 60058,,                 75067,                154313,                 43451,,,                 19693,,                -10542,,                    520,                  8631,                 52082,,                  8927,                 43155,                 43155,,,                    123,                 -4821,                              0,                 -4698,                 -4698,                 38457,,                 43155,                              0,,                 38457,                              0,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,,,,,,
2495,2014年第3季,,                433179,,                243962,                189217,                189217,,,                 22255,,                 59115,,                 78534,                159904,                 29313,,,                 17526,,                 26588,,                              0,                 44114,                 73427,,                 12501,                 60926,                 60926,,,                 -1775,                 11463,                              0,                  9688,                  9688,                 70614,,                 60926,                              0,,                 70614,                              0,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,,
2495,2014年第2季,,                383185,,                217888,                165297,                165297,,,                 23069,,                 58644,,                 88558,                170271,                 -4974,,,                 10495,,                -16506,,                              0,                 -6011,                -10985,,                    222,                -11207,                -11207,,,                  1299,                 -4618,                              0,                 -3319,                 -3319,                -14526,,                -11207,                              0,,                -14526,                              0,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,,,,,,,,,,
2495,2014年度,,              1720005,,                936379,                783626,                783626,,,                 82784,,                248186,,                336034,                667004,                116622,,,                 55609,,                 54048,,,                109657,                226279,,                 37896,                188383,                188383,,,,,,,                 23538,                211921,,                188383,                              0,,                211921,                              0,,                              0.67,                              0.67,,                              0.66,                              0.66,                 -3508,                 25699,                  1623,                    276,,,,,,
2495,2014年01月01日至2014年09月30日,,              1184724,,                660087,                524637,                524637,,,                 64565,,                184732,,                247726,                497023,                 27614,,,                 39325,,                 18751,,                              0,                 58076,                 85690,,                 16780,                 68910,                 68910,,,                 -1098,                  9165,                              0,                  8067,                  8067,                 76977,,                 68910,                              0,,                 76977,                              0,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,,,,,
2495,2014年01月01日至2014年06月30日,,                751545,,                416125,                335420,                335420,,,                 42310,,                125617,,                169192,                337119,                 -1699,,,                 21799,,                 -7837,,                              0,                 13962,                 12263,,                  4279,                  7984,                  7984,,,                    677,                 -2298,                              0,                 -1621,                 -1621,                  6363,,                  7984,                              0,,                  6363,                              0,,                              0.03,                              0.03,,                              0.03,                              0.03,,,,,,,,,,
2495,2014年01月01日至2014年03月31日,,                368360,,                198237,                170123,                170123,,,                 19241,,                 66973,,                 80634,                166848,                  3275,,,                 11304,,                  8669,,                              0,                 19973,                 23248,,                  4057,                 19191,                 19191,,,                   -622,                  2320,                              0,                  1698,                  1698,                 20889,,                 19191,                              0,,                 20889,                              0,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,,
2495,2013年第3季,,                397860,,                213975,                183885,                183885,,,                 23343,,                 72231,,                 88048,                183622,                    263,,,                  9192,,                 -1884,,,                  7308,                  7571,,                  2635,                  4936,                  4936,,,,,,,                   -620,                  4316,,                  4936,                              0,,                  4316,                              0,,                              0.02,                              0.02,,                              0.02,                              0.02,                    274,                   -894,,                              0,,,,,,
2495,2013年第2季,,                393884,,                235651,                158233,                158233,,,                 29077,,                 60936,,                 90961,                180974,                -22741,,,                  8138,,                  7321,,,                 15459,                 -7282,,                  3309,                -10591,                -10591,,,,,,,                 -2784,                -13375,,                -10591,                              0,,                -13375,                              0,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                    425,                 -3209,,                              0,,,,,,
2495,2013年度,,              1697869,,                913524,                784345,                784345,,,                 98014,,                280801,,                371389,                750204,                 34141,,,                 39058,,                 50739,,,                 89797,                123938,,                 76747,                 47191,                 47191,,,,,,,                 -3354,                 43837,,                 47191,                              0,,                 43837,                              0,,                              0.17,                              0.17,,                              0.17,                              0.17,                  1858,                 -6233,                  1230,                    209,,,,,,
2495,2013年07月01日至2013年09月30日,,                397860,,                213975,                183885,                183885,,,                 23343,,                 72231,,                 88048,                183622,                    263,,,                  9192,,                 -1884,,,                  7308,                  7571,,                  2635,                  4936,                  4936,,,,,,,                   -620,                  4316,,                  4936,                              0,,                  4316,                              0,,                              0.02,                              0.02,,                              0.02,                              0.02,                    274,                   -894,,                              0,,,                402014,                  3730,                    424,                397860
2495,2013年04月01日至2013年06月30日,,                393884,,                235651,                158233,                158233,,,                 29077,,                 60936,,                 90961,                180974,                -22741,,,                  8138,,                  7321,,,                 15459,                 -7282,,                  3309,                -10591,                -10591,,,,,,,                 -2784,                -13375,,                -10591,                              0,,                -13375,                              0,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                    425,                 -3209,,                              0,,,                401814,                  7713,                    217,                393884
2495,2013年01月01日至2013年12月31日,,              1697869,,                913524,                784345,                784345,,,                 98014,,                280801,,                371389,                750204,                 34141,,,                 39058,,                 50739,,,                 89797,                123938,,                 76747,                 47191,                 47191,,,,,,,                 -3354,                 43837,,                 47191,                              0,,                 43837,                              0,,                              0.17,                              0.17,,                              0.17,                              0.17,                  1858,                 -6233,                  1230,                    209,,,              1718214,                 18689,                  1656,              1697869
2495,2013年01月01日至2013年09月30日,,              1227170,,                685217,                541953,                541953,,,                 71390,,                200075,,                291872,                563337,                -21384,,,                 25883,,                 36372,,,                 62255,                 40871,,                 16378,                 24493,                 24493,,,,,,,                 -4826,                 19667,,                 24493,                              0,,                 19667,                              0,,                              0.09,                              0.09,,                              0.09,                              0.09,                  2068,                 -6894,,                              0,,,,,,
