證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 銷貨折讓,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8011,2015年第3季,,,,                296008,                     59,                295949,,,                 71540,                 71540,,                  1775,,                  2335,                371599,,,                309141,,                 63623,                 63623,,                  9225,                  1000,                382989,                -11390,                -11390,,                 69284,                -80674,,,                  7584,,                   -691,,                 10179,                 -3286,                -83960,,                 -5603,                -78357,                -78357,,,                  3495,                     93,                    577,                  3011,                  3011,                -75346,,                -59987,                -18370,,                -57115,                -18231,,                             -0.59,                             -0.59,,                             -0.59,                             -0.59,,,,,,,,,,,
8011,2015年第2季,,,,                184914,                              0,                184914,,,                175813,                175813,,                    959,,                  1815,                363501,,,                153795,,                113569,                113569,,                  8498,                  9267,                285129,                 78372,                 78372,,                 85632,                 -7260,,,                 11153,,                  4843,,                  9877,                  6119,                 -1141,,                 11077,                -12218,                -12218,,,                 -1273,                    -93,                   -211,                 -1155,                 -1155,                -13373,,                 12753,                -24971,,                 11671,                -25044,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,,
8011,2015年01月01日至2015年09月30日,,,,                688432,                     59,                688373,,,                441046,                441046,,                  3288,,                  6111,              1138818,,,                610032,,                305858,                305858,,                 25135,                 24051,                965076,                173742,                173742,,                223745,                -50003,,,                 27145,,                -10930,,                 29971,                -13756,                -63759,,                 10990,                -74749,                -74749,,,                  3217,                              0,                    541,                  2676,                  2676,                -72073,,                -10086,                -64663,,                 -7444,                -64629,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,,,,,,,,,,
8011,2015年01月01日至2015年06月30日,,,,                392482,                     58,                392424,,,                369506,                369506,,                  1513,,                  3776,                767219,,,                300891,,                242235,                242235,,                 15910,                 23051,                582087,                185132,                185132,,                154461,                 30671,,,                 19561,,                -10239,,                 19792,                -10470,                 20201,,                 16593,                  3608,                  3608,,,                   -278,                    -93,                    -36,                   -335,                   -335,                  3273,,                 49901,                -46293,,                 49671,                -46398,,                              0.50,                              0.50,,                              0.49,                              0.49,,,,,,,,,,,
8011,2015年01月01日至2015年03月31日,,,,                207568,                              0,                207510,,,                193693,                193693,,                    554,,                  1961,                403718,,,                147096,,                128666,                128666,,                  7412,                 13784,                296958,                106760,                106760,,                 68829,                 37931,,,                  8408,,                -15082,,                  9915,                -16589,                 21342,,                  5516,                 15826,                 15826,,,                    995,                              0,                    175,                    820,                    820,                 16646,,                 37148,                -21322,,                 38000,                -21354,,                              0.38,                              0.38,,                              0.38,                              0.38,                     58,,                              0,,                 66295,,                  2534,,,,
8011,2014年第3季,,,,                277175,                     18,                277157,,,                107840,                107840,,                              0,,                              0,                384997,,,                229125,,                 97354,                 97354,,                              0,                  2320,                328799,                 56198,                 56198,,                 86691,                -30493,,,                 10118,,                   -590,,                  7838,                  1690,                -28803,,                  7261,                -36064,                -36064,,,                  2358,                   -250,                    389,                  1719,                  1719,                -34345,,                 -8928,                -27136,,                 -7279,                -27066,,                             -0.10,                             -0.10,,                             -0.10,                             -0.10,,,,,,,,,,,
8011,2014年第2季,,,,                606381,                  1771,                604610,,,                102890,                102890,,                              0,,                              0,                707500,,,                497479,,                 94780,                 94780,,                              0,                    883,                593142,                114358,                114358,,                 94305,                 20053,,,                 13087,,                 -1456,,                  7201,                  4430,                 24483,,                 18126,                  6357,                  6357,,,                 -2162,                  3650,                   -359,                  1847,                  1847,                  8204,,                 31415,                -25058,,                 33313,                -25109,,                              0.36,                              0.36,,                              0.35,                              0.35,,,,,,,,,,,
8011,2014年度,,,,              1637989,                  3120,              1634869,,,                410326,                410326,,                    468,,                  2703,              2048366,,,              1333884,,                329226,                329226,,                 19236,                  7087,              1689433,                358933,                358933,,                330256,                 28677,,,                 59274,,                 16273,,                 32059,                 43488,                 72165,,                 50356,                 21809,                 21809,,,,,,,                -12810,                  8999,,                121046,                -99237,,                108144,                -99145,,                              1.38,                              1.38,,                              1.35,                              1.35,,,,,,,,                  3660,                -15450,                   -413,                    607
8011,2014年01月01日至2014年09月30日,,,,              1399520,                  3058,              1396462,,,                269979,                269979,,                              0,,                              0,              1666441,,,              1111721,,                236815,                236815,,                              0,                  3203,              1351739,                314702,                314702,,                252027,                 62675,,,                 48305,,                  1490,,                 19784,                 30011,                 92686,,                 42874,                 49812,                 49812,,,                    577,                  2250,                     97,                  2730,                  2730,                 52542,,                118516,                -68704,,                121239,                -68697,,                              1.38,                              1.38,,                              1.34,                              1.34,,,,,,,,,,,
8011,2014年01月01日至2014年06月30日,,,,              1122345,                  3040,              1119305,,,                162139,                162139,,                              0,,                              0,              1281444,,,                882596,,                139461,                139461,,                              0,                    883,              1022940,                258504,                258504,,                165336,                 93168,,,                 38187,,                  2080,,                 11946,                 28321,                121489,,                 35613,                 85876,                 85876,,,                 -1781,                  2500,                   -292,                  1011,                  1011,                 86887,,                127444,                -41568,,                128518,                -41631,,                              1.54,                              1.54,,                              1.44,                              1.44,,,,,,,,,,,
