證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 稀釋繼續營業單位淨利（淨損）
1324,2015年第3季,,,,                327673,                327673,                    918,                    828,                325927,                325927,,                258466,                 67461,                 67461,,,                 16845,,                 25734,,                  5637,                 48216,                 19245,,,,                  1329,                  1329,                      8,                  1337,,                  6531,                    185,                  1658,                      5,                              0,                  5053,,                      4,                  6386,                 25631,,                  4449,                 21182,                 21182,,,                 11555,                 11555,                 11555,                 32737,,                 21182,                              0,,                 32737,                              0,,                              0.28,                              0.28,,,,,,
1324,2015年第2季,,,,                329683,                329683,                    112,                    322,                329249,                329249,,                263258,                 65991,                 65991,,,                 16608,,                 25948,,                  5681,                 48237,                 17754,,,,                  1021,                  1021,                    154,                  1175,,                              0,                    166,                   -489,                    125,                  1788,                 -1258,,                      5,                    -88,                 17666,,                  2774,                 14892,                 14892,,,                 -4144,                 -4144,                 -4144,                 10748,,                 14892,                              0,,                 10748,                              0,,                              0.20,                              0.20,,,,,,
1324,2015年01月01日至2015年09月30日,,,,                974092,                974092,                  1658,                  1427,                971007,                971007,,                778783,                192224,                192224,,,                 49726,,                 76626,,                 18294,                144646,                 47578,,,,                  3114,                  3114,                    209,                  3323,,                  5347,                    680,                  1910,                    130,                              0,                  3987,,                     17,                  7293,                 54871,,                 11895,                 42976,                 42976,,,                  3902,                  3902,                  3902,                 46878,,                 42976,                              0,,                 46878,                              0,,                              0.57,                              0.57,,,,,,
1324,2015年01月01日至2015年06月30日,,,,                646419,                646419,                    740,                    599,                645080,                645080,,                520317,                124763,                124763,,,                 32881,,                 50892,,                 12657,                 96430,                 28333,,,,                  1785,                  1785,                    201,                  1986,,                              0,                    495,                    252,                    125,                  1184,                 -1066,,                     13,                    907,                 29240,,                  7446,                 21794,                 21794,,,                 -7653,                 -7653,                 -7653,                 14141,,                 21794,                              0,,                 14141,                              0,,                              0.29,                              0.29,,,,,,
1324,2015年01月01日至2015年03月31日,,,,                316736,                316736,                    627,                    278,                315831,                315831,,                257059,                 58772,                 58772,,,                 16273,,                 24944,,                  6976,                 48193,                 10579,,,,                    764,                    764,                     47,                    811,,                    604,                    329,                    741,                              0,,                    192,,                      8,                    995,                 11574,,                  4672,                  6902,                  6902,,,                 -3509,                 -3509,                 -3509,                  3393,,                  6902,,,                  3393,,,,                              0.09,,                              0.09,,,,
1324,2014年第3季,,,,                369933,                369933,                     89,                  1088,                368756,                368756,,                308326,                 60430,                 60430,,,                 17607,,                 24149,,                  5751,                 47507,                 12923,,,,                  1333,                  1333,                    281,                  1614,,                              0,                    286,                     70,                    113,                  1599,                 -1496,,                     10,                    108,                 13031,,                  1897,                 11134,                 11134,,,                  7024,                  7024,                  7024,                 18158,,                 11134,                              0,,                 18158,                              0,,                              0.15,                              0.15,,,,,,
1324,2014年第2季,,,,                351489,                351489,                    222,                    427,                350840,                350840,,                293912,                 56928,                 56928,,,                 18126,,                 25841,,                  5801,                 49768,                  7160,,,,                    823,                    823,                    529,                  1352,,                  2300,                    232,                   -372,                     27,                              0,                  2877,,                     16,                  4213,                 11373,,                  1497,                  9876,                  9876,,,                 -5101,                 -5101,                 -5101,                  4775,,                  9876,                              0,,                  4775,                              0,,                              0.13,                              0.13,,,,,,
1324,2014年度,,,,              1451177,              1451177,                    910,                  2870,              1447397,              1447397,,              1213812,                233585,                233585,,,                 70946,,                 99566,,                 24403,                194915,                 38670,,,,                  4038,                  4038,                  3651,                  7689,,                  5833,                    987,                    708,                    385,,                  5727,,                     39,                 13377,                 52047,,                  8994,                 43053,                 43053,,,,,                 -4539,                 38514,,                 43053,,,                 38514,,,                              0.57,                              0.57,,,                  9991,                -17506,                  2976,
1324,2014年01月01日至2014年09月30日,,,,              1098482,              1098482,                    472,                  1850,              1096160,              1096160,,                915053,                181107,                181107,,,                 53478,,                 74942,,                 18326,                146746,                 34361,,,,                  2941,                  2941,                  2385,                  5326,,                  3335,                    794,                    478,                    385,                              0,                  3266,,                     34,                  8558,                 42919,,                  6759,                 36160,                 36160,,,                    852,                    852,                    852,                 37012,,                 36160,                              0,,                 37012,                              0,,                              0.48,                              0.48,,,,,,
1324,2014年01月01日至2014年06月30日,,,,                728549,                728549,                    383,                    762,                727404,                727404,,                606727,                120677,                120677,,,                 35871,,                 50793,,                 12575,                 99239,                 21438,,,,                  1608,                  1608,                  2104,                  3712,,                  4934,                    508,                    408,                    272,                              0,                  4762,,                     24,                  8450,                 29888,,                  4862,                 25026,                 25026,,,                 -6172,                 -6172,                 -6172,                 18854,,                 25026,                              0,,                 18854,                              0,,                              0.33,                              0.33,,,,,,
