證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息費用,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資損失之份額
9917,2015年第3季,,,              3298262,              3298262,,              2045804,              1252458,              1252458,,,                246016,,                325898,,                 30353,                602267,                650191,,,                 29999,,                  4600,,                  6623,,                -17792,                -17792,                 10184,                660375,,                109100,                551275,                551275,,,                              0,                              0,,                  2949,                -48108,,                 21422,                -23737,                -23737,                527538,,                537690,                 13585,,                511782,                 15756,,                              1.25,,                              1.25,,,,,,,,,,,,,,,,,,,,
9917,2015年第2季,,,              3304117,              3304117,,              2176035,              1128082,              1128082,,,                243679,,                301694,,                 31690,                577063,                551019,,,                225889,,                -88541,,                  6475,,                -13994,                -13994,                116879,                667898,,                146152,                521746,                521746,,,                              0,                              0,,                    -15,               -142689,,                 -9065,               -151769,               -151769,                369977,,                515497,                  6249,,                359376,                 10601,,                              1.18,,                              1.18,                  6475,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
9917,2015年01月01日至2015年09月30日,,,              9892949,              9892949,,              6322922,              3570027,              3570027,,,                734225,,                926766,,                 96102,              1757093,              1812934,,,                266286,,                -69163,,                 19656,,                -24989,                -24989,                152478,              1965412,,                364424,              1600988,              1600988,,,                              0,                              0,,                  3318,               -190537,,                 14154,               -173065,               -173065,              1427923,,              1572087,                 28901,,              1391128,                 36795,,                              3.63,,                              3.63,,,,,,,,,,,,,,,,,,,,
9917,2015年01月01日至2015年06月30日,,,              6594687,              6594687,,              4277118,              2317569,              2317569,,,                488209,,                600868,,                 65749,              1154826,              1162743,,,                236287,,                -73763,,                 13033,,                 -7197,                 -7197,                142294,              1305037,,                255324,              1049713,              1049713,,,                              0,                              0,,                    369,               -142429,,                 -7268,               -149328,               -149328,                900385,,              1034397,                 15316,,                879346,                 21039,,                              2.38,,                              2.38,                 13033,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
9917,2015年01月01日至2015年03月31日,,,              3290570,              3290570,,              2101083,              1189487,              1189487,,,                244530,,                299174,,                 34059,                577763,                611724,,,                 10398,,                 14778,,                  6558,,                  6797,                  6797,                 25415,                637139,,                109172,                527967,                527967,,,                              0,                              0,,                    384,                    260,,                  1797,                  2441,                  2441,                530408,,                518900,                  9067,,                519970,                 10438,,                              1.20,,                              1.20,                  6558,                              0,                              0,                              0,                              0,,,                              0,                              0,                              0,,,                              0,,,,,,,
9917,2014年第3季,,,              3287176,              3287176,,              2057810,              1229366,              1229366,,,                250862,,                332160,,                 37081,                620103,                609263,,,                 30090,,                -12023,,                  6430,,                 39989,                 39989,                 51626,                660889,,                 85731,                575158,                575158,,,                              0,                              0,,                  1412,                 13168,,                 33426,                 48006,                 48006,                623164,,                559096,                 16062,,                601780,                 21384,,                              1.31,,                              1.31,,,,,,,,,,,,,,,,,,,,
9917,2014年第2季,,,              3186304,              3186304,,              1995674,              1190630,              1190630,,,                234813,,                314352,,                 36460,                585625,                605005,,,                 13943,,                -14408,,                  6187,,                 28013,                 28013,                 21361,                626366,,                 99549,                526817,                526817,,,                              0,                              0,,                 -1792,                -29708,,                -26357,                -57857,                -57857,                468960,,                516825,                  9992,,                459508,                  9452,,                              1.20,,                              1.20,                  6187,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
9917,2014年度,,,             13071916,             13071916,,              8231487,              4840429,              4840429,,,                970102,,              1295962,,                145934,              2411998,              2428431,,,                 74439,,                -49621,,                 25866,,                137070,                137070,                136022,              2564453,,                477664,              2086789,              2086789,,,,,,,,,,,                -24321,              2062468,,              2033942,                 52847,,              2002452,                 60016,,                              4.74,,                              4.73,                 25866,,,,,,,,,,,,                              0,                     -4,                -39401,                 21456,,                 -3488,                  2884,
9917,2014年01月01日至2014年09月30日,,,              9617159,              9617159,,              5981738,              3635421,              3635421,,,                735920,,                967155,,                111650,              1814725,              1820696,,,                 59829,,                -54105,,                 18951,,                 84070,                 84070,                 70843,              1891539,,                283504,              1608035,              1608035,,,                              0,                              0,,                  1006,                -16005,,                   -429,                -15428,                -15428,              1592607,,              1567234,                 40801,,              1543694,                 48913,,                              3.65,,                              3.65,,,,,,,,,,,,,,,,,,,,
9917,2014年01月01日至2014年06月30日,,,              6329983,              6329983,,              3923928,              2406055,              2406055,,,                485058,,                634995,,                 74569,              1194622,              1211433,,,                 29739,,                -42082,,                 12521,,                 44081,                 44081,                 19217,              1230650,,                197773,              1032877,              1032877,,,                              0,                              0,,                   -406,                -29173,,                -33855,                -63434,                -63434,                969443,,              1008138,                 24739,,                941914,                 27529,,                              2.35,,                              2.35,                 12521,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,,,,,,,,,
