證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2105,2015年第3季,,             29208814,,             20188887,              9019927,              9019927,,,              2452929,,              1012361,,              1093418,              4558708,              4461219,,,                259033,,               -400518,,                253527,,                  8468,               -386544,              4074675,,                996350,              3078325,              3078325,,,              2956428,                -19756,                497129,              2439543,              2439543,              5517868,,              3049949,                 28376,,              5457604,                 60264,,                              0.94,                              0.94,,                              0.94,                              0.94,,,,,,
2105,2015年第2季,,             31040993,,             21549973,              9491020,              9491020,,,              2324752,,                825217,,              1079393,              4229362,              5261658,,,                194972,,               -232906,,                231535,,                  8035,               -261434,              5000224,,              1727056,              3273168,              3273168,,,             -1702403,                 32904,               -279230,             -1390269,             -1390269,              1882899,,              3254846,                 18322,,              1924514,                -41615,,                              1.00,                              1.00,,                              1.00,                              1.00,,,,,,
2105,2015年01月01日至2015年09月30日,,             89243212,,             62293476,             26949736,             26949736,,,              6852804,,              2504562,,              3250595,             12607961,             14341775,,,                570316,,               -891423,,                726219,,                 22302,             -1025024,             13316751,,              3686363,              9630388,              9630388,,,                344612,                 33498,                 64583,                313527,                313527,              9943915,,              9567021,                 63367,,              9916097,                 27818,,                              2.95,                              2.95,,                              2.94,                              2.94,,,,,,
2105,2015年01月01日至2015年06月30日,,             60034398,,             42104589,             17929809,             17929809,,,              4399875,,              1492201,,              2157177,              8049253,              9880556,,,                311283,,               -490905,,                472692,,                 13834,               -638480,              9242076,,              2690013,              6552063,              6552063,,,             -2611816,                 53254,               -432546,             -2126016,             -2126016,              4426047,,              6517072,                 34991,,              4458493,                -32446,,                              2.01,                              2.01,,                              2.01,                              2.01,,,,,,
2105,2015年01月01日至2015年03月31日,,             28993405,,             20554616,              8438789,              8438789,,,              2075123,,                666984,,              1077784,              3819891,              4618898,,,                116311,,               -257999,,                241157,,                  5799,               -377046,              4241852,,                962957,              3278895,              3278895,,,               -909413,                 20350,               -153316,               -735747,               -735747,              2543148,,              3262226,                 16669,,              2533979,                  9169,,                              1.01,                              1.01,,                              1.00,                              1.00,,,,,,
2105,2014年第3季,,             34142065,,             24604392,              9537673,              9537673,,,              2167365,,                876744,,                797078,              3841187,              5696486,,,                247106,,                165727,,                243989,,                  6416,                175260,              5871746,,              1207658,              4664088,              4664088,,,              1991915,                    326,                326033,              1666208,              1666208,              6330296,,              4645603,                 18485,,              6237686,                 92610,,                              1.43,                              1.43,,                              1.43,                              1.43,,,,,,
2105,2014年第2季,,             32693536,,             23881831,              8811705,              8811705,,,              2083004,,                777651,,                782068,              3642723,              5168982,,,                281269,,                -39011,,                266426,,                 13833,                -10335,              5158647,,              1740694,              3417953,              3417953,,,             -1594382,                  8097,               -261604,             -1324681,             -1324681,              2093272,,              3389490,                 28463,,              2120128,                -26856,,                              1.05,                              1.05,,                              1.04,                              1.04,,,,,,
2105,2014年度,,            129014062,,             93113558,             35900504,             35900504,,,              8474651,,              3006727,,              3229387,             14710765,             21189739,,,              1150998,,                 47622,,              1157623,,                 40060,                 81057,             21270796,,              5159179,             16111617,             16111617,,,,,,,              2770166,             18881783,,             16015591,                 96026,,             18673535,                208248,,                              4.94,                              4.94,,                              4.93,                              4.93,              3328237,                 12397,                -25859,,                   -458,                544151
2105,2014年01月01日至2014年09月30日,,             98427287,,             71543828,             26883459,             26883459,,,              5953422,,              2292955,,              2370294,             10616671,             16266788,,,                784428,,               -375003,,                840657,,                 30604,               -400628,             15866160,,              4086995,             11779165,             11779165,,,                665678,                 10794,                112005,                564467,                564467,             12343632,,             11703410,                 75755,,             12250135,                 93497,,                              3.61,                              3.61,,                              3.60,                              3.60,,,,,,
2105,2014年01月01日至2014年06月30日,,             64285222,,             46939436,             17345786,             17345786,,,              3786057,,              1416211,,              1573216,              6775484,             10570302,,,                537322,,               -540730,,                596668,,                 24188,               -575888,              9994414,,              2879337,              7115077,              7115077,,,             -1326237,                 10468,               -214028,             -1101741,             -1101741,              6013336,,              7057807,                 57270,,              6012449,                    887,,                              2.18,                              2.18,,                              2.17,                              2.17,,,,,,
