證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　　 與可能重分類之項目相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
4106,2015年第3季,,                418107,,                232617,                185490,                185490,,,                 57562,,                 92521,,                 24864,                174947,                 10543,,,                  1116,,                  5285,,                  1072,                  5329,                 15872,,                  1823,                 14049,                 14049,,,                 -3737,                 -3737,                 -3737,                 10312,,                 16379,                 -2330,,                  3336,                  6976,,                              0.20,,                              0.20,,,,,,,,
4106,2015年第2季,,                550937,,                310509,                240428,                240428,,,                 63118,,                 79420,,                 22189,                164727,                 75701,,,                  1433,,                  1627,,                    579,                  2481,                 78182,,                 28435,                 49747,                 49747,,,                 27047,                 27047,                 27047,                 76794,,                 48763,                    984,,                 65093,                 11701,,                              0.58,,                              0.58,,,,,,,,
4106,2015年01月01日至2015年09月30日,,              1486007,,                824745,                661262,                661262,,,                178395,,                256024,,                 68088,                502507,                158755,,,                  3546,,                  7662,,                  2159,                  9049,                167804,,                 40861,                126943,                126943,,,                -30387,                -30387,                -30387,                 96556,,                122612,                  4331,,                 86605,                  9951,,                              1.47,,                              1.46,,,,,,,,
4106,2015年01月01日至2015年06月30日,,              1067900,,                592128,                475772,                475772,,,                120833,,                163503,,                 43224,                327560,                148212,,,                  2430,,                  2377,,                  1087,                  3720,                151932,,                 39038,                112894,                112894,,,                -26650,                -26650,                -26650,                 86244,,                106233,                  6661,,                 83269,                  2975,,                              1.27,,                              1.27,,,,,,,,
4106,2015年01月01日至2015年03月31日,,                516963,,                281619,                235344,                235344,,,                 57715,,                 84083,,                 21035,                162833,                 72511,,,                    997,,                    750,,                    508,                  1239,                 73750,,                 10603,                 63147,                 63147,,,                -53697,                -53697,                -53697,                  9450,,                 57470,                  5677,,                 18176,                 -8726,,                              0.69,,                              0.69,,                516963,,                281619,                              0,,,
4106,2014年第3季,,                554834,,                286551,                268283,                268283,,,                103577,,                 75137,,                 23915,                202629,                 65654,,,                  1122,,                  2090,,                    769,                  2443,                 68097,,                 16757,                 51340,                 51340,,,                -12532,                -12532,                -12532,                 38808,,                 47642,                  3698,,                 41131,                 -2323,,                              0.57,,                              0.57,,,,,,,,
4106,2014年第2季,,                584602,,                318540,                266062,                266062,,,                 60431,,                 95866,,                 26556,                182853,                 83209,,,                  1230,,                 -2859,,                    807,                 -2436,                 80773,,                 24523,                 56250,                 56250,,,                 -6941,                 -6941,                 -6941,                 49309,,                 52545,                  3705,,                 45198,                  4111,,                              0.63,,                              0.63,,,,,,,,
4106,2014年度,,              2263357,,              1216822,              1046535,              1046535,,,                258697,,                474486,,                 88557,                821740,                224795,,,                  4513,,                 25569,,                  2904,                 27178,                251973,,                 53867,                198106,                198106,,,,,                  9589,                207695,,                178414,                 19692,,                188415,                 19280,,                              2.14,,                              2.13,,              2263357,,              1216822,,                 11763,                 -2620,                   -446
4106,2014年01月01日至2014年09月30日,,              1720631,,                921974,                798657,                798657,,,                224786,,                289392,,                 66738,                580916,                217741,,,                  3187,,                 10509,,                  2350,                 11346,                229087,,                 60887,                168200,                168200,,,                  2414,                  2414,                  2414,                170614,,                156921,                 11279,,                158798,                 11816,,                              1.88,,                              1.87,,,,,,,,
4106,2014年01月01日至2014年06月30日,,              1165797,,                635423,                530374,                530374,,,                121209,,                214255,,                 42823,                378287,                152087,,,                  2065,,                  8419,,                  1581,                  8903,                160990,,                 44130,                116860,                116860,,,                 14946,                 14946,                 14946,                131806,,                109279,                  7581,,                117667,                 14139,,                              1.31,,                              1.30,,,,,,,,
4106,2014年01月01日至2014年03月31日,,                581195,,                316883,                264312,                264312,,,                 60778,,                118389,,                 16267,                195434,                 68878,,,                    835,,                 11278,,                    774,                 11339,                 80217,,                 19607,                 60610,                 60610,,,                 21887,                 21887,                 21887,                 82497,,                 56734,                  3876,,                 72469,                 10028,,                              0.68,,                              0.68,,                581195,,                316883,                              0,,,
