證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 停業單位損益,　　 停業單位損益合計
2449,2015年第3季,,              4416546,,              3217949,              1198597,              1198597,,,                 67803,,                284517,,                172489,                524809,                673788,,,                 20126,,                 26926,,                 42118,,                  5622,                 10556,                684344,,                144080,                540264,                540264,,,                113388,                 -4633,                108755,                108755,                649019,,                539882,                    382,,                648271,                    748,,                              0.46,,                              0.45,,,,,,,
2449,2015年第2季,,              4345477,,              3048401,              1297076,              1297076,,,                 63394,,                287622,,                172142,                523158,                773918,,,                 54655,,                 48055,,                 34946,,                 13138,                 80902,                854820,,                174788,                680032,                680032,,,                -43770,                 -4147,                -47917,                -47917,                632115,,                679820,                    212,,                632026,                     89,,                              0.57,,                              0.56,,,,,,,
2449,2015年01月01日至2015年09月30日,,             12835555,,              9182307,              3653248,              3653248,,,                195534,,                857548,,                521525,              1574607,              2078641,,,                119800,,                130961,,                118054,,                 43844,                176551,              2255192,,                435474,              1819718,              1819718,,,                  1110,                -12550,                -11440,                -11440,              1808278,,              1819073,                    645,,              1807454,                    824,,                              1.53,,                              1.51,,,,,,,
2449,2015年01月01日至2015年06月30日,,              8419009,,              5964358,              2454651,              2454651,,,                127731,,                573031,,                349036,              1049798,              1404853,,,                 99674,,                104035,,                 75936,,                 38222,                165995,              1570848,,                291394,              1279454,              1279454,,,               -112278,                 -7917,               -120195,               -120195,              1159259,,              1279191,                    263,,              1159183,                     76,,                              1.07,,                              1.06,,,,,,,
2449,2015年01月01日至2015年03月31日,,              4073532,,              2915957,              1157575,              1157575,,,                 64337,,                285409,,                176894,                526640,                630935,,,                 45019,,                 55980,,                 40990,,                 25084,                 85093,                716028,,                116606,                599422,                599422,,,                -68508,                 -3770,                -72278,                -72278,                527144,,                599371,                     51,,                527157,                    -13,,                              0.50,,                              0.50,,,,,,,
2449,2014年第3季,,              4393956,,              2980779,              1413177,              1413177,,,                 66768,,                288381,,                162521,                517670,                895507,,,                 41880,,                 30426,,                 30345,,                 29628,                 71589,                967096,,                148358,                818738,                818738,,,                 78844,                 -5559,                 73285,                 73285,                892023,,                818391,                    347,,                891925,                     98,,                              0.69,,                              0.68,,,,,,,
2449,2014年第2季,,              4126273,,              2819150,              1307123,              1307123,,,                 61160,,                270392,,                150167,                481719,                825404,,,                 80686,,                 -6443,,                 30637,,                 43157,                 86763,                912167,,                129418,                782749,                782749,,,                -88388,                  2572,                -85816,                -85816,                696933,,                782442,                    307,,                696644,                    289,,                              0.66,,                              0.65,,,,,,,
2449,2014年度,,             16277769,,             11396039,              4881730,              4881730,,,                248398,,              1095650,,                605451,              1949499,              2932231,,,                188936,,                 24492,,                138847,,                112548,                187129,              3119360,,                559629,              2559731,              2559731,,,,,,                246059,              2805790,,              2559056,                    675,,              2805437,                    353,,                              2.15,,                              2.13,                250664,                   -269,                 -4336,,,,
2449,2014年01月01日至2014年09月30日,,             12049785,,              8367672,              3682113,              3682113,,,                187397,,                817044,,                444169,              1448610,              2233503,,,                148538,,                 30659,,                 98300,,                 92503,                173400,              2406903,,                374415,              2032488,              2032488,,,                 47516,                 -1914,                 45602,                 45602,              2078090,,              2031772,                    716,,              2077486,                    604,,                              1.71,,                              1.69,,,,,,,
2449,2014年01月01日至2014年06月30日,,              7655829,,              5386893,              2268936,              2268936,,,                120629,,                528663,,                281648,                930940,              1337996,,,                106658,,                    233,,                 67955,,                 62875,                101811,              1439807,,                226057,              1213750,              1213750,,,                -31328,                  3645,                -27683,                -27683,              1186067,,              1213381,                    369,,              1185561,                    506,,                              1.02,,                              1.01,,,,,,,
2449,2014年01月01日至2014年03月31日,,              3529556,,              2567743,                961813,                961813,,,                 59469,,                258271,,                131481,                449221,                512592,,,                 25972,,                  6676,,                 37318,,                 19718,                 15048,                527640,,                 96639,                431001,                431001,,,                 57060,                  1073,                 58133,                 58133,                489134,,                430939,                     62,,                488917,                    217,,                              0.36,,                              0.36,,,,,,,
