證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本,　　　　 勞務成本合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 其他費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他營業收入,　　 本期所得稅費用（利益）,　 其他收益及費損淨額,　　 其他收益,　　 其他費損,　　 其他收益及費損淨額,　　 當期所得稅費用（利益）,　 其他綜合損益(淨額),　　 備供出售金融資產未實現評價損益,　　 其他綜合損益（淨額）,　 停業單位損益,　　 停業單位損益合計,　　 其他綜合損益,　　　 天然氣銷貨成本（天然氣業）,　　 推銷費用,　　　 推銷費用合計
2348,2015年第3季,,,,                              0,                              0,                              0,,,                376043,                376043,                376043,,                    666,                376709,,,                              0,                              0,,,                289988,                289988,                289988,                289988,                 86721,                 86721,,,                 36055,                 36055,                 36055,                 50666,,,                  1130,                  1130,,                  3231,                 -3231,,                  3282,                  3282,                 -5383,                 45283,,                              0,                 45283,                 45283,                 45283,,                 45380,                    -97,,                 45380,                    -97,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,,,,,,,,,,,,,
2348,2015年第2季,,,,                              0,                              0,                              0,,,                195898,                195898,                195898,,                    143,                196041,,,                              0,                              0,,,                145273,                145273,                145273,                145273,                 50768,                 50768,,,                 33043,                 33043,                 33043,                 17725,,,                    523,                    523,,                 -4167,                  4167,,                 11608,                 11608,                 -6918,                 10807,,                 12323,                 -1516,                 -1516,                 -1516,,                 -1497,                    -19,,                 -1497,                    -19,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,                    143,                 12323,,,,,,,,,,,,,,
2348,2015年01月01日至2015年09月30日,,,,                              0,                              0,                              0,,,                782186,                782186,                782186,,                    809,                782995,,,                              0,                              0,,,                551844,                551844,                551844,                551844,                231151,                231151,,,                113006,                113006,                113006,                118145,,,                  2111,                  2111,,                   -232,                    232,,                 18599,                 18599,                -16256,                101889,,                 12323,                 89566,                 89566,                 89566,,                 90060,                   -494,,                 90060,                   -494,,                              1.05,                              1.05,,                              1.05,                              1.05,,,,,,,,,,,,,,,,
2348,2015年01月01日至2015年06月30日,,,,                              0,                              0,                              0,,,                406143,                406143,                406143,,                    143,                406286,,,                              0,                              0,,,                261856,                261856,                261856,                261856,                144430,                144430,,,                 76951,                 76951,                 76951,                 67479,,,                    981,                    981,,                 -3463,                  3463,,                 15317,                 15317,                -10873,                 56606,,                 12323,                 44283,                 44283,                 44283,,                 44680,                   -397,,                 44680,                   -397,,                              0.52,                              0.52,,                              0.52,                              0.52,                    143,                 12323,,,,,,,,,,,,,,
2348,2015年01月01日至2015年03月31日,,,,                              0,                              0,                              0,,,                210245,                210245,                210245,,,                210245,,,                              0,                              0,,,                116583,                116583,                116583,                116583,                 93662,                 93662,,,                 43908,                 43908,                 43908,                 49754,,,                    458,                    458,,,                   -704,,                  3709,                  3709,                 -3955,                 45799,,,                 45799,                 45799,                 45799,,                 46177,                   -378,,                 46177,                   -378,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,,,,,,,,
2348,2014年第3季,,,,                              0,                              0,                              0,,,                446436,                446436,                446436,,                              0,                446436,,,                              0,                              0,,,                323806,                323806,                323806,                323806,                122630,                122630,,,                 68922,                 68922,                 68922,                 53708,,,                    135,                    135,,                    145,                   -145,,                  4241,                  4241,                 -4251,                 49457,,                              0,                 49457,                 49457,                 49457,,                 49685,                   -228,,                 49685,                   -228,,                              0.58,                              0.58,,                              0.58,                              0.58,,,,,,,,,,,,,,,,
2348,2014年第2季,,,,                              0,                              0,                              0,,,                427859,                427859,                427859,,                              0,                427859,,,                              0,                              0,,,                228963,                228963,                228963,                228963,                198896,                198896,,,                 94283,                 94283,                 94283,                104613,,,                    440,                    440,,                     28,                    -28,,                  3967,                  3967,                 -3555,                101058,,                              0,                101058,                101058,                101058,,                101389,                   -331,,                101389,                   -331,,                              1.18,                              1.18,,                              1.18,                              1.18,                              0,                              0,,,,,,,,,,,,,,
2348,2014年度,,,,                              0,                              0,                              0,,,              1837419,              1837419,              1837419,,                 13370,              1850789,,,                              0,                              0,,,              1266659,              1266659,              1266659,              1266659,                584130,                584130,,,,                218603,                218603,                365527,,,                  1285,                  1285,,,                   -331,,                 14126,                 14126,                -13172,                352355,,                              0,                352355,                352355,                352355,,                353301,                   -946,,                353301,                   -946,,                              4.13,                              4.13,,                              4.13,                              4.13,                 13370,,,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,
2348,2014年01月01日至2014年09月30日,,,,                              0,                              0,                              0,,,              1422125,              1422125,              1422125,,                              0,              1422125,,,                              0,                              0,,,                806613,                806613,                806613,                806613,                615512,                615512,,,                211979,                211979,                211979,                403533,,,                    820,                    820,,                    -23,                     23,,                 10381,                 10381,                 -9538,                393995,,                              0,                393995,                393995,                393995,,                394624,                   -629,,                394624,                   -629,,                              4.61,                              4.61,,                              4.61,                              4.61,,,,,,,,,,,,,,,,
2348,2014年01月01日至2014年06月30日,,,,                              0,                              0,                              0,,,                975689,                975689,                975689,,                              0,                975689,,,                              0,                              0,,,                482807,                482807,                482807,                482807,                492882,                492882,,,                143057,                143057,                143057,                349825,,,                    685,                    685,,                   -168,                    168,,                  6140,                  6140,                 -5287,                344538,,                              0,                344538,                344538,                344538,,                344939,                   -401,,                344939,                   -401,,                              4.03,                              4.03,,                              4.03,                              4.03,                              0,                              0,,,,,,,,,,,,,,
