證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 停業單位損益,　　 停業單位損益合計
2910,2015年第3季,,,,                103859,                 11660,                 92199,,                 54681,,                              0,                146880,,,                 50417,,                  5271,,                              0,                 55688,                 91192,                              0,                              0,                 91192,,                 73913,                 17279,,,                  4728,,                 -4389,,                  8733,,                    983,                 -7411,                  9868,,                 -3247,                 13115,                 13115,,,                 -6932,                 -6932,                 -6932,                  6183,,                 13115,                              0,,                  6183,                              0,,                              0.07,                              0.07,,                              0.07,                              0.07,,,,,,,,,,,
2910,2015年第2季,,,,                140545,                 19246,                121299,,                 54652,,                              0,                175951,,,                 70231,,                  5443,,                              0,                 75674,                100277,                              0,                              0,                100277,,                 73781,                 26496,,,                  2249,,                  5970,,                  8231,,                  1804,                  1792,                 28288,,                  7513,                 20775,                 20775,,,                -23169,                -23169,                -23169,                 -2394,,                 20775,                              0,,                 -2394,                              0,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,,
2910,2015年01月01日至2015年09月30日,,,,                341304,                 40481,                300823,,                164429,,                              0,                465252,,,                155504,,                 15925,,                              0,                171429,                293823,                              0,                              0,                293823,,                218882,                 74941,,,                  9517,,                    960,,                 25064,,                  3754,                -10833,                 64108,,                 10906,                 53202,                 53202,,,                -25737,                -25737,                -25737,                 27465,,                 53202,                              0,,                 27465,                              0,,                              0.30,                              0.30,,                              0.30,                              0.30,,,,,,,,,,,
2910,2015年01月01日至2015年06月30日,,,,                237445,                 28821,                208624,,                109748,,                              0,                318372,,,                105087,,                 10654,,                              0,                115741,                202631,                              0,                              0,                202631,,                144969,                 57662,,,                  4789,,                  5349,,                 16331,,                  2771,                 -3422,                 54240,,                 14153,                 40087,                 40087,,,                -18805,                -18805,                -18805,                 21282,,                 40087,                              0,,                 21282,                              0,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,,,
2910,2015年01月01日至2015年03月31日,,,,                 96900,                  9575,                 87325,,                 55096,,                              0,                142421,,,                 34856,,                  5211,,                              0,                 40067,                102354,                              0,                              0,                102354,,                 71188,                 31166,,,                  2540,,                   -621,,                  8100,,                    967,                 -5214,                 25952,,                  6640,                 19312,                 19312,,,                  4364,                  4364,                  4364,                 23676,,                 19312,                              0,,                 23676,                              0,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,
2910,2014年第3季,,,,                 84801,                  4861,                 79940,,                 53051,,                              0,                132991,,,                 31493,,                  5898,,                              0,                 37391,                 95600,                              0,                              0,                 95600,,                 70368,                 25232,,,                  9447,,                  2408,,                  8023,,                    686,                  4518,                 29750,,                  6101,                 23649,                 23649,,,                 -2032,                 -2032,                 -2032,                 21617,,                 23649,                              0,,                 21617,                              0,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,,,,
2910,2014年第2季,,,,                142867,                 19030,                123837,,                 52330,,                192609,                368776,,,                 69219,,                  5820,,                143285,                218324,                150452,                              0,                              0,                150452,,                 76567,                 73885,,,                  2390,,                 -1085,,                  7891,,                  1510,                 -5076,                 68809,,                  7118,                 61691,                 61691,,,                 10558,                 10558,                 10558,                 72249,,                 61691,                              0,,                 72249,                              0,,                              0.35,                              0.35,,                              0.35,                              0.35,,,,,,,,,,,
2910,2014年度,,,,                545360,                 71992,                473368,,                210961,,                296306,                980635,,,                247335,,                 23017,,                214739,                485091,                495544,                              0,                              0,                495544,,                290075,                205469,,,                 17968,,                  5609,,                 31512,,                  3077,                 -4858,                200611,,                 30097,                170514,                170514,,,,,                  1077,                171591,,                170514,                              0,,                171591,                              0,,                              0.97,                              0.97,,                              0.97,                              0.97,                  4018,                 -3544,                   -603,,,,,,,,
2910,2014年01月01日至2014年09月30日,,,,                329512,                 33097,                296415,,                158194,,                296306,                750915,,,                136152,,                 17467,,                214739,                368358,                382557,                              0,                              0,                382557,,                213653,                168904,,,                 14132,,                  1901,,                 23704,,                  2879,                 -4792,                164112,,                 20776,                143336,                143336,,,                  5180,                  5180,                  5180,                148516,,                143336,                              0,,                148516,                              0,,                              0.82,                              0.82,,                              0.82,                              0.82,,,,,,,,,,,
2910,2014年01月01日至2014年06月30日,,,,                244711,                 28236,                216475,,                105143,,                296306,                617924,,,                104659,,                 11569,,                214739,                330967,                286957,                              0,                              0,                286957,,                143285,                143672,,,                  4685,,                   -507,,                 15681,,                  2193,                 -9310,                134362,,                 14675,                119687,                119687,,,                  7212,                  7212,                  7212,                126899,,                119687,                              0,,                126899,                              0,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,,,,,,
