證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計
2408,2015年第3季,,             10337320,,              6479733,              3857587,              3857587,,,                155813,,                265484,,                484210,                905507,              2952080,,,                 52950,,                539649,,                216383,,              1405683,              1781899,              4733979,,                  2485,                  2485,              4731494,,                              0,              4731494,,,                 30696,                -23406,                              0,                  7290,                  7290,              4738784,,              4726612,                  4882,,              4733902,                  4882,,                              1.94,                              0.00,                              1.94,,                              0.00,                              0.00,                              0.00,,,,,,,,,
2408,2015年第2季,,             11155776,,              6467849,              4687927,              4687927,,,                167116,,                258363,,                354474,                779953,              3907974,,,                 61949,,               -127068,,                205935,,              1117954,                846900,              4754874,,                490001,                490001,              4264873,,                              0,              4264873,,,                 -5894,                -29499,                              0,                -35393,                -35393,              4229480,,              4254402,                 10471,,              4219009,                 10471,,                              1.75,                              0.00,                              1.75,,                              1.74,                              0.00,                              1.74,,,,,,,,,
2408,2015年01月01日至2015年09月30日,,             33521039,,             19302301,             14218738,             14218738,,,                484840,,                838900,,              1267444,              2591184,             11627554,,,                174422,,                359900,,                665284,,              4296181,              4165219,             15792773,,                497163,                497163,             15295610,,                              0,             15295610,,,                 13464,                -26176,                              0,                -12712,                -12712,             15282898,,             15271353,                 24257,,             15258641,                 24257,,                              6.30,                              0.00,                              6.30,,                              6.25,                              0.00,                              6.25,,,,,,,,,
2408,2015年01月01日至2015年06月30日,,             23183719,,             12822568,             10361151,             10361151,,,                329027,,                573416,,                783234,              1685677,              8675474,,,                121472,,               -179749,,                448901,,              2890498,              2383320,             11058794,,                494678,                494678,             10564116,,                              0,             10564116,,,                -17232,                 -2770,                              0,                -20002,                -20002,             10544114,,             10544741,                 19375,,             10524739,                 19375,,                              4.36,                              0.00,                              4.36,,                              4.31,                              0.00,                              4.31,,,,,,,,,
2408,2015年01月01日至2015年03月31日,,             12027943,,              6354719,              5673224,              5673224,,,                161911,,                315053,,                428760,                905724,              4767500,,,                 59523,,                -52681,,                242966,,              1772544,              1536420,              6303920,,,                  4677,              6299243,,                              0,              6299243,,,                -11338,                 26729,                              0,                 15391,                 15391,              6314634,,              6290339,                  8904,,              6305730,                  8904,,                              2.61,                              0.00,                              2.61,,                              2.57,                              0.00,                              2.57,                              0,,,,,,,,
2408,2014年第3季,,             13090573,,              6828192,              6262381,              6262381,,,                146885,,                305697,,                357699,                810281,              5452100,,,                 64485,,                251419,,                291938,,              2858859,              2882825,              8334925,,                873567,                873567,              7461358,,                  4439,              7465797,,,                 -7420,                -12603,                              0,                -20023,                -20023,              7445774,,              7462687,                  3110,,              7442664,                  3110,,                              3.11,                              0.00,                              3.11,,                              0.00,                              0.00,                              0.00,,,,,,,,,
2408,2014年第2季,,             11916423,,              6696284,              5220139,              5220139,,,                139570,,                503722,,                333859,                977151,              4242988,,,                 70170,,               -296535,,                312424,,              2716821,              2178032,              6421020,,                  1910,                  1910,              6419110,,               -333905,              6085205,,,                 -5698,                 47226,                              0,                 41528,                 41528,              6126733,,              6083531,                  1674,,              6125059,                  1674,,                              2.68,                             -0.14,                              2.54,,                              2.66,                             -0.14,                              2.52,,,,,,,,,
2408,2014年度,,             49107622,,             26939061,             22168561,             22168561,,,                588624,,              1398471,,              1377610,              3364705,             18803856,,,                261829,,                571459,,              1199818,,             13294580,             12928050,             31731906,,,              2481199,             29250707,,             -1056131,             28194576,,,,,,,                  8273,             28202849,,             28241527,                -46951,,             28249800,                -46951,,                             12.19,                             -0.42,                             11.77,,,,,,                 -3777,                 12050,                              0,,,,,
2408,2014年01月01日至2014年09月30日,,             36698508,,             20555200,             16143308,             16143308,,,                430502,,              1094665,,                966826,              2491993,             13651315,,,                200379,,                 99165,,                926734,,              8547835,              7920645,             21571960,,                877406,                877406,             20694554,,             -1073424,             19621130,,,                 -5768,                 32269,                              0,                 26501,                 26501,             19647631,,             19674121,                -52991,,             19700622,                -52991,,                              8.63,                             -0.42,                              8.21,,                              8.63,                             -0.42,                              8.21,,,,,,,,,
2408,2014年01月01日至2014年06月30日,,             23607935,,             13727008,              9880927,              9880927,,,                283617,,                788968,,                609127,              1681712,              8199215,,,                135894,,               -152254,,                634796,,              5688976,              5037820,             13237035,,                  3839,                  3839,             13233196,,             -1077863,             12155333,,,                  1652,                 44872,                              0,                 46524,                 46524,             12201857,,             12211434,                -56101,,             12257958,                -56101,,                              5.52,                             -0.42,                              5.10,,                              5.49,                             -0.42,                              5.07,,,,,,,,,
2408,2014年01月01日至2014年03月31日,,             11691512,,              7030724,              4660788,              4660788,,,                144047,,                285246,,                275268,                704561,              3956227,,,                 65724,,                144281,,                322372,,              2972155,              2859788,              6816015,,,                  1929,              6814086,,               -743958,              6070128,,,                  7350,                 -2354,                              0,                  4996,                  4996,              6075124,,              6127903,                -57775,,              6132899,                -57775,,                              2.84,                             -0.28,                              2.56,,                              2.83,                             -0.28,                              2.55,                              0,,,,,,,,
2408,2013年第3季,,             10940012,,              9404719,              1535293,              1535293,,,                156617,,                292301,,                387769,                836687,                698606,,,                 63823,,                -73660,,                371771,,              1824849,              1443241,              2141847,,,                  4240,              2137607,,               -160717,              1976890,,,,,,,                 -5337,              1971553,,              1978690,                 -1800,,              1973353,                 -1800,,                              0.89,                             -0.06,                              0.83,,,,,,                 -2428,                 -2909,                              0,,,,,
2408,2013年第2季,,             13456283,,             10972151,              2484132,              2484132,,,                153578,,                269770,,                377009,                800357,              1683775,,,                 65052,,                -71590,,                370949,,                597279,                219792,              1903567,,,                  2768,              1900799,,               -209036,              1691763,,,,,,,                 17530,              1709293,,              1675941,                 15822,,              1693471,                 15822,,                              0.79,                             -0.09,                              0.70,,,,,,                    -59,                 17589,                              0,,             10972151,             10972151,,
2408,2013年度,,             45224061,,             37102087,              8121974,              8121974,,,                623485,,              1133742,,              1404013,              3161240,              4960734,,,                260449,,                260071,,              1466844,,              5045424,              4099100,              9059834,,,                 39333,              9020501,,               -910038,              8110463,,,,,,,                    578,              8111041,,              8137820,                -27357,,              8138398,                -27357,,                              3.76,                             -0.36,                              3.40,,,,,,                 -3300,                  3878,                              0,,,,,
2408,2013年07月01日至2013年09月30日,,             11456780,,             10011008,              1445772,              1445772,,,                161647,,                319386,,                418541,                899574,                546198,,,                 63824,,                -77389,,                376352,,              1824849,              1434932,              1981130,,,                  4240,              1976890,,,              1976890,,,,,,,                 -5337,              1971553,,              1978690,                 -1800,,              1973353,                 -1800,,,,                              0.08,,,,,,                 -2428,                 -2909,                              0,,,,,
