證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 利息費用,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益,　　 其他費損,　　 其他收益及費損淨額,　　 權益工具投資之利益（損失）
1507,2015年第3季,,              6405606,,              4698039,              1707567,              1707567,,,                376574,,                475326,,                169515,              1021415,                686152,,,                 18080,,                 35812,,                              0,,                 25269,                 79161,                765313,,                256712,                -40352,                216360,                548953,,                              0,                548953,,,                226486,                 -2074,,                 12598,                237010,                237010,                785963,,                536335,                 12618,,                773345,                 12618,,                              1.31,,,,,,,,,,,,,
1507,2015年第2季,,              5462646,,              3978611,              1484035,              1484035,,,                362812,,                388445,,                158520,                909777,                574258,,,                 11346,,                  5901,,                      7,,                  5209,                 22449,                596707,,                216767,                -75987,                140780,                455927,,                              0,                455927,,,                -84471,                   -969,,                 -3496,                -88936,                -88936,                366991,,                449820,                  6107,,                360884,                  6107,,                              1.10,,,,,,,,,,,,,
1507,2015年01月01日至2015年09月30日,,             17681758,,             12922139,              4759619,              4759619,,,              1118748,,              1252572,,                473992,              2845312,              1914307,,,                 49768,,                 49701,,                     53,,                 20827,                120243,              2034550,,                527232,                    473,                527705,              1506845,,                              0,              1506845,,,                 16096,                 -2652,,                  6203,                 19647,                 19647,              1526492,,              1478744,                 28101,,              1498391,                 28101,,                              3.62,,,,,,,,,,,,,
1507,2015年01月01日至2015年06月30日,,             11276152,,              8224100,              3052052,              3052052,,,                742174,,                777246,,                304477,              1823897,              1228155,,,                 31688,,                 13889,,                     53,,                 -4442,                 41082,              1269237,,                270520,                 40825,                311345,                957892,,                              0,                957892,,,               -210390,                   -578,,                 -6395,               -217363,               -217363,                740529,,                942409,                 15483,,                725046,                 15483,,                              2.31,,,,,,,,,,,,,
1507,2015年01月01日至2015年03月31日,,              5813506,,              4245489,              1568017,              1568017,,,                379362,,                388801,,                145957,                914120,                653897,,,                 20342,,                  7988,,                     46,,                 -9651,                 18633,                672530,,                 53753,                116812,                170565,                501965,,                              0,                501965,,,               -125919,                    391,,                 -2899,               -128427,               -128427,                373538,,                492589,                  9376,,                364162,                  9376,,                              1.21,                     46,,,,,,,,,,,,
1507,2014年第3季,,              6708578,,              4986198,              1722380,              1722380,,,                289951,,                439706,,                159733,                889390,                832990,,,                 20392,,                 43555,,                              0,,                    157,                 64104,                897094,,                182853,                  1984,                184837,                712257,,                              0,                712257,,,                151103,                  4866,,                 -5273,                150696,                150696,                862953,,                702285,                  9972,,                852981,                  9972,,                              1.72,,,,,,,,,,,,,
1507,2014年第2季,,              5499427,,              4041325,              1458102,              1458102,,,                357787,,                337217,,                128938,                823942,                634160,,,                 14935,,                 13822,,                      7,,                 -3486,                 25264,                659424,,                248672,                -49172,                199500,                459924,,                              0,                459924,,,               -156936,                 11768,,                  4948,               -140220,               -140220,                319704,,                448601,                 11323,,                308381,                 11323,,                              1.10,,,,,,,,,,,,,
1507,2014年度,,             23875782,,             17695202,              6180580,              6180580,,,              1298809,,              1613993,,                578827,              3491629,              2688951,,,                 50260,,                118377,,                     60,,                 11366,                179943,              2868894,,,                 65015,                814057,              2054837,,                              0,              2054837,,,,,,,,                424115,              2478952,,              2021698,                 33139,,              2445811,                 33141,,                              4.95,,                749042,                448703,                 21205,                -54919,,                   -210,                 -9336,,,,,
1507,2014年01月01日至2014年09月30日,,             17189770,,             12710378,              4479392,              4479392,,,                916237,,              1150499,,                406352,              2473088,              2006304,,,                 45382,,                 79378,,                     66,,                  2411,                127105,              2133409,,                504963,                 10656,                515619,              1617790,,                              0,              1617790,,,                 89623,                 22299,,                    912,                112834,                112834,              1730624,,              1588818,                 28972,,              1701652,                 28972,,                              3.89,,,,,,,,,,,,,
1507,2014年01月01日至2014年06月30日,,             10481192,,              7724180,              2757012,              2757012,,,                626286,,                710793,,                246619,              1583698,              1173314,,,                 24990,,                 35823,,                     66,,                  2254,                 63001,              1236315,,                322110,                  8672,                330782,                905533,,                              0,                905533,,,                -61480,                 17433,,                  6185,                -37862,                -37862,                867671,,                886533,                 19000,,                848671,                 19000,,                              2.17,,,,,,,,,,,,,
1507,2014年01月01日至2014年03月31日,,              4981765,,              3682855,              1298910,              1298910,,,                268499,,                373576,,                117681,                759756,                539154,,,                 10055,,                 22001,,                     59,,                  5740,                 37737,                576891,,                 73438,                 57844,                131282,                445609,,                              0,                445609,,,                 95456,                  5665,,                  1237,                102358,                102358,                547967,,                437932,                  7677,,                540290,                  7677,,                              1.07,                     59,,,,,,,,,,,,
1507,2013年第3季,,              5107200,,              3844745,              1262455,              1262455,,,                289398,,                350388,,                124264,                764050,                498405,,,                 15342,,                 79585,,                    134,,                  9603,                104396,                602801,,,               -162225,                109031,                493770,,                              0,                493770,,,,,,,,                -52697,                441073,,                486613,                  7157,,                433916,                  7157,,                              1.19,,                271256,                -50419,                    909,,,                 -3187,,,,,,
1507,2013年第2季,,              4796925,,              3620409,              1176516,              1176516,,,                254869,,                313126,,                140005,                708000,                468516,,,                  5556,,                    237,,                    223,,                  6849,                 12419,                480935,,,               -116947,                162940,                317995,,                              0,                317995,,,,,,,,                160768,                478763,,                314367,                  3628,,                475130,                  3633,,                              0.77,,                279887,                157817,                 -1146,,,                  4097,,,,,,
1507,2013年度,,             19914341,,             14822340,              5092001,              5092001,,,              1099079,,              1439988,,                477818,              3016885,              2075116,,,                 48692,,                 95117,,                    602,,                 23353,                166560,              2241676,,,               -235128,                512116,              1729560,,                              0,              1729560,,,,,,,,                398670,              2128230,,              1713497,                 16063,,              2112162,                 16068,,                              4.19,,                747244,                367417,                 -1963,                 38818,,                    997,                  6599,,,,,
1507,2013年07月01日至2013年09月30日,,              5107200,,              3844745,              1262455,              1262455,,,                289398,,                350388,,                124264,                764050,                498405,,,                 15342,,                 79585,,                    134,,                  9603,                104396,                602801,,,,                109031,                493770,,,                493770,,,,,,,,                -52697,                441073,,                486613,                  7157,,                433916,                  7157,,                              1.19,,,                -50419,                    909,                              0,,                 -3187,                              0,,                              0,                              0,                              0,
1507,2013年04月01日至2013年06月30日,,              4796925,,              3620409,              1176516,              1176516,,,                254869,,                313126,,                140005,                708000,                468516,,,                  2783,,                  3010,,                    223,,                  6849,                 12419,                480935,,,,                162940,                317995,,,                317995,,,,,,,,                160768,                478763,,                314367,                  3628,,                475130,                  3633,,                              0.77,,,                157817,                 -1146,                              0,,                  4097,                              0,,                              0,                              0,                              0,                              0
1507,2013年01月01日至2013年12月31日,,             19914341,,             14822340,              5092001,              5092001,,,              1099079,,              1439988,,                477818,              3016885,              2075116,,,                 48692,,                 95117,,                    602,,                 23353,                166560,              2241676,,,               -235128,                512116,              1729560,,                              0,              1729560,,,,,,,,                398670,              2128230,,              1713497,                 16063,,              2112162,                 16068,,                              4.19,,                747244,                367417,                 -1963,                 38818,,                    997,                  6599,,,,,
1507,2013年01月01日至2013年09月30日,,             14039529,,             10513873,              3525656,              3525656,,,                792711,,                976563,,                350249,              2119523,              1406133,,,                 25431,,                 94163,,                    529,,                 21979,                141044,              1547177,,,               -195763,                397370,              1149807,,                              0,              1149807,,,,,,,,                305430,              1455237,,              1138535,                 11272,,              1443960,                 11277,,                              2.79,,                593133,                297586,                    525,,,                  7319,,,,,,
1507,2013年01月01日至2013年06月30日,,              8932329,,              6669128,              2263201,              2263201,,,                503313,,                626175,,                225985,              1355473,                907728,,,                 10089,,                 14578,,                    395,,                 12376,                 36648,                944376,,,                -33538,                288339,                656037,,                              0,                656037,,,,,,,,                358127,              1014164,,                651922,                  4115,,              1010044,                  4120,,                              1.60,,                321877,                348005,                   -384,,,                 10506,,,,,,
1507,2013年01月01日至2013年03月31日,,              4135404,,              3048719,              1086685,              1086685,,,                248444,,                313049,,                 85980,                647473,                439212,,,                  5015,,                 14341,,                    654,,                  5527,                 24229,                463441,,,                 83409,                125399,                338042,,                              0,                338042,,,,,,,,                197359,                535401,,                337555,                    487,,                534914,                    487,,                              0.83,                    654,                 41990,                190188,                    762,                              0,,                  6409,                              0,,,,,
1507,2012年07月01日至2012年09月30日,,              4968801,,              3892368,              1076433,              1076433,,,                250204,,                437603,,                 77066,                764873,                281423,,,                 10447,,                 24619,,                  6215,,                  2628,                 31479,                312902,,,,                 18509,                294393,,,                294393,,,,,,,,               -113687,                180706,,                291023,                  3370,,                164792,                 15914,,                              0.71,,,               -123795,                  3304,                              0,,                  6804,                              0,,                -30137,                              0,                -30137,
1507,2012年04月01日至2012年06月30日,,              3316788,,              2562619,                754169,                754169,,,                276528,,                281488,,                 98117,                656133,                128173,,,                    909,,                 11084,,                    374,,                 -4901,                  6718,                134891,,,,                 25084,                109807,,,                109807,,,,,,,,                 33416,                143223,,                106453,                  3354,,                152413,                 -9190,,                              0.26,,,                 44294,                 -5309,                              0,,                 -5569,                              0,,                 30137,                              0,                 30137,                              0
1507,2012年01月01日至2012年12月31日,,             16448570,,             12742552,              3706018,              3706018,,,              1037886,,              1207345,,                428741,              2673972,              1032046,,,                 40232,,                 59339,,                  7249,,                -22552,                 69770,              1101816,,,               -210033,                347204,                754612,,                              0,                754612,,,,,,,,               -296165,                458447,,                751578,                  3034,,                455384,                  3063,,                              1.84,,                557237,               -258311,                 -2312,                -41978,,                   -700,                 -7136,,,,,
1507,2012年01月01日至2012年09月30日,,             11680792,,              9089862,              2590930,              2590930,,,                728994,,                977433,,                250608,              1957035,                633895,,,                 23756,,                 51652,,                  7023,,                -17202,                 51183,                685078,,,,                214132,                470946,,,                470946,,,,,,,,               -239325,                231621,,                459661,                 11285,,                220336,                 11285,,                              1.12,,,               -239263,                 -1297,                              0,,                  1235,                              0,,                              0,                              0,                              0,
1507,2012年01月01日至2012年06月30日,,              6711991,,              5197494,              1514497,              1514497,,,                478790,,                539830,,                173542,              1192162,                352472,,,                 19186,,                 21156,,                    808,,                -19830,                 19704,                372176,,,,                195623,                176553,,,                176553,,,,,,,,               -125638,                 50915,,                168638,                  7915,,                 55544,                 -4629,,                              0.41,,,               -115468,                 -4601,                              0,,                 -5569,                              0,,                 30137,                              0,                 30137,                              0
1507,2012年01月01日至2012年03月31日,,              3395203,,              2634875,                760328,                760328,,,                202262,,                258342,,                 75425,                536029,                224299,,,                 18277,,                 16095,,                  6457,,                -14929,                 12986,                237285,,,,                170539,                 66746,,,                 66746,,,,,,,,               -159054,                -92308,,                 62185,                  4561,,                -96869,                  4561,,                              0.15,                  6457,,               -159762,                    708,                              0,,                              0,                              0,,,,,
