公司代號,公司名稱,"利息淨收益","利息以外淨收益","淨收益","呆帳費用及保證責任準備提存","保險負債準備淨變動","營業費用","繼續營業單位稅前損益","所得稅（費用）利益","繼續營業單位本期淨利（淨損）","停業單位損益","本期稅後淨利（淨損）","本期其他綜合損益（稅後淨額）","本期綜合損益總額","淨利（淨損）歸屬於母公司業主","淨利（淨損）歸屬於共同控制下前手權益","淨利（淨損）歸屬於非控制權益","綜合損益總額歸屬於母公司業主","綜合損益總額歸屬於共同控制下前手權益","綜合損益總額歸屬於非控制權益","基本每股盈餘（元）",
"2884","玉山金控",15075614.00,19330141.00,34405755.00,2884095.00,--,18361379.00,13160281.00,-1711450.00,11448831.00,--,11448831.00,51580.00,11500411.00,11581055.00,0.00,-132224.00,11667414.00,--,-167003.00,1.18,
"2889","國票金控",1410157.00,3082437.00,4492594.00,109239.00,--,2170593.00,2212762.00,-348997.00,1863765.00,--,1863765.00,486008.00,2349773.00,1704089.00,--,159676.00,2176475.00,--,173298.00,0.62,
