"公司代號","公司名稱","股利所屬年度","權利分派基準日","股票股利-股東配發內容-盈餘轉增資配股(元/股)","股票股利-股東配發內容-法定盈餘公積、資本公積轉增資配股(元/股)","股票股利-除權交易日","股票股利-員工紅利-配股總股數(股)","股票股利-員工紅利-配股總金額(元)","股票股利-員工紅利-配股總股數佔盈餘配股總股數之比例(%)","股票股利-員工紅利-員工紅利配股率","現金股利-股東配發內容-盈餘分配之股東現金股利(元/股)","現金股利-股東配發內容-法定盈餘公積、資本公積發放之現金(元/股)","現金股利-除息交易日","現金股利-現金股利發放日","現金股利-員工紅利總金額(元)","現金增資總股數(股)","現金增資認股比率(%)","現金增資認購價(元/股)","董監酬勞(元)","公告日期","公告時間","普通股每股面額"
"1325","恒大","98","2010/08/09",0.3000000000,0.0,"2010/08/03",0.0,0.0,"0.00",0.00000000,"","","","","",0,0.000000000,0.00,2699539,"2010/07/19","09:46:33","新台幣                 10.0000元"
"1326","台化","99","2010/07/14","","","","","","",0.00000000,4.50000000,0.0,"2010/07/08","",60041000,"","","",0,"2010/06/22","11:57:41","新台幣                 10.0000元"
"1402","遠東新","98","2010/08/31",0.2000000000,0.0,"2010/08/25",0.0,0.0,"0.00",0.00000000,1.30000000,0.0,"2010/08/25","",300732445,0,0.000000000,0.00,225549334,"2010/08/10","14:56:04","新台幣                 10.0000元"
"14020","特別股0","98","2010/08/31",0,0,"2010/08/25","","","","",0.0,"","2010/08/25","","","","","","","2010/08/10","14:56:04","新台幣                 10.0000元"
"1409","新纖","99","2010/10/04","","","","","","",0.00000000,0.21188080,0.0,"2010/09/28","",5651962,"","","","","2010/09/09","16:14:37","新台幣                 10.0000元"
"1419","新紡","98","2010/07/28","","","","","","",0.00000000,0.25000000,0.0,"2010/07/22","",1912264,"","","",1800000,"2010/07/07","18:06:56","新台幣                 10.0000元"
"1434","福懋興業","99","2010/08/06","","","","","","",0.00000000,0.80000000,0.0,"2010/07/29","",0,"","","",0,"2010/07/14","11:15:05","新台幣                 10.0000元"
"1440","南紡","98","2010/08/12",0.2000000000,0.0,"2010/08/05",0.0,0.0,"0.00",0.00000000,0.40000000,0.0,"2010/08/05","",22864636,0,0.000000000,0.00,34296955,"2010/07/15","09:49:02","新台幣                 10.0000元"
"1442","名軒","98","2010/09/04","","","","","","",0.00000000,1.50000000,0.0,"2010/08/27","",2645027,"","","",2645027,"2010/08/11","16:01:44","新台幣                 10.0000元"
"1444","力麗","99","2010/07/26",0.0,0.2007520700,"2010/07/20",0.0,0.0,"0.00",0.00000000,0.80300826,0.0,"2010/07/20","",12287520,0,0.000000000,0.00,1287520,"2010/07/05","09:47:04","新台幣                 10.0000元"
"1445","大宇紡織","98","2010/07/24","","","","","","",0.00000000,0.20444806,0.0,"2010/07/16","",786019,"","","",1179028,"2010/06/28","11:05:08","新台幣                 10.0000元"
"1451","年興紡織","98","2010/07/10","","","","","","",0.00000000,1.00000000,0.0,"2010/07/02","",10700000,"","","",9100000,"2010/06/17","18:26:38","新台幣                 10.0000元"
"1452","宏益","98","2010/07/11","","","","","","",0.00000000,0.50000000,0.0,"2010/07/05","",2713612,"","","",1356806,"2010/06/17","09:33:09","新台幣                 10.0000元"
"1453","大將","99","2010/12/07",0.0,0.0,"2010/12/01",0.0,0.0,"0.00",0.00000000,"","","","","",30000000,58.679700000,10.00,0,"2010/11/24","15:28:15","新台幣                 10.0000元"
"1455","集盛","99","2010/07/19","","","","","","",0.00000000,0.10000000,0.0,"2010/07/13","",2537456,"","","",3806183,"2010/06/28","09:06:49","新台幣                 10.0000元"
"1455","集盛","98","2010/09/21",0.1500000000,0.0,"2010/09/15",0.0,0.0,"0.00",0.00000000,"","","","",2537456,0,0.000000000,0.00,3806183,"2010/08/23","17:28:09","新台幣                 10.0000元"
"1457","宜進","99","2010/10/20",0.0,0.0,"2010/10/14",0.0,0.0,"0.00",0.00000000,"","","","","",50000000,17.765800000,10.00,0,"2010/10/07","11:29:43","新台幣                 10.0000元"
"1459","聯發紡織","98","2010/08/09",0.0,0.3000000000,"2010/08/03",0.0,0.0,"0.00",0.00000000,"","","","","",0,0.000000000,0.00,0,"2010/07/19","17:00:08","新台幣                 10.0000元"
"1464","得力實業","98","2010/07/12","","","","","","",0.00000000,0.20000000,0.0,"2010/07/06","",1349239,"","","",1011929,"2010/06/21","15:43:26","新台幣                 10.0000元"
"1465","偉全實業","98","2010/07/12","","","","","","",0.00000000,0.50000000,0.0,"2010/07/06","",662740,"","","",994110,"2010/06/17","10:30:20","新台幣                 10.0000元"
"1466","聚隆","99","2010/11/07",0.0,0.0,"2010/11/01",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","",0,20000000,20.950360000,20.50,0,"2010/10/25","17:42:55","新台幣                 10.0000元"
"1471","首利","99","2010/08/01",0.2690000000,0.0,"2010/07/26",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","",4712484,20000000,9.134700000,20.00,1413745,"2010/07/12","10:09:41","新台幣                 10.0000元"
"1471Z","特別股Z","99","2010/08/01",0.0000000000,0.0000000000,"2010/07/26","","","","",0.0,"","2010/07/26","","","","","","","2010/07/12","10:09:41","新台幣                 10.0000元"
"1473","台南企業","98","2010/07/25","","","","","","",0.00000000,1.50000000,0.0,"2010/07/19","",10000000,"","","",4030000,"2010/06/30","15:33:03","新台幣                 10.0000元"
"1474","弘裕","98","2010/10/01","","","","","","",0.00000000,0.20478566,0.0,"2010/09/23","",290262,"","","",435393,"2010/09/02","12:02:56","新台幣                 10.0000元"
"1476","儒鴻","98","2010/07/12","","","","","","",0.00000000,1.00000000,0.0,"2010/07/06","",251776,"","","",0,"2010/06/18","18:15:04","新台幣                 10.0000元"
"1476","儒鴻","98","2010/09/17",0.3000000000,0.0,"2010/09/09",0.0,0.0,"0.00",0.00000000,"","","","",251776,0,0.000000000,0.00,0,"2010/08/25","17:44:19","新台幣                 10.0000元"
"1477","聚陽實業","98","2010/07/14","","","","","","",0.00000000,5.17147900,0.0,"2010/07/08","",64875303,"","","",25840000,"2010/06/22","17:54:35","新台幣                 10.0000元"
"1503","士電","98","2010/07/25","","","","","","",0.00000000,1.20000000,0.0,"2010/07/19","",55000000,"","","",27500000,"2010/06/30","17:02:37","新台幣                 10.0000元"
"1504","東元電機","98","2010/07/13","","","","","","",0.00000000,0.55000000,0.0,"2010/07/07","",158532058,"","","",70458692,"2010/06/22","10:25:49","新台幣                 10.0000元"
"1507","永大機電","98","2010/07/05","","","","","","",0.00000000,1.50000000,0.0,"2010/06/29","",35794605,"","","",3977179,"2010/06/11","18:20:39","新台幣                 10.0000元"
"1513","中興電","98","2010/07/20","","","","","","",0.00000000,1.00000000,0.0,"2010/07/14","",51842293,"","","",15552688,"2010/06/29","14:30:27","新台幣                 10.0000元"
"1514","亞力電機","98","2010/07/17","","","","","","",0.00000000,0.15000000,0.0,"2010/07/09","",1616850,"","","",808425,"2010/06/23","16:17:09","新台幣                 10.0000元"
"1517","利奇機械","98","2010/09/19","","","","","","",0.00000000,0.60000000,0.0,"2010/09/13","",10790624,"","","",3596875,"2010/08/26","17:55:46","新台幣                 10.0000元"
"1519","華城電機","99","2010/09/11",0.5000000000,0.0,"2010/09/03",0.0,0.0,"0.00",0.00000000,1.00000000,0.0,"2010/09/03","",32967141,0,0.000000000,0.00,6181339,"2010/08/20","09:06:49","新台幣                 10.0000元"
"1521","大億","98","2010/07/13","","","","","","",0.00000000,3.00000000,0.0,"2010/07/07","",2306040,"","","",0,"2010/06/17","18:00:05","新台幣                 10.0000元"
"1522","堤維西","98","2010/09/15",1.0000000000,0.0,"2010/09/09",0.0,0.0,"0.00",0.00000000,0.50000000,0.0,"2010/09/09","",4971257,0,0.000000000,0.00,5000000,"2010/08/24","15:57:27","新台幣                 10.0000元"
"1523","臺灣開億","98","2010/06/13","","","","","","",0.00000000,0.95000000,0.0,"2010/06/07","",1655768,"","","",4967303,"2010/05/21","14:47:52","新台幣 10.0000元"
"1525","江申工業","98","2010/07/22","","","","","","",0.00000000,1.55000000,0.0,"2010/07/15","",4033114,"","","",2016557,"2010/07/01","09:26:42","新台幣                 10.0000元"
"1527","鑽全","98","2010/10/24","","","","","","",0.00000000,1.32950300,0.0,"2010/10/18","",11400000,"","","",4400000,"2010/10/01","15:51:13","新台幣                 10.0000元"
"1528","恩德","98","2010/08/18",0.0,0.2000000000,"2010/08/12",0.0,0.0,"0.00",0.00000000,0.22547631,0.0,"2010/08/12","",2582262,0,0.000000000,0.00,774678,"2010/07/28","18:02:21","新台幣                 10.0000元"
"1530","亞崴機電","98","2010/08/10","","","","","","",0.00000000,0.50000000,0.0,"2010/08/04","",3964131,"","","",991033,"2010/07/15","11:38:03","新台幣                 10.0000元"
"1531","高林股","98","2010/09/18","","","","","","",0.00000000,0.70000000,0.0,"2010/09/10","",7203188,"","","",2701196,"2010/08/26","18:07:37","新台幣                 10.0000元"
"1532","勤美","98","2010/08/13",2.4999999810,0.0,"2010/08/05",0.0,0.0,"0.00",0.00000000,2.00000000,0.0,"2010/08/05","",39767795,0,0.000000000,0.00,39767795,"2010/07/22","11:11:40","新台幣                 10.0000元"
"1533","車王電","99","2010/08/30","","","","","","",0.00000000,0.50000000,0.0,"2010/08/24","",364814,"","","",243210,"2010/08/05","18:26:17","新台幣                 10.0000元"
"1535","中宇","98","2010/07/20","","","","","","",0.00000000,2.70000000,0.0,"2010/07/14","",16159370,"","","",1800000,"2010/06/28","09:38:27","新台幣                 10.0000元"
"1537","廣隆光電","98","2010/08/28","","","","","","",0.00000000,3.46681000,0.0,"2010/08/20","",18639620,"","","",10400000,"2010/08/06","09:21:44","新台幣                 10.0000元"
"1540","喬福機械","98","2010/07/26","","","","","","",0.00000000,2.50000000,0.0,"2010/07/20","",7002312,"","","",4668210,"2010/06/30","15:21:23","新台幣                 10.0000元"
"1541","錩泰","98","2010/09/15",0.9775617600,0.0,"2010/09/09",0.0,0.0,"0.00",0.00000000,0.97756176,0.0,"2010/09/09","",2300000,0,0.000000000,0.00,4410000,"2010/08/24","16:49:14","新台幣                 10.0000元"
"1558","伸興","98","2010/07/12","","","","","","",0.00000000,7.00000000,0.0,"2010/07/06","",11272000,"","","",1728000,"2010/06/21","14:00:19","新台幣                 10.0000元"
"1560","中砂","98","2010/07/07","","","","","","",0.00000000,0.50000000,0.0,"2010/07/01","",10000000,"","","",1600000,"2010/06/15","14:56:53","新台幣                 10.0000元"
"1582","信錦","98","2010/07/27","","","","","","",0.00000000,4.50000000,0.0,"2010/07/21","",61000000,"","","",15000000,"2010/07/05","18:06:04","新台幣                 10.0000元"
"1583","程泰","98","2010/08/14","","","","","","",0.00000000,0.50000000,0.0,"2010/08/06","",4094472,"","","",1023618,"2010/06/30","18:11:37","新台幣                 10.0000元"
"1608","華榮","98","2010/07/13","","","","","","",0.00000000,0.50000000,0.0,"2010/07/07","",10206011,"","","",6804007,"2010/06/18","15:48:28","新台幣                 10.0000元"
"1609","大亞電線","98","2010/08/14","","","","","","",0.00000000,0.13926000,0.0,"2010/08/06","",901206,"","","",2703619,"2010/07/23","10:59:58","新台幣                 10.0000元"
"1611","中電","98","2010/08/01","","","","","","",0.00000000,1.20000000,0.0,"2010/07/26","",28149003,"","","",25590003,"2010/07/09","10:08:06","新台幣                 10.0000元"
"1612","宏泰","98","2010/08/07","","","","","","",0.00000000,0.50000000,0.0,"2010/07/30","",8739359,"","","",4369679,"2010/07/15","09:42:46","新台幣                 10.0000元"
"1614","三洋電","98","2010/07/19","","","","","","",0.00000000,1.15687912,0.0,"2010/07/13","",6465000,"","","",10900000,"2010/06/25","18:18:27","新台幣                 10.0000元"
"1615","大山","98","2010/07/26","","","","","","",0.00000000,1.00000000,0.0,"2010/07/20","",4726733,"","","",4276733,"2010/07/06","11:07:00","新台幣                 10.0000元"
"1615","大山","98","2010/09/01",1.0000000000,0.0,"2010/08/26",0.0,0.0,"0.00",0.00000000,"","","","",4276733,0,0.000000000,0.00,4276733,"2010/08/12","18:06:17","新台幣                 10.0000元"
"1701","中化","98","2010/07/31","","","","","","",0.00000000,0.70000000,0.0,"2010/07/23","",23444579,"","","",2344458,"2010/07/08","16:40:37","新台幣                 10.0000元"
"1704","榮化","98","2010/08/03","","","","","","",0.00000000,3.00000000,0.0,"2010/07/28","",13252743,"","","",13252743,"2010/07/09","10:13:01","新台幣                 10.0000元"
"1704","榮化","99","2010/12/27",0.0,0.0,"2010/12/21",0.0,0.0,"0.00",0.00000000,"","","","","",40000000,4.588245355,58.50,13252743,"2010/12/14","15:24:25","新台幣                 10.0000元"
"1707","葡萄王","98","2010/07/07","","","","","","",0.00000000,2.00000000,0.0,"2010/07/01","",32932999,"","","",5987818,"2010/06/18","17:18:11","新台幣                 10.0000元"
"1708","東鹼","98","2010/06/26","","","","","","",0.00000000,1.50000000,0.0,"2010/06/18","",14355771,"","","",6625741,"2010/05/25","15:09:14","新台幣                 10.0000元"
"1709","和益化工","98","2010/08/31",1.0000000000,0.0,"2010/08/25",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","",9872685,25000000,6.465290000,13.40,9872685,"2010/08/18","14:52:49","新台幣                 10.0000元"
"1710","東聯","98","2010/07/17","","","","","","",0.00000000,1.70000000,0.0,"2010/07/09","",28222964,"","","",14111482,"2010/06/24","18:06:59","新台幣                 10.0000元"
"1711","永光化學","98","2010/07/07","","","","","","",0.00000000,0.70000000,0.0,"2010/07/01","",15907573,"","","",6363029,"2010/06/15","15:52:33","新台幣                 10.0000元"
"1712","興農","98","2010/07/23","","","","","","",0.00000000,0.80000000,0.0,"2010/07/15","",2836912,"","","",14184560,"2010/06/29","09:38:16","新台幣                 10.0000元"
"1713","國化","98","2010/07/14","","","","","","",0.00000000,0.13000000,0.0,"2010/07/08","",933707,"","","","","2010/06/18","17:37:54","新台幣                 10.0000元"
"1714","和桐化學","98","2010/10/04",1.2000000000,0.0,"2010/09/28",0.0,0.0,"0.00",0.00000000,"","","","",9860702,0,0.000000000,0.00,9860702,"2010/09/06","15:04:37","新台幣                 10.0000元"
"1715","萬洲化學","97","2010/02/07","","","","","","",0.00000000,0.13000000,0.0,"2010/02/01","",646996,"","","",0,"2010/01/06","11:04:34","新台幣                 10.0000元"
"1715","萬洲化學","98","2010/08/08","","","","","","",0.00000000,0.31427000,0.0,"2010/08/02","",1861951,"","","",0,"2010/07/16","16:55:12","新台幣                 10.0000元"
"1717","長興材料","98","2010/07/27","","","","","","",0.00000000,2.20000000,0.0,"2010/07/21","",142018579,"","","",8000000,"2010/07/02","18:39:20","新台幣                 10.0000元"
"1717","長興材料","98","2010/08/17",0.5000000000,0.0,"2010/08/11",0.0,0.0,"0.00",0.00000000,"","","","","",0,0.000000000,0.00,8000000,"2010/07/27","10:09:30","新台幣                 10.0000元"
"1720","生達化學","98","2010/08/15","","","","","","",0.00000000,1.60000000,0.0,"2010/08/09","",2641162,"","","",7923486,"2010/07/23","15:22:39","新台幣                 10.0000元"
"1722","台肥","98","2010/08/18","","","","","","",0.00000000,1.40000000,0.0,"2010/08/12","",43326316,"","","",28884211,"2010/07/28","16:04:27","新台幣                 10.0000元"
"1723","中碳","98","2010/07/19","","","","","","",0.00000000,5.60000000,0.0,"2010/07/13","",70567292,"","","",14113458,"2010/06/28","15:57:07","新台幣                 10.0000元"
"1724","台硝","98","2010/09/13","","","","","","",0.00000000,0.19000000,0.0,"2010/09/07","",1144975,"","","",1144975,"2010/08/20","14:28:04","新台幣                 10.0000元"
"1725","元禎","98","2010/08/25",1.7500000000,0.0,"2010/08/19",0.0,0.0,"0.00",0.00000000,0.25000000,0.0,"2010/08/19","",5576287,0,0.000000000,0.00,1394072,"2010/08/04","17:51:15","新台幣                 10.0000元"
"1726","永記造漆","98","2010/07/12","","","","","","",0.00000000,2.50000000,0.0,"2010/07/06","",8282209,"","","",828221,"2010/06/21","10:23:43","新台幣                 10.0000元"
"1727","中華化學","98","2010/08/15","","","","","","",0.00000000,0.28787100,0.0,"2010/08/09","",3229837,"","","",1937902,"2010/07/22","16:11:41","新台幣                 10.0000元"
"1727","中華化學","98","2010/09/11",0.5121293800,0.0,"2010/09/03",0.0,0.0,"0.00",0.00000000,"","","","","",0,0.000000000,0.00,1937902,"2010/08/18","17:02:51","新台幣                 10.0000元"
"1730","花仙子","98","2010/09/11","","","","","","",0.00000000,1.00000000,0.0,"2010/09/03","",4500000,"","","",450000,"2010/08/19","16:31:32","新台幣                 10.0000元"
"1731","美吾華","98","2010/08/02",0.0,0.2500000000,"2010/07/27",0.0,0.0,"0.00",0.00000000,0.25000000,0.0,"2010/07/27","",1581546,0,0.000000000,0.00,948927,"2010/07/09","10:56:03","新台幣                 10.0000元"
"1732","毛寶","98","2010/07/21","","","","","","",0.00000000,0.60000000,0.0,"2010/07/15","",2477266,"","","",619317,"2010/06/30","16:14:05","新台幣                 10.0000元"
"1733","五鼎","98","2010/06/18","","","","","","",0.00000000,3.10000000,0.0,"2010/06/10","",21331781,"","","",3206860,"2010/05/21","18:42:27","新台幣                 10.0000元"
"1734","杏輝藥品","98","2010/08/02",0.3484913200,0.0,"2010/07/27",0.0,0.0,"0.00",0.00000000,0.54762917,0.0,"2010/07/27","",3773783,0,0.000000000,0.00,1886891,"2010/07/12","14:15:19","新台幣                 10.0000元"
"1735","日勝化","98","2010/06/30","","","","","","",0.00000000,1.10000000,0.0,"2010/06/24","",6038281,"","","",2415313,"2010/06/08","18:02:57","新台幣                 10.0000元"
"1736","喬山健康","98","2010/09/19","","","","","","",0.00000000,0.30000000,0.0,"2010/09/13","",1000000,"","","",2500000,"2010/08/24","13:16:06","新台幣                 10.0000元"
"1737","臺鹽","98","2010/08/20","","","","","","",0.00000000,0.60000000,0.0,"2010/08/12","",5663733,"","","",3775822,"2010/07/27","17:19:46","新台幣                 10.0000元"
"1773","勝一化工","98","2010/07/04","","","","","","",0.00000000,2.50000000,0.0,"2010/06/28","",3550532,"","","",17752659,"2010/06/09","15:24:53","新台幣                 10.0000元"
"1776","展宇","98","2010/07/17",1.0000000000,0.0,"2010/07/09",200000.0,2000000.0,"4.64",0.00463768,2.00000000,0.0,"2010/07/09","",6348500,0,0.000000000,0.00,4312500,"2010/06/25","11:32:09","新台幣                 10.0000元"
"1802","台玻","98","2010/07/19",0.3000000000,0.0,"2010/07/13",0.0,0.0,"0.00",0.00000000,0.20000000,0.0,"2010/07/13","",13212877,0,0.000000000,0.00,13212877,"2010/06/25","10:03:04","新台幣                 10.0000元"
"1806","冠軍","98","2010/08/24",0.4966325730,0.0,"2010/08/18",693802.0,6938020.0,"3.50",0.00173883,0.49663261,0.0,"2010/08/18","",14714576,0,0.000000000,0.00,22285931,"2010/08/02","17:49:29","新台幣                 10.0000元"
"1808","潤隆","98","2010/12/01",2.0000000000,0.0,"2010/11/25",0.0,0.0,"0.00",0.00000000,0.22000000,0.0,"2010/11/25","",4594610,0,0.000000000,0.00,6891915,"2010/11/09","10:55:48","新台幣                 10.0000元"
"1809","中釉","98","2010/08/29",0.3000000000,0.0,"2010/08/23",0.0,0.0,"0.00",0.00000000,0.20000000,0.0,"2010/08/23","",6901387,0,0.000000000,0.00,4230320,"2010/08/09","09:44:56","新台幣                 10.0000元"
"1809","中釉","99","2010/11/24",0.0,0.0,"2010/11/18",0.0,0.0,"0.00",0.00000000,0.0,0.0,"","",0,15000000,6.435176300,21.00,4230320,"2010/11/11","14:31:50","新台幣                 10.0000元"
"1904","正隆","98","2010/07/24","","","","","","",0.00000000,0.70000000,0.0,"2010/07/16","",27000000,"","","","","2010/06/30","09:41:05","新台幣                 10.0000元"
"1907","永豐餘","98","2010/08/14",0.2000000000,0.0,"2010/08/06",0.0,0.0,"0.00",0.00000000,0.60000000,0.0,"2010/08/06","",30051535,0,0.000000000,0.00,7000000,"2010/07/22","15:56:50","新台幣                 10.0000元"
"1909","榮成","98","2010/07/27","","","","","","",0.00000000,0.51312865,0.0,"2010/07/21","",0,"","","",0,"2010/06/23","09:27:42","新台幣                 10.0000元"
